file_id,uniprot_id,ID,pocket,druggability,num_drug_pockets,struct_score
AF-P0DMU2-F1-model_v4,P0DMU2,P0DMU2-F1,0.104,0.961,2,89.6790202563043
AF-P11836-F1-model_v4,P11836,P11836-F1,0.126,0.961,1,70.5959067357513
AF-P13473-F1-model_v4,P13473,P13473-F1,0.148,0.961,1,83.9895987361769
AF-P20929-F10-model_v4,P20929,P20929-F10,0.065,0.961,2,56.7770901926445
AF-P28335-F1-model_v4,P28335,P28335-F1,0.059,0.961,3,73.5313296703297
AF-P30989-F1-model_v4,P30989,P30989-F1,0.155,0.961,2,79.9278613071494
AF-P49286-F1-model_v4,P49286,P49286-F1,0.378,0.961,2,84.4482475317348
AF-Q07869-F1-model_v4,Q07869,Q07869-F1,0.057,0.961,1,81.1083456587236
AF-Q08477-F1-model_v4,Q08477,Q08477-F1,0.156,0.961,2,91.8275165876777
AF-Q14166-F1-model_v4,Q14166,Q14166-F1,0.183,0.961,2,91.1891239763854
AF-Q14204-F3-model_v4,Q14204,Q14204-F3,0.312,0.961,1,78.4600785683108
AF-Q15035-F1-model_v4,Q15035,Q15035-F1,0.281,0.961,1,85.7065701269118
AF-Q16798-F1-model_v4,Q16798,Q16798-F1,0.352,0.961,1,92.2585151450964
AF-Q4G176-F1-model_v4,Q4G176,Q4G176-F1,0.111,0.961,1,86.8397543160691
AF-Q5SRD1-F1-model_v4,Q5SRD1,Q5SRD1-F1,0.304,0.961,1,55.0611272727273
AF-Q6ZMI3-F1-model_v4,Q6ZMI3,Q6ZMI3-F1,0.131,0.961,1,74.8661306653809
AF-Q7RTY1-F1-model_v4,Q7RTY1,Q7RTY1-F1,0.065,0.961,1,76.5541158536585
AF-Q7Z2Q7-F1-model_v4,Q7Z2Q7,Q7Z2Q7-F1,0.1,0.961,1,74.0542790791599
AF-Q8N4W6-F1-model_v4,Q8N4W6,Q8N4W6-F1,0.081,0.961,3,78.3089119170984
AF-Q8NGS0-F1-model_v4,Q8NGS0,Q8NGS0-F1,0.094,0.961,1,89.1411886091622
AF-Q8WU67-F1-model_v4,Q8WU67,Q8WU67-F1,0.154,0.961,1,93.6236206363917
AF-Q96A11-F1-model_v4,Q96A11,Q96A11-F1,0.475,0.961,1,87.2699247031567
AF-Q96QS1-F1-model_v4,Q96QS1,Q96QS1-F1,0.12,0.961,1,72.8937649484536
AF-Q9BRV8-F1-model_v4,Q9BRV8,Q9BRV8-F1,0.7,0.961,1,85.482909860859
AF-Q9BZL6-F1-model_v4,Q9BZL6,Q9BZL6-F1,0.066,0.961,1,69.5702207505519
AF-Q9H799-F2-model_v4,Q9H799,Q9H799-F2,0.128,0.961,2,70.2985678815288
AF-Q9NRU3-F1-model_v4,Q9NRU3,Q9NRU3-F1,0.199,0.961,2,67.2874186078191
AF-Q9UHI5-F1-model_v4,Q9UHI5,Q9UHI5-F1,0.22,0.961,3,81.8899441747573
AF-Q9UKR8-F1-model_v4,Q9UKR8,Q9UKR8-F1,0.064,0.961,1,84.8232589771491
AF-Q9UQR0-F1-model_v4,Q9UQR0,Q9UQR0-F1,-0.014,0.961,3,69.0634310471976
AF-Q9Y487-F1-model_v4,Q9Y487,Q9Y487-F1,0.143,0.961,1,81.7617173472343
AF-O00154-F1-model_v4,O00154,O00154-F1,0.303,0.96,1,84.9933880903491
AF-O14656-F1-model_v4,O14656,O14656-F1,0.296,0.96,2,85.9488530734633
AF-O76061-F1-model_v4,O76061,O76061-F1,0.27,0.96,2,73.2958494623656
AF-P04180-F1-model_v4,P04180,P04180-F1,0.142,0.96,1,87.7876995438997
AF-P28702-F1-model_v4,P28702,P28702-F1,0.07,0.96,1,72.3850676352705
AF-P50990-F1-model_v4,P50990,P50990-F1,0.353,0.96,3,87.8963856287425
AF-Q00765-F1-model_v4,Q00765,Q00765-F1,0.112,0.96,1,79.5647194719472
AF-Q02224-F2-model_v4,Q02224,Q02224-F2,0.126,0.96,2,70.764444444444507
AF-Q13535-F1-model_v4,Q13535,Q13535-F1,0.292,0.96,2,76.4657637772946
AF-Q5VTQ0-F1-model_v4,Q5VTQ0,Q5VTQ0-F1,0.156,0.96,2,82.0522949002217
AF-Q6ZMG9-F1-model_v4,Q6ZMG9,Q6ZMG9-F1,0.159,0.96,2,87.9754488188976
AF-Q7L5L3-F1-model_v4,Q7L5L3,Q7L5L3-F1,0.13,0.96,1,93.1324223602484
AF-Q8IXW5-F1-model_v4,Q8IXW5,Q8IXW5-F1,0.13,0.96,1,64.1960757420675
AF-Q8IY34-F1-model_v4,Q8IY34,Q8IY34-F1,0.17,0.96,3,82.3919585099264
AF-Q8N584-F1-model_v4,Q8N584,Q8N584-F1,0.023,0.96,2,85.6918396022482
AF-Q8NGC5-F1-model_v4,Q8NGC5,Q8NGC5-F1,0.521,0.96,3,86.1110092081031
AF-Q8TD57-F4-model_v4,Q8TD57,Q8TD57-F4,0.164,0.96,4,85.6663929332386
AF-Q92597-F1-model_v4,Q92597,Q92597-F1,0.317,0.96,1,78.598135026738
AF-Q96IZ6-F1-model_v4,Q96IZ6,Q96IZ6-F1,0.272,0.96,2,82.1588214169115
AF-Q96MX6-F1-model_v4,Q96MX6,Q96MX6-F1,0.095,0.96,2,96.6869266547406
AF-Q9HAP2-F1-model_v4,Q9HAP2,Q9HAP2-F1,0.14,0.96,2,54.6494366395055
AF-Q9P035-F1-model_v4,Q9P035,Q9P035-F1,0.082,0.96,2,88.7885658153242
AF-Q9UIK5-F1-model_v4,Q9UIK5,Q9UIK5-F1,0.081,0.96,1,68.7434989576094
AF-Q9Y653-F1-model_v4,Q9Y653,Q9Y653-F1,0.294,0.96,2,78.0137559284933
AF-O60508-F1-model_v4,O60508,O60508-F1,0.189,0.959,1,86.684453362256
AF-O95222-F1-model_v4,O95222,O95222-F1,0.409,0.959,1,83.0527362204724
AF-O95255-F1-model_v4,O95255,O95255-F1,0.2,0.959,2,81.4078773544337
AF-P16118-F1-model_v4,P16118,P16118-F1,0.06,0.959,1,92.0747205614765
AF-P20648-F1-model_v4,P20648,P20648-F1,0.086,0.959,3,88.7902084893883
AF-P21359-F7-model_v4,P21359,P21359-F7,0.076,0.959,2,78.2831224159626
AF-P29590-F1-model_v4,P29590,P29590-F1,0.055,0.959,3,70.8715750219362
AF-P36537-F1-model_v4,P36537,P36537-F1,0.163,0.959,1,92.3871098670399
AF-P37231-F1-model_v4,P37231,P37231-F1,0.238,0.959,1,76.1501112484549
AF-P49619-F1-model_v4,P49619,P49619-F1,0.099,0.959,1,77.5099278846154
AF-P53007-F1-model_v4,P53007,P53007-F1,0.147,0.959,2,75.0818337510443
AF-P58876-F1-model_v4,P58876,P58876-F1,0.283,0.959,1,87.5827170582227
AF-P85298-F1-model_v4,P85298,P85298-F1,0.243,0.959,2,76.213223162348
AF-Q08462-F1-model_v4,Q08462,Q08462-F1,0.145,0.959,4,79.2051215017851
AF-Q08AG5-F1-model_v4,Q08AG5,Q08AG5-F1,0.11,0.959,3,52.6256988646938
AF-Q3SY52-F1-model_v4,Q3SY52,Q3SY52-F1,0.105,0.959,1,66.5219102296451
AF-Q5T1V6-F1-model_v4,Q5T1V6,Q5T1V6-F1,0.158,0.959,1,79.0065824357912
AF-Q5TBA9-F7-model_v4,Q5TBA9,Q5TBA9-F7,0.116,0.959,2,63.4288159693738
AF-Q6ZR08-F1-model_v4,Q6ZR08,Q6ZR08-F1,0.363,0.959,3,83.0876591825995
AF-Q6ZR08-F7-model_v4,Q6ZR08,Q6ZR08-F7,0.104,0.959,3,86.3166032055256
AF-Q86VD9-F1-model_v4,Q86VD9,Q86VD9-F1,0.114,0.959,3,87.6567304696194
AF-Q8IU68-F1-model_v4,Q8IU68,Q8IU68-F1,0.13,0.959,5,76.689878619733
AF-Q8IWB9-F1-model_v4,Q8IWB9,Q8IWB9-F1,0.127,0.959,2,56.42632845307
AF-Q8N0U8-F1-model_v4,Q8N0U8,Q8N0U8-F1,0.096,0.959,1,91.1335336194564
AF-Q8NGR6-F1-model_v4,Q8NGR6,Q8NGR6-F1,0.125,0.959,1,86.7620861860652
AF-Q9BYH1-F1-model_v4,Q9BYH1,Q9BYH1-F1,0.149,0.959,1,69.1123861033342
AF-Q9H340-F1-model_v4,Q9H340,Q9H340-F1,0.142,0.959,3,89.4309947643979
AF-Q9H568-F1-model_v4,Q9H568,Q9H568-F1,0.185,0.959,3,88.2739339752407
AF-Q9NU22-F9-model_v4,Q9NU22,Q9NU22-F9,0.18,0.959,2,76.9037293788876
AF-Q9UP95-F1-model_v4,Q9UP95,Q9UP95-F1,0.218,0.959,2,81.4208569071193
AF-Q9Y289-F1-model_v4,Q9Y289,Q9Y289-F1,0.151,0.959,3,80.28021973466
AF-Q9Y6N6-F1-model_v4,Q9Y6N6,Q9Y6N6-F1,0.148,0.959,4,75.4689529539567
AF-A6NE02-F1-model_v4,A6NE02,A6NE02-F1,0.14,0.958,1,85.9152179763186
AF-A6NJV1-F1-model_v4,A6NJV1,A6NJV1-F1,0.065,0.958,1,81.2547041062802
AF-A6NM76-F1-model_v4,A6NM76,A6NM76-F1,0.337,0.958,2,89.8560753341434
AF-O60602-F1-model_v4,O60602,O60602-F1,0.124,0.958,1,89.0651498479803
AF-O75678-F1-model_v4,O75678,O75678-F1,0.243,0.958,1,75.1363850085179
AF-P10276-F1-model_v4,P10276,P10276-F1,0.362,0.958,1,79.418920518602
AF-P12882-F1-model_v4,P12882,P12882-F1,0.109,0.958,1,74.3964582933845
AF-P24390-F1-model_v4,P24390,P24390-F1,0.177,0.958,2,92.3511768082664
AF-P48509-F1-model_v4,P48509,P48509-F1,0.15,0.958,3,87.9959767794043
AF-P61160-F1-model_v4,P61160,P61160-F1,0.237,0.958,1,93.9645648030496
AF-Q01726-F1-model_v4,Q01726,Q01726-F1,0.288,0.958,2,80.2189536315142
AF-Q02094-F1-model_v4,Q02094,Q02094-F1,0.185,0.958,2,94.8662805662806
AF-Q2M2D7-F1-model_v4,Q2M2D7,Q2M2D7-F1,0.022,0.958,1,77.1619360568384
AF-Q5VWJ9-F1-model_v4,Q5VWJ9,Q5VWJ9-F1,0.191,0.958,1,81.4068853868195
AF-Q6P9G4-F1-model_v4,Q6P9G4,Q6P9G4-F1,0.114,0.958,1,63.5732684283727
AF-Q6PF04-F1-model_v4,Q6PF04,Q6PF04-F1,0.186,0.958,1,65.9121025849786
AF-Q75N90-F9-model_v4,Q75N90,Q75N90-F9,0.195,0.958,2,75.3038825484765
AF-Q7Z2D5-F1-model_v4,Q7Z2D5,Q7Z2D5-F1,0.125,0.958,2,56.1479986256657
AF-Q7Z4K8-F1-model_v4,Q7Z4K8,Q7Z4K8-F1,0.277,0.958,3,80.6765184678523
AF-Q8IY50-F1-model_v4,Q8IY50,Q8IY50-F1,0.125,0.958,1,75.3504325468844
AF-Q8TDJ6-F9-model_v4,Q8TDJ6,Q8TDJ6-F9,0.076,0.958,2,70.0479521969629
AF-Q9H9S3-F1-model_v4,Q9H9S3,Q9H9S3-F1,0.197,0.958,3,71.5526590538336
AF-Q9NX47-F1-model_v4,Q9NX47,Q9NX47-F1,0.291,0.958,3,86.5846694026448
AF-Q9NX78-F1-model_v4,Q9NX78,Q9NX78-F1,0.211,0.958,2,92.6704275026719
AF-Q9P1Q0-F1-model_v4,Q9P1Q0,Q9P1Q0-F1,0.108,0.958,1,75.4842704443014
AF-A8K855-F1-model_v4,A8K855,A8K855-F1,0.041,0.957,2,81.2967782841292
AF-B3EWG5-F1-model_v4,B3EWG5,B3EWG5-F1,0.114,0.957,1,62.3503987730061
AF-E9PB15-F1-model_v4,E9PB15,E9PB15-F1,-0.003,0.957,1,70.7667337807606
AF-O14804-F1-model_v4,O14804,O14804-F1,0.366,0.957,1,85.0730074074074
AF-O15111-F1-model_v4,O15111,O15111-F1,0.089,0.957,1,84.6423600809171
AF-O94810-F1-model_v4,O94810,O94810-F1,0.141,0.957,2,86.9344647169305
AF-P04114-F3-model_v4,P04114,P04114-F3,0.29,0.957,4,81.2980910332271
AF-P13498-F1-model_v4,P13498,P13498-F1,0.48,0.957,1,77.0298854447439
AF-P22059-F1-model_v4,P22059,P22059-F1,0.052,0.957,1,77.537887368756
AF-P23527-F1-model_v4,P23527,P23527-F1,0.371,0.957,2,88.0009928352098
AF-P30939-F1-model_v4,P30939,P30939-F1,0.163,0.957,2,83.0205013642565
AF-P32245-F1-model_v4,P32245,P32245-F1,0.105,0.957,1,79.9297138437742
AF-P47887-F1-model_v4,P47887,P47887-F1,0.116,0.957,2,85.5327526543453
AF-P51003-F1-model_v4,P51003,P51003-F1,0.302,0.957,4,75.6146861063465
AF-Q04656-F1-model_v4,Q04656,Q04656-F1,0.14,0.957,6,73.6075567784766
AF-Q13459-F1-model_v4,Q13459,Q13459-F1,0.166,0.957,3,64.249272536198
AF-Q2LD37-F11-model_v4,Q2LD37,Q2LD37-F11,0.12,0.957,1,58.4638372630606
AF-Q5TA45-F1-model_v4,Q5TA45,Q5TA45-F1,0.27,0.957,1,90.8296755845797
AF-Q7RTM1-F1-model_v4,Q7RTM1,Q7RTM1-F1,0.149,0.957,2,76.6449167193759
AF-Q7Z695-F1-model_v4,Q7Z695,Q7Z695-F1,0.223,0.957,2,72.926107907743
AF-Q8NGJ9-F1-model_v4,Q8NGJ9,Q8NGJ9-F1,0.459,0.957,1,84.5877492331288
AF-Q8TAT2-F1-model_v4,Q8TAT2,Q8TAT2-F1,0.312,0.957,1,68.7438009283136
AF-Q8WUG5-F1-model_v4,Q8WUG5,Q8WUG5-F1,0.096,0.957,2,73.1782102412605
AF-Q96RV3-F1-model_v4,Q96RV3,Q96RV3-F1,0.133,0.957,1,57.7219655020875
AF-Q9H9S4-F1-model_v4,Q9H9S4,Q9H9S4-F1,0.355,0.957,1,93.8730257900472
AF-Q9NZK5-F1-model_v4,Q9NZK5,Q9NZK5-F1,0.35,0.957,1,96.0296237337192
AF-Q9NZN4-F1-model_v4,Q9NZN4,Q9NZN4-F1,0.184,0.957,1,86.9610141564168
AF-Q9P2D7-F1-model_v4,Q9P2D7,Q9P2D7-F1,0.281,0.957,2,79.5105552631579
AF-Q9UPN3-F13-model_v4,Q9UPN3,Q9UPN3-F13,0.217,0.957,1,57.9482641233914
AF-O15553-F1-model_v4,O15553,O15553-F1,0.14,0.956,2,73.2735599078341
AF-P08F94-F1-model_v4,P08F94,P08F94-F1,0.318,0.956,3,84.9194974921048
AF-P19793-F1-model_v4,P19793,P19793-F1,0.247,0.956,1,76.512264416315
AF-P22309-F1-model_v4,P22309,P22309-F1,0.033,0.956,1,91.3475698257341
AF-P33981-F1-model_v4,P33981,P33981-F1,0.087,0.956,1,63.954351783879
AF-P35609-F1-model_v4,P35609,P35609-F1,0.227,0.956,2,85.0345231570293
AF-Q08AH1-F1-model_v4,Q08AH1,Q08AH1-F1,0.095,0.956,2,88.5628971962617
AF-Q0VAA5-F1-model_v4,Q0VAA5,Q0VAA5-F1,0.195,0.956,1,80.9710114192496
AF-Q13286-F1-model_v4,Q13286,Q13286-F1,0.128,0.956,1,81.170112960761
AF-Q16853-F1-model_v4,Q16853,Q16853-F1,0.201,0.956,1,95.1777892803473
AF-Q3L8U1-F3-model_v4,Q3L8U1,Q3L8U1-F3,0.057,0.956,2,68.0344713521102
AF-Q5TC63-F1-model_v4,Q5TC63,Q5TC63-F1,0.212,0.956,1,94.8460906411201
AF-Q6IS24-F1-model_v4,Q6IS24,Q6IS24-F1,0.108,0.956,1,90.0975308900524
AF-Q6ZQQ6-F5-model_v4,Q6ZQQ6,Q6ZQQ6-F5,0.083,0.956,1,62.9201688457875
AF-Q7Z601-F1-model_v4,Q7Z601,Q7Z601-F1,0.228,0.956,1,62.7458432898027
AF-Q86UQ4-F11-model_v4,Q86UQ4,Q86UQ4-F11,0.148,0.956,3,57.5717939404678
AF-Q8N4Q0-F1-model_v4,Q8N4Q0,Q8N4Q0-F1,0.056,0.956,1,93.0216737588652
AF-Q8N5M9-F1-model_v4,Q8N5M9,Q8N5M9-F1,0.235,0.956,1,91.7172166331321
AF-Q8NDW4-F1-model_v4,Q8NDW4,Q8NDW4-F1,0.11,0.956,1,55.2385468451243
AF-Q8NF50-F1-model_v4,Q8NF50,Q8NF50-F1,0.159,0.956,4,74.8535041154718
AF-Q92556-F1-model_v4,Q92556,Q92556-F1,0.258,0.956,1,88.8406752849124
AF-Q9BZ76-F1-model_v4,Q9BZ76,Q9BZ76-F1,0.131,0.956,2,83.4178500707214
AF-Q9H1K6-F1-model_v4,Q9H1K6,Q9H1K6-F1,0.158,0.956,1,88.3918602885345
AF-Q9H6T3-F1-model_v4,Q9H6T3,Q9H6T3-F1,0.157,0.956,1,75.83184496997
AF-Q9NSE4-F1-model_v4,Q9NSE4,Q9NSE4-F1,0.14,0.956,2,89.8015252121817
AF-Q9NY33-F1-model_v4,Q9NY33,Q9NY33-F1,0.349,0.956,2,95.5503187114462
AF-Q9P298-F1-model_v4,Q9P298,Q9P298-F1,0.115,0.956,1,67.6226165803109
AF-Q9UNX4-F1-model_v4,Q9UNX4,Q9UNX4-F1,0.159,0.956,2,84.4150422421885
AF-A2RU14-F1-model_v4,A2RU14,A2RU14-F1,0.031,0.955,1,87.3443453724605
AF-O60779-F1-model_v4,O60779,O60779-F1,0.108,0.955,1,81.2796728852543
AF-O94915-F7-model_v4,O94915,O94915-F7,0.28,0.955,1,61.6334728527329
AF-O95340-F1-model_v4,O95340,O95340-F1,0.127,0.955,1,92.3557686017989
AF-P05108-F1-model_v4,P05108,P05108-F1,0.14,0.955,1,92.3874052272192
AF-P17302-F1-model_v4,P17302,P17302-F1,0.085,0.955,1,70.9983305839657
AF-P20309-F1-model_v4,P20309,P20309-F1,0.158,0.955,4,67.3924683136412
AF-P21554-F1-model_v4,P21554,P21554-F1,0.183,0.955,3,71.6597790353005
AF-P21918-F1-model_v4,P21918,P21918-F1,0.183,0.955,2,69.3471417069243
AF-P31327-F1-model_v4,P31327,P31327-F1,0.275,0.955,3,93.8297860778056
AF-P35504-F1-model_v4,P35504,P35504-F1,0.111,0.955,1,91.5969201610993
AF-P41595-F1-model_v4,P41595,P41595-F1,0.055,0.955,2,71.7361016505109
AF-Q13011-F1-model_v4,Q13011,Q13011-F1,0.276,0.955,3,88.7662983645792
AF-Q68EN5-F1-model_v4,Q68EN5,Q68EN5-F1,0.339,0.955,1,77.8273997343958
AF-Q6DN14-F1-model_v4,Q6DN14,Q6DN14-F1,0.181,0.955,4,65.5368958942418
AF-Q6N063-F1-model_v4,Q6N063,Q6N063-F1,0.116,0.955,1,94.0539270072993
AF-Q6P9F7-F1-model_v4,Q6P9F7,Q6P9F7-F1,0.281,0.955,4,81.0621158574063
AF-Q7Z7A4-F1-model_v4,Q7Z7A4,Q7Z7A4-F1,0.318,0.955,2,86.3573451521121
AF-Q8IY51-F1-model_v4,Q8IY51,Q8IY51-F1,0.131,0.955,2,78.3489172447968
AF-Q8TBC5-F1-model_v4,Q8TBC5,Q8TBC5-F1,0.175,0.955,1,53.0839211618257
AF-Q8TCT8-F1-model_v4,Q8TCT8,Q8TCT8-F1,0.122,0.955,5,79.3919030124908
AF-Q93084-F1-model_v4,Q93084,Q93084-F1,0.155,0.955,1,86.6815772294033
AF-Q96ME1-F1-model_v4,Q96ME1,Q96ME1-F1,0.109,0.955,1,73.9108566348796
AF-Q96P64-F1-model_v4,Q96P64,Q96P64-F1,0.266,0.955,2,64.1583861502347
AF-Q9BSA4-F1-model_v4,Q9BSA4,Q9BSA4-F1,0.107,0.955,1,81.8349854651163
AF-Q9BVK8-F1-model_v4,Q9BVK8,Q9BVK8-F1,0.505,0.955,2,92.5151600224593
AF-Q9BZV2-F1-model_v4,Q9BZV2,Q9BZV2-F1,0.137,0.955,2,82.1684011184545
AF-Q9H6E5-F1-model_v4,Q9H6E5,Q9H6E5-F1,0.095,0.955,3,75.8815392781316
AF-Q9HC97-F1-model_v4,Q9HC97,Q9HC97-F1,0.128,0.955,1,85.79910041841
AF-Q9NPD5-F1-model_v4,Q9NPD5,Q9NPD5-F1,0.256,0.955,3,79.4163303932378
AF-Q9NVC3-F1-model_v4,Q9NVC3,Q9NVC3-F1,0.196,0.955,1,83.74954235361
AF-Q9UFH2-F3-model_v4,Q9UFH2,Q9UFH2-F3,0.204,0.955,2,82.5808790244758
AF-Q9Y6A1-F1-model_v4,Q9Y6A1,Q9Y6A1-F1,0.151,0.955,2,88.2746337393626
AF-M0QZD8-F3-model_v4,M0QZD8,M0QZD8-F3,0.175,0.954,1,79.2763043478261
AF-O43159-F1-model_v4,O43159,O43159-F1,0.526,0.954,1,72.4115183833848
AF-O76001-F1-model_v4,O76001,O76001-F1,0.202,0.954,3,88.2012886178862
AF-P08F94-F2-model_v4,P08F94,P08F94-F2,0.291,0.954,1,84.4953962334514
AF-P0DP72-F1-model_v4,P0DP72,P0DP72-F1,0.114,0.954,1,82.2505930434783
AF-P12104-F1-model_v4,P12104,P12104-F1,0.338,0.954,1,90.2506623134328
AF-P69891-F1-model_v4,P69891,P69891-F1,0.183,0.954,1,97.2175504828797
AF-Q03001-F17-model_v4,Q03001,Q03001-F17,0.154,0.954,2,74.8493837837838
AF-Q0P6D2-F1-model_v4,Q0P6D2,Q0P6D2-F1,0.23,0.954,1,86.5609834558824
AF-Q5GH70-F1-model_v4,Q5GH70,Q5GH70-F1,0.105,0.954,3,84.9432440378961
AF-Q6GTS8-F1-model_v4,Q6GTS8,Q6GTS8-F1,0.132,0.954,1,89.5059572845156
AF-Q6P1K8-F1-model_v4,Q6P1K8,Q6P1K8-F1,0.117,0.954,1,83.9853697749196
AF-Q7Z5H4-F1-model_v4,Q7Z5H4,Q7Z5H4-F1,0.141,0.954,1,63.8363854166667
AF-Q8IZN3-F1-model_v4,Q8IZN3,Q8IZN3-F1,0.177,0.954,1,73.5973959445037
AF-Q8N9T8-F1-model_v4,Q8N9T8,Q8N9T8-F1,0.318,0.954,1,70.8510115258902
AF-Q8NG77-F1-model_v4,Q8NG77,Q8NG77-F1,0.089,0.954,2,88.1789383697813
AF-Q8NGB9-F1-model_v4,Q8NGB9,Q8NGB9-F1,0.291,0.954,1,87.634474317817
AF-Q8NGS5-F1-model_v4,Q8NGS5,Q8NGS5-F1,0.079,0.954,1,83.5041976790716
AF-Q8TDJ6-F5-model_v4,Q8TDJ6,Q8TDJ6-F5,0.068,0.954,1,65.9568377153219
AF-Q8WUU4-F1-model_v4,Q8WUU4,Q8WUU4-F1,0.174,0.954,1,58.2859466292135
AF-Q8WX94-F1-model_v4,Q8WX94,Q8WX94-F1,0.106,0.954,1,82.2552123995408
AF-Q8WY07-F1-model_v4,Q8WY07,Q8WY07-F1,0.289,0.954,2,83.9439543726236
AF-Q92503-F1-model_v4,Q92503,Q92503-F1,0.205,0.954,3,79.8977884615385
AF-Q969N2-F1-model_v4,Q969N2,Q969N2-F1,0.34,0.954,2,88.12545532831
AF-Q96KK3-F1-model_v4,Q96KK3,Q96KK3-F1,0.157,0.954,1,78.5711931956258
AF-Q96RI1-F1-model_v4,Q96RI1,Q96RI1-F1,0.437,0.954,1,69.7652944188428
AF-Q9HAW8-F1-model_v4,Q9HAW8,Q9HAW8-F1,0.189,0.954,1,91.940337773549
AF-Q9Y6R7-F8-model_v4,Q9Y6R7,Q9Y6R7-F8,0.17,0.954,3,87.0745182820662
AF-O75084-F1-model_v4,O75084,O75084-F1,0.435,0.953,3,84.1490576150067
AF-P04629-F1-model_v4,P04629,P04629-F1,0.287,0.953,2,78.9531015434606
AF-P19397-F1-model_v4,P19397,P19397-F1,0.043,0.953,1,93.4206033977739
AF-P41229-F1-model_v4,P41229,P41229-F1,0.106,0.953,1,72.5803544201136
AF-P45984-F1-model_v4,P45984,P45984-F1,0.087,0.953,1,82.507153436019
AF-P48443-F1-model_v4,P48443,P48443-F1,0.114,0.953,2,75.5323286516854
AF-P53350-F1-model_v4,P53350,P53350-F1,0.175,0.953,2,85.1698896752706
AF-Q12791-F1-model_v4,Q12791,Q12791-F1,0.15,0.953,3,76.9806680476437
AF-Q14534-F1-model_v4,Q14534,Q14534-F1,0.304,0.953,2,86.1164581947217
AF-Q14CX5-F1-model_v4,Q14CX5,Q14CX5-F1,0.1,0.953,1,82.7322695909315
AF-Q5TCH4-F1-model_v4,Q5TCH4,Q5TCH4-F1,0.292,0.953,1,90.1823963575365
AF-Q6ZS11-F1-model_v4,Q6ZS11,Q6ZS11-F1,0.063,0.953,3,66.60579138322
AF-Q76KX8-F1-model_v4,Q76KX8,Q76KX8-F1,0.348,0.953,1,67.8900776196636
AF-Q7Z3Q1-F1-model_v4,Q7Z3Q1,Q7Z3Q1-F1,0.224,0.953,3,86.7720027548209
AF-Q86T96-F1-model_v4,Q86T96,Q86T96-F1,0.077,0.953,2,57.4588040075141
AF-Q8N8A6-F1-model_v4,Q8N8A6,Q8N8A6-F1,0.229,0.953,1,74.340602078839
AF-Q8NA29-F1-model_v4,Q8NA29,Q8NA29-F1,0.233,0.953,1,80.9013797169811
AF-Q8NGD5-F1-model_v4,Q8NGD5,Q8NGD5-F1,0.466,0.953,2,83.9662129215766
AF-Q8NGE8-F1-model_v4,Q8NGE8,Q8NGE8-F1,0.48,0.953,2,87.760663204155
AF-Q96AX2-F1-model_v4,Q96AX2,Q96AX2-F1,0.074,0.953,1,83.621537578887
AF-Q96T52-F1-model_v4,Q96T52,Q96T52-F1,0.317,0.953,1,88.3641290322581
AF-Q96TA1-F1-model_v4,Q96TA1,Q96TA1-F1,0.125,0.953,2,81.1018364588613
AF-Q9BYT1-F1-model_v4,Q9BYT1,Q9BYT1-F1,0.253,0.953,2,88.0908748880263
AF-Q9UJH8-F1-model_v4,Q9UJH8,Q9UJH8-F1,0.276,0.953,2,82.8602415679125
AF-Q9Y5Y9-F1-model_v4,Q9Y5Y9,Q9Y5Y9-F1,0.081,0.953,8,67.640771211536
AF-P04839-F1-model_v4,P04839,P04839-F1,0.295,0.952,3,90.3958427209705
AF-P09543-F1-model_v4,P09543,P09543-F1,0.075,0.952,1,87.520223880597
AF-P0C7U3-F1-model_v4,P0C7U3,P0C7U3-F1,0.115,0.952,1,79.6617934782609
AF-P25391-F10-model_v4,P25391,P25391-F10,0.178,0.952,2,83.1434496753247
AF-P31689-F1-model_v4,P31689,P31689-F1,0.076,0.952,2,83.3495699267283
AF-P43116-F1-model_v4,P43116,P43116-F1,0.253,0.952,4,77.7152816648726
AF-Q02505-F10-model_v4,Q02505,Q02505-F10,0.447,0.952,3,50.3132932155683
AF-Q14739-F1-model_v4,Q14739,Q14739-F1,0.043,0.952,1,77.4102118305356
AF-Q14CZ0-F1-model_v4,Q14CZ0,Q14CZ0-F1,0.412,0.952,1,70.0215264367816
AF-Q495M3-F1-model_v4,Q495M3,Q495M3-F1,0.186,0.952,1,84.327089352595
AF-Q5BJD5-F1-model_v4,Q5BJD5,Q5BJD5-F1,0.163,0.952,2,83.7335304347826
AF-Q7L2J0-F1-model_v4,Q7L2J0,Q7L2J0-F1,0.136,0.952,1,63.6643115942029
AF-Q7Z333-F1-model_v4,Q7Z333,Q7Z333-F1,0.094,0.952,1,53.2156068955772
AF-Q86UP3-F2-model_v4,Q86UP3,Q86UP3-F2,0.078,0.952,1,57.6624785140006
AF-Q86Y34-F1-model_v4,Q86Y34,Q86Y34-F1,0.124,0.952,2,80.0391157256183
AF-Q8N5I4-F1-model_v4,Q8N5I4,Q8N5I4-F1,0.063,0.952,1,94.8139851967277
AF-Q8N8V2-F1-model_v4,Q8N8V2,Q8N8V2-F1,0.347,0.952,2,87.1525039308176
AF-Q8NH40-F1-model_v4,Q8NH40,Q8NH40-F1,0.399,0.952,1,85.3771686983877
AF-Q8WXG9-F25-model_v4,Q8WXG9,Q8WXG9-F25,0.171,0.952,2,79.8383231121282
