"","uniprotswissprot","external_gene_name","description","druggability","Fpocket_method","CP_score","PocketMiner_method","highest_score","source"
"4358","P14859","POU2F1","POU class 2 homeobox 1",0.673,"AF",0.844804761904762,"AF",0.844804761904762,"AF"
"4359","P14866","HNRNPL","heterogeneous nuclear ribonucleoprotein L",0.875,"SM",0.7719,"SM",0.875,"SM"
"4360","P14867","GABRA1","gamma-aminobutyric acid type A receptor subunit alpha1",0.772,"AF",0.566607142857143,"SM",0.772,"AF"
"4361","P14868","DARS1","aspartyl-tRNA synthetase 1",0.841,"SM",0.960961904761905,"AF",0.960961904761905,"AF"
"4362","P14902","IDO1","indoleamine 2,3-dioxygenase 1",0.991,"AF",0.887328571428571,"SM",0.991,"AF"
"4363","P14920","DAO","D-amino acid oxidase",1,"SM",0.31422380952381,"AF",1,"SM"
"4364","P14921","ETS1","ETS proto-oncogene 1, transcription factor",0.244,"SM",0.871085714285714,"AF",0.871085714285714,"AF"
"4365","P14923","JUP","junction plakoglobin",0.021,"AF",0.856371428571429,"SM",0.856371428571429,"SM"
"4366","P14927","UQCRB","ubiquinol-cytochrome c reductase binding protein",0.515,"AF",0.614147619047619,"SM",0.614147619047619,"SM"
"4367","P15018","LIF","LIF interleukin 6 family cytokine",0.527,"AF",0.407828571428571,"SM",0.527,"AF"
"4368","P15036","ETS2","ETS proto-oncogene 2, transcription factor",0.774,"AF",0.349471428571429,"SM",0.774,"AF"
"4369","P15056","BRAF","B-Raf proto-oncogene, serine/threonine kinase",0.852,"SM",0.503814285714286,"AF",0.852,"SM"
"4370","P15085","CPA1","carboxypeptidase A1",0.67,"AF",0.716309523809524,"SM",0.716309523809524,"SM"
"4371","P15086","CPB1","carboxypeptidase B1",0.67,"SM",0.406004761904762,"AF",0.67,"SM"
"4372","P15088","CPA3","carboxypeptidase A3",0.457,"AF",0.338933333333333,"AF",0.457,"AF"
"4373","P15090","FABP4","fatty acid binding protein 4",0.615,"AF",0.134409523809524,"AF",0.615,"AF"
"4374","P15104","GLUL","glutamate-ammonia ligase",0.833,"SM",0.4679,"AF",0.833,"SM"
"4375","P15121","AKR1B1","aldo-keto reductase family 1 member B",0.972,"AF",0.974195238095238,"SM",0.974195238095238,"SM"
"4376","P15144","ANPEP","alanyl aminopeptidase, membrane",0.886,"AF",0.348,"SM",0.886,"AF"
"4377","P15151","PVR","PVR cell adhesion molecule",0.688,"SM",0.870180952380952,"AF",0.870180952380952,"AF"
"4378","P15153","RAC2","Rac family small GTPase 2",0.939,"AF",0.5431,"SM",0.939,"AF"
"4379","P15169","CPN1","carboxypeptidase N subunit 1",0.213,"AF",0.975661904761905,"SM",0.975661904761905,"SM"
"4380","P15170","GSPT1","G1 to S phase transition 1",0.484,"SM",0.66312380952381,"SM",0.66312380952381,"SM"
"4381","P15172","MYOD1","myogenic differentiation 1",0.731,"AF",0.579242857142857,"AF",0.731,"AF"
"4382","P15173","MYOG","myogenin",0.561,"AF",0.428654545454545,"AF",0.561,"AF"
"4383","P15248","IL9","interleukin 9",0.433,"SM",0.694895238095238,"AF",0.694895238095238,"AF"
"4384","P15259","PGAM2","phosphoglycerate mutase 2",0.425,"SM",0.530828571428571,"AF",0.530828571428571,"AF"
"4385","P15260","IFNGR1","interferon gamma receptor 1",0.288,"SM",0.721466666666667,"SM",0.721466666666667,"SM"
"4386","P15289","ARSA","arylsulfatase A",0.13,"AF",0.85565,"AF",0.85565,"AF"
"4387","P15291","B4GALT1","beta-1,4-galactosyltransferase 1",0.804,"AF",0.883863636363636,"SM",0.883863636363636,"SM"
"4388","P15309","ACP3","acid phosphatase 3",0.31,"SM",0.825438095238095,"SM",0.825438095238095,"SM"
"4389","P15311","EZR","ezrin",0.972,"AF",0.476995238095238,"AF",0.972,"AF"
"4390","P15313","ATP6V1B1","ATPase H+ transporting V1 subunit B1",0.797,"SM",0.583136363636364,"AF",0.797,"SM"
"4391","P15328","FOLR1","folate receptor alpha",0.662,"AF",0.9073,"AF",0.9073,"AF"
"4392","P15336","ATF2","activating transcription factor 2",0.837,"SM",0.654723809523809,"AF",0.837,"SM"
"4393","P15374","UCHL3","ubiquitin C-terminal hydrolase L3",0.634,"AF",0.350371428571429,"SM",0.634,"AF"
"4394","P15382","KCNE1","potassium voltage-gated channel subfamily E regulatory subunit 1",0.483,"AF",0.948286666666667,"AF",0.948286666666667,"AF"
"4395","P15391","CD19","CD19 molecule",0.629,"SM",0.745780952380952,"AF",0.745780952380952,"AF"
"4396","P15407","FOSL1","FOS like 1, AP-1 transcription factor subunit",0.176,"AF",0.0536436363636364,"AF",0.176,"AF"
"4397","P15408","FOSL2","FOS like 2, AP-1 transcription factor subunit",0.352,"AF",0.731590476190476,"AF",0.731590476190476,"AF"
"4398","P15421","GYPE","glycophorin E (MNS blood group)",0.594,"AF",0,NA,0.594,"AF"
"4399","P15428","HPGD","15-hydroxyprostaglandin dehydrogenase",0.99,"SM",0.240038095238095,"AF",0.99,"SM"
"4400","P15498","VAV1","vav guanine nucleotide exchange factor 1",0.602,"AF",0.726338095238095,"AF",0.726338095238095,"AF"
"4401","P15509","CSF2RA","colony stimulating factor 2 receptor subunit alpha",0.172,"SM",0.52048,"AF",0.52048,"AF"
"4402","P15514","AREG","amphiregulin",0.951,"AF",0.869280952380952,"AF",0.951,"AF"
"4403","P15515","HTN1","histatin 1",0.14,"AF",0,NA,0.14,"AF"
"4404","P15516","HTN3","histatin 3",0.037,"AF",0,NA,0.037,"AF"
"4405","P15529","CD46","CD46 molecule",0.579,"AF",0.295190476190476,"AF",0.579,"AF"
"4406","P15531","NME1","NME/NM23 nucleoside diphosphate kinase 1",0.471,"SM",0.658580952380952,"SM",0.658580952380952,"SM"
"4407","P15538","CYP11B1","cytochrome P450 family 11 subfamily B member 1",0.995,"AF",0.149590476190476,"SM",0.995,"AF"
"4408","P15559","NQO1","NAD(P)H quinone dehydrogenase 1",0.963,"AF",0.39322380952381,"SM",0.963,"AF"
"4409","P15586","GNS","glucosamine (N-acetyl)-6-sulfatase",0.418,"AF",0.943172727272727,"AF",0.943172727272727,"AF"
"4410","P15621","ZNF44","zinc finger protein 44",0.856,"AF",0.2504,"AF",0.856,"AF"
"4411","P15622","ZNF250","zinc finger protein 250",0.153,"AF",0.59541052631579,"AF",0.59541052631579,"AF"
"4412","P15692","VEGFA","vascular endothelial growth factor A",0.198,"AF",0.719904761904762,"AF",0.719904761904762,"AF"
"4413","P15735","PHKG2","phosphorylase kinase catalytic subunit gamma 2",0.947,"AF",0.531542857142857,"SM",0.947,"AF"
"4414","P15812","CD1E","CD1e molecule",0.998,"AF",0.83747619047619,"SM",0.998,"AF"
"4415","P15813","CD1D","CD1d molecule",0.998,"SM",0.322033333333333,"AF",0.998,"SM"
"4416","P15814","IGLL1","immunoglobulin lambda like polypeptide 1",0.233,"SM",0.73007619047619,"SM",0.73007619047619,"SM"
"4417","P15822","HIVEP1","HIVEP zinc finger 1",0.144,"SM",0,NA,0.144,"SM"
"4418","P15848","ARSB","arylsulfatase B",0.434,"SM",0.856033333333333,"SM",0.856033333333333,"SM"
"4419","P15863","PAX1","paired box 1",0.535,"AF",0.8743,"AF",0.8743,"AF"
"4420","P15880","RPS2","ribosomal protein S2",0.296,"AF",0.815545454545455,"SM",0.815545454545455,"SM"
"4421","P15882","CHN1","chimerin 1",0.555,"SM",0.701154545454545,"SM",0.701154545454545,"SM"
"4422","P15884","TCF4","transcription factor 4",0.291,"AF",0.105661904761905,"AF",0.291,"AF"
"4423","P15907","ST6GAL1","ST6 beta-galactoside alpha-2,6-sialyltransferase 1",0.205,"SM",0.498816666666667,"AF",0.498816666666667,"AF"
"4424","P15918","RAG1","recombination activating 1",0.838,"AF",0.174127272727273,"SM",0.838,"AF"
"4425","P15923","TCF3","transcription factor 3",0.326,"AF",0.939171428571429,"AF",0.939171428571429,"AF"
"4426","P15924","DSP","desmoplakin",0.375,"SM",0.990714285714286,"AF",0.990714285714286,"AF"
"4427","P15927","RPA2","replication protein A2",0.511,"SM",0.847309523809524,"SM",0.847309523809524,"SM"
"4428","P15941","MUC1","mucin 1, cell surface associated",0.291,"SM",0,NA,0.291,"SM"
"4429","P15954","COX7C","cytochrome c oxidase subunit 7C",0.871,"SM",0,NA,0.871,"SM"
"4430","P15976","GATA1","GATA binding protein 1",0.194,"SM",0.462981818181818,"AF",0.462981818181818,"AF"
"4431","P16035","TIMP2","TIMP metallopeptidase inhibitor 2",0.473,"SM",0.624080952380952,"AF",0.624080952380952,"AF"
"4432","P16050","ALOX15","arachidonate 15-lipoxygenase",0.941,"SM",0.127140909090909,"AF",0.941,"SM"
"4433","P16066","NPR1","natriuretic peptide receptor 1",0.713,"AF",0.904261904761905,"AF",0.904261904761905,"AF"
"4434","P16070","CD44","CD44 molecule (Indian blood group)",0.086,"SM",0.985176190476191,"SM",0.985176190476191,"SM"
"4435","P16083","NQO2","N-ribosyldihydronicotinamide:quinone dehydrogenase 2",0.618,"SM",0.176204761904762,"AF",0.618,"SM"
"4436","P16104","H2AX","H2A.X variant histone",0.922,"SM",0.836328571428571,"SM",0.922,"SM"
"4437","P16109","SELP","selectin P",0.766,"AF",0.939380952380952,"AF",0.939380952380952,"AF"
"4438","P16112","ACAN","aggrecan",1,"AF",0.752366666666667,"SM",1,"AF"
"4439","P16118","PFKFB1","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",0.959,"AF",0.3644,"SM",0.959,"AF"
"4440","P16144","ITGB4","integrin subunit beta 4",0.505,"AF",0.234314285714286,"AF",0.505,"AF"
"4441","P16150","SPN","sialophorin",0.735,"AF",0.315345454545455,"AF",0.735,"AF"
"4442","P16152","CBR1","carbonyl reductase 1",0.473,"AF",0.673916666666667,"AF",0.673916666666667,"AF"
"4443","P16157","ANK1","ankyrin 1",0.659,"SM",0.322319047619048,"AF",0.659,"SM"
"4444","P16219","ACADS","acyl-CoA dehydrogenase short chain",0.937,"AF",0.801852380952381,"SM",0.937,"AF"
"4445","P16220","CREB1","cAMP responsive element binding protein 1",0.81,"SM",0.263138095238095,"AF",0.81,"SM"
"4446","P16233","PNLIP","pancreatic lipase",0.927,"SM",0.456366666666667,"SM",0.927,"SM"
"4447","P16234","PDGFRA","platelet derived growth factor receptor alpha",0.287,"AF",0.67227619047619,"AF",0.67227619047619,"AF"
"4448","P16260","SLC25A16","solute carrier family 25 member 16",0.604,"AF",0.51442380952381,"AF",0.604,"AF"
"4449","P16278","GLB1","galactosidase beta 1",0.699,"AF",0.782480952380952,"AF",0.782480952380952,"AF"
"4450","P16284","PECAM1","platelet and endothelial cell adhesion molecule 1",0.078,"AF",0.878809523809524,"AF",0.878809523809524,"AF"
"4451","P16298","PPP3CB","protein phosphatase 3 catalytic subunit beta",0.672,"SM",0.231990476190476,"AF",0.672,"SM"
"4452","P16333","NCK1","NCK adaptor protein 1",0.046,"AF",0.718195238095238,"AF",0.718195238095238,"AF"
"4453","P16383","GCFC2","GC-rich sequence DNA-binding factor 2",0.242,"AF",0.694442857142857,"AF",0.694442857142857,"AF"
"4454","P16389","KCNA2","potassium voltage-gated channel subfamily A member 2",0.414,"AF",0.900338095238095,"SM",0.900338095238095,"SM"
"4455","P16401","H1-5","H1.5 linker histone, cluster member",0.28,"AF",0.683066666666667,"AF",0.683066666666667,"AF"
"4456","P16402","H1-3","H1.3 linker histone, cluster member",0.165,"AF",0.694452380952381,"AF",0.694452380952381,"AF"
"4457","P16403","H1-2","H1.2 linker histone, cluster member",0.721,"SM",0.507642857142857,"AF",0.721,"SM"
"4458","P16410","CTLA4","cytotoxic T-lymphocyte associated protein 4",0.35,"SM",0.956514285714286,"SM",0.956514285714286,"SM"
"4459","P16415","ZNF823","zinc finger protein 823",0.774,"AF",0.653890909090909,"AF",0.774,"AF"
"4460","P16422","EPCAM","epithelial cell adhesion molecule",0.775,"SM",0.24824,"SM",0.775,"SM"
"4461","P16435","POR","cytochrome p450 oxidoreductase",0.674,"AF",0.406128571428571,"AF",0.674,"AF"
"4462","P16442",NA,NA,0.65,"SM",0.751147619047619,"AF",0.751147619047619,"AF"
"4463","P16444","DPEP1","dipeptidase 1",0.323,"SM",0.924466666666667,"SM",0.924466666666667,"SM"
"4464","P16452","EPB42","erythrocyte membrane protein band 4.2",0.775,"AF",0.910809523809524,"SM",0.910809523809524,"SM"
"4465","P16455","MGMT","O-6-methylguanine-DNA methyltransferase",0.796,"SM",0.3405,"AF",0.796,"SM"
"4466","P16471","PRLR","prolactin receptor",0.955,"AF",0.4951,"SM",0.955,"AF"
"4467","P16473","TSHR","thyroid stimulating hormone receptor",0.444,"SM",0.792061538461538,"SM",0.792061538461538,"SM"
"4468","P16499","PDE6A","phosphodiesterase 6A",0.943,"SM",0.212952380952381,"AF",0.943,"SM"
"4469","P16519","PCSK2","proprotein convertase subtilisin/kexin type 2",0.678,"AF",0.580285714285714,"AF",0.678,"AF"
"4470","P16520","GNB3","G protein subunit beta 3",0.903,"SM",0.641019047619048,"AF",0.903,"SM"
"4471","P16562","CRISP2","cysteine rich secretory protein 2",0.147,"AF",0.896652380952381,"AF",0.896652380952381,"AF"
"4472","P16581","SELE","selectin E",0.359,"SM",0.704223809523809,"AF",0.704223809523809,"AF"
"4473","P16591","FER","FER tyrosine kinase",0.652,"AF",0.583380952380952,"SM",0.652,"AF"
"4474","P16615","ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2",0.679,"AF",0.590395238095238,"SM",0.679,"AF"
"4475","P16619","CCL3L3","C-C motif chemokine ligand 3 like 3",0.62,"SM",0.284666666666667,"AF",0.62,"SM"
"4476","P16662","UGT2B7","UDP glucuronosyltransferase family 2 member B7",0.987,"AF",0.772614285714286,"AF",0.987,"AF"
"4477","P16671","CD36","CD36 molecule",1,"AF",0.337966666666667,"SM",1,"AF"
"4478","P16860","NPPB","natriuretic peptide B",0.475,"AF",0.670438095238095,"AF",0.670438095238095,"AF"
"4479","P16870","CPE","carboxypeptidase E",0.263,"AF",0.880561538461539,"AF",0.880561538461539,"AF"
"4480","P16871","IL7R","interleukin 7 receptor",0.714,"AF",0.8159,"AF",0.8159,"AF"
"4481","P16885","PLCG2","phospholipase C gamma 2",0.937,"SM",0.131832380952381,"SM",0.937,"SM"
"4482","P16930","FAH","fumarylacetoacetate hydrolase",0.948,"SM",0.804580952380952,"AF",0.948,"SM"
"4483","P16949","STMN1","stathmin 1",0.402,"AF",0.268585714285714,"AF",0.402,"AF"
"4484","P16989","YBX3","Y-box binding protein 3",0.674,"AF",0.21047619047619,"AF",0.674,"AF"
"4485","P17010","ZFX","zinc finger protein X-linked",0.912,"AF",0.422476190476191,"AF",0.912,"AF"
"4486","P17014","ZNF12","zinc finger protein 12",0.715,"AF",0.819414285714286,"AF",0.819414285714286,"AF"
"4487","P17017","ZNF14","zinc finger protein 14",0.64,"AF",0.469245454545455,"AF",0.64,"AF"
"4488","P17019","ZNF708","zinc finger protein 708",0.662,"AF",0.9671,"AF",0.9671,"AF"
"4489","P17020","ZNF16","zinc finger protein 16",0.359,"AF",0.356538095238095,"AF",0.359,"AF"
"4490","P17021","ZNF17","zinc finger protein 17",0.726,"AF",0.700385714285714,"AF",0.726,"AF"
"4491","P17022","ZNF18","zinc finger protein 18",0.612,"AF",0.545742857142857,"AF",0.612,"AF"
"4492","P17023","ZNF19","zinc finger protein 19",0.436,"AF",0.714227272727273,"AF",0.714227272727273,"AF"
"4493","P17024","ZNF20","zinc finger protein 20",0.805,"AF",0.868557142857143,"AF",0.868557142857143,"AF"
"4494","P17025","ZNF182","zinc finger protein 182",0.386,"AF",0.489228571428571,"AF",0.489228571428571,"AF"
"4495","P17026","ZNF22","zinc finger protein 22",0.511,"AF",0.969538095238095,"AF",0.969538095238095,"AF"
"4496","P17027","ZNF23","zinc finger protein 23",0.795,"AF",0.849223809523809,"AF",0.849223809523809,"AF"
"4497","P17028","ZNF24","zinc finger protein 24",0.534,"SM",0.816876470588235,"SM",0.816876470588235,"SM"
"4498","P17029","ZKSCAN1","zinc finger with KRAB and SCAN domains 1",0.602,"AF",0.0817738095238095,"AF",0.602,"AF"
"4499","P17030","ZNF25","zinc finger protein 25",0.276,"AF",0.631371428571429,"AF",0.631371428571429,"AF"
"4500","P17031","ZNF26","zinc finger protein 26",0.591,"AF",0.12472380952381,"AF",0.591,"AF"
"4501","P17032","ZNF37A","zinc finger protein 37A",0.362,"AF",0.727442857142857,"AF",0.727442857142857,"AF"
"4502","P17035","ZNF28","zinc finger protein 28",0.113,"AF",0.411919047619048,"AF",0.411919047619048,"AF"
"4503","P17036","ZNF3","zinc finger protein 3",0.618,"AF",0.815361904761905,"AF",0.815361904761905,"AF"
"4504","P17038","ZNF43","zinc finger protein 43",0.784,"AF",0.477257142857143,"AF",0.784,"AF"
"4505","P17039","ZNF30","zinc finger protein 30",0.672,"AF",0.982336363636364,"AF",0.982336363636364,"AF"
"4506","P17040","ZSCAN20","zinc finger and SCAN domain containing 20",0.697,"AF",0.84375,"SM",0.84375,"SM"
"4507","P17041","ZNF32","zinc finger protein 32",0.982,"AF",0.285109090909091,"AF",0.982,"AF"
"4508","P17050","NAGA","alpha-N-acetylgalactosaminidase",0.273,"SM",0.617566666666667,"SM",0.617566666666667,"SM"
"4509","P17066","HSPA6","heat shock protein family A (Hsp70) member 6",0.452,"AF",0.244604761904762,"AF",0.452,"AF"
"4510","P17081","RHOQ","ras homolog family member Q",0.758,"SM",0.323109523809524,"AF",0.758,"SM"
"4511","P17096","HMGA1","high mobility group AT-hook 1",0.181,"AF",0.639428571428571,"AF",0.639428571428571,"AF"
"4512","P17097","ZNF7","zinc finger protein 7",0.799,"AF",0.540119047619048,"AF",0.799,"AF"
"4513","P17098","ZNF8","zinc finger protein 8",0.313,"AF",0.855980952380952,"AF",0.855980952380952,"AF"
"4514","P17152","TMEM11","transmembrane protein 11",0.307,"AF",0.281957142857143,"AF",0.307,"AF"
"4515","P17174","GOT1","glutamic-oxaloacetic transaminase 1",0.868,"SM",0.645714285714286,"SM",0.868,"SM"
"4516","P17181","IFNAR1","interferon alpha and beta receptor subunit 1",0.665,"SM",0.659109523809524,"AF",0.665,"SM"
"4517","P17213","BPI","bactericidal permeability increasing protein",0.991,"AF",0.140450476190476,"AF",0.991,"AF"
"4518","P17252","PRKCA","protein kinase C alpha",0.666,"AF",0.975033333333333,"AF",0.975033333333333,"AF"
"4519","P17275","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit",0.415,"AF",0.0816923809523809,"AF",0.415,"AF"
"4520","P17301","ITGA2","integrin subunit alpha 2",0.222,"AF",0.562,"AF",0.562,"AF"
"4521","P17302","GJA1","gap junction protein alpha 1",0.955,"AF",0.263418181818182,"AF",0.955,"AF"
"4522","P17342","NPR3","natriuretic peptide receptor 3",0.643,"SM",0.858335714285714,"SM",0.858335714285714,"SM"
"4523","P17405","SMPD1","sphingomyelin phosphodiesterase 1",0.944,"SM",0.264538095238095,"SM",0.944,"SM"
"4524","P17480","UBTF","upstream binding transcription factor",0.864,"AF",0.565314285714286,"AF",0.864,"AF"
"4525","P17481","HOXB8","homeobox B8",0.241,"AF",0.638771428571429,"AF",0.638771428571429,"AF"
"4526","P17482","HOXB9","homeobox B9",0.341,"AF",0.782042857142857,"AF",0.782042857142857,"AF"
"4527","P17483","HOXB4","homeobox B4",0.307,"AF",0.8752,"AF",0.8752,"AF"
"4528","P17509","HOXB6","homeobox B6",0.426,"AF",0.704757142857143,"SM",0.704757142857143,"SM"
"4529","P17516","AKR1C4","aldo-keto reductase family 1 member C4",0.91,"AF",0.722457142857143,"AF",0.91,"AF"
"4530","P17535","JUND","JunD proto-oncogene, AP-1 transcription factor subunit",0.656,"AF",0.386961904761905,"AF",0.656,"AF"
"4531","P17538","CTRB1","chymotrypsinogen B1",0.193,"AF",0.701015384615385,"SM",0.701015384615385,"SM"
"4532","P17540","CKMT2","creatine kinase, mitochondrial 2",0.594,"SM",0.85295,"AF",0.85295,"AF"
"4533","P17542","TAL1","TAL bHLH transcription factor 1, erythroid differentiation factor",0.554,"SM",0.433166666666667,"AF",0.554,"SM"
"4534","P17544","ATF7","activating transcription factor 7",0.476,"AF",0.0574019047619048,"AF",0.476,"AF"
"4535","P17568","NDUFB7","NADH:ubiquinone oxidoreductase subunit B7",0.753,"AF",0.565704761904762,"AF",0.753,"AF"
"4536","P17600","SYN1","synapsin I",0.929,"SM",0.863990476190476,"SM",0.929,"SM"
"4537","P17612","PRKACA","protein kinase cAMP-activated catalytic subunit alpha",0.461,"SM",0.914895238095238,"SM",0.914895238095238,"SM"
"4538","P17643","TYRP1","tyrosinase related protein 1",0.393,"SM",0.693095238095238,"SM",0.693095238095238,"SM"
"4539","P17655","CAPN2","calpain 2",0.621,"SM",0.702157142857143,"SM",0.702157142857143,"SM"
"4540","P17658","KCNA6","potassium voltage-gated channel subfamily A member 6",0.761,"SM",0.660804761904762,"AF",0.761,"SM"
"4541","P17661","DES","desmin",0.457,"SM",0.330510526315789,"SM",0.457,"SM"
"4542","P17676","CEBPB","CCAAT enhancer binding protein beta",0.478,"AF",0.918880952380952,"AF",0.918880952380952,"AF"
"4543","P17677","GAP43","growth associated protein 43",0.498,"AF",0.7913,"AF",0.7913,"AF"
"4544","P17693","HLA-G","major histocompatibility complex, class I, G",0.614,"SM",0.238509090909091,"SM",0.614,"SM"
"4545","P17706","PTPN2","protein tyrosine phosphatase non-receptor type 2",0.937,"SM",0.948942857142857,"AF",0.948942857142857,"AF"
"4546","P17707","AMD1","adenosylmethionine decarboxylase 1",0.582,"SM",0.29712380952381,"SM",0.582,"SM"
"4547","P17735","TAT","tyrosine aminotransferase",0.755,"AF",0.804942857142857,"AF",0.804942857142857,"AF"
"4548","P17752","TPH1","tryptophan hydroxylase 1",0.985,"AF",0.13629380952381,"AF",0.985,"AF"
"4549","P17787","CHRNB2","cholinergic receptor nicotinic beta 2 subunit",0.691,"AF",0.892195238095238,"SM",0.892195238095238,"SM"
"4550","P17812","CTPS1","CTP synthase 1",0.605,"SM",0.121040952380952,"AF",0.605,"SM"
"4551","P17813","ENG","endoglin",0.328,"SM",0.625276190476191,"AF",0.625276190476191,"AF"
"4552","P17844","DDX5","DEAD-box helicase 5",0.311,"SM",0.398618181818182,"SM",0.398618181818182,"SM"
"4553","P17858","PFKL","phosphofructokinase, liver type",0.973,"SM",0.511252380952381,"AF",0.973,"SM"
"4554","P17861","XBP1","X-box binding protein 1",0.362,"AF",0.987771428571429,"AF",0.987771428571429,"AF"
"4555","P17900","GM2A","ganglioside GM2 activator",0.896,"AF",0.446780952380952,"AF",0.896,"AF"
"4556","P17927","CR1","complement C3b/C4b receptor 1 (Knops blood group)",0.694,"AF",0.435063636363636,"SM",0.694,"AF"
"4557","P17931","LGALS3","galectin 3",0.713,"AF",0.863454545454545,"SM",0.863454545454545,"SM"
"4558","P17936","IGFBP3","insulin like growth factor binding protein 3",0.767,"SM",0.567919047619048,"AF",0.767,"SM"
"4559","P17947","SPI1","Spi-1 proto-oncogene",0.287,"AF",0.868180952380952,"AF",0.868180952380952,"AF"
"4560","P17948","FLT1","fms related receptor tyrosine kinase 1",0.877,"AF",0.520390476190476,"AF",0.877,"AF"
"4561","P17980","PSMC3","proteasome 26S subunit, ATPase 3",0.804,"AF",0.5742,"SM",0.804,"AF"
"4562","P17987","TCP1","t-complex 1",0.886,"AF",0.865161904761905,"AF",0.886,"AF"
"4563","P18031","PTPN1","protein tyrosine phosphatase non-receptor type 1",0.839,"SM",0.519690476190476,"AF",0.839,"SM"
"4564","P18054","ALOX12","arachidonate 12-lipoxygenase, 12S type",0.943,"SM",0.404890476190476,"AF",0.943,"SM"
"4565","P18065","IGFBP2","insulin like growth factor binding protein 2",0.647,"AF",0.527771428571429,"AF",0.647,"AF"
"4566","P18074","ERCC2","ERCC excision repair 2, TFIIH core complex helicase subunit",0.945,"SM",0.518838095238095,"SM",0.945,"SM"
"4567","P18075","BMP7","bone morphogenetic protein 7",0.814,"AF",0.878038095238095,"AF",0.878038095238095,"AF"
"4568","P18077","RPL35A","ribosomal protein L35a",0.129,"AF",0.834827272727273,"SM",0.834827272727273,"SM"
"4569","P18084","ITGB5","integrin subunit beta 5",0.19,"AF",0.682842857142857,"AF",0.682842857142857,"AF"
"4570","P18085","ARF4","ADP ribosylation factor 4",0.412,"AF",0.860753846153846,"SM",0.860753846153846,"SM"
"4571","P18089","ADRA2B","adrenoceptor alpha 2B",0.706,"AF",0.902780952380952,"AF",0.902780952380952,"AF"
"4572","P18124","RPL7","ribosomal protein L7",0.607,"SM",0.946938095238095,"AF",0.946938095238095,"AF"
"4573","P18146","EGR1","early growth response 1",0.455,"SM",0.823009523809524,"AF",0.823009523809524,"AF"
"4574","P18206","VCL","vinculin",0.371,"SM",0.135627272727273,"SM",0.371,"SM"
"4575","P18405","SRD5A1","steroid 5 alpha-reductase 1",0.998,"AF",0.2793,"AF",0.998,"AF"
"4576","P18428","LBP","lipopolysaccharide binding protein",0.997,"SM",0.572754545454545,"AF",0.997,"SM"
"4577","P18433","PTPRA","protein tyrosine phosphatase receptor type A",0.807,"AF",0.316442857142857,"AF",0.807,"AF"
"4578","P18440","NAT1","N-acetyltransferase 1",0.551,"AF",0.937404761904762,"SM",0.937404761904762,"SM"
"4579","P18505","GABRB1","gamma-aminobutyric acid type A receptor subunit beta1",0.41,"AF",0.908228571428571,"AF",0.908228571428571,"AF"
"4580","P18507","GABRG2","gamma-aminobutyric acid type A receptor subunit gamma2",0.898,"AF",0.168219047619048,"SM",0.898,"AF"
"4581","P18509","ADCYAP1","adenylate cyclase activating polypeptide 1",0.123,"AF",0.856128571428571,"AF",0.856128571428571,"AF"
"4582","P18510","IL1RN","interleukin 1 receptor antagonist",0.769,"SM",0.766880952380952,"SM",0.769,"SM"
"4583","P18545","PDE6G","phosphodiesterase 6G",0.284,"SM",0.457790476190476,"AF",0.457790476190476,"AF"
"4584","P18564","ITGB6","integrin subunit beta 6",0.481,"AF",0.637257142857143,"SM",0.637257142857143,"SM"
"4585","P18577","RHCE","Rh blood group CcEe antigens",0.897,"AF",0.9173,"AF",0.9173,"AF"
"4586","P18615","NELFE","negative elongation factor complex member E",0.837,"AF",0.282890909090909,"AF",0.837,"AF"
"4587","P18621","RPL17","ribosomal protein L17",0.502,"SM",0.79447619047619,"AF",0.79447619047619,"AF"
"4588","P18627","LAG3","lymphocyte activating 3",0.302,"SM",0.747790476190476,"SM",0.747790476190476,"SM"
"4589","P18669","PGAM1","phosphoglycerate mutase 1",0.552,"SM",0.130019047619048,"AF",0.552,"SM"
"4590","P18754","RCC1","regulator of chromosome condensation 1",0.242,"SM",0.690566666666667,"AF",0.690566666666667,"AF"
"4591","P18825","ADRA2C","adrenoceptor alpha 2C",0.879,"AF",0.5724,"AF",0.879,"AF"
"4592","P18827","SDC1","syndecan 1",0.43,"AF",0.537366666666667,"AF",0.537366666666667,"AF"
"4593","P18846","ATF1","activating transcription factor 1",0.339,"AF",0.781518181818182,"AF",0.781518181818182,"AF"
"4594","P18847","ATF3","activating transcription factor 3",0.118,"AF",0.239804761904762,"AF",0.239804761904762,"AF"
"4595","P18848","ATF4","activating transcription factor 4",0.742,"AF",0.71537619047619,"AF",0.742,"AF"
"4596","P18850","ATF6","activating transcription factor 6",0.523,"AF",0.9142,"AF",0.9142,"AF"
"4597","P18858","LIG1","DNA ligase 1",0.048,"AF",0.905495238095238,"SM",0.905495238095238,"SM"
"4598","P18859","ATP5PF","ATP synthase peripheral stalk subunit F6",0.625,"AF",0.813735294117647,"AF",0.813735294117647,"AF"
"4599","P18887","XRCC1","X-ray repair cross complementing 1",0.519,"SM",0.6944,"SM",0.6944,"SM"
"4600","P19012","KRT15","keratin 15",0.513,"AF",0.776285714285714,"AF",0.776285714285714,"AF"
