"","uniprotswissprot","hgnc_symbol","Prediction_Score","Prediction_Score_after_100","Prediction_Score_after_1000","Label","validation"
"3203","Q8TCY5","MRAP",0.3871057,0.39109,0.386391,"0","0"
"3204","P25208","NFYB",0.3870993,0.37679,0.384057,"0","0"
"3205","Q9UKY4","POMT2",0.3869144,0.3843,0.387105,"0","0"
"3206","P08949","NMB",0.3868467,0.38415,0.387574,"0","0"
"3207","Q06141","REG3A",0.3868115,0.37657,0.388626,"0","0"
"3208","Q92918","MAP4K1",0.3868002,0.38368,0.389026,"0","0"
"3209","O00506","STK25",0.3867407,0.37469,0.385323,"0","0"
"3210","P03891","MT-ND2",0.3867038,0.38577,0.386791,"0","0"
"3211","Q6IAA8","LAMTOR1",0.3866821,0.37652,0.384791,"0","0"
"3212","Q9UNM6","PSMD13",0.3866278,0.38237,0.389368,"0","0"
"3213","Q8WXG1","RSAD2",0.3866051,0.38688,0.390547,"0","0"
"3214","P15941","MUC1",0.3865244,0.36848,0.385671,"0","1"
"3215","O60716","CTNND1",0.386183,0.37999,0.380253,"0","0"
"3216","P35998","PSMC2",0.3860302,0.37596,0.383392,"0","0"
"3217","Q86YL7","PDPN",0.3859369,0.38335,0.385761,"0","0"
"3218","Q9GZX7","AICDA",0.385868,0.37562,0.388637,"0","0"
"3219","Q13185","CBX3",0.3858321,0.37128,0.382024,"0","0"
"3220","O95983","MBD3",0.3856134,0.3725,0.382706,"0","0"
"3221","P18283","GPX2",0.3855122,0.38537,0.390241,"0","0"
"3222","O14686","KMT2D",0.3853617,0.38851,0.384398,"0","0"
"3223","Q9UJA2","CRLS1",0.3853563,0.38106,0.386094,"0","0"
"3224","O95714","HERC2",0.3853337,0.38249,0.384747,"0","0"
"3225","Q99972","MYOC",0.3853216,0.3785,0.383949,"0","0"
"3226","Q9NP59","SLC40A1",0.3851495,0.38768,0.387982,"0","0"
"3227","Q96RR4","CAMKK2",0.3850196,0.37757,0.385567,"0","0"
"3228","P20916","MAG",0.3848575,0.38263,0.386964,"0","0"
"3229","P20382","PMCH",0.3847467,0.37415,0.384811,"0","0"
"3230","Q96DT5","DNAH11",0.384746,0.39057,0.38333,"0","0"
"3231","Q12967","RALGDS",0.3847314,0.38581,0.382528,"0","0"
"3232","Q9Y4A5","TRRAP",0.3846623,0.38358,0.383105,"0","0"
"3233","Q14694","USP10",0.3846377,0.37299,0.384451,"0","0"
"3234","P23921","RRM1",0.3846076,0.37945,0.383534,"0","0"
"3235","P49755","TMED10",0.3846018,0.38294,0.386805,"0","0"
"3236","O75131","CPNE3",0.3845155,0.37403,0.384912,"0","0"
"3237","Q9UFF9","CNOT8",0.3842913,0.39289,0.385854,"0","0"
"3238","P09172","DBH",0.384269,0.3806,0.385982,"0","0"
"3239","Q12891","HYAL2",0.3841794,0.37847,0.386164,"0","0"
"3240","P09493","TPM1",0.3839497,0.37529,0.37822,"0","0"
"3241","O94973","AP2A2",0.3834898,0.37772,0.382417,"0","0"
"3242","Q92813","DIO2",0.3834465,0.38515,0.387959,"0","0"
"3243","Q8NFM7","IL17RD",0.3832884,0.37972,0.385399,"0","0"
"3244","Q7RTX7","CATSPER4",0.3831303,0.38318,0.382349,"0","0"
"3245","P04201","MAS1",0.3830837,0.37548,0.384017,"0","0"
"3246","P15502","ELN",0.3830801,0.38319,0.381989,"0","0"
"3247","Q13268","DHRS2",0.3829967,0.38155,0.386403,"0","0"
"3248","Q9P289","STK26",0.382887,0.37366,0.382595,"0","0"
"3249","P58743","SLC26A5",0.3828364,0.37905,0.381663,"0","0"
"3250","Q9Y2X7","GIT1",0.3826649,0.36738,0.382278,"0","0"
"3251","P00746","CFD",0.382448,0.38225,0.380237,"0","0"
"3252","O43543","XRCC2",0.3823939,0.37314,0.383816,"0","0"
"3253","Q9UHB4","NDOR1",0.3823333,0.37325,0.384889,"0","0"
"3254","Q6ZN66","GBP6",0.3822062,0.37464,0.38246,"0","0"
"3255","Q9UPR5","SLC8A2",0.3820168,0.37819,0.382379,"0","0"
"3256","P0C7T3","OR56A5",0.3819898,0.37391,0.383024,"0","0"
"3257","P33032","MC5R",0.3819373,0.37725,0.384704,"0","0"
"3258","O75610","LEFTY1",0.3819273,0.38264,0.383391,"0","0"
"3259","Q8WYB5","KAT6B",0.3818307,0.37531,0.37799,"0","0"
"3260","O75955","FLOT1",0.3817769,0.3688,0.377819,"0","0"
"3261","Q15836","VAMP3",0.3817355,0.37531,0.381544,"0","0"
"3262","P05156","CFI",0.3815177,0.37979,0.383662,"0","0"
"3263","Q14449","GRB14",0.3814151,0.38024,0.383843,"0","0"
"3264","Q9Y2I7","PIKFYVE",0.381411,0.37553,0.37786,"0","0"
"3265","Q8WW38","ZFPM2",0.3811769,0.38164,0.379733,"0","0"
"3266","O00560","SDCBP",0.3811378,0.37273,0.380152,"0","0"
"3267","Q9NYA4","MTMR4",0.3809439,0.38185,0.382529,"0","0"
"3268","O60609","GFRA3",0.380865,0.38392,0.388047,"0","0"
"3269","P28827","PTPRM",0.3807556,0.37683,0.381119,"0","0"
"3270","Q8IZJ1","UNC5B",0.3807039,0.37619,0.381586,"0","0"
"3271","Q9HC23","PROK2",0.3807003,0.37644,0.383128,"0","0"
"3272","Q8TDU6","GPBAR1",0.3806566,0.37942,0.380768,"0","0"
"3273","Q86YV6","MYLK4",0.3806176,0.38025,0.376702,"0","0"
"3274","P21283","ATP6V1C1",0.3806162,0.37105,0.38086,"0","0"
"3275","O15550","KDM6A",0.3805439,0.37683,0.377137,"0","0"
"3276","O00186","STXBP3",0.380434,0.36771,0.379205,"0","0"
"3277","Q14554","PDIA5",0.3803082,0.37248,0.382546,"0","0"
"3278","P20292","ALOX5AP",0.3802894,0.37466,0.382746,"0","0"
"3279","P32189","GK",0.3800737,0.38764,0.379092,"0","0"
"3280","Q8NGH8","OR56A4",0.3800562,0.37157,0.381687,"0","0"
"3281","P62195","PSMC5",0.3798623,0.36991,0.378112,"0","0"
"3282","Q9NRD5","PICK1",0.3796474,0.37816,0.380511,"0","0"
"3283","Q14012","CAMK1",0.3795759,0.37574,0.380069,"0","0"
"3284","P63162","SNRPN",0.3795516,0.37378,0.379124,"0","0"
"3285","Q15811","ITSN1",0.3794731,0.35885,0.376186,"0","0"
"3286","Q4VCS5","AMOT",0.3794679,0.37793,0.379464,"0","0"
"3287","Q9HCU4","CELSR2",0.3794302,0.37983,0.380345,"0","0"
"3288","O60662","KLHL41",0.3794297,0.37812,0.382166,"0","0"
"3289","Q8NBW4","SLC38A9",0.3793045,0.36945,0.378979,"0","0"
"3290","Q5EB52","MEST",0.3792163,0.37401,0.378726,"0","0"
"3291","P51153","RAB13",0.3791828,0.36735,0.377565,"0","0"
"3292","P63167","DYNLL1",0.3790788,0.38199,0.377246,"0","0"
"3293","Q06889","EGR3",0.3790234,0.3774,0.380497,"0","0"
"3294","P01833","PIGR",0.3789855,0.37897,0.380846,"0","0"
"3295","O43181","NDUFS4",0.3788584,0.37014,0.37834,"0","0"
"3296","P12838","DEFA4",0.3787985,0.37675,0.380123,"0","0"
"3297","P36639","NUDT1",0.3787729,0.3849,0.380032,"0","0"
"3298","Q8N6T7","SIRT6",0.378717,0.3724,0.380662,"0","0"
"3299","Q5VZ89","DENND4C",0.378606,0.368,0.377162,"0","0"
"3300","Q14494","NFE2L1",0.3784906,0.3655,0.374603,"0","0"
"3301","Q93034","CUL5",0.3784793,0.3755,0.378188,"0","0"
"3302","Q9NQ11","ATP13A2",0.3782897,0.38159,0.381677,"0","0"
"3303","Q9NZ08","ERAP1",0.3782796,0.37744,0.378346,"0","0"
"3304","P52907","CAPZA1",0.3781333,0.37182,0.379444,"0","0"
"3305","P09914","IFIT1",0.3777835,0.3643,0.378791,"0","0"
"3306","Q9NQU5","PAK6",0.3775618,0.37509,0.376386,"0","0"
"3307","O60346","PHLPP1",0.3774621,0.37318,0.376483,"0","0"
"3308","P38435","GGCX",0.3773995,0.3752,0.375928,"0","0"
"3309","P09683","SCT",0.3773403,0.37387,0.377378,"0","0"
"3310","P02766","TTR",0.3771778,0.37838,0.378787,"0","0"
"3311","Q86SQ6","ADGRA1",0.3771682,0.37385,0.377518,"0","0"
"3312","Q9BUB5","MKNK1",0.3771377,0.37705,0.373593,"0","0"
"3313","P48735","IDH2",0.3769224,0.37734,0.380467,"0","1"
"3314","Q96I15","SCLY",0.3769096,0.36224,0.376406,"0","0"
"3315","Q9Y258","CCL26",0.3767697,0.36976,0.377688,"0","0"
"3316","P62330","ARF6",0.3767632,0.37192,0.379525,"0","0"
"3317","O00499","BIN1",0.3765606,0.37259,0.376142,"0","0"
"3318","P69891","HBG1",0.3764774,0.37627,0.38109,"0","0"
"3319","P16519","PCSK2",0.3764656,0.38177,0.376061,"0","0"
"3320","Q9UJV9","DDX41",0.3763971,0.3619,0.374496,"0","0"
"3321","Q6S8J3","POTEE",0.3763199,0.36772,0.374961,"0","0"
"3322","P51649","ALDH5A1",0.3760466,0.37694,0.376048,"0","0"
"3323","O15514","POLR2D",0.3760347,0.37044,0.372535,"0","0"
"3324","Q9Y574","ASB4",0.3760084,0.36979,0.378288,"0","0"
"3325","P11277","SPTB",0.375966,0.37047,0.37316,"0","0"
"3326","P10253","GAA",0.3759347,0.37329,0.372809,"0","0"
"3327","P68371","TUBB4B",0.375933,0.38269,0.378227,"0","0"
"3328","Q14894","CRYM",0.3758457,0.36682,0.376453,"0","0"
"3329","P78543","BTG2",0.3758158,0.37619,0.379584,"0","0"
"3330","O95718","ESRRB",0.375781,0.37463,0.379397,"0","0"
"3331","Q8NFZ4","NLGN2",0.37577,0.37599,0.37923,"0","0"
"3332","Q96A32","MYL11",0.3757493,0.37689,0.372482,"0","0"
"3333","O00444","PLK4",0.375593,0.37235,0.373058,"0","0"
"3334","P25063","CD24",0.3755846,0.3709,0.376249,"0","0"
"3335","P67809","YBX1",0.3755754,0.36606,0.374974,"0","0"
"3336","Q9UPM9","B9D1",0.3755024,0.37322,0.375837,"0","0"
"3337","Q8IZQ8","MYOCD",0.3754004,0.36589,0.372926,"0","0"
"3338","O75342","ALOX12B",0.3753926,0.37589,0.373041,"0","0"
"3339","O75417","POLQ",0.3753773,0.37029,0.37218,"0","0"
"3340","Q7Z3T8","ZFYVE16",0.3753109,0.36773,0.373851,"0","0"
"3341","Q9Y5Q3","MAFB",0.3752904,0.3671,0.370003,"0","0"
"3342","P05783","KRT18",0.3751349,0.36877,0.371583,"0","0"
"3343","P08590","MYL3",0.3751024,0.37645,0.370771,"0","0"
"3344","Q15172","PPP2R5A",0.3750949,0.3737,0.370041,"0","0"
"3345","Q9BUL8","PDCD10",0.375058,0.3691,0.373558,"0","0"
"3346","P41273","TNFSF9",0.3750444,0.37341,0.377427,"0","0"
"3347","P52272","HNRNPM",0.3750426,0.36459,0.373171,"0","0"
"3348","Q99708","RBBP8",0.3749314,0.35881,0.370501,"0","0"
"3349","O00750","PIK3C2B",0.3748462,0.37215,0.371522,"0","0"
"3350","Q8IUM7","NPAS4",0.3747823,0.37265,0.37574,"0","0"
"3351","A0AVT1","UBA6",0.3747675,0.37062,0.373608,"0","0"
"3352","O00237","RNF103",0.3746323,0.37524,0.373957,"0","0"
"3353","P20774","OGN",0.3744908,0.37355,0.375311,"0","0"
"3354","Q16270","IGFBP7",0.3743533,0.37087,0.374879,"0","0"
"3355","P51164","ATP4B",0.3742343,0.36767,0.376422,"0","0"
"3356","Q99680","GPR22",0.3741821,0.36734,0.375649,"0","0"
"3357","Q05707","COL14A1",0.3741499,0.37631,0.372233,"0","0"
"3358","Q93086","P2RX5",0.3740161,0.36378,0.376644,"0","0"
"3359","P10092","CALCB",0.3740101,0.37145,0.376264,"0","0"
"3360","P13984","GTF2F2",0.3739542,0.36124,0.372538,"0","0"
"3361","Q9NQC3","RTN4",0.3739378,0.36779,0.370991,"0","0"
"3362","O75385","ULK1",0.373934,0.36426,0.371934,"0","0"
"3363","O43826","SLC37A4",0.3738514,0.37039,0.373727,"0","0"
"3364","P61244","MAX",0.3733859,0.3588,0.366828,"0","0"
"3365","P56937","HSD17B7",0.3732741,0.36898,0.372471,"0","0"
"3366","P22415","USF1",0.3732459,0.36307,0.368975,"0","0"
"3367","Q8N695","SLC5A8",0.3731536,0.37519,0.374533,"0","0"
"3368","Q15008","PSMD6",0.3731108,0.37155,0.375594,"0","0"
"3369","Q9Y263","PLAA",0.3729207,0.36744,0.373232,"0","0"
"3370","Q07021","C1QBP",0.372818,0.3676,0.372427,"0","0"
"3371","P81534","DEFB103B",0.3727833,0.37207,0.376355,"0","0"
"3372","P81534","DEFB103A",0.3727833,0.37207,0.376355,"0","0"
"3373","Q12774","ARHGEF5",0.3727524,0.372,0.372399,"0","0"
"3374","Q9H209","OR10A4",0.3726824,0.37257,0.374151,"0","0"
"3375","Q9NYW3","TAS2R7",0.372666,0.37197,0.374704,"0","0"
"3376","P19105","MYL12A",0.3726227,0.37152,0.367505,"0","0"
"3377","Q14315","FLNC",0.3726177,0.3801,0.369994,"0","0"
"3378","Q16719","KYNU",0.3724911,0.36875,0.374618,"0","0"
"3379","Q8NCM8","DYNC2H1",0.3724325,0.37244,0.370407,"0","0"
"3380","Q9Y5V3","MAGED1",0.3724266,0.37241,0.372863,"0","0"
"3381","P61313","RPL15",0.3723891,0.35601,0.372998,"0","0"
"3382","P00387","CYB5R3",0.3723015,0.37366,0.376767,"0","0"
"3383","P57103","SLC8A3",0.372249,0.3687,0.371566,"0","0"
"3384","P54317",NA,0.3722222,0.37271,0.373694,"0","0"
"3385","P18206","VCL",0.3718776,0.36985,0.367527,"0","0"
"3386","Q15058","KIF14",0.3718499,0.35827,0.368807,"0","0"
"3387","O43561","LAT",0.3718058,0.37038,0.371172,"0","0"
"3388","Q86VI3","IQGAP3",0.3715525,0.37046,0.372783,"0","0"
"3389","P43307","SSR1",0.3713078,0.36734,0.371786,"0","0"
"3390","P54315","PNLIPRP1",0.371038,0.37002,0.372474,"0","0"
"3391","Q16281","CNGA3",0.3710115,0.36447,0.370454,"0","0"
"3392","P06681","C2",0.3708372,0.36855,0.371723,"0","0"
"3393","P48201","ATP5MC3",0.3707645,0.36756,0.371072,"0","0"
"3394","Q9NXK6","PAQR5",0.3706228,0.36445,0.371894,"0","0"
"3395","O14836","TNFRSF13B",0.3706037,0.36972,0.374887,"0","0"
"3396","P05155","SERPING1",0.3705961,0.362,0.369866,"0","0"
"3397","O43914","TYROBP",0.37034,0.37412,0.371945,"0","0"
"3398","Q9UK17","KCND3",0.3701003,0.36833,0.371533,"0","0"
"3399","Q16696","CYP2A13",0.369888,0.36119,0.370742,"0","0"
"3400","Q9BWF3","RBM4",0.3697292,0.36721,0.371956,"0","0"
"3401","O60238","BNIP3L",0.3696663,0.36317,0.369921,"0","0"
"3402","P07477","PRSS1",0.3693343,0.37038,0.369299,"0","0"
"3403","O15263","DEFB4B",0.3693327,0.37156,0.37306,"0","0"
"3404","O15263","DEFB4A",0.3693327,0.37156,0.37306,"0","0"
"3405","P55157","MTTP",0.3693269,0.37454,0.369469,"0","0"
"3406","Q92747","ARPC1A",0.3690487,0.36508,0.364823,"0","0"
"3407","Q9NPD5","SLCO1B3",0.3688751,0.36451,0.368298,"0","0"
"3408","Q05209","PTPN12",0.368862,0.3604,0.367792,"0","0"
"3409","P24071","FCAR",0.3686283,0.36167,0.372235,"0","0"
"3410","P63316","TNNC1",0.3684809,0.36742,0.365971,"0","0"
"3411","P18074","ERCC2",0.368186,0.36737,0.36783,"0","0"
"3412","Q9BZX2","UCK2",0.3681081,0.36274,0.369182,"0","0"
"3413","P08237","PFKM",0.3680507,0.37006,0.367422,"0","0"
"3414","Q86YC3","NRROS",0.3680445,0.36933,0.37152,"0","0"
"3415","O75832","PSMD10",0.3679863,0.36087,0.370393,"0","0"
"3416","P43034","PAFAH1B1",0.3679195,0.3608,0.367487,"0","0"
"3417","Q9C040","TRIM2",0.3677127,0.36578,0.369545,"0","0"
"3418","Q8WXG9","ADGRV1",0.3676615,0.36688,0.368772,"0","0"
"3419","Q04695","KRT17",0.3675231,0.36548,0.366109,"0","0"
"3420","P43487","RANBP1",0.3675065,0.35777,0.364585,"0","0"
"3421","Q99638","RAD9A",0.3674243,0.36852,0.366651,"0","0"
"3422","Q99578","RIT2",0.3673432,0.36485,0.366389,"0","0"
"3423","P06746","POLB",0.3673085,0.34444,0.36456,"0","0"
"3424","Q8TDF6","RASGRP4",0.367293,0.35935,0.369824,"0","0"
"3425","P82251","SLC7A9",0.3671614,0.38009,0.368656,"0","0"
"3426","Q9UQ13","SHOC2",0.3670874,0.35296,0.36407,"0","0"
"3427","Q8NGS4","OR13F1",0.3670123,0.36429,0.367157,"0","0"
"3428","Q14005","IL16",0.3667258,0.36135,0.364798,"0","0"
"3429","P24844","MYL9",0.3666859,0.35858,0.362316,"0","0"
"3430","Q96DZ1","ERLEC1",0.366619,0.36286,0.367644,"0","0"
"3431","P06576","ATP5F1B",0.3666142,0.35957,0.365452,"0","0"
"3432","P19338","NCL",0.3664661,0.35299,0.360091,"0","1"
"3433","Q99996","AKAP9",0.3663589,0.35704,0.359269,"0","0"
"3434","Q04609","FOLH1",0.3662366,0.36643,0.364704,"0","0"
"3435","P62979","RPS27A",0.3662059,0.35402,0.366653,"0","0"
"3436","P84103","SRSF3",0.3660429,0.35724,0.364635,"0","0"
"3437","P05549","TFAP2A",0.3659597,0.35951,0.368847,"0","0"
"3438","P35680","HNF1B",0.3658941,0.35245,0.365473,"0","0"
"3439","P07437","TUBB",0.365845,0.37149,0.368462,"0","0"
"3440","Q13023","AKAP6",0.3657818,0.36305,0.363173,"0","0"
"3441","O95267","RASGRP1",0.3657777,0.36048,0.367922,"0","0"
"3442","Q07001","CHRND",0.3657727,0.35487,0.370282,"0","0"
"3443","O43921","EFNA2",0.3656852,0.36526,0.370223,"0","0"
"3444","Q9NR50","EIF2B3",0.3656296,0.35496,0.36517,"0","0"
"3445","P51665","PSMD7",0.3655253,0.35334,0.365525,"0","0"
"3446","P02794","FTH1",0.3653751,0.36189,0.361981,"0","0"
"3447","P53420","COL4A4",0.3653506,0.35909,0.361996,"0","0"
"3448","Q92583","CCL17",0.365174,0.36206,0.370566,"0","0"
"3449","P51512","MMP16",0.3651583,0.3646,0.363709,"0","0"
"3450","Q13838","DDX39B",0.3651386,0.361,0.36414,"0","0"
"3451","Q99612","KLF6",0.3649723,0.3562,0.364008,"0","0"
"3452","O00626","CCL22",0.3647892,0.36578,0.369717,"0","0"
"3453","Q16720","ATP2B3",0.3647027,0.37146,0.366339,"0","0"
"3454","P49190","PTH2R",0.3646687,0.35991,0.366183,"0","0"
"3455","O43193","MLNR",0.3646467,0.36241,0.364961,"0","0"
"3456","Q99828","CIB1",0.3643553,0.35508,0.361476,"0","0"
"3457","P22692","IGFBP4",0.3643066,0.36312,0.362153,"0","0"
"3458","P24534","EEF1B2",0.3642365,0.35157,0.363081,"0","0"
"3459","Q99678","GPR20",0.364148,0.35731,0.365725,"0","0"
"3460","P35247","SFTPD",0.3641088,0.35931,0.366289,"0","0"
"3461","P51531","SMARCA2",0.3640421,0.35968,0.356578,"0","0"
"3462","Q7Z3S7","CACNA2D4",0.3639322,0.36403,0.362894,"0","0"
"3463","Q9P1P5","TAAR2",0.3639052,0.35921,0.365348,"0","0"
"3464","Q12830","BPTF",0.363809,0.35824,0.360302,"0","0"
"3465","Q9BYW2","SETD2",0.3637846,0.3558,0.360466,"0","0"
"3466","Q06945","SOX4",0.3637792,0.35761,0.363107,"0","0"
"3467","O60566","BUB1B",0.3637184,0.36279,0.360268,"0","0"
"3468","Q9H4X1","RGCC",0.3637117,0.36227,0.362148,"0","0"
"3469","Q13402","MYO7A",0.3635593,0.36723,0.361207,"0","0"
"3470","Q96KB5","PBK",0.363462,0.36219,0.363649,"0","0"
"3471","Q9BPU6","DPYSL5",0.3634606,0.36604,0.365513,"0","0"
"3472","Q14439","GPR176",0.3634121,0.36027,0.364907,"0","0"
"3473","Q5VYX0","RNLS",0.3633937,0.35346,0.364411,"0","0"
"3474","P04264","KRT1",0.3633757,0.36508,0.362453,"0","0"
"3475","P34925","RYK",0.3633445,0.36146,0.36679,"0","0"
"3476","Q96CS3","FAF2",0.3633122,0.35863,0.362335,"0","0"
"3477","Q96AD5","PNPLA2",0.3632559,0.37191,0.361361,"0","0"
"3478","Q06055","ATP5MC2",0.3631713,0.35965,0.362352,"0","0"
"3479","O43765","SGTA",0.3630902,0.35668,0.362098,"0","0"
"3480","O95972","BMP15",0.3630471,0.36342,0.366411,"0","0"
"3481","Q12988","HSPB3",0.3629857,0.35577,0.365001,"0","1"
"3482","Q96Q15","SMG1",0.3626005,0.35659,0.360438,"0","0"
"3483","Q86V24","ADIPOR2",0.3625954,0.35946,0.36403,"0","0"
"3484","Q96A58","RERG",0.3625412,0.35716,0.363295,"0","0"
"3485","Q6AZZ1","TRIM68",0.3624657,0.35715,0.363798,"0","0"
"3486","Q9BZB8","CPEB1",0.3624495,0.35562,0.364085,"0","0"
"3487","P52569","SLC7A2",0.3624387,0.36614,0.363005,"0","0"
"3488","O75791","GRAP2",0.3623702,0.35781,0.362923,"0","0"
"3489","P30825","SLC7A1",0.3623699,0.36852,0.362603,"0","0"
"3490","Q8NGH5",NA,0.3621976,0.35569,0.363413,"0","0"
"3491","Q16394","EXT1",0.3621264,0.35219,0.359443,"0","0"
"3492","Q8NEV9","IL27",0.3620535,0.36323,0.364779,"0","0"
"3493","O75112","LDB3",0.3620124,0.36921,0.36132,"0","0"
"3494","Q9P296","C5AR2",0.3619471,0.35746,0.365448,"0","0"
"3495","O43324","EEF1E1",0.3617437,0.35695,0.364475,"0","0"
"3496","Q9UIH9","KLF15",0.361649,0.35667,0.363732,"0","0"
"3497","Q15125","EBP",0.3614633,0.35466,0.364459,"0","0"
"3498","Q9BQI5","SGIP1",0.3614501,0.35426,0.360857,"0","0"
"3499","P08236","GUSB",0.3614288,0.37188,0.360244,"0","0"
"3500","P20231","TPSB2",0.361411,0.36113,0.359122,"0","0"
"3501","Q9NR30","DDX21",0.3614013,0.33845,0.357182,"0","0"
"3502","Q8NI36",NA,0.3611873,0.35329,0.358726,"0","0"
"3503","O15335","CHAD",0.3611425,0.3557,0.365324,"0","0"
"3504","P15289","ARSA",0.3610886,0.35566,0.36207,"0","1"
"3505","O75908","SOAT2",0.3610373,0.35779,0.362111,"0","0"
"3506","O75365","PTP4A3",0.3609467,0.35906,0.362292,"0","0"
"3507","P35080","PFN2",0.3609308,0.36527,0.361566,"0","0"
"3508","Q96BS2","TESC",0.3608802,0.34942,0.359608,"0","0"
"3509","P09327","VIL1",0.3607172,0.35609,0.361892,"0","0"
"3510","Q9UK05","GDF2",0.3607137,0.35918,0.362533,"0","1"
"3511","P31151","S100A7",0.3606978,0.35306,0.359803,"0","0"
"3512","P48960","ADGRE5",0.3606726,0.35419,0.361807,"0","0"
"3513","P23141","CES1",0.3606658,0.36401,0.362425,"0","1"
"3514","Q96RJ3","TNFRSF13C",0.3605573,0.35873,0.361048,"0","0"
"3515","Q99685","MGLL",0.3605351,0.35972,0.359904,"0","0"
"3516","Q15726","KISS1",0.3604929,0.36149,0.363459,"0","1"
"3517","Q8N157","AHI1",0.3604281,0.35407,0.358573,"0","0"
"3518","Q9UHD9","UBQLN2",0.3603436,0.35491,0.359059,"0","0"
"3519","P04632","CAPNS1",0.3602221,0.37105,0.360817,"0","0"
"3520","O14503","BHLHE40",0.3600561,0.35556,0.356829,"0","0"
"3521","O95292","VAPB",0.3599108,0.34984,0.355881,"0","0"
"3522","P46013","MKI67",0.3597713,0.34513,0.356556,"0","0"
"3523","Q9Y6J6","KCNE2",0.3596545,0.35493,0.362217,"0","0"
"3524","O00160","MYO1F",0.3596428,0.35856,0.358707,"0","0"
"3525","P78310","CXADR",0.3594061,0.35078,0.360178,"0","0"
"3526","P41440","SLC19A1",0.3593942,0.35686,0.362272,"0","0"
"3527","Q92667","AKAP1",0.3593118,0.35741,0.358784,"0","0"
"3528","O00212","RHOD",0.3592294,0.35846,0.361904,"0","0"
"3529","Q99593","TBX5",0.3590115,0.36454,0.360774,"0","0"
"3530","P24592","IGFBP6",0.3589185,0.35462,0.357942,"0","0"
"3531","P39023","RPL3",0.3588802,0.34583,0.360283,"0","0"
"3532","P46821","MAP1B",0.3587804,0.35278,0.355016,"0","0"
"3533","Q13217","DNAJC3",0.3587763,0.35218,0.356839,"0","0"
"3534","O15457","MSH4",0.358761,0.35918,0.357116,"0","0"
"3535","P58397","ADAMTS12",0.3586105,0.35984,0.359794,"0","0"
"3536","Q08426","EHHADH",0.3585906,0.3629,0.358298,"0","0"
"3537","P58004","SESN2",0.3585733,0.35261,0.360025,"0","0"
"3538","P29376","LTK",0.3584972,0.34833,0.359965,"0","0"
"3539","Q8NEY4","ATP6V1C2",0.3582417,0.35508,0.358411,"0","0"
"3540","Q96G23","CERS2",0.3581505,0.35975,0.357475,"0","0"
"3541","P49918","CDKN1C",0.3581374,0.36031,0.35678,"0","0"
"3542","P27544","CERS1",0.3580435,0.35466,0.358287,"0","0"
"3543","Q06190","PPP2R3A",0.3579998,0.35578,0.353106,"0","0"
"3544","Q13257","MAD2L1",0.3579958,0.36543,0.357644,"0","0"
"3545","Q15661","TPSAB1",0.357969,0.35907,0.355774,"0","0"
"3546","P13716","ALAD",0.3579594,0.35025,0.3599,"0","0"
"3547","Q5XXA6","ANO1",0.3577491,0.35468,0.356918,"0","0"
"3548","Q9Y6C5","PTCH2",0.3577029,0.35709,0.358878,"0","0"
"3549","Q5T4S7","UBR4",0.3576037,0.36146,0.356477,"0","0"
"3550","Q5VVX9","UBE2U",0.3575297,0.35725,0.358487,"0","0"
"3551","O95470","SGPL1",0.3574787,0.34822,0.356263,"0","0"
"3552","O14745","NHERF1",0.357341,0.35014,0.35388,"0","0"
"3553","Q9UPX8","SHANK2",0.3573307,0.35439,0.355648,"0","0"
"3554","Q12884","FAP",0.3572972,0.35562,0.357013,"0","1"
"3555","Q15849","SLC14A2",0.3572655,0.35681,0.356129,"0","0"
"3556","Q15751","HERC1",0.3572022,0.36179,0.356367,"0","0"
"3557","O95813","CER1",0.3571275,0.35199,0.359001,"0","0"
"3558","P48556","PSMD8",0.3571113,0.34706,0.35939,"0","0"
"3559","Q71U36","TUBA1A",0.3569522,0.36529,0.358666,"0","0"
"3560","P20700","LMNB1",0.3568889,0.34583,0.352287,"0","0"
"3561","Q6S5L8","SHC4",0.3568523,0.35563,0.358495,"0","0"
"3562","Q9Y6R4","MAP3K4",0.3567756,0.35225,0.352235,"0","0"
"3563","P14060","HSD3B1",0.3566839,0.3552,0.354575,"0","0"
"3564","P63165","SUMO1",0.3566808,0.35388,0.352253,"0","0"
"3565","Q9UI46","DNAI1",0.3566453,0.35408,0.353634,"0","0"
"3566","Q9Y3F4","STRAP",0.356415,0.35535,0.357407,"0","0"
"3567","Q99727","TIMP4",0.3563027,0.34744,0.360343,"0","0"
"3568","Q92529","SHC3",0.3562992,0.35123,0.358253,"0","0"
"3569","P62906","RPL10A",0.356271,0.3385,0.355442,"0","0"
"3570","Q8TCT9","HM13",0.3562649,0.34833,0.356396,"0","0"
"3571","Q9BYK8","HELZ2",0.3562471,0.35776,0.354613,"0","0"
"3572","A8K7I4","CLCA1",0.3561424,0.35529,0.355895,"0","0"
"3573","Q15654","TRIP6",0.356135,0.35529,0.353242,"0","0"
"3574","P55290","CDH13",0.3560838,0.35066,0.3577,"0","0"
"3575","O96028","NSD2",0.3559355,0.3468,0.351236,"0","0"
"3576","P32455","GBP1",0.3558508,0.34169,0.35379,"0","0"
"3577","P35241","RDX",0.3557966,0.34123,0.353665,"0","0"
"3578","Q04756","HGFAC",0.3557905,0.36129,0.353787,"0","0"
