"","Gene.Symbol","Log2.Fold.Change."
"1013","OLFML3",-2.117
"1014","RP11-268J15.5",-2.785
"1015","NID1",-3.287
"1016","MYCL",3.675
"1017","ID3",-2.279
"1018","SLC2A1",3.457
"1019","PTCH2",-3.593
"1020","TSPAN1",4.133
"1021","SLC19A2",-2.157
"1022","F3",-4.663
"1023","HSD11B1",-4.171
"1024","IRF6",2.679
"1025","RCAN3",2.258
"1026","MAN1C1",-2.329
"1027","NEK2",3.426
"1028","RPS6KA1",2.369
"1029","PROX1",-2.123
"1030","MAR2",-3.177
"1031","MREG",2.028
"1032","PLAGL1",-2.931
"1033","TNFAIP3",-2.558
"1034","SGK1",-2.962
"1035","TCF21",-4.114
"1036","VAMP8",4.243
"1037","PKD2",-2.713
"1038","SPP1",5.574
"1039","KLF9",-3.194
"1040","NEK6",2.039
"1041","NR4A3",-3.699
"1042","GALNT12",2.26
"1043","NEK9",-2.22
"1044","PPP4R4",-2.37
"1045","EPCAM",7.142
"1046","FAM178A",-2.207
"1047","KCNIP2",-2.68
"1048","HOXB3",2.542
"1049","SMAD9",-2.259
"1050","PLS1",2.578
"1051","GLT8D2",-2.815
"1052","SOCS2",-2.568
"1053","NCAPH",2.89
"1054","MND1",2.42
"1055","TSHZ3",-3.781
"1056","KCNJ8",-2.308
"1057","PDZRN3",-3.354
"1058","PILRB",-2.007
"1059","PAEP",2.129
"1060","OBP2A",2.694
"1061","WIPF3",-4.226
"1062","NUDT10",-3.291
"1063","PLAU",3.259
"1064","ZWINT",3.063
"1065","MMP19",-2.325
"1066","NR4A1",-5.514
"1067","PDE1B",-3.164
"1068","LRP1",-3.025
"1069","HJURP",3.179
"1070","PLP1",-2.039
"1071","RAB9B",-2.428
"1072","NRK",-4.272
"1073","G0S2",-2.2
"1074","INHA",-5.182
"1075","OBSL1",-3.053
"1076","SLC12A4",-2.033
"1077","PI3",4.624
"1078","SNX21",-2.224
"1079","SLPI",8.493
"1080","SLC12A5",3.041
"1081","PARD6B",2.024
"1082","PLCG1",-2.606
"1083","TMEM189-UBE2V1",2.641
"1084","PTGIS",-2.804
"1085","KCNK15",3.713
"1086","HIF3A",-3.268
"1087","NDP",-2.585
"1088","HIST1H2BJ",2.014
"1089","SPDEF",2.794
"1090","SCGB1D2",5.037
"1091","SCGB2A1",6.278
"1092","MT1G",5.204
"1093","TMEM255A",-2.703
"1094","SOX9",4.174
"1095","PPP1R12C",-2.538
"1096","PAX8",5.964
"1097","PSD4",2.93
"1098","GRIA3",-2.184
"1099","SH2D3A",2.077
"1100","TRIP10",-2.061
"1101","RTN2",2.328
"1102","GPCPD1",-2.061
"1103","OVOL2",3.79
"1104","PCSK2",-2.937
"1105","F10",-3.976
"1106","HCST",2.05
"1107","THRA",-2.042
"1108","NR1D1",-2.697
"1109","PRRG2",2.773
"1110","WNK4",-2.22
"1111","IFI6",3.885
"1112","RHOJ",-2.1
"1113","L3HYPDH",-2.365
"1114","OMD",-3.078
"1115","TSPAN8",-3.823
"1116","PLA2G5",-5.98
"1117","KLF2",-3.903
"1118","PKMYT1",3.636
"1119","FBXL16",2.725
"1120","GNG11",-3.35
"1121","SRD5A3",3.275
"1122","RASL11B",-4.357
"1123","TUBGCP6",-2.955
"1124","KRT17",4.59
"1125","FOXP2",-2.485
"1126","LRRC17",-4.277
"1127","HOXD1",2.782
"1128","VPS13C",-2.234
"1129","PALLD",-2.094
"1130","SOX15",-2.911
"1131","FAM64A",2.592
"1132","PLD2",-2.015
"1133","MTUS1",-2.906
"1134","KLK10",2.46
"1135","KLK8",7.059
"1136","FOXJ1",4.484
"1137","SGOL1",2.36
"1138","SHC2",-3.306
"1139","TNNI3",3.024
"1140","ERMARD",-2.34
"1141","LDLR",-2.084
"1142","THEM6",2.835
"1143","GADD45G",-2.987
"1144","LRCH2",-2.053
"1145","SAFB2",-2.626
"1146","KIF1A",2.574
"1147","FCHO1",2.806
"1148","OLFM1",-3.144
"1149","SAMD10",4.028
"1150","LSP1",2.368
"1151","PNPLA7",-3.917
"1152","ZNF337",-2.188
"1153","SMPDL3B",4.767
"1154","THEMIS2",2.781
"1155","ZNF331",-3.342
"1156","HABP4",-2.031
"1157","RGN",-2.792
"1158","SYNE1",-4.66
"1159","EPS8L1",4.534
"1160","RBM39",-2.113
"1161","PRR7",3.696
"1162","IDO1",2.9
"1163","RAB11FIP4",2.107
"1164","SH3BP5",-2.505
"1165","GALNT15",-3.421
"1166","SLC6A6",-2.596
"1167","KCNC3",2.743
"1168","GFPT2",-3.452
"1169","TMEM204",-2.002
"1170","KREMEN2",2.242
"1171","TOP2A",4.32
"1172","PPP1R1B",2.34
"1173","RHPN2",2.872
"1174","PPARG",-2.833
"1175","NUP210",2.853
"1176","SERPINF1",-3.251
"1177","PNISR",-3.084
"1178","JCHAIN",2.403
"1179","ITGB4",3.695
"1180","XAF1",-2.422
"1181","RGS22",-3.01
"1182","MATN2",-2.813
"1183","SNAP25",-2.525
"1184","RHBG",-4.326
"1185","RAB25",5.877
"1186","MTL5",2.883
"1187","RBM38",2.196
"1188","WASF3",-2.234
"1189","LGR6",3.002
"1190","SPG20",-2.097
"1191","TCEAL4",-3.5
"1192","SRRM1",-2.07
"1193","MYH11",-5.262
"1194","GSTT2B",-2.202
"1195","ZDHHC8P1",-4.379
"1196","ZNF767P",-2.265
"1197","LYVE1",-2.83
"1198","TTC9",2.133
"1199","MEIS2",-2.207
"1200","GSTM1",-4.904
"1201","GSTM5",-6.29
"1202","GSTM3",-3.307
"1203","SORT1",2.984
"1204","WNT2B",-2.768
"1205","VTCN1",5.003
"1206","NGF",-3.477
"1207","LPIN1",-2.239
"1208","PDGFRA",-5.216
"1209","FAM189A2",-4.207
"1210","PSAT1",4.153
"1211","SDS",2.426
"1212","TBX3",-4.098
"1213","OASL",2.659
"1214","TES",2.679
"1215","NT5E",-2.305
"1216","PRRG4",2.208
"1217","ITGA7",-2.029
"1218","TROAP",4.027
"1219","PAN2",-2.886
"1220","ESPL1",2.486
"1221","KRT7",7.425
"1222","SLC26A10",-3.206
"1223","MAP7",2.127
"1224","FHOD1",-2.202
"1225","GLUL",-2.352
"1226","SERPINE2",-2.563
"1227","WNT10A",4.418
"1228","TBC1D4",-3.316
"1229","LCP1",2.188
"1230","RSAD1",-2.083
"1231","MYCBPAP",-2.724
"1232","RTP4",2.642
"1233","SCN7A",-4.928
"1234","GATA4",-5.85
"1235","IL1RN",2.934
"1236","GYPC",-2.282
"1237","KLF4",-3.189
"1238","KIF12",2.087
"1239","GARNL3",-2.049
"1240","NR5A1",-4.516
"1241","IL11RA",-2.63
"1242","TFAP2A",3.067
"1243","HMGA1",6.133
"1244","RNF144B",2.138
"1245","MGARP",-3.167
"1246","PI15",-2.107
"1247","GGH",2.706
"1248","TMPRSS4",4.946
"1249","MMP7",6.437
"1250","TRIM29",4.081
"1251","POU2F3",2.943
"1252","FXYD6",-3.706
"1253","FXYD2",-2.011
"1254","THBS1",-2.101
"1255","MAPKBP1",-2.48
"1256","NUSAP1",2.054
"1257","KIF23",2.401
"1258","STRA6",2.253
"1259","STAMBPL1",-2.637
"1260","KIF11",2.709
"1261","SENP7",-2.544
"1262","FAM13A",-2.125
"1263","FGF2",-2.805
"1264","KIAA1109",-2.881
"1265","PRDM5",-2.915
"1266","SHROOM3",2.738
"1267","LEF1",2.03
"1268","MAPK8IP3",-2.983
"1269","ERP27",3.587
"1270","GABARAPL1",-2.786
"1271","LUM",-2.08
"1272","SLC7A1",2.011
"1273","N4BP2L1",-2.487
"1274","MAP3K12",-2.017
"1275","GALNT6",3.198
"1276","LMBR1L",-2.666
"1277","HNRNPA1L2",-2.099
"1278","RHOF",2.464
"1279","ESR2",-2.236
"1280","STON2",2.09
"1281","FAM181A",2.773
"1282","FGF7",-3.646
"1283","NEIL1",-3.261
"1284","MAN2C1",-3.355
"1285","TGFB1I1",-2.305
"1286","MARVELD3",2.377
"1287","NOL3",-2.014
"1288","MYOCD",-2.156
"1289","KSR1",-2.637
"1290","SKAP1",3.204
"1291","GATA6",-2.487
"1292","GREB1L",-2.06
"1293","MINK1",-2.289
"1294","SAT2",-2.864
"1295","TMC6",2.056
"1296","SLC16A3",2.082
"1297","TTYH2",-2.58
"1298","GRB7",4.794
"1299","IGFBP4",-3.808
"1300","PPAP2C",2.92
"1301","TMEM91",-2.057
"1302","SIK1",-3.224
"1303","TRPM2",2.111
"1304","TMEM50B",-2.027
"1305","SLC47A1",-2.371
"1306","MMEL1",2.765
"1307","SYTL1",2.791
"1308","KIF2C",3.115
"1309","PROK1",-7.388
"1310","ITGA10",-2.08
"1311","PVRL4",2.921
"1312","NUF2",2.833
"1313","XPR1",2.578
"1314","LHX9",-2.261
"1315","RORC",2.549
"1316","TPM3",2.095
"1317","LEFTY2",-3.997
"1318","REN",-2.463
"1319","RHOB",-2.735
"1320","ZNF385B",-3.017
"1321","GULP1",-2.305
"1322","PTH2R",2.342
"1323","KANSL1L",-2.29
"1324","STK11IP",-2.938
"1325","GRIP2",-2.769
"1326","RBMS3",-2.991
"1327","FAM198A",-2.23
"1328","NFKBIZ",-2.236
"1329","IGSF11",-2.607
"1330","TRPC1",-2.917
"1331","STXBP5L",-2.689
"1332","ILDR1",2.991
"1333","OCIAD2",2.467
"1334","SNCA",-2.917
"1335","SFRP2",2.342
"1336","FAM193B",-2.46
"1337","PRSS35",-2.101
"1338","SLC22A3",-4.173
"1339","IGFBP1",-2.615
"1340","EPHA1",2.114
"1341","NLGN4X",-2.716
"1342","OGT",-2.438
"1343","IL2RG",2.289
"1344","GNRH1",-2.381
"1345","SLC25A37",-2.565
"1346","STAR",-8.853
"1347","TACC1",-2.621
"1348","MAL2",7.001
"1349","NDUFB9",2.212
"1350","FAM83A",2.271
"1351","SLC39A4",2.832
"1352","VLDLR",-3.765
"1353","NTRK2",-2.232
"1354","SLC25A25",-2.02
"1355","LCN2",7.445
"1356","FAM13C",-2.892
"1357","MKI67",3.282
"1358","SLC43A1",-2.905
"1359","KLHL35",2.214
"1360","NCAM1",-3.198
"1361","ST14",5.928
"1362","FEZ1",-2.482
"1363","MPZL2",2.974
"1364","SIDT2",-2.452
"1365","TAGLN",-2.641
"1366","KIAA1755",-3.343
"1367","FCGR1A",2.045
"1368","HNMT",-2.005
"1369","LYPD1",6.661
"1370","LYPD6B",5.139
"1371","IL18",2.55
"1372","FOXO1",-2.815
"1373","ITPR1",-3.736
"1374","KCTD14",3.242
"1375","NDUFC2",2.198
"1376","ME3",-2.286
"1377","EPS8",-3.04
"1378","TMEM45B",2.149
"1379","SERP2",-2.434
"1380","KCNE4",-2.183
"1381","SPC25",2.749
"1382","TCF7L1",-2.013
"1383","PLEKHH2",-4.2
"1384","IGSF10",-4.612
"1385","SPARCL1",-3.333
"1386","PRDM8",-2.431
"1387","PART1",3.372
"1388","MARVELD2",2.487
"1389","NR4A2",-3.409
"1390","PLA2R1",-2.663
"1391","SLC25A27",-4.35
"1392","FAM49B",2.127
"1393","PTPRD",-3.541
"1394","PID1",-3.685
"1395","LGI4",-2.839
"1396","THY1",3.448
"1397","ROBO3",-3.791
"1398","PGM5",-2.406
"1399","LONRF1",-2.479
"1400","PDE1C",-2.048
"1401","JAM2",-2.911
"1402","WNT7A",3.05
"1403","XPC",-2.115
"1404","FLCN",-2.681
"1405","PLCL2",-2.311
"1406","SKA1",2.014
"1407","RAB6B",2.163
"1408","PROM2",3.334
"1409","PTPRN2",-2.131
"1410","GPR78",-3.47
"1411","MICU3",-2.476
"1412","PSD3",-3.033
"1413","GNA14",-2.147
"1414","FGF18",3.729
"1415","PCDH1",3.213
"1416","FAM122C",-2.172
"1417","SST",4.096
"1418","RBPMS",-2.988
"1419","KIT",-3.66
"1420","MUM1L1",-6.014
"1421","TSC22D3",-3.51
"1422","SLC34A2",7.372
"1423","WDR19",-2.552
"1424","TNFRSF14",-2.217
"1425","KRTCAP3",3.629
"1426","GALNT14",2.216
"1427","RHPN1",2.606
"1428","MRAS",-2.112
"1429","GPRASP2",-3.511
"1430","TMSB15B",-2.053
"1431","TSPAN33",2.013
"1432","NRG2",-2.615
"1433","NBL1",-3.164
"1434","ZNF276",-2.631
"1435","FAM160B2",-2.116
"1436","FCER1G",2.819
"1437","PAXBP1",-2.677
"1438","LAD1",4.654
"1439","SCUBE1",-4.409
"1440","M1AP",2.273
"1441","STARD9",-3.695
"1442","FNDC5",-2.417
"1443","NR2F6",2.946
"1444","TMPRSS3",5.17
"1445","FTCD",-2.045
"1446","LSS",-2.444
"1447","GPSM1",-2.079
"1448","ST6GALNAC6",-2.219
"1449","ZDHHC12",2.915
"1450","SPTBN4",-2.371
"1451","PPAPDC3",-2.768
"1452","TLCD1",2.913
"1453","S100A1",7.86
"1454","PTH1R",-3.633
"1455","MYL3",-2.011
"1456","FGFR4",-2.93
"1457","NACC1",2.695
"1458","LY6E",2.585
"1459","MUM1",-2.379
"1460","ZNF333",-2.363
"1461","PLXDC1",-3.577
"1462","ZNF577",-2.796
"1463","SIGLEC11",-5.47
"1464","SIGLEC16",-4.504
"1465","RACGAP1",2.784
"1466","GRASP",-2.421
"1467","SPC24",3.081
"1468","WDR90",-2.105
"1469","PAQR4",2.896
"1470","PDZK1IP1",5.609
"1471","SLC1A7",-2.792
"1472","PPAP2B",-2.261
"1473","ZSWIM5",-2.534
"1474","LAPTM5",2.704
"1475","SDC3",2.148
"1476","WNT4",-2.6
"1477","MXRA8",-2.243
"1478","HFM1",-2.366
"1479","KCNT2",-2.841
"1480","SNED1",-2.796
"1481","KLHDC8A",-5.965
"1482","PKDCC",-4.991
"1483","OXER1",-2.725
"1484","HAAO",-2.775
"1485","RFTN2",-2.022
"1486","LRRTM1",3.794
"1487","NOSTRIN",-2.804
"1488","SGPP2",3.172
"1489","INHBB",2.298
"1490","S100A11",3.344
"1491","TDRD10",-3.612
"1492","LMOD1",-4.119
"1493","NFASC",-3.305
"1494","NUAK2",3.754
"1495","ICA1L",-2.141
"1496","PTPN13",-2.913
"1497","PPM1K",-2.799
"1498","RBM47",3.205
"1499","TTC14",-2.841
"1500","TCF23",-3.395
"1501","LRRC2",-2.131
"1502","KLF15",-3.834
"1503","RPL39L",3.24
"1504","UVSSA",-2.111
"1505","ZDHHC19",-2.374
"1506","INTU",-2.669
"1507","POC1A",2.588
"1508","HAND2",-4.553
"1509","MAD2L1",2.442
"1510","FAM198B",-3.369
"1511","PRMT9",-2.12
"1512","F2RL1",2.691
"1513","RHOBTB3",-3.998
"1514","FOXQ1",3.448
"1515","TXLNB",-2.166
"1516","TMEM200A",-2.435
"1517","GALNT10",-2.644
"1518","PTTG1",4.734
"1519","FABP5",2.209
"1520","SOX17",4.571
"1521","SUN1",-2.057
"1522","TMEM184A",2.612
"1523","OSR2",-3.621
"1524","GEM",-2.483
"1525","KIAA1161",2.116
"1526","SYK",3.345
"1527","NFIL3",-2.472
"1528","MAMDC2",-4.727
"1529","FBP1",2.33
"1530","FIGF",-2.018
"1531","MELK",3.257
"1532","ZCCHC24",-2.579
"1533","PHOX2A",2.013
"1534","GJB2",2.514
"1535","SKA3",2.877
"1536","PKNOX2",-2.114
"1537","TTC8",-2.163
"1538","VSTM4",-3.506
"1539","SLC18A2",-2.097
"1540","NDRG2",-4.371
"1541","GYLTL1B",2.539
"1542","IFI27",4.244
"1543","HTRA1",-2.415
"1544","JAM3",-3.67
"1545","GPT2",2.267
"1546","SPINT1",5.629
"1547","FBN1",-3.197
"1548","TMEM100",-2.863
"1549","TUB",-2.833
"1550","RIC3",-3.293
"1551","PLD4",2.078
"1552","ZMAT1",-3.85
"1553","MFAP4",-3.889
"1554","RRAD",-2.226
"1555","TVP23A",-2.309
"1556","ZCCHC18",-2.75
"1557","HTR3A",2.831
"1558","YPEL4",-3.223
"1559","KIAA0101",4.802
"1560","LDHD",-2.938
"1561","PLK1",3.073
"1562","MIR202HG",-6.686
"1563","TEF",-2.088
"1564","PBX3",-3.327
"1565","PRRX2",3.308
"1566","PRR15L",3.756
"1567","TBC1D2B",-3.144
"1568","MYO5B",3.554
"1569","PRRT2",-5.483
"1570","SGK494",-2.162
"1571","TUBA1C",3.068
"1572","TMC4",4.567
"1573","LENG8",-3.052
"1574","PPP1R14A",-2.241
"1575","SPINT2",2.468
"1576","PLIN4",-3.279
"1577","SERPINF2",-2.012
"1578","WDR81",-2.299
"1579","GGT6",3.04
"1580","KLK5",5.759
"1581","KLK6",6.812
"1582","KLK11",5.15
"1583","ZNF83",-3.014
"1584","KRT80",2.851
"1585","IGFBP6",-4.755
"1586","HID1",3.339
"1587","EVPL",3.204
"1588","TK1",4.627
"1589","SRRM2",-2.106
"1590","VWCE",-2.546
"1591","TRANK1",-2.445
"1592","SCARA3",2.559
"1593","PBK",3.13
"1594","SCARA5",-2.782
"1595","PNOC",4.394
"1596","GNG4",-3.645
"1597","FILIP1L",-2.368
"1598","ING5",-2.153
"1599","TNXB",-5.082
"1600","PHYHIP",-2.003
"1601","SDPR",-3.538
"1602","SERINC2",5.068
"1603","FAM84B",2.496
"1604","SLC16A4",-2.377
"1605","TSPAN5",-3.711
"1606","STXBP6",2.077
"1607","LGALS9",2.709
"1608","JMJD7-PLA2G4B",-2.881
"1609","KLK7",7.118
"1610","HNRNPH1",-2.021
"1611","PARM1",-2.743
"1612","MN1",-2.164
"1613","SHE",-2.198
"1614","PTAFR",2.069
"1615","SDC2",-2.978
"1616","ZEB2",-3.298
"1617","GJB1",3.88
"1618","HEXDC",-2.331
"1619","RAC3",2.004
"1620","LINGO1",2.605
"1621","TM4SF1",2.427
"1622","OTUD3",-2.034
"1623","ZFPM2",-2.929
"1624","NLGN2",-2.511
"1625","FAM153A",-2.295
"1626","SIMC1",-2.048
"1627","FABP6",2.004
"1628","FAXDC2",-2.152
"1629","FABP4",-2.68
"1630","OR2A20P",-2.121
"1631","LRRN2",3.195
"1632","KRT8",6.403
"1633","METTL7B",3.511
"1634","LONRF2",-2.566
"1635","HTRA3",-3.779
"1636","PLA2G1B",-2.632
"1637","TPT1-AS1",-2.252
"1638","PDGFD",-3.422
"1639","HS6ST2",-2.935
"1640","INSR",-2.28
"1641","UGT2B7",3.861
"1642","KRT19",2.837
"1643","KRT13",-2.559
"1644","PDE7B",-2.925
"1645","MCC",-4.157
"1646","LRRC8D",2.107
"1647","LPAR3",3.452
"1648","P2RY6",2.397
"1649","RGS19",2.973
"1650","GATM",-3.73
"1651","KNDC1",-3.27
"1652","ZNF540",-3.327
"1653","NINJ2",2.518
"1654","RRM2",4.218
"1655","MAL",4.276
"1656","EPHX4",2.571
"1657","LAMB2",-2.041
"1658","RCAN2",-2.373
"1659","SYNPO2",-3.706
"1660","TCEAL1",-3.674
"1661","PPP1CA",2.399
"1662","SLFN11",-2.035
"1663","ZNF596",-2.007
"1664","METAP1D",-2.16
"1665","NBEA",-2.358
"1666","MRGPRF",-2.909
"1667","MIR4435-2HG",2.948
"1668","VANGL1",2.019
"1669","TRIB1",2.685
"1670","NDNF",-3.783
"1671","SAA1",2.069
"1672","PPP1R14B",2.424
"1673","NUDT4",-2.008
"1674","HSPB7",-3.497
"1675","WFIKKN2",-6.807
"1676","STAT5B",-3.085
"1677","JUP",2.332
"1678","RP11-97O12.7",-2.307
"1679","GPR160",3.125
"1680","SPTBN2",3.338
"1681","HOXB2",3.721
"1682","PODN",-5.245
"1683","RALGAPA1",-2.025
"1684","GOLT1A",2.261
"1685","UGT8",2.082
"1686","SLC29A2",2.994
"1687","SEZ6L2",2.852
"1688","UBE2C",6.387
"1689","GK5",-2.321
"1690","TMEM51-AS1",-2.066
"1691","GOLGA8A",-4.05
"1692","GRAMD2",2.199
"1693","UCP2",6.279
"1694","TOM1L2",-2.198
"1695","KDF1",3.954
"1696","NR2F1",-3.537
"1697","SFN",3.792
"1698","ETV4",4.755
"1699","GNG7",-2.395
"1700","RP11-334J6.7",-4.725
"1701","TYMS",2.476
"1702","LINC00982",-2.754
"1703","ULK1",-2.083
"1704","LRRN4CL",-3.54
"1705","HIC1",-2.807
"1706","PTRF",-2.253
"1707","ZBED2",3.175
"1708","IRX3",2.319
"1709","RPRM",-2.474
"1710","SRRM3",-2.43
"1711","ODF3B",2.13
"1712","WDR6",-2.261
"1713","GLDC",2.972
"1714","MAF",-2.912
"1715","TRIM73",-2.098
"1716","TMEM139",4.789
"1717","EXOSC4",2.317
"1718","EXOC3L1",-2.407
"1719","PER1",-4.849
"1720","TMEM125",3.422
"1721","FAM156B",-2.376
"1722","HLA-DQB1",3.059
"1723","VWA1",2.329
"1724","ZBTB42",2.368
"1725","PCED1B",-2.268
"1726","SSC5D",-2.136
"1727","TDRP",-2.422
"1728","MYLPF",2.896
"1729","HERC2P3",-3.038
"1730","GREM2",-2.031
"1731","FAM83H",4.962
"1732","MRPL14",2.001
"1733","NQO1",2.721
"1734","MAPK15",3.122
"1735","MUC16",6.368
"1736","PENK",-4.003
"1737","FRAT2",2.19
"1738","TMEM102",2.861
"1739","SYNE4",3.031
"1740","SLX1B",2.029
"1741","PHLDA2",2.981
"1742","IDH2",2.467
"1743","TMEM30B",2.5
"1744","RP11-69E11.4",-2.989
"1745","FAM153B",-5.689
"1746","SYNM",-2.364
"1747","SPACA6P",-2.469
"1748","NXPH4",3.936
"1749","KPNA2",3.719
"1750","NXPH3",-2.225
"1751","NDN",-3.122
"1752","IGIP",-2.003
"1753","HOXB4",2.719
"1754","PAQR7",-2.159
"1755","PLCXD3",-4.046
"1756","RRP7BP",-2.633
"1757","TCEAL7",-3.583
"1758","ZNF662",-2.452
"1759","PYCR1",2.706
"1760","PCP4",2.264
"1761","SLC25A10",2.428
"1762","RGPD6",-2.454
"1763","PRR36",2.726
"1764","RIPK4",3.017
"1765","NPIPA1",-3.124
"1766","RP11-958N24.1",-2.165
"1767","MX2",2.122
"1768","PI4KAP2",-2.699
"1769","SERHL2",-2.542
"1770","TNFAIP8L3",-2.652
"1771","FBXL7",-2.54
"1772","TRIM52",-2.217
"1773","LHFP",-2.716
"1774","FOXL2",-4.989
"1775","NPIPA5",-2.713
"1776","OLFML1",-2.874
"1777","NUDT14",2.013
"1778","MAATS1",-2.129
"1779","FAM3B",2.908
"1780","IQGAP3",2.578
"1781","NPIPA5",-2.348
"1782","NPW",3.241
"1783","TSPYL2",-5.495
"1784","GOLGA6L4",-3.488
"1785","POU6F1",-2.821
"1786","TACSTD2",5.937
"1787","PRKD1",-2.258
"1788","MROH7",-2.548
"1789","PKP3",4.854
"1790","PLA2G6",-2.434
"1791","WDR27",-3.005
"1792","PROS1",-2.176
"1793","OR7E14P",2.87
"1794","SEP5",-2.06
"1795","TCEAL2",-4.825
"1796","USP18",2.486
"1797","SLC24A3",-2.243
"1798","FLRT2",-4.196
"1799","LRRC37B",-2.054
"1800","TNFAIP2",2.681
"1801","PRPF39",-2.007
"1802","UBALD2",2.964
"1803","WBSCR17",-2.276
"1804","NUPR1L",3.134
"1805","MAPK11",-2.58
"1806","TARSL2",-2.114
"1807","MUC1",5.677
"1808","NR2F2",-3.255
"1809","NTF3",-2.084
"1810","PRAME",3.37
"1811","IFIT1",2.187
"1812","NAT8L",2.215
"1813","KLHDC8B",-3.112
"1814","LEMD1",3.73
"1815","KIF18B",2.776
"1816","SAPCD2",2.711
"1817","GOLGA8R",-2.77
"1818","PDE2A",-2.393
"1819","LILRB4",2.526
"1820","TRABD2A",-3.424
"1821","ZDHHC17",-2.659
"1822","ESPN",5.082
"1823","MITF",-2.182
"1824","ISG15",4.121
"1825","THSD4",2.995
"1826","SECISBP2",-2.508
"1827","PEAR1",-3.5
"1828","PALM3",2.412
"1829","LCN10",-2.603
"1830","MAPK12",-3.298
"1831","SMTNL2",-2.484
"1832","HNRNPU-AS1",-2.273
"1833","PLA2G2A",-6.571
"1834","SBK1",2.609
"1835","NPIPP1",-2.436
"1836","GOLGA8M",-2.587
"1837","VWC2",-2.035
"1838","TMEM198",-2.227
"1839","PRELP",-3.815
"1840","LRRK2",-2.551
"1841","GJB3",2.421
"1842","USP32P1",-4.054
"1843","UBE2Q2P1",-3.772
"1844","HN1",3.224
"1845","MAOA",-4.026
"1846","FAM150B",-5.106
"1847","S100A14",4.836
"1848","MMP23B",-2.714
"1849","USP32P3",-2.214
"1850","RASSF10",2.614
"1851","IL1RAP",2.007
"1852","KIAA0895L",-4.024
"1853","HLA-DRB1",3.096
"1854","SERPINA3",-3.541
"1855","S100A4",2.289
"1856","PLEKHG4",-2.226
"1857","MPHOSPH8",-2.011
"1858","GREB1",-5.129
"1859","ZNF471",-3.169
"1860","NUDT11",-2.229
"1861","ZNF781",-2.106
"1862","S100A5",2.074
"1863","NPIPB15",-2.03
"1864","TCEAL3",-2.829
"1865","SULF2",-3.395
"1866","LAMA2",-4.817
"1867","SDHAF3",2.092
"1868","HSH2D",2.989
"1869","PDXDC2P",-2.324
"1870","ZNF431",-2.349
"1871","HLA-DQA1",3.337
"1872","S100A2",3.668
"1873","KIAA1211L",2.466
"1874","LAMB3",3.332
"1875","KPNA5",-2.1
"1876","HIST1H4C",3.231
"1877","ZNF300P1",-3.095
"1878","NOL4L",2.713
"1879","SERPINA1",3.375
"1880","KANK2",-2.977
"1881","RAMP2-AS1",-2.122
"1882","SVIL",-2.502
"1883","LYPD2",2.553
"1884","MAP3K5",-3.766
"1885","STMN3",-2.723
"1886","MIB2",-2.064
"1887","ZNF841",-2.279
"1888","MFAP5",3.705
"1889","KLHL14",3.845
"1890","HOXC6",-2.874
"1891","KLHDC1",-2.493
"1892","HIST1H2BK",2.189
"1893","TEAD4",2.493
"1894","SPG7",-2.231
"1895","FCHSD1",-2.277
"1896","SNHG12",-2.083
"1897","SULT1C4",-3.311
"1898","ZNF334",-2.017
"1899","PEG3",-5.902
"1900","MGEA5",-2.231
"1901","MT1F",4.704
"1902","NRARP",2.142
"1903","TPM2",-2.13
"1904","HLA-DRB5",2.685
"1905","PLN",-2.518
"1906","MMP17",-3.952
"1907","RYR2",-2.219
"1908","PAPSS2",-2.668
"1909","PPP1R14C",2.267
"1910","ZNF521",-2.251
"1911","PNP",2.375
"1912","GRK5",-3.713
"1913","SFMBT2",-2.318
"1914","SMC5",-2.435
"1915","L1CAM",2.71
"1916","GPRASP1",-5.229
"1917","TBKBP1",-2.044
"1918","SNORA31",-2.031
"1919","SNORA73B",2.995
"1920","SNORA63",3.746
"1921","RNU4-1",5.244
"1922","RN7SK",3.688
"1923","RNU4-2",3.443
"1924","FAM83H-AS1",3.781
"1925","FCGR3A",2.36
"1926","MSTO2P",-2.037
"1927","PPAPDC1A",2.334
"1928","HIST2H2AA3",-5.45
"1929","HIST2H2BF",-2.107
"1930","HIST2H3PS2",-2.439
"1931","RBM20",-2.306
"1932","TCEAL6",-2.838
"1933","INPP5B",-2.211
"1934","ZDBF2",-2.525
"1935","HLA-DOA",2.145
"1936","HLA-DMA",2.452
"1937","HLA-DRA",3.805
"1938","PRRT1",-2.822
"1939","SLC44A4",3.502
"1940","LY6G6C",2.414
"1941","LST1",2.25
"1942","MICA",-2.23
"1943","FAM153C",-2.892
"1944","GABBR1",-3.94
"1945","ZNF204P",-2.273
"1946","TMEM240",-2.793
"1947","PSENEN",2.421
"1948","VIT",-4.063
"1949","SAP25",-2.32
"1950","MT1H",3.046
"1951","RP11-1212A22.1",-2.649
"1952","RP11-689P11.2",-2.372
"1953","HERC2P9",-2.781
"1954","FOXL2NB",-6.079
"1955","RNVU1-7",7.051
"1956","RNU1-28P",4.19
"1957","RNU1-27P",4.244
"1958","SNORA57",5.571
"1959","SNORA22",3.889
"1960","RNU1-1",4.19
"1961","RNVU1-18",4.19
"1962","SNORA5A",2.867
"1963","RNU1-2",4.244
"1964","SNORA72",-2.418
"1965","SNORA7B",4.317
"1966","SNORA18",3.599
