"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000380697","0.452",,,,,,,"0.761","0.583"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000370842","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000370842","0.042",,,,,,,"0.412","0.411"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000415283","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000415283","0.134",,,,,,,"0.472","0.416"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000257570","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000257570","0.313",,,,,,,"0.665","0.534"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000262613","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000262613","0.042",,,,,,,"0.485","0.485"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000360869","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000360869","0.289",,,,,,,"0.709","0.608"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000496832","0.537",,,,,,,"0.845","0.679"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000385675","0.108",,,,,,,"0.423","0.38"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000436607","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000436607","0.072",,,,,,,"0.538","0.523"
"pp","9606.ENSP00000252593 (pp) 9606.ENSP00000307540","false","pp","9606.ENSP00000252593 (pp) 9606.ENSP00000307540","0.057",,,,,,,"0.594","0.588"
"pp","9606.ENSP00000252597 (pp) 9606.ENSP00000343657","false","pp","9606.ENSP00000252597 (pp) 9606.ENSP00000343657",,,,,,,,"0.96","0.96"
"pp","9606.ENSP00000252597 (pp) 9606.ENSP00000361097","false","pp","9606.ENSP00000252597 (pp) 9606.ENSP00000361097","0.645",,,,,,,"0.754","0.335"
"pp","9606.ENSP00000252597 (pp) 9606.ENSP00000385477","false","pp","9606.ENSP00000252597 (pp) 9606.ENSP00000385477","0.409",,,,,,,"0.422","0.063"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000416066","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000416066","0.062",,,,,,,"0.428","0.416"
"pp","9606.ENSP00000252597 (pp) 9606.ENSP00000304945","false","pp","9606.ENSP00000252597 (pp) 9606.ENSP00000304945","0.406",,,,,,,"0.467","0.14"
"pp","9606.ENSP00000252597 (pp) 9606.ENSP00000283296","false","pp","9606.ENSP00000252597 (pp) 9606.ENSP00000283296","0.317","0.251",,,,,,"0.481","0.069"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000323929","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000323929","0.058",,,"0.045",,,,"0.432","0.42"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000275493","0.067",,,"0.053",,,,"0.612","0.597"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000463092","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000463092","0.042",,,,,,,"0.429","0.429"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000264731","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000264731","0.051",,,,,,,"0.45","0.445"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000356438","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000356438","0.049",,,,,,,"0.452","0.448"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000420525","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000420525",,,,,,,,"0.455","0.456"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000347942","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000347942",,,,"0.902",,,,"0.958","0.596"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000351905","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000351905","0.048",,"0.9","0.126",,,,"0.96","0.58"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000376637","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000376637",,,,,,,,"0.433","0.433"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000256951","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000256951","0.063",,,,,,,"0.43","0.417"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000255409","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000255409","0.042",,,,,,,"0.413","0.413"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000446007","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000446007","0.057",,,"0.091",,,,"0.535","0.502"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000310170","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000310170","0.111",,,,,,,"0.446","0.403"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000384964","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000384964","0.042",,,,,,,"0.722","0.722"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000295927","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000295927","0.102",,,,,,,"0.455","0.419"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000312652","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000312652",,,,,,,,"0.637","0.637"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000259874","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000259874","0.122",,,,,,,"0.488","0.441"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000267101","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000267101","0.047",,,"0.053",,,,"0.506","0.497"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000368683","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000368683","0.058",,,,,,,"0.402","0.391"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000436126","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000436126",,,,,,,,"0.491","0.492"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000259526","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000259526","0.055",,,,,,,"0.45","0.442"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000384906",,,,,,,,"0.493","0.494"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000351209","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000351209","0.099",,,"0.126",,,,"0.537","0.46"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000385675","0.063",,,,,,,"0.603","0.594"
"pp","9606.ENSP00000252998 (pp) 9606.ENSP00000356560","false","pp","9606.ENSP00000252998 (pp) 9606.ENSP00000356560","0.047",,,,,,,"0.437","0.434"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000344352","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000344352","0.207",,,,,,,"0.621","0.542"
"pp","9606.ENSP00000252998 (pp) 9606.ENSP00000354376","false","pp","9606.ENSP00000252998 (pp) 9606.ENSP00000354376","0.322",,,,,,,"0.465","0.243"
"pp","9606.ENSP00000253354 (pp) 9606.ENSP00000436812","false","pp","9606.ENSP00000253354 (pp) 9606.ENSP00000436812","0.439",,,,,,,"0.755","0.582"
"pp","9606.ENSP00000253354 (pp) 9606.ENSP00000342082","false","pp","9606.ENSP00000253354 (pp) 9606.ENSP00000342082","0.063",,,,,,,"0.415","0.402"
"pp","9606.ENSP00000253354 (pp) 9606.ENSP00000348888","false","pp","9606.ENSP00000253354 (pp) 9606.ENSP00000348888","0.151",,,,,,,"0.483","0.417"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000376678","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000376678","0.055",,,"0.292",,,,"0.407","0.185"
"pp","9606.ENSP00000253354 (pp) 9606.ENSP00000463092","false","pp","9606.ENSP00000253354 (pp) 9606.ENSP00000463092","0.386",,,,,,,"0.529","0.265"
"pp","9606.ENSP00000252809 (pp) 9606.ENSP00000347591","false","pp","9606.ENSP00000252809 (pp) 9606.ENSP00000347591","0.074",,,"0.064",,,,"0.523","0.495"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000397908","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000397908","0.081",,,,,,,"0.561","0.543"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000358719","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000358719","0.11",,"0.256","0.094",,,"0.053","0.57","0.36"
"pp","9606.ENSP00000252998 (pp) 9606.ENSP00000268933","false","pp","9606.ENSP00000252998 (pp) 9606.ENSP00000268933","0.251",,,,,,,"0.421","0.259"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000273450","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000273450","0.218",,"0.185","0.051",,,,"0.423","0.159"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000264867","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000264867","0.051",,,,,,,"0.63","0.627"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000261733","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000261733","0.227",,"0.915","0.06",,,,"0.954","0.346"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000415743","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000415743","0.049",,,,,,,"0.431","0.427"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000320886","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000320886","0.106",,,,,,,"0.468","0.43"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000319814","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000319814","0.118",,"0.8",,,,,"0.883","0.392"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000309477","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000309477","0.173",,"0.184",,,,"0.057","0.595","0.439"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000297785","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000297785","0.207",,"0.185","0.06",,,,"0.451","0.204"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000287820","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000287820","0.084",,,,,,,"0.462","0.438"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000493382","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000493382","0.058",,,,,,,"0.61","0.604"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000363832","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000363832","0.057",,"0.8",,,,,"0.815","0.098"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000385523","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000385523","0.074",,,,,,,"0.437","0.418"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000422607","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000422607","0.141",,,,,,,"0.671","0.633"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000341044","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000341044","0.123",,"0.9","0.069",,,"0.055","0.96","0.568"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000413064","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000413064",,,,,,,,"0.41","0.41"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000408025","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000408025","0.148",,,,,,,"0.491","0.429"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000265276","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000265276","0.078",,,,,,,"0.637","0.623"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000263080","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000263080",,,,,,,,"0.426","0.427"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000267814","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000267814","0.069",,"0.348",,,,,"0.539","0.303"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000332256","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000332256","0.208",,"0.185","0.06",,,,"0.676","0.53"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000348069","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000348069","0.062",,,,,,,"0.595","0.586"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000281030","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000281030","0.109",,,,,,,"0.556","0.523"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000339787","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000339787","0.113",,,,,,,"0.464","0.421"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000379845","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000379845","0.101",,"0.8",,,,,"0.829","0.128"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000306606","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000306606","0.087",,"0.11",,,,,"0.423","0.347"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355022","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355022","0.417",,,,,,,"0.492","0.166"
"pp","9606.ENSP00000253382 (pp) 9606.ENSP00000265896","false","pp","9606.ENSP00000253382 (pp) 9606.ENSP00000265896","0.116",,"0.242",,,,"0.044","0.604","0.455"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000326550","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000326550","0.269",,,,,,,"0.427","0.249"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000362146","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000362146","0.511",,,,,,,"0.677","0.369"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000305204","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000305204","0.338",,,,,,,"0.487","0.258"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000378356","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000378356","0.384",,,,,,,"0.554","0.307"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000265148","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000265148","0.26",,,,,,,"0.469","0.313"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000494957","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000494957","0.464",,,,,,,"0.577","0.245"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000260363","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000260363","0.326",,,,,,,"0.519","0.317"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000257909","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000257909","0.294",,,,,,,"0.424","0.219"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000383894","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000383894","0.062",,,"0.091",,,,"0.618","0.588"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000300403","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000300403","0.368",,,,,,,"0.524","0.278"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000285116","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000285116","0.304",,,,,,,"0.472","0.273"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000481380","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000481380","0.489",,,,,,,"0.602","0.255"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000465075","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000465075","0.494",,,,,,,"0.584","0.213"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000363055","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000363055","0.507",,,,,,,"0.659","0.338"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000414109","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000414109","0.396",,,,,,,"0.509","0.222"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000376457","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000376457","0.278",,,,,,,"0.465","0.29"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000323300","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000323300","0.325",,,,,,,"0.405","0.156"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000275493","0.042",,,"0.103",,,,"0.47","0.433"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000348838","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000348838","0.434",,,,,,,"0.582","0.293"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000334675","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000334675","0.361",,,"0.046",,,,"0.452","0.174"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000493712","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000493712","0.541",,,,,,,"0.699","0.373"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000378699","0.561",,,,,,,"0.659","0.255"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000429089","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000429089","0.213",,,,,,,"0.409","0.281"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000393963","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000393963","0.467",,,,,,,"0.552","0.196"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000298048","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000298048","0.465",,,,,,,"0.589","0.263"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000418268","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000418268","0.622",,,"0.627",,,,"0.938","0.6"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000276533","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000276533","0.553",,"0.8","0.998",,,,"0.999","0.999"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000404190","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000404190","0.303",,,,,,,"0.408","0.186"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000356379","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000356379","0.402",,,,,,,"0.641","0.426"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000306999","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000306999","0.396",,,,,,,"0.413","0.07"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000468425","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000468425","0.41",,,,,,,"0.572","0.304"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000357643","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000357643","0.351",,,,,,,"0.404","0.12"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000313950","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000313950","0.516",,,,,,,"0.619","0.246"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000282074","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000282074","0.485",,,,,,,"0.544","0.151"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355966","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355966","0.286",,,,,,,"0.449","0.261"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000342307","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000342307","0.322",,,,,,,"0.414","0.171"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000428489","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000428489","0.481",,,,,,,"0.519","0.113"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000301633","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000301633","0.513",,,"0.071",,,,"0.641","0.271"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000265748","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000265748","0.257",,,,,,,"0.409","0.237"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000262300","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000262300","0.336",,,,,,,"0.5","0.278"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000411532","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000411532","0.601",,,,,,,"0.711","0.306"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000442068","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000442068","0.399",,,,,,,"0.566","0.309"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000361298","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000361298","0.378",,,,,,,"0.539","0.29"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000287598","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000287598","0.378",,,,,,,"0.481","0.201"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000260731","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000260731","0.465",,,,,,,"0.585","0.258"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000312995","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000312995","0.252",,,"0.8",,,,"0.897","0.369"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000324020","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000324020","0.514",,,,,,,"0.696","0.4"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000364389","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000364389",,,,"0.421",,,,"0.422","0.044"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000321656","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000321656","0.35",,,,,,,"0.464","0.21"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000363524","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000363524","0.379",,,,,,,"0.455","0.159"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000358813","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000358813","0.359",,,,,,,"0.509","0.267"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000281453","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000281453","0.435",,,,,,,"0.548","0.233"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355506","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355506","0.429",,,,,,,"0.601","0.331"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000310356","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000310356","0.32",,,,,,,"0.465","0.247"
"pp","9606.ENSP00000253496 (pp) 9606.ENSP00000364731","false","pp","9606.ENSP00000253496 (pp) 9606.ENSP00000364731","0.104","0.213","0.54","0.094",,,,"0.735","0.24"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355958","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355958","0.542",,,,,,,"0.616","0.196"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000302530","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000302530","0.421",,,,,,,"0.56","0.271"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000263382","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000263382","0.396",,,,,,,"0.54","0.27"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000377492","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000377492","0.416",,,,,,,"0.565","0.287"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000271452","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000271452","0.417",,,,,,,"0.541","0.246"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000265734","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000265734","0.143",,,,,,,"0.428","0.36"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000377536","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000377536","0.405",,,,,,,"0.553","0.28"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000261597","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000261597","0.412",,,,,,,"0.412",
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000275517","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000275517","0.533",,,,,,,"0.683","0.351"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000262460","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000262460","0.702",,"0.8","0.999",,,,"0.999","0.998"
"pp","9606.ENSP00000253496 (pp) 9606.ENSP00000378131","false","pp","9606.ENSP00000253496 (pp) 9606.ENSP00000378131","0.139","0.218","0.54","0.094",,,,"0.683","0.046"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000364976","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000364976","0.333",,,,,,,"0.468","0.236"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000360540","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000360540","0.461",,,,,,,"0.531","0.167"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000479617","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000479617","0.405",,,,,,,"0.596","0.349"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000353770","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000353770","0.467",,,,,,,"0.605","0.289"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000482313","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000482313","0.262",,,"0.292",,,,"0.556","0.218"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000256442","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000256442","0.38",,,"0.058",,,,"0.643","0.438"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355922","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000355922","0.346",,,,,,,"0.521","0.298"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000288207","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000288207","0.778",,,"0.058",,,,"0.844","0.313"
"pp","9606.ENSP00000253496 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000253496 (pp) 9606.ENSP00000346839","0.055",,,,,,,"0.448","0.44"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000262315","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000262315","0.398",,,,,,,"0.405","0.054"
"pp","9606.ENSP00000253496 (pp) 9606.ENSP00000278407","false","pp","9606.ENSP00000253496 (pp) 9606.ENSP00000278407",,,"0.7","0.045",,,,"0.987","0.96"
"pp","9606.ENSP00000253462 (pp) 9606.ENSP00000300035","false","pp","9606.ENSP00000253462 (pp) 9606.ENSP00000300035","0.548",,,,,,,"0.692","0.349"
