external_gene_name,description,search_id,MeSH_count
H2AC25,H2A clustered histone 25 ,H2AC25,0
SNRPE,small nuclear ribonucleoprotein polypeptide E ,SNRPE,12
BGN,biglycan ,BGN,105
EPGN,epithelial mitogen ,EPGN,7
CADM1,cell adhesion molecule 1 ,CADM1,179
CCBE1,collagen and calcium binding EGF domains 1 ,CCBE1,27
EPHA10,EPH receptor A10 ,EPHA10,29
GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A ,GRIN2A,38
ACTG1,actin gamma 1 ,ACTG1,38
TMED9,transmembrane p24 trafficking protein 9 ,TMED9,4
MUC1,"mucin 1, cell surface associated ",MUC1,3083
NDUFA4L2,NDUFA4 mitochondrial complex associated like 2 ,NDUFA4L2,27
TRDN,triadin ,TRDN,1
CXCR3,C-X-C motif chemokine receptor 3 ,CXCR3,659
TLR5,toll like receptor 5 ,TLR5,141
COL25A1,collagen type XXV alpha 1 chain ,COL25A1,3
SYCP2,synaptonemal complex protein 2 ,SYCP2,13
SUPT5H,"SPT5 homolog, DSIF elongation factor subunit ",SUPT5H,3
HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1 ",HLA-DQA1,120
FLNA,filamin A ,FLNA,175
DNM3,dynamin 3 ,DNM3,19
LPAR1,lysophosphatidic acid receptor 1 ,LPAR1,74
CALM1,calmodulin 1 ,CALM1,29
MT-CYB,mitochondrially encoded cytochrome b ,MT-CYB,12
MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 ,MT-ND4,13
PRC1,protein regulator of cytokinesis 1 ,PRC1,294
ABHD16A,"abhydrolase domain containing 16A, phospholipase ",ABHD16A,2
RACK1,receptor for activated C kinase 1 ,RACK1,182
PCDHA4,protocadherin alpha 4 ,PCDHA4,2
NRAS,"NRAS proto-oncogene, GTPase ",NRAS,4919
PHB2,prohibitin 2 ,PHB2,70
FANCG,FA complementation group G ,FANCG,70
IGHV3-72,immunoglobulin heavy variable 3-72 ,IGHV3-72,2
ORM1,orosomucoid 1 ,ORM1,44
HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2 ",HLA-DQA2,6
C4A,complement C4A (Chido/Rodgers blood group) ,C4A,67
UTP14C,UTP14C small subunit processome component ,UTP14C,2
EEF1G,eukaryotic translation elongation factor 1 gamma ,EEF1G,14
TUBB3,tubulin beta 3 class III ,TUBB3,219
IGHV3OR16-17,immunoglobulin heavy variable 3/OR16-17 (non-functional) ,IGHV3OR16-17,0
SEC22B,"SEC22 homolog B, vesicle trafficking protein ",SEC22B,11
ADRA2B,adrenoceptor alpha 2B ,ADRA2B,4
CCL23,C-C motif chemokine ligand 23 ,CCL23,49
CCL16,C-C motif chemokine ligand 16 ,CCL16,21
UHRF1,ubiquitin like with PHD and ring finger domains 1 ,UHRF1,245
H3C10,H3 clustered histone 10 ,H3C10,1
CFLAR,CASP8 and FADD like apoptosis regulator ,CFLAR,78
LIG3,DNA ligase 3 ,LIG3,44
CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2 ,CACNA2D2,32
PKD1,"polycystin 1, transient receptor potential channel interacting ",PKD1,272
TRAF3IP3,TRAF3 interacting protein 3 ,TRAF3IP3,10
ATP1A2,ATPase Na+/K+ transporting subunit alpha 2 ,ATP1A2,12
NLRP2,NLR family pyrin domain containing 2 ,NLRP2,23
HSD17B6,hydroxysteroid 17-beta dehydrogenase 6 ,HSD17B6,14
IFNGR1,interferon gamma receptor 1 ,IFNGR1,79
GRN,granulin precursor ,GRN,159
GABARAPL2,GABA type A receptor associated protein like 2 ,GABARAPL2,20
VCAN,versican ,VCAN,151
DSG2,desmoglein 2 ,DSG2,100
PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 ",PREX2,56
POLQ,DNA polymerase theta ,POLQ,100
SPAG4,sperm associated antigen 4 ,SPAG4,20
CDH3,cadherin 3 ,CDH3,91
CASP8,caspase 8 ,CASP8,543
CTNNA2,catenin alpha 2 ,CTNNA2,12
RHOA,ras homolog family member A ,RHOA,2174
PRKCZ,protein kinase C zeta ,PRKCZ,27
ABCC9,ATP binding cassette subfamily C member 9 ,ABCC9,13
CAMK2A,calcium/calmodulin dependent protein kinase II alpha ,CAMK2A,20
SREBF1,sterol regulatory element binding transcription factor 1 ,SREBF1,76
MARK2,microtubule affinity regulating kinase 2 ,MARK2,23
P4HA2,prolyl 4-hydroxylase subunit alpha 2 ,P4HA2,50
MCM2,minichromosome maintenance complex component 2 ,MCM2,434
HACD3,3-hydroxyacyl-CoA dehydratase 3 ,HACD3,0
FOSL2,"FOS like 2, AP-1 transcription factor subunit ",FOSL2,56
CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4 ,CACNG4,10
SPAG5,sperm associated antigen 5 ,SPAG5,57
CTTNBP2,cortactin binding protein 2 ,CTTNBP2,7
GTF3C1,general transcription factor IIIC subunit 1 ,GTF3C1,4
SNRPA,small nuclear ribonucleoprotein polypeptide A ,SNRPA,13
AMPH,amphiphysin ,AMPH,41
PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3 ,PAFAH1B3,11
EPB41L2,erythrocyte membrane protein band 4.1 like 2 ,EPB41L2,12
SRCAP,Snf2 related CREBBP activator protein ,SRCAP,21
RBL1,RB transcriptional corepressor like 1 ,RBL1,61
PTPRC,protein tyrosine phosphatase receptor type C ,PTPRC,118
SMARCD3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 ",SMARCD3,20
GSTP1,glutathione S-transferase pi 1 ,GSTP1,1924
CD59,CD59 molecule (CD59 blood group) ,CD59,317
ATRX,ATRX chromatin remodeler ,ATRX,918
ABCB1,ATP binding cassette subfamily B member 1 ,ABCB1,1774
FOLH1,folate hydrolase 1 ,FOLH1,50
NME8,NME/NM23 family member 8 ,NME8,2
HSD17B2,hydroxysteroid 17-beta dehydrogenase 2 ,HSD17B2,49
HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 ",HUWE1,71
SLC9A1,solute carrier family 9 member A1 ,SLC9A1,22
CD209,CD209 molecule ,CD209,52
PLEKHG2,pleckstrin homology and RhoGEF domain containing G2 ,PLEKHG2,3
LAMB4,laminin subunit beta 4 ,LAMB4,6
SNAP23,synaptosome associated protein 23 ,SNAP23,35
SH2D3C,SH2 domain containing 3C ,SH2D3C,3
IL11,interleukin 11 ,IL11,416
TREM2,triggering receptor expressed on myeloid cells 2 ,TREM2,110
LZTR1,leucine zipper like post translational regulator 1 ,LZTR1,97
PLA2G3,phospholipase A2 group III ,PLA2G3,7
RAB36,"RAB36, member RAS oncogene family ",RAB36,9
MCM5,minichromosome maintenance complex component 5 ,MCM5,120
TTLL12,tubulin tyrosine ligase like 12 ,TTLL12,8
RAE1,ribonucleic acid export 1 ,RAE1,39
CRNKL1,crooked neck pre-mRNA splicing factor 1 ,CRNKL1,3
MAPRE1,microtubule associated protein RP/EB family member 1 ,MAPRE1,22
CDH20,cadherin 20 ,CDH20,3
PSMD10,"proteasome 26S subunit, non-ATPase 10 ",PSMD10,34
FMR1,fragile X messenger ribonucleoprotein 1 ,FMR1,73
MAGT1,magnesium transporter 1 ,MAGT1,28
USP11,ubiquitin specific peptidase 11 ,USP11,49
MAPK3,mitogen-activated protein kinase 3 ,MAPK3,179
CENPT,centromere protein T ,CENPT,3
CCL17,C-C motif chemokine ligand 17 ,CCL17,215
NME4,NME/NM23 nucleoside diphosphate kinase 4 ,NME4,19
SLC7A5,solute carrier family 7 member 5 ,SLC7A5,154
EARS2,"glutamyl-tRNA synthetase 2, mitochondrial ",EARS2,2
CA2,carbonic anhydrase 2 ,CA2,7374
EYA1,EYA transcriptional coactivator and phosphatase 1 ,EYA1,31
POP1,"POP1 homolog, ribonuclease P/MRP subunit ",POP1,16
JPH1,junctophilin 1 ,JPH1,3
FBL,fibrillarin ,FBL,50
CD33,CD33 molecule ,CD33,2231
CARD8,caspase recruitment domain family member 8 ,CARD8,25
DNAJC2,DnaJ heat shock protein family (Hsp40) member C2 ,DNAJC2,5
WNT2,Wnt family member 2 ,WNT2,158
HOXA6,homeobox A6 ,HOXA6,21
MEOX2,mesenchyme homeobox 2 ,MEOX2,32
GCK,glucokinase ,GCK,39
ENG,endoglin ,ENG,202
RIC1,"RIC1 homolog, RAB6A GEF complex partner 1 ",RIC1,1
RUNDC3A,RUN domain containing 3A ,RUNDC3A,6
WNT3,Wnt family member 3 ,WNT3,121
SLC6A4,solute carrier family 6 member 4 ,SLC6A4,29
CCL8,C-C motif chemokine ligand 8 ,CCL8,103
LRRC59,leucine rich repeat containing 59 ,LRRC59,14
PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha ,PRKAR1A,367
NHERF1,NHERF family PDZ scaffold protein 1 ,NHERF1,82
NMU,neuromedin U ,NMU,120
SELPLG,selectin P ligand ,SELPLG,13
ADGRD1,adhesion G protein-coupled receptor D1 ,ADGRD1,8
CHD4,chromodomain helicase DNA binding protein 4 ,CHD4,84
BACH2,BTB domain and CNC homolog 2 ,BACH2,73
QKI,"QKI, KH domain containing RNA binding ",QKI,129
LAMA4,laminin subunit alpha 4 ,LAMA4,40
HSPA9,heat shock protein family A (Hsp70) member 9 ,HSPA9,56
SKP1,S-phase kinase associated protein 1 ,SKP1,252
BCL6,BCL6 transcription repressor ,BCL6,2423
IL1A,interleukin 1 alpha ,IL1A,198
KCNIP3,potassium voltage-gated channel interacting protein 3 ,KCNIP3,3
FANCL,FA complementation group L ,FANCL,50
IGFBP2,insulin like growth factor binding protein 2 ,IGFBP2,633
IGFBP5,insulin like growth factor binding protein 5 ,IGFBP5,255
IL1R1,interleukin 1 receptor type 1 ,IL1R1,96
FHL2,four and a half LIM domains 2 ,FHL2,102
SUMO1,small ubiquitin like modifier 1 ,SUMO1,198
GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B ,GRIN3B,2
EPHA4,EPH receptor A4 ,EPHA4,88
ACTL8,actin like 8 ,ACTL8,7
PLA2G2D,phospholipase A2 group IID ,PLA2G2D,13
ATP6V0B,ATPase H+ transporting V0 subunit b ,ATP6V0B,5
STMN1,stathmin 1 ,STMN1,227
TXNDC12,thioredoxin domain containing 12 ,TXNDC12,7
STK11,serine/threonine kinase 11 ,STK11,1012
SLC8A2,solute carrier family 8 member A2 ,SLC8A2,5
CREB1,cAMP responsive element binding protein 1 ,CREB1,375
CNR1,cannabinoid receptor 1 ,CNR1,40
CPSF3,cleavage and polyadenylation specific factor 3 ,CPSF3,12
RAD23B,"RAD23 homolog B, nucleotide excision repair protein ",RAD23B,49
ABCD4,ATP binding cassette subfamily D member 4 ,ABCD4,7
GOT1,glutamic-oxaloacetic transaminase 1 ,GOT1,94
CRHR1,corticotropin releasing hormone receptor 1 ,CRHR1,35
DUSP1,dual specificity phosphatase 1 ,DUSP1,197
TAS2R10,taste 2 receptor member 10 ,TAS2R10,1
RECK,reversion inducing cysteine rich protein with kazal motifs ,RECK,284
ZWINT,ZW10 interacting kinetochore protein ,ZWINT,56
STX16,syntaxin 16 ,STX16,2
STAMBP,STAM binding protein ,STAMBP,11
USP9X,ubiquitin specific peptidase 9 X-linked ,USP9X,143
RPS10,ribosomal protein S10 ,RPS10,7
NUP153,nucleoporin 153 ,NUP153,13
TRIP10,thyroid hormone receptor interactor 10 ,TRIP10,6
SNRPB2,small nuclear ribonucleoprotein polypeptide B2 ,SNRPB2,5
CCR7,C-C motif chemokine receptor 7 ,CCR7,839
BCL11B,BCL11 transcription factor B ,BCL11B,118
MASP1,MBL associated serine protease 1 ,MASP1,17
YEATS4,YEATS domain containing 4 ,YEATS4,20
TAS2R5,taste 2 receptor member 5 ,TAS2R5,0
PLA2G5,phospholipase A2 group V ,PLA2G5,6
SYNGR3,synaptogyrin 3 ,SYNGR3,3
GNAI1,G protein subunit alpha i1 ,GNAI1,21
LRFN1,leucine rich repeat and fibronectin type III domain containing 1 ,LRFN1,5
ZFP36,ZFP36 ring finger protein ,ZFP36,74
YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta ,YWHAH,17
MRPS12,mitochondrial ribosomal protein S12 ,MRPS12,3
MYO5C,myosin VC ,MYO5C,2
SNX6,sorting nexin 6 ,SNX6,4
EPO,erythropoietin ,EPO,1310
PAK4,p21 (RAC1) activated kinase 4 ,PAK4,207
AKAP12,A-kinase anchoring protein 12 ,AKAP12,116
RAMP2,receptor activity modifying protein 2 ,RAMP2,31
GRSF1,G-rich RNA sequence binding factor 1 ,GRSF1,7
ZRANB2,zinc finger RANBP2-type containing 2 ,ZRANB2,5
BCAN,brevican ,BCAN,40
PATJ,PATJ crumbs cell polarity complex component ,PATJ,8
EPHB2,EPH receptor B2 ,EPHB2,190
MYH11,myosin heavy chain 11 ,MYH11,472
SFTPD,surfactant protein D ,SFTPD,15
MED6,mediator complex subunit 6 ,MED6,1
ADAM20,ADAM metallopeptidase domain 20 ,ADAM20,1
STK26,serine/threonine kinase 26 ,STK26,3
PIWIL4,piwi like RNA-mediated gene silencing 4 ,PIWIL4,28
HOOK1,hook microtubule tethering protein 1 ,HOOK1,20
KCNK1,potassium two pore domain channel subfamily K member 1 ,KCNK1,10
STAB2,stabilin 2 ,STAB2,10
CALCOCO2,calcium binding and coiled-coil domain 2 ,CALCOCO2,9
DERL1,derlin 1 ,DERL1,11
IRF4,interferon regulatory factor 4 ,IRF4,700
MRPL15,mitochondrial ribosomal protein L15 ,MRPL15,3
LRPPRC,leucine rich pentatricopeptide repeat containing ,LRPPRC,53
ARL3,ADP ribosylation factor like GTPase 3 ,ARL3,3
CEP55,centrosomal protein 55 ,CEP55,145
STAT4,signal transducer and activator of transcription 4 ,STAT4,168
MSTN,myostatin ,MSTN,18
BMPR1B,bone morphogenetic protein receptor type 1B ,BMPR1B,54
RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1 ,RAP1GDS1,23
CENPE,centromere protein E ,CENPE,93
PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma ,PIK3C2G,16
GIT2,GIT ArfGAP 2 ,GIT2,16
FAM222A,family with sequence similarity 222 member A ,FAM222A,2
PCSK6,proprotein convertase subtilisin/kexin type 6 ,PCSK6,13
DET1,DET1 partner of COP1 E3 ubiquitin ligase ,DET1,8
MAP1LC3B,microtubule associated protein 1 light chain 3 beta ,MAP1LC3B,131
SKAP1,src kinase associated phosphoprotein 1 ,SKAP1,18
PLPP2,phospholipid phosphatase 2 ,PLPP2,3
TMCO1,transmembrane and coiled-coil domains 1 ,TMCO1,6
CERS2,ceramide synthase 2 ,CERS2,24
EFNA3,ephrin A3 ,EFNA3,31
PKLR,pyruvate kinase L/R ,PKLR,30
ACTA1,"actin alpha 1, skeletal muscle ",ACTA1,14
PDIA6,protein disulfide isomerase family A member 6 ,PDIA6,33
CALM2,calmodulin 2 ,CALM2,19
CIAO1,cytosolic iron-sulfur assembly component 1 ,CIAO1,3
BTF3,basic transcription factor 3 ,BTF3,32
ARHGAP26,Rho GTPase activating protein 26 ,ARHGAP26,29
VIP,vasoactive intestinal peptide ,VIP,2098
CREB5,cAMP responsive element binding protein 5 ,CREB5,31
RAB41,"RAB41, member RAS oncogene family ",RAB41,0
GPC3,glypican 3 ,GPC3,676
PLPP5,phospholipid phosphatase 5 ,PLPP5,3
WDR31,WD repeat domain 31 ,WDR31,0
SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor ",SEC16A,9
ESAM,endothelial cell adhesion molecule ,ESAM,13
ADGRL3,adhesion G protein-coupled receptor L3 ,ADGRL3,5
ITIH2,inter-alpha-trypsin inhibitor heavy chain 2 ,ITIH2,17
DST,dystonin ,DST,391
KCNK13,potassium two pore domain channel subfamily K member 13 ,KCNK13,0
MARVELD2,MARVEL domain containing 2 ,MARVELD2,1
MR1,"major histocompatibility complex, class I-related ",MR1,107
CENPH,centromere protein H ,CENPH,24
RBMS1,RNA binding motif single stranded interacting protein 1 ,RBMS1,20
GRAP,GRB2 related adaptor protein ,GRAP,6
THY1,Thy-1 cell surface antigen ,THY1,352
ANGPT1,angiopoietin 1 ,ANGPT1,76
BUB3,BUB3 mitotic checkpoint protein ,BUB3,75
JAM2,junctional adhesion molecule 2 ,JAM2,21
AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5 ,AGPAT5,2
USP25,ubiquitin specific peptidase 25 ,USP25,21
RHOC,ras homolog family member C ,RHOC,377
TTN,titin ,TTN,241
FMN2,formin 2 ,FMN2,24
GNAQ,G protein subunit alpha q ,GNAQ,485
RPGR,retinitis pigmentosa GTPase regulator ,RPGR,1
PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta ,PPP2R2B,25
RBPMS,"RNA binding protein, mRNA processing factor ",RBPMS,40
KIT,"KIT proto-oncogene, receptor tyrosine kinase ",KIT,20101
TSC22D3,TSC22 domain family member 3 ,TSC22D3,13
KCNB1,potassium voltage-gated channel subfamily B member 1 ,KCNB1,12
C1R,complement C1r ,C1R,82
ARHGAP35,Rho GTPase activating protein 35 ,ARHGAP35,19
TFF1,trefoil factor 1 ,TFF1,370
PRMT2,protein arginine methyltransferase 2 ,PRMT2,19
FCN2,ficolin 2 ,FCN2,10
KASH5,KASH domain containing 5 ,KASH5,2
CXCL16,C-X-C motif chemokine ligand 16 ,CXCL16,185
SNRNP25,small nuclear ribonucleoprotein U11/U12 subunit 25 ,SNRNP25,3
SHANK2,SH3 and multiple ankyrin repeat domains 2 ,SHANK2,26
LRP5,LDL receptor related protein 5 ,LRP5,162
PLPP3,phospholipid phosphatase 3 ,PLPP3,2
WNT4,Wnt family member 4 ,WNT4,129
NCSTN,nicastrin ,NCSTN,10
DISC1,DISC1 scaffold protein ,DISC1,46
S100A12,S100 calcium binding protein A12 ,S100A12,55
DAPL1,death associated protein like 1 ,DAPL1,4
CLDN1,claudin 1 ,CLDN1,185
NAXE,NAD(P)HX epimerase ,NAXE,2
LMOD1,leiomodin 1 ,LMOD1,9
CTLA4,cytotoxic T-lymphocyte associated protein 4 ,CTLA4,4768
MEAF6,MYST/Esa1 associated factor 6 ,MEAF6,23
MAD2L1,mitotic arrest deficient 2 like 1 ,MAD2L1,152
FABP5,fatty acid binding protein 5 ,FABP5,156
COL1A2,collagen type I alpha 2 chain ,COL1A2,234
AQP7,aquaporin 7 ,AQP7,28
JAM3,junctional adhesion molecule 3 ,JAM3,35
ARIH1,ariadne RBR E3 ubiquitin protein ligase 1 ,ARIH1,12
DCHS1,dachsous cadherin-related 1 ,DCHS1,5
CRABP1,cellular retinoic acid binding protein 1 ,CRABP1,83
PRKCB,protein kinase C beta ,PRKCB,68
MCM7,minichromosome maintenance complex component 7 ,MCM7,221
TMED3,transmembrane p24 trafficking protein 3 ,TMED3,16
IGF2,insulin like growth factor 2 ,IGF2,1365
POP5,"POP5 homolog, ribonuclease P/MRP subunit ",POP5,1
RHOH,ras homolog family member H ,RHOH,46
AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2 ,AGPAT2,8
GLB1,galactosidase beta 1 ,GLB1,22
SMAD1,SMAD family member 1 ,SMAD1,311
ADORA2B,adenosine A2b receptor ,ADORA2B,22
DLGAP1,DLG associated protein 1 ,DLGAP1,39
SOCS6,suppressor of cytokine signaling 6 ,SOCS6,43
LPAR3,lysophosphatidic acid receptor 3 ,LPAR3,40
BCL2,BCL2 apoptosis regulator ,BCL2,31082
RRM2,ribonucleotide reductase regulatory subunit M2 ,RRM2,432
EIF2AK3,eukaryotic translation initiation factor 2 alpha kinase 3 ,EIF2AK3,41
NME6,NME/NM23 nucleoside diphosphate kinase 6 ,NME6,5
ARNT2,aryl hydrocarbon receptor nuclear translocator 2 ,ARNT2,23
HOXC5,homeobox C5 ,HOXC5,15
HPSE2,heparanase 2 (inactive) ,HPSE2,13
NABP1,nucleic acid binding protein 1 ,NABP1,4
TCAP,titin-cap ,TCAP,18
EXO1,exonuclease 1 ,EXO1,184
CTBP2,C-terminal binding protein 2 ,CTBP2,75
UBE2C,ubiquitin conjugating enzyme E2 C ,UBE2C,256
CATSPER1,cation channel sperm associated 1 ,CATSPER1,2
CCNE2,cyclin E2 ,CCNE2,141
RIMS2,regulating synaptic membrane exocytosis 2 ,RIMS2,11
BDNF,brain derived neurotrophic factor ,BDNF,676
CLVS1,clavesin 1 ,CLVS1,0
SUMO4,small ubiquitin like modifier 4 ,SUMO4,2
PPP1R42,protein phosphatase 1 regulatory subunit 42 ,PPP1R42,0
PLEC,plectin ,PLEC,35
MAB21L1,mab-21 like 1 ,MAB21L1,2
ADIPOQ,"adiponectin, C1Q and collagen domain containing ",ADIPOQ,172
NPM1,nucleophosmin 1 ,NPM1,1985
CLDN7,claudin 7 ,CLDN7,64
TRAPPC6B,trafficking protein particle complex subunit 6B ,TRAPPC6B,0
BEGAIN,brain enriched guanylate kinase associated ,BEGAIN,0
ALYREF,Aly/REF export factor ,ALYREF,36
SRPK3,SRSF protein kinase 3 ,SRPK3,2
PKP3,plakophilin 3 ,PKP3,43
COPB2,COPI coat complex subunit beta 2 ,COPB2,20
JAG2,jagged canonical Notch ligand 2 ,JAG2,67
MAGEA11,MAGE family member A11 ,MAGEA11,36
MAPK11,mitogen-activated protein kinase 11 ,MAPK11,33
NRG3,neuregulin 3 ,NRG3,24
POMK,protein O-mannose kinase ,POMK,2
BACE1,beta-secretase 1 ,BACE1,108
FANCM,FA complementation group M ,FANCM,86
SELL,selectin L ,SELL,103
CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin ",CLN3,21
ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide ",ADH7,27
TRRAP,transformation/transcription domain associated protein ,TRRAP,66
XRCC6,X-ray repair cross complementing 6 ,XRCC6,57
PIWIL2,piwi like RNA-mediated gene silencing 2 ,PIWIL2,72
COL13A1,collagen type XIII alpha 1 chain ,COL13A1,16
MFAP5,microfibril associated protein 5 ,MFAP5,31
MYH6,myosin heavy chain 6 ,MYH6,14
DLGAP2,DLG associated protein 2 ,DLGAP2,1
WDHD1,WD repeat and HMG-box DNA binding protein 1 ,WDHD1,19
CTNND1,catenin delta 1 ,CTNND1,65
RYR2,ryanodine receptor 2 ,RYR2,47
ARHGEF15,Rho guanine nucleotide exchange factor 15 ,ARHGEF15,4
CENPW,centromere protein W ,CENPW,7
PLPP4,phospholipid phosphatase 4 ,PLPP4,3
ZYG11A,"zyg-11 family member A, cell cycle regulator ",ZYG11A,2
MRPL38,mitochondrial ribosomal protein L38 ,MRPL38,4
CFI,complement factor I ,CFI,317
TSN,translin ,TSN,71
TAS2R14,taste 2 receptor member 14 ,TAS2R14,8
MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L ,MT-ND4L,1
SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit ",SUPT4H1,3
VDAC1,voltage dependent anion channel 1 ,VDAC1,184
SYCE3,synaptonemal complex central element protein 3 ,SYCE3,0
PPP1R3G,protein phosphatase 1 regulatory subunit 3G ,PPP1R3G,2
C4B,complement C4B (Chido/Rodgers blood group) ,C4B,117
MCTS1,MCTS1 re-initiation and release factor ,MCTS1,11
UQCRHL,ubiquinol-cytochrome c reductase hinge protein like ,UQCRHL,0
GET4,guided entry of tail-anchored proteins factor 4 ,GET4,5
MIF,macrophage migration inhibitory factor ,MIF,912
ERVW-1,"endogenous retrovirus group W member 1, envelope ",ERVW-1,6
EFNA4,ephrin A4 ,EFNA4,17
BCKDHA,branched chain keto acid dehydrogenase E1 subunit alpha ,BCKDHA,8
PDCD6,programmed cell death 6 ,PDCD6,30
PCDHA10,protocadherin alpha 10 ,PCDHA10,1
NACA2,nascent polypeptide associated complex subunit alpha 2 ,NACA2,0
TAS2R20,taste 2 receptor member 20 ,TAS2R20,0
HP,haptoglobin ,haptoglobin ,775
DYNLL2,dynein light chain LC8-type 2 ,DYNLL2,3
GABRQ,gamma-aminobutyric acid type A receptor subunit theta ,GABRQ,3
H2BC8,H2B clustered histone 8 ,H2BC8,0
H3C8,H3 clustered histone 8 ,H3C8,0
H3C6,H3 clustered histone 6 ,H3C6,0
CFH,complement factor H ,CFH,73
SLC25A5,solute carrier family 25 member 5 ,SLC25A5,15
MYCBP2,MYC binding protein 2 ,MYCBP2,14
TNFRSF12A,TNF receptor superfamily member 12A ,TNFRSF12A,51
NOS2,nitric oxide synthase 2 ,NOS2,280
CYTH3,cytohesin 3 ,CYTH3,3
MASP2,MBL associated serine protease 2 ,MASP2,37
DCN,decorin ,DCN,178
CD22,CD22 molecule ,CD22,1410
NRXN3,neurexin 3 ,NRXN3,19
STRAP,serine/threonine kinase receptor associated protein ,STRAP,259
TNFRSF1B,TNF receptor superfamily member 1B ,TNFRSF1B,52
BAK1,BCL2 antagonist/killer 1 ,BAK1,166
PNPLA6,patatin like phospholipase domain containing 6 ,PNPLA6,3
MYOC,myocilin ,MYOC,11
DNAH5,dynein axonemal heavy chain 5 ,DNAH5,19
RAB27B,"RAB27B, member RAS oncogene family ",RAB27B,66
MED17,mediator complex subunit 17 ,MED17,5
LMO3,LIM domain only 3 ,LMO3,35
FAM120A,family with sequence similarity 120 member A ,FAM120A,7
TNFRSF9,TNF receptor superfamily member 9 ,TNFRSF9,75
FOXP3,forkhead box P3 ,FOXP3,3922
COL23A1,collagen type XXIII alpha 1 chain ,COL23A1,5
GYG2,glycogenin 2 ,GYG2,2
GDI2,GDP dissociation inhibitor 2 ,GDI2,20
HDAC7,histone deacetylase 7 ,HDAC7,90
AHRR,aryl hydrocarbon receptor repressor ,AHRR,89
HMG20B,high mobility group 20B ,HMG20B,6
MCM10,minichromosome maintenance 10 replication initiation factor ,MCM10,61
GSTO2,glutathione S-transferase omega 2 ,GSTO2,38
NGEF,neuronal guanine nucleotide exchange factor ,NGEF,3
ATXN3,ataxin 3 ,ATXN3,27
PLPP1,phospholipid phosphatase 1 ,PLPP1,5
IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial ",IARS2,6
HYAL2,hyaluronidase 2 ,HYAL2,75
FGFR3,fibroblast growth factor receptor 3 ,FGFR3,1459
NUP133,nucleoporin 133 ,NUP133,3
RORA,RAR related orphan receptor A ,RORA,85
TGFBR3,transforming growth factor beta receptor 3 ,TGFBR3,103
POLB,DNA polymerase beta ,POLB,54
ATP2B1,ATPase plasma membrane Ca2+ transporting 1 ,ATP2B1,16
PALS1,"protein associated with LIN7 1, MAGUK p55 family member ",PALS1,11
ALPK1,alpha kinase 1 ,ALPK1,14
SDHA,succinate dehydrogenase complex flavoprotein subunit A ,SDHA,328
SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 ",SMARCE1,60
ENO1,enolase 1 ,ENO1,284
TIPIN,TIMELESS interacting protein ,TIPIN,30
TUBA3D,tubulin alpha 3d ,TUBA3D,4
KLHL20,kelch like family member 20 ,KLHL20,10
SPAG6,sperm associated antigen 6 ,SPAG6,18
SMC1B,structural maintenance of chromosomes 1B ,SMC1B,10
PCM1,pericentriolar material 1 ,PCM1,76
RAPGEF3,Rap guanine nucleotide exchange factor 3 ,RAPGEF3,8
LIPE,"lipase E, hormone sensitive type ",LIPE,25
CDH7,cadherin 7 ,CDH7,6
FYB1,FYN binding protein 1 ,FYB1,1
REST,RE1 silencing transcription factor ,REST,10775
MAPRE3,microtubule associated protein RP/EB family member 3 ,MAPRE3,5
MECOM,MDS1 and EVI1 complex locus ,MECOM,122
SCAMP1,secretory carrier membrane protein 1 ,SCAMP1,10
WDFY1,WD repeat and FYVE domain containing 1 ,WDFY1,4
CTTN,cortactin ,CTTN,95
BAX,"BCL2 associated X, apoptosis regulator ",BAX,15735
NLK,nemo like kinase ,NLK,89
TPX2,TPX2 microtubule nucleation factor ,TPX2,254
