,gene_id,search_string,MeSH_count
794,CCL21,"(""CCL21"" OR ""6Ckine"" OR ""CKb9"" OR ""ECL"" OR ""SCYA21"" OR ""SLC"" OR ""TCA4"")",5700
795,CCL22,"(""CCL22"" OR ""A-152E5.1"" OR ""ABCD-1"" OR ""DC/B-CK"" OR ""MDC"" OR ""SCYA22"" OR ""STCP-1"")",7263
796,CCL23,"(""CCL23"" OR ""CK-BETA-8"" OR ""CKb8"" OR ""Ckb-8"" OR ""Ckb-8-1"" OR ""MIP-3"" OR ""MIP3"" OR ""MPIF-1"" OR ""SCYA23"" OR ""hmrp-2a"")",282
797,CCL27,"(""CCL27"" OR ""ALP"" OR ""CTACK"" OR ""CTAK"" OR ""ESKINE"" OR ""ILC"" OR ""PESKY"" OR ""SCYA27"")",16844
798,CCL3L3,"(""CCL3L3"" OR ""464.2"" OR ""D17S1718"" OR ""G0S19-2"" OR ""LD78"" OR ""LD78BETA"" OR ""SCYA3L"" OR ""SCYA3L1"")",115
799,CCL4,"(""CCL4"" OR ""ACT2"" OR ""AT744.1"" OR ""G-26"" OR ""HC21"" OR ""LAG-1"" OR ""LAG1"" OR ""MIP-1-beta"" OR ""MIP1B"" OR ""MIP1B1"" OR ""SCYA2"" OR ""SCYA4"")",5942
800,CCL4L2,"(""CCL4L2"" OR ""AT744.2"" OR ""CCL4L"" OR ""SCYA4L"" OR ""SCYQ4L2"")",29
801,CCL5,"(""CCL5"" OR ""D17S136E"" OR ""RANTES"" OR ""SCYA5"" OR ""SIS-delta"" OR ""SISd"" OR ""TCP228"" OR ""eoCP"")",8872
802,CCL7,"(""CCL7"" OR ""FIC"" OR ""MARC"" OR ""MCP-3"" OR ""MCP3"" OR ""NC28"" OR ""SCYA6"" OR ""SCYA7"")",33284
803,CCL8,"(""CCL8"" OR ""HC14"" OR ""MCP-2"" OR ""MCP2"" OR ""SCYA10"" OR ""SCYA8"")",806
804,CCN1,"(""CCN1"" OR ""CYR61"" OR ""GIG1"" OR ""IGFBP10"")",1050
805,CCN3,"(""CCN3"" OR ""IBP-9"" OR ""IGFBP-9"" OR ""IGFBP9"" OR ""NOV"" OR ""NOVh"")",2161112
806,CCN4,"(""CCN4"" OR ""WISP1"" OR ""WISP1-OT1"" OR ""WISP1-UT1"" OR ""WISP1c"" OR ""WISP1i"" OR ""WISP1tc"")",332
807,CCNA2,"(""CCNA2"" OR ""CCN1"" OR ""CCNA"")",1327
808,CCNB1,"(""CCNB1"" OR ""CCNB"")",1825
809,CCNB2,"(""CCNB2"" OR ""HsT17299"")",293
810,CCNB3,"(""CCNB3"" OR ""CYCB3"")",103
811,CCND1,"(""CCND1"" OR ""BCL1"" OR ""D11S287E"" OR ""PRAD1"" OR ""U21B31"")",6151
812,CCNDBP1,"(""CCNDBP1"" OR ""DIP1"" OR ""GCIP"" OR ""HHM"")",415
813,CCNE1,"(""CCNE1"" OR ""CCNE"" OR ""pCCNE1"")",1044
814,CCNE2,"(""CCNE2"" OR ""CYCE2"")",243
815,CCNF,"(""CCNF"" OR ""FBX1"" OR ""FBXO1"" OR ""FTDALS5"")",125
816,CCNL1,"(""CCNL1"" OR ""ANIA6A"" OR ""BM-001"" OR ""PRO1073"" OR ""ania-6a"")",41
817,CCNL2,"(""CCNL2"" OR ""ANIA-6B"" OR ""CCNM"" OR ""CCNS"" OR ""HCLA-ISO"" OR ""HLA-ISO"" OR ""PCEE"" OR ""SB138"")",363
818,CCNO,"(""CCNO"" OR ""CCNU"" OR ""CILD29"" OR ""UDG2"")",1965
819,CCNP,"(""CCNP"" OR ""CNTD2"")",40
820,CCPG1,"(""CCPG1"" OR ""CPR8"")",31
821,CCR1,"(""CCR1"" OR ""CD191"" OR ""CKR-1"" OR ""CKR1"" OR ""CMKBR1"" OR ""HM145"" OR ""MIP1aR"" OR ""SCYAR1"")",1253
822,CCR10,"(""CCR10"" OR ""GPR2"")",347
823,CCR2,"(""CCR2"" OR ""CC-CKR-2"" OR ""CCR-2"" OR ""CCR2A"" OR ""CCR2B"" OR ""CD192"" OR ""CKR2"" OR ""CKR2A"" OR ""CKR2B"" OR ""CMKBR2"" OR ""MCP-1-R"" OR ""PCLUD"")",3505
824,CCR3,"(""CCR3"" OR ""C C CKR3"" OR ""CC-CKR-3"" OR ""CD193"" OR ""CKR 3"" OR ""CKR3"" OR ""CMKBR3"")",1361
825,CCR4,"(""CCR4"" OR ""CC-CKR-4"" OR ""CD194"" OR ""CKR4"" OR ""CMKBR4"" OR ""ChemR13"" OR ""HGCN:14099"" OR ""K5-5"")",2047
826,CCR5,"(""CCR5"" OR ""CC-CKR-5"" OR ""CCCKR5"" OR ""CCR-5"" OR ""CD195"" OR ""CKR-5"" OR ""CKR5"" OR ""CMKBR5"" OR ""IDDM22"")",8854
827,CCR6,"(""CCR6"" OR ""BN-1"" OR ""C-C CKR-6"" OR ""CC-CKR-6"" OR ""CCR-6"" OR ""CD196"" OR ""CKR-L3"" OR ""CKRL3"" OR ""CMKBR6"" OR ""DCR2"" OR ""DRY6"" OR ""GPR29"" OR ""GPRCY4"" OR ""STRL22"")",1938
828,CCR7,"(""CCR7"" OR ""BLR2"" OR ""CC-CKR-7"" OR ""CCR-7"" OR ""CD197"" OR ""CDw197"" OR ""CMKBR7"" OR ""EBI1"")",3388
829,CCR8,"(""CCR8"" OR ""CC-CKR-8"" OR ""CCR-8"" OR ""CDw198"" OR ""CKRL1"" OR ""CMKBR8"" OR ""CMKBRL2"" OR ""CY6"" OR ""GPRCY6"" OR ""TER1"")",409
830,CCRL2,"(""CCRL2"" OR ""ACKR5"" OR ""CKRX"" OR ""CRAM"" OR ""CRAM-A"" OR ""CRAM-B"" OR ""HCR"")",2316
831,CCS,"(""CCS"")",10919
832,CCT2,"(""CCT2"" OR ""99D8.1"" OR ""CCT-beta"" OR ""CCTB"" OR ""HEL-S-100n"" OR ""PRO1633"" OR ""TCP-1-beta"")",107
833,CCT3,"(""CCT3"" OR ""CCT-gamma"" OR ""CCTG"" OR ""PIG48"" OR ""TCP-1-gamma"" OR ""TRIC5"")",446
834,CCT5,"(""CCT5"" OR ""CCT-epsilon"" OR ""CCTE"" OR ""HEL-S-69"" OR ""HSNSP"" OR ""PNAS-102"" OR ""TCP-1-epsilon"")",99
835,CCT6A,"(""CCT6A"" OR ""CCT-zeta"" OR ""CCT-zeta-1"" OR ""CCT6"" OR ""Cctz"" OR ""HTR3"" OR ""MoDP-2"" OR ""TCP-1-zeta"" OR ""TCP20"" OR ""TCPZ"" OR ""TTCP20"")",95
836,CCT7,"(""CCT7"" OR ""CCTETA"" OR ""CCTH"" OR ""NIP7-1"" OR ""TCP1ETA"")",63
837,CD163,"(""CD163"" OR ""M130"" OR ""MM130"" OR ""SCARI1"")",4295
838,CD164,"(""CD164"" OR ""DFNA66"" OR ""MGC-24"" OR ""MGC-24v"" OR ""MUC-24"" OR ""endolyn"")",110
839,CD177,"(""CD177"" OR ""HNA-2a"" OR ""HNA2A"" OR ""NB1"" OR ""NB1 GP"" OR ""PRV-1"" OR ""PRV1"")",539
840,CD180,"(""CD180"" OR ""LY64"" OR ""Ly78"" OR ""RP105"")",154
841,CD19,"(""CD19"" OR ""B4"" OR ""CVID3"")",27519
842,CD1A,"(""CD1A"" OR ""CD1"" OR ""FCB6"" OR ""HTA1"" OR ""R4"" OR ""T6"")",17518
843,CD1B,"(""CD1B"" OR ""CD1"" OR ""CD1A"" OR ""R1"")",22863
844,CD1C,"(""CD1C"" OR ""BDCA1"" OR ""CD1"" OR ""CD1A"" OR ""R7"")",9058
845,CD1E,"(""CD1E"" OR ""CD1A"" OR ""R2"")",80563
846,CD2,"(""CD2"" OR ""LFA-2"" OR ""SRBC"" OR ""T11"")",13472
847,CD207,"(""CD207"" OR ""CLEC4K"")",496
848,CD209,"(""CD209"" OR ""CDSIGN"" OR ""CLEC4L"" OR ""DC-SIGN"" OR ""DC-SIGN1"" OR ""hDC-SIGN"")",1660
849,CD22,"(""CD22"" OR ""SIGLEC-2"" OR ""SIGLEC2"")",2299
850,CD226,"(""CD226"" OR ""DNAM-1"" OR ""DNAM1"" OR ""PTA1"" OR ""TLiSA1"")",758
851,CD24,"(""CD24"" OR ""CD24A"")",3253
852,CD248,"(""CD248"" OR ""CD164L1"" OR ""TEM1"")",739
853,CD27,"(""CD27"" OR ""S152"" OR ""S152. LPFS2"" OR ""T14"" OR ""TNFRSF7"" OR ""Tp55"")",6439
854,CD274,"(""CD274"" OR ""B7-H"" OR ""B7H1"" OR ""PD-L1"" OR ""PDCD1L1"" OR ""PDCD1LG1"" OR ""PDL1"" OR ""hPD-L1"")",25147
855,CD2AP,"(""CD2AP"" OR ""CMS"")",18703
856,CD300LF,"(""CD300LF"" OR ""CD300f"" OR ""CLM-1"" OR ""CLM1"" OR ""IREM-1"" OR ""IREM1"" OR ""IgSF13"" OR ""LMIR3"" OR ""NKIR"")",78
857,CD302,"(""CD302"" OR ""BIMLEC"" OR ""CLEC13A"" OR ""DCL-1"" OR ""DCL1"")",37
858,CD33,"(""CD33"" OR ""CD33rSiglec"" OR ""SIGLEC-3"" OR ""SIGLEC3"" OR ""p67"")",4313
859,CD34,"(""CD34"")",34970
860,CD36,"(""CD36"" OR ""BDPLT10"" OR ""CHDS7"" OR ""FAT"" OR ""GP3B"" OR ""GP4"" OR ""GPIV"" OR ""PASIV"" OR ""SCARB3"")",203290
861,CD3D,"(""CD3D"" OR ""CD3-DELTA"" OR ""CD3DELTA"" OR ""IMD19"" OR ""T3D"")",560
862,CD3E,"(""CD3E"" OR ""CD3epsilon"" OR ""IMD18"" OR ""T3E"" OR ""TCRE"")",1029
863,CD3G,"(""CD3G"" OR ""CD3-GAMMA"" OR ""CD3GAMMA"" OR ""IMD17"" OR ""T3G"")",375
864,CD4,"(""CD4"" OR ""CD4mut"" OR ""IMD79"" OR ""Leu-3"" OR ""OKT4D"" OR ""T4"")",180092
865,CD40,"(""CD40"" OR ""Bp50"" OR ""CDW40"" OR ""TNFRSF5"" OR ""p50"")",96755
866,CD40LG,"(""CD40LG"" OR ""CD154"" OR ""CD40L"" OR ""HIGM1"" OR ""IGM"" OR ""IMD3"" OR ""T-BAM"" OR ""TNFSF5"" OR ""TRAP"" OR ""gp39"" OR ""hCD40L"")",76154
867,CD48,"(""CD48"" OR ""BCM1"" OR ""BLAST"" OR ""BLAST1"" OR ""MEM-102"" OR ""SLAMF2"" OR ""hCD48"" OR ""mCD48"")",23172
868,CD5,"(""CD5"" OR ""LEU1"" OR ""T1"")",115443
869,CD52,"(""CD52"" OR ""CDW52"" OR ""EDDM5"" OR ""HE5"")",1140
870,CD53,"(""CD53"" OR ""MOX44"" OR ""TSPAN25"")",194
871,CD58,"(""CD58"" OR ""LFA-3"" OR ""LFA3"" OR ""ag3"")",1665
872,CD59,"(""CD59"" OR ""16.3A5"" OR ""1F5"" OR ""EJ16"" OR ""EJ30"" OR ""EL32"" OR ""G344"" OR ""HRF-20"" OR ""HRF20"" OR ""MAC-IP"" OR ""MACIF"" OR ""MEM43"" OR ""MIC11"" OR ""MIN1"" OR ""MIN2"" OR ""MIN3"" OR ""MIRL"" OR ""MSK21"" OR ""p18-20"")",31834
873,CD6,"(""CD6"" OR ""TP120"")",515
874,CD68,"(""CD68"" OR ""GP110"" OR ""LAMP4"" OR ""SCARD1"")",10960
875,CD69,"(""CD69"" OR ""AIM"" OR ""BL-AC/P26"" OR ""CLEC2C"" OR ""EA1"" OR ""GP32/28"" OR ""MLR-3"")",1233180
876,CD70,"(""CD70"" OR ""CD27-L"" OR ""CD27L"" OR ""CD27LG"" OR ""LPFS3"" OR ""TNFSF7"" OR ""TNLG8A"")",733
877,CD74,"(""CD74"" OR ""CLIP"" OR ""DHLAG"" OR ""HLADG"" OR ""II"" OR ""Ia-GAMMA"" OR ""p33"")",868284
878,CD79A,"(""CD79A"" OR ""IGA"" OR ""IGAlpha"" OR ""MB-1"" OR ""MB1"")",54186
879,CD79B,"(""CD79B"" OR ""AGM6"" OR ""B29"" OR ""IGB"" OR ""Igbeta"")",1808
880,CD80,"(""CD80"" OR ""B7"" OR ""B7-1"" OR ""B7.1"" OR ""BB1"" OR ""CD28LG"" OR ""CD28LG1"" OR ""LAB7"")",29416
881,CD83,"(""CD83"" OR ""BL11"" OR ""HB15"")",2657
882,CD84,"(""CD84"" OR ""LY9B"" OR ""SLAMF5"" OR ""hCD84"" OR ""mCD84"")",113
883,CD86,"(""CD86"" OR ""B7-2"" OR ""B7.2"" OR ""B70"" OR ""CD28LG2"" OR ""LAB72"")",7517
884,CD8A,"(""CD8A"" OR ""CD8"" OR ""CD8alpha"" OR ""IMD116"" OR ""Leu2"" OR ""p32"")",88669
885,CD8B,"(""CD8B"" OR ""CD8B1"" OR ""CD8beta"" OR ""LEU2"" OR ""LY3"" OR ""LYT3"" OR ""Ly-3"" OR ""P37"")",1089
886,CD9,"(""CD9"" OR ""BTCC-1"" OR ""DRAP-27"" OR ""MIC3"" OR ""MRP-1"" OR ""TSPAN-29"" OR ""TSPAN29"")",2396
887,CD93,"(""CD93"" OR ""C1QR1"" OR ""C1qR(P)"" OR ""C1qRP"" OR ""CDw93"" OR ""ECSM3"" OR ""MXRA4"" OR ""dJ737E23.1"")",187
888,CD96,"(""CD96"" OR ""TACTILE"")",14252
889,CDA,"(""CDA"" OR ""CDD"")",5228
890,CDC14B,"(""CDC14B"" OR ""CDC14B3"" OR ""Cdc14B1"" OR ""Cdc14B2"" OR ""hCDC14B"")",59
891,CDC20,"(""CDC20"" OR ""CDC20A"" OR ""OOMD14"" OR ""OZEMA14"" OR ""bA276H19.3"" OR ""p55CDC"")",1005
892,CDC20B,"(""CDC20B"" OR ""G6VTS76519"")",16
893,CDC25A,"(""CDC25A"" OR ""CDC25A2"")",995
894,CDC25C,"(""CDC25C"" OR ""CDC25"" OR ""PPP1R60"")",2402
895,CDC42,"(""CDC42"" OR ""CDC42Hs"" OR ""G25K"" OR ""TKS"")",5115
896,CDC42BPA,"(""CDC42BPA"" OR ""MRCK"" OR ""MRCKA"" OR ""MRCKalpha"" OR ""PK428"")",98
897,CDC42EP2,"(""CDC42EP2"" OR ""BORG1"" OR ""CEP2"")",19
898,CDC42EP3,"(""CDC42EP3"" OR ""BORG2"" OR ""CEP3"" OR ""UB1"")",191
899,CDC42EP5,"(""CDC42EP5"" OR ""Borg3"" OR ""CEP5"")",13
900,CDC45,"(""CDC45"" OR ""CDC45L"" OR ""CDC45L2"" OR ""MGORS7"" OR ""PORC-PI-1"")",302
901,CDC6,"(""CDC6"" OR ""CDC18L"" OR ""HsCDC18"" OR ""HsCDC6"" OR ""MGORS5"")",525
902,CDC7,"(""CDC7"" OR ""CDC7L1"" OR ""HsCDC7"" OR ""Hsk1"" OR ""huCDC7"")",329
903,CDCA2,"(""CDCA2"" OR ""PPP1R81"" OR ""Repo-Man"")",61
904,CDCA3,"(""CDCA3"" OR ""GRCC8"" OR ""TOME-1"" OR ""TOME1"")",68
905,CDCA4,"(""CDCA4"" OR ""HEPP"" OR ""SEI-3/HEPP"")",1266
906,CDCA5,"(""CDCA5"" OR ""SORORIN"")",146
907,CDCA7,"(""CDCA7"" OR ""ICF3"" OR ""JPO1"")",79
908,CDCA8,"(""CDCA8"" OR ""BOR"" OR ""BOREALIN"" OR ""DasraB"" OR ""MESRGP"")",4951
909,CDCP1,"(""CDCP1"" OR ""CD318"" OR ""SIMA135"" OR ""TRASK"")",952
910,CDH1,"(""CDH1"" OR ""Arc-1"" OR ""BCDS1"" OR ""CD324"" OR ""CDHE"" OR ""ECAD"" OR ""LCAM"" OR ""UVO"")",5491
911,CDH11,"(""CDH11"" OR ""CAD11"" OR ""CDHOB"" OR ""ESWS"" OR ""OB"" OR ""OSF-4"" OR ""TBHS2"")",22040
912,CDH13,"(""CDH13"" OR ""CDHH"" OR ""P105"")",1098
913,CDH15,"(""CDH15"" OR ""CDH14"" OR ""CDH3"" OR ""CDHM"" OR ""MCAD"" OR ""MRD3"")",758
914,CDH17,"(""CDH17"" OR ""CDH16"" OR ""HPT-1"" OR ""HPT1"")",262
915,CDH2,"(""CDH2"" OR ""ACOGS"" OR ""ADHD8"" OR ""ARVD14"" OR ""CD325"" OR ""CDHN"" OR ""CDw325"" OR ""NCAD"")",1161
916,CDH20,"(""CDH20"" OR ""CDH7L3"" OR ""Cdh7"")",33
917,CDH23,"(""CDH23"" OR ""CDHR23"" OR ""PITA5"" OR ""USH1D"")",301
918,CDH26,"(""CDH26"" OR ""VR20"")",14
919,CDH3,"(""CDH3"" OR ""CDHP"" OR ""HJMD"" OR ""PCAD"")",572
920,CDH5,"(""CDH5"" OR ""7B4"" OR ""CD144"")",613
921,CDH7,"(""CDH7"" OR ""CDH7L1"")",28
922,CDHR5,"(""CDHR5"" OR ""MLPCDH"" OR ""MU-PCDH"" OR ""MUCDHL"" OR ""MUPCDH"")",28
923,CDK1,"(""CDK1"" OR ""CDC2"" OR ""CDC28A"" OR ""P34CDC2"")",9090
924,CDK11A,"(""CDK11A"" OR ""CDC2L2"" OR ""CDC2L3"" OR ""CDK11-p110"" OR ""CDK11-p46"" OR ""CDK11-p58"" OR ""PITSLRE"" OR ""p58GTA"")",116
925,CDK12,"(""CDK12"" OR ""CRK7"" OR ""CRKR"" OR ""CRKRS"")",417
926,CDK15,"(""CDK15"" OR ""ALS2CR7"" OR ""PFTAIRE2"" OR ""PFTK2"")",13
927,CDK20,"(""CDK20"" OR ""CCRK"" OR ""CDCH"" OR ""P42"" OR ""PNQALRE"")",6840
928,CDK2AP1,"(""CDK2AP1"" OR ""DOC1"" OR ""DORC1"" OR ""ST19"" OR ""doc-1"" OR ""p12DOC-1"")",270
929,CDK3,"(""CDK3"")",91
930,CDK5,"(""CDK5"" OR ""LIS7"" OR ""PSSALRE"")",1528
931,CDK5R1,"(""CDK5R1"" OR ""CDK5P35"" OR ""CDK5R"" OR ""NCK5A"" OR ""p23"" OR ""p25"" OR ""p35"" OR ""p35nck5a"")",6062
932,CDK5RAP2,"(""CDK5RAP2"" OR ""C48"" OR ""Cep215"" OR ""MCPH3"")",291
933,CDK5RAP3,"(""CDK5RAP3"" OR ""C53"" OR ""HSF-27"" OR ""IC53"" OR ""LZAP"" OR ""MST016"" OR ""OK/SW-cl.114"" OR ""PP1553"")",19550
934,CDK7,"(""CDK7"" OR ""CAK"" OR ""CAK1"" OR ""CDKN7"" OR ""HCAK"" OR ""MO15"" OR ""STK1"" OR ""p39MO15"")",1128
935,CDKL3,"(""CDKL3"" OR ""NKIAMRE"")",24
936,CDKN1A,"(""CDKN1A"" OR ""CAP20"" OR ""CDKN1"" OR ""CIP1"" OR ""MDA-6"" OR ""P21"" OR ""SDI1"" OR ""WAF1"" OR ""p21CIP1"")",43126
937,CDKN1C,"(""CDKN1C"" OR ""BWCR"" OR ""BWS"" OR ""KIP2"" OR ""WBS"" OR ""p57"" OR ""p57Kip2"")",4019
938,CDKN2A,"(""CDKN2A"" OR ""ARF"" OR ""CAI2"" OR ""CDK4I"" OR ""CDKN2"" OR ""CMM2"" OR ""INK4"" OR ""INK4A"" OR ""MLM"" OR ""MTS-1"" OR ""MTS1"" OR ""P14"" OR ""P14ARF"" OR ""P16"" OR ""P16-INK4A"" OR ""P16INK4"" OR ""P16INK4A"" OR ""P19"" OR ""P19ARF"" OR ""TP16"")",35460
939,CDKN3,"(""CDKN3"" OR ""CDI1"" OR ""CIP2"" OR ""KAP"" OR ""KAP1"")",3812
940,CDO1,"(""CDO1"" OR ""CDO-I"")",100
941,CDR2,"(""CDR2"" OR ""CDR62"" OR ""Yo"")",6382
942,CDR2L,"(""CDR2L"" OR ""HUMPPA"")",25
943,CDS1,"(""CDS1"" OR ""CDS 1"")",119
944,CDT1,"(""CDT1"" OR ""DUP"" OR ""RIS2"")",2469
945,CDYL2,"(""CDYL2"" OR ""PCCP1"")",12
946,CEACAM4,"(""CEACAM4"" OR ""CGM7"" OR ""CGM7_HUMAN"" OR ""NCA"")",1575
947,CEACAM5,"(""CEACAM5"" OR ""CD66e"" OR ""CEA"")",31338
948,CEACAM6,"(""CEACAM6"" OR ""CD66c"" OR ""CEAL"" OR ""NCA"" OR ""NCA-50/90"")",1938
949,CEBPA,"(""CEBPA"" OR ""C/EBP-alpha"" OR ""CEBP"")",4030
950,CEBPB,"(""CEBPB"" OR ""C/EBP-beta"" OR ""IL6DBP"" OR ""NF-IL6"" OR ""TCF5"")",1335
951,CEBPD,"(""CEBPD"" OR ""C/EBP-delta"" OR ""CELF"" OR ""CRP3"" OR ""NF-IL6-beta"")",725
952,CEL,"(""CEL"" OR ""BAL"" OR ""BSDL"" OR ""BSSL"" OR ""CELL"" OR ""CEase"" OR ""FAP"" OR ""FAPP"" OR ""LIPA"" OR ""MODY8"")",3383505
953,CELF2,"(""CELF2"" OR ""BRUNOL3"" OR ""CELF-2"" OR ""CUG-BP2"" OR ""CUGBP2"" OR ""DEE97"" OR ""ETR-3"" OR ""ETR3"" OR ""NAPOR"")",151
954,CELF3,"(""CELF3"" OR ""BRUNOL1"" OR ""CAGH4"" OR ""ERDA4"" OR ""ETR-1"" OR ""TNRC4"")",40
955,CELF4,"(""CELF4"" OR ""BRUNOL4"" OR ""CELF-4"")",87
956,CELF5,"(""CELF5"" OR ""BRUNOL-5"" OR ""BRUNOL5"" OR ""CELF-5"")",10
957,CELSR1,"(""CELSR1"" OR ""ADGRC1"" OR ""CDHF9"" OR ""FMI2"" OR ""HFMI2"" OR ""LMPHM9"" OR ""ME2"")",477
958,CELSR2,"(""CELSR2"" OR ""ADGRC2"" OR ""CDHF10"" OR ""EGFL2"" OR ""Flamingo1"" OR ""MEGF3"")",102
959,CELSR3,"(""CELSR3"" OR ""ADGRC3"" OR ""CDHF11"" OR ""EGFL1"" OR ""FMI1"" OR ""HFMI1"" OR ""MEGF2"" OR ""RESDA1"")",59
960,CEMIP,"(""CEMIP"" OR ""CCSP1"" OR ""CEMIP1"" OR ""HYBID"" OR ""KIAA1199"" OR ""TMEM2L"")",189
961,CENPA,"(""CENPA"" OR ""CENP-A"" OR ""CenH3"")",749
962,CENPE,"(""CENPE"" OR ""CENP-E"" OR ""KIF10"" OR ""MCPH13"" OR ""PPP1R61"")",343
963,CENPF,"(""CENPF"" OR ""CENF"" OR ""CILD31"" OR ""PRO1779"" OR ""STROMS"" OR ""hcp-1"")",338
964,CENPH,"(""CENPH"")",66
965,CENPI,"(""CENPI"" OR ""CENP-I"" OR ""FSHPRH1"" OR ""LRPR1"")",56
966,CENPK,"(""CENPK"" OR ""AF5alpha"" OR ""CENP-K"" OR ""FKSG14"" OR ""P33"" OR ""Solt"")",1124
967,CENPL,"(""CENPL"" OR ""C1orf155"" OR ""CENP-L"" OR ""dJ383J4.3"")",24
968,CENPM,"(""CENPM"" OR ""C22orf18"" OR ""CENP-M"" OR ""PANE1"")",53
969,CENPN,"(""CENPN"" OR ""BM039"" OR ""C16orf60"" OR ""CENP-N"" OR ""ICEN32"")",56
970,CENPS,"(""CENPS"" OR ""APITD1"" OR ""CENP-S"" OR ""FAAP16"" OR ""MHF1"")",101
971,CENPT,"(""CENPT"" OR ""C16orf56"" OR ""CENP-T"" OR ""SSMGA"")",61
972,CENPU,"(""CENPU"" OR ""CENP50"" OR ""CENPU50"" OR ""KLIP1"" OR ""MLF1IP"" OR ""PBIP1"")",54
973,CENPW,"(""CENPW"" OR ""C6orf173"" OR ""CENP-W"" OR ""CUG2"")",59
974,CEP112,"(""CEP112"" OR ""CCDC46"" OR ""MACOCO"" OR ""SPGF44"")",10
975,CEP15,"(""CEP15"" OR ""C3orf14"" OR ""HT021"")",7
976,CEP19,"(""CEP19"" OR ""C3orf34"" OR ""MOSPGF"")",12
977,CEP250,"(""CEP250"" OR ""C-NAP1"" OR ""CEP2"" OR ""CNAP1"" OR ""CRDHL2"")",83
978,CEP350,"(""CEP350"" OR ""CAP350"" OR ""GM133"")",23
979,CEP41,"(""CEP41"" OR ""JBTS15"" OR ""TSGA14"")",19
980,CEP43,"(""CEP43"" OR ""FGFR1OP"" OR ""FOP"")",1853
981,CEP55,"(""CEP55"" OR ""C10orf3"" OR ""CT111"" OR ""MARCH"" OR ""URCC6"")",182405
982,CEP68,"(""CEP68"" OR ""KIAA0582"")",26
983,CEP70,"(""CEP70"" OR ""BITE"")",23270
984,CEP78,"(""CEP78"" OR ""C9orf81"" OR ""CRDHL"" OR ""IP63"")",23
985,CEP85,"(""CEP85"" OR ""CCDC21"")",7
986,CEP85L,"(""CEP85L"" OR ""C6orf204"" OR ""LIS10"" OR ""NY-BR-15"" OR ""bA57K17.2"")",21
987,CEP89,"(""CEP89"" OR ""CCDC123"" OR ""CEP123"")",14
988,CERKL,"(""CERKL"" OR ""RP26"")",78
989,CERS2,"(""CERS2"" OR ""L3"" OR ""LASS2"" OR ""SP260"" OR ""TMSG1"")",17154
990,CERS4,"(""CERS4"" OR ""LASS4"" OR ""Trh1"")",64
991,CERS6,"(""CERS6"" OR ""CERS5"" OR ""LASS6"")",155
992,CES1,"(""CES1"" OR ""ACAT"" OR ""CE-1"" OR ""CEH"" OR ""CES2"" OR ""HMSE"" OR ""HMSE1"" OR ""PCE-1"" OR ""REH"" OR ""SES1"" OR ""TGH"" OR ""hCE-1"")",3683
993,CETN1,"(""CETN1"" OR ""CEN1"" OR ""CETN"")",73
994,CETN2,"(""CETN2"" OR ""CALT"" OR ""CEN2"")",152
995,CETN3,"(""CETN3"" OR ""CDC31"" OR ""CEN3"")",46
996,CETP,"(""CETP"" OR ""BPIFF"" OR ""HDLCQ10"")",2985
997,CFAP141,"(""CFAP141"" OR ""C1orf189"")",0
998,CFAP144,"(""CFAP144"" OR ""FAM183A"")",3
999,CFAP184,"(""CFAP184"" OR ""CCDC96"")",3
1000,CFAP206,"(""CFAP206"" OR ""C6orf165"" OR ""dJ382I10.1"")",3
1001,CFAP221,"(""CFAP221"" OR ""FAP221"" OR ""PCDP1"")",7
1002,CFAP263,"(""CFAP263"" OR ""CCDC113"" OR ""HSPC065"")",2
1003,CFAP276,"(""CFAP276"" OR ""C10orf194"" OR ""C1orf194"")",9
1004,CFAP298,"(""CFAP298"" OR ""C21orf48"" OR ""C21orf59"" OR ""CILD26"" OR ""DNAAF16"" OR ""FBB18"" OR ""Kur"")",568
1005,CFAP410,"(""CFAP410"" OR ""C21orf2"" OR ""LRRC76"" OR ""RDMS"" OR ""SMDAX"" OR ""YF5/A2"")",122
1006,CFAP45,"(""CFAP45"" OR ""CCDC19"" OR ""HTX11"" OR ""NESG1"")",19
1007,CFAP52,"(""CFAP52"" OR ""HTX10"" OR ""WDR16"" OR ""WDRPUH"")",13
1008,CFAP53,"(""CFAP53"" OR ""CCDC11"" OR ""HTX6"")",12
1009,CFAP70,"(""CFAP70"" OR ""SPGF41"" OR ""TTC18"")",7
1010,CFAP74,"(""CFAP74"" OR ""C1orf222"" OR ""CILD49"" OR ""KIAA1751"")",6
1011,CFAP77,"(""CFAP77"" OR ""C9orf171"")",2
1012,CFAP90,"(""CFAP90"" OR ""C5orf49"")",1
1013,CFB,"(""CFB"" OR ""AHUS4"" OR ""ARMD14"" OR ""BF"" OR ""BFD"" OR ""CFAB"" OR ""CFBD"" OR ""FB"" OR ""FBI12"" OR ""GBG"" OR ""H2-Bf"" OR ""PBF2"")",23145
1014,CFD,"(""CFD"" OR ""ADIPSIN"" OR ""ADN"" OR ""DF"" OR ""PFD"")",45073
1015,CFH,"(""CFH"" OR ""AHUS1"" OR ""AMBP1"" OR ""ARMD4"" OR ""ARMS1"" OR ""CFHL3"" OR ""FH"" OR ""FHL1"" OR ""HF"" OR ""HF1"" OR ""HF2"" OR ""HUS"")",71569
