PYCR3	NUDCD1	C8orf76	GDF6	FGFBP3	SHARPIN	POP1	GFUS	SYBU	TRHR
LRP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
BPIFB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BPIFA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM39	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAUS8	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRE3	NA	NA	NA	NA	NA	NA	NA	NA	NA
GFPT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDHGA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDFIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FMO5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHSY1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNRPA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
THAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAJB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZSWIM4	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCAF15	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSD17B7	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEFSEC	NA	NA	NA	NA	NA	NA	NA	NA	NA
COQ3	NA	NA	NA	NA	NA	NA	NA	NA	NA
UTP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM47	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSPA12B	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNAP25	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSTR4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACY3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH3B2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF334	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE6A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHRM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYBPH	NA	NA	NA	NA	NA	NA	NA	NA	NA
MACROD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLAAT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP20	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI4KA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NTS	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPO8	NA	NA	NA	NA	NA	NA	NA	NA	NA
PMP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FABP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERG28	NA	NA	NA	NA	NA	NA	NA	NA	NA
UNC79	NA	NA	NA	NA	NA	NA	NA	NA	NA
CATSPERB	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAM20	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRAK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAMK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL8B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM45	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC38A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CMPK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HRH4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLCO1B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTNR1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
DSG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAGLA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIMM10	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBLIF	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP135	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAM19	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM60	NA	NA	NA	NA	NA	NA	NA	NA	NA
HILPDA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NT5E	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKIRIN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM186B	NA	NA	NA	NA	NA	NA	NA	NA	NA
RDH5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSPAN31	NA	NA	NA	NA	NA	NA	NA	NA	NA
ESPL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNH3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCT7	NA	NA	NA	NA	NA	NA	NA	NA	NA
MDM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCNX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
URB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPL	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOCK10	NA	NA	NA	NA	NA	NA	NA	NA	NA
USP37	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC19A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
WNT10A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP27A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAB39	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFSD9	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM127	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRPS9	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH1L2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DRAM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC41A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBRG4	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYO1G	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARCHF7	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1J1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL35	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENPP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DERL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HINT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM63B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBB2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
NRM	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTPA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLCO5A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SULF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TGS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDCBP	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR3B	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP20	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCUN1D5	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDXACB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
C11orf1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP13	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCY3	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRPPRC	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP2C9	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTBD16	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIF11	NA	NA	NA	NA	NA	NA	NA	NA	NA
DBR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOPBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASNSD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
METTL5	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPIG	NA	NA	NA	NA	NA	NA	NA	NA	NA
HECW2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITGAV	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC40A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC49A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC54	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSPAN11	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRHDE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSBPL8	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC16A7	NA	NA	NA	NA	NA	NA	NA	NA	NA
GYS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLCO1B3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC9	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAL	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK17	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMCC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRAK3	NA	NA	NA	NA	NA	NA	NA	NA	NA
C12orf4	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSMC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLEC2D	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUP133	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPCAT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSBN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRAF5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNW1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PALB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BFAR	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP46A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
VSX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SERPINA10	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP5F1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMD	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCM4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP76	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACNG4	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTFR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHEB	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRISPLD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRPA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRAM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIMS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCPEP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPO	NA	NA	NA	NA	NA	NA	NA	NA	NA
VMP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRR11	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM37	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPE65	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL12RB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRCAP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHCHD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBFA2T2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCM2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIK3R3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAU2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RRAGB	NA	NA	NA	NA	NA	NA	NA	NA	NA
BPI	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYH7B	NA	NA	NA	NA	NA	NA	NA	NA	NA
RALGAPB	NA	NA	NA	NA	NA	NA	NA	NA	NA
ST3GAL3	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNQ4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATRN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNPY4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARPC1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSE1L	NA	NA	NA	NA	NA	NA	NA	NA	NA
UCP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAPK3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHTKD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHYH	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP3K8	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAPZA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLPPR5	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED15	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARVCF	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE2R2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX18	NA	NA	NA	NA	NA	NA	NA	NA	NA
LY9	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOX4	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL27RA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ILVBL	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED26	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP12	NA	NA	NA	NA	NA	NA	NA	NA	NA
PALD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTIF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNO1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAF1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHRDL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPCS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SELP	NA	NA	NA	NA	NA	NA	NA	NA	NA
TFCP2L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM20B	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPAS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRBD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSBP	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLR1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAPG	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP4K3	NA	NA	NA	NA	NA	NA	NA	NA	NA
STRN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHIC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
KDR	NA	NA	NA	NA	NA	NA	NA	NA	NA
LNX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
STK17B	NA	NA	NA	NA	NA	NA	NA	NA	NA
COQ10B	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC5A7	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKD	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGUOK	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCM6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZRANB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
LCT	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGPS	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRD5A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLQ	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDCL3	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL1RL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL18RAP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOP58	NA	NA	NA	NA	NA	NA	NA	NA	NA
TXK	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCHE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SI	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLRB	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2orf42	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDH10	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAD	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNMT3A	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB10	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAJC27	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIF3C	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP63	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLAAT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OLFM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIDT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUP54	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCARB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
XRN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MGAT4A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZAP70	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPP2R3A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP70	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAD11	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDV3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKG	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSR3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MGLL	NA	NA	NA	NA	NA	NA	NA	NA	NA
STC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC1A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPAM	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRPV5	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB6	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED20	NA	NA	NA	NA	NA	NA	NA	NA	NA
XPO5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CREM	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT2B10	NA	NA	NA	NA	NA	NA	NA	NA	NA
CALB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NBN	NA	NA	NA	NA	NA	NA	NA	NA	NA
USP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN23	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKAR2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCAP	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPRK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLCN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCCC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPT1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCIRG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHKA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB4	NA	NA	NA	NA	NA	NA	NA	NA	NA
DBF4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKIB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF4H	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELMOD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
REXO2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SQLE	NA	NA	NA	NA	NA	NA	NA	NA	NA
IDE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTAF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLIT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFRP5	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF2B2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACNA1C	NA	NA	NA	NA	NA	NA	NA	NA	NA
GABARAPL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG10	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMAL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM117	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD27	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBP5	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARCHF9	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLIPR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM19	NA	NA	NA	NA	NA	NA	NA	NA	NA
LGR5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC6A15	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMTC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
KERA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC39A5	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPFF	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSAD	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMBR1L	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR65	NA	NA	NA	NA	NA	NA	NA	NA	NA
JDP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITPK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLG	NA	NA	NA	NA	NA	NA	NA	NA	NA
RLBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFGE8	NA	NA	NA	NA	NA	NA	NA	NA	NA
ST8SIA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCTP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA10	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHCT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFG3L2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAREM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGDIA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTYH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SECTM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF157	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP4F22	NA	NA	NA	NA	NA	NA	NA	NA	NA
CIB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CALR3	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUNK	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC6A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIMM29	NA	NA	NA	NA	NA	NA	NA	NA	NA
ECSIT	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC44A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD53	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFT2D2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SETDB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GOLPH3L	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDE2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEFTY1	NA	NA	NA	NA	NA	NA	NA	NA	NA
REN	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIA4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL8A	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDF7	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHOB	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCG8	NA	NA	NA	NA	NA	NA	NA	NA	NA
CALM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPS54	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLEC4F	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEIS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPRKB	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAT8	NA	NA	NA	NA	NA	NA	NA	NA	NA
RTKN	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFXN5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEX261	NA	NA	NA	NA	NA	NA	NA	NA	NA
SULT1C4	NA	NA	NA	NA	NA	NA	NA	NA	NA
MALL	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC20A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBXN4	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLR2D	NA	NA	NA	NA	NA	NA	NA	NA	NA
LNPK	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEFF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACKR3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC4A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNPEP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNPY2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYH15	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD10	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLA1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP91	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH1L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISY1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMT	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP10D	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC10A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
