# Observed cut height: 0.0962339
# Observed size of largest cluster at observed cut height: 26
# Expected size of largest cluster at observed cut height: 6.5
# Observed maximum ratio statistic: 4.000
# Expected maximum ratio statistic: 1.764
# p-value: 0.02
# Clusters:
BTNL3	BTNL8	DMBT1	FCGBP	GPRIN2	GREB1	KLK1	MAP6	MSLN	MUC16	MUC2	MUC3A	MUC4	MUC5AC	MUC5B	MUC6	PACC1	PDZK1IP1	PNP	SERPINA4	SLC5A1	TFF1	TFF2	TFF3	TMEM106B	XDH
B3GNT2	B3GNT3	C1GALT1	C1GALT1C1	GALNT6	TSPAN15	TSPAN9
HOXB4	HOXB5	HOXB6	HOXB7	HOXC6	TCF21
ABCA9	ACY3	ASPA	PMM1	PMM2
ADAMTS2	ADAMTS4	CCBE1	CTHRC1	EGFL7
ANKS4B	CDHR2	CDHR5	MYO7B	USH1C
CHPF	CHSY3	CSGALNACT1	CSGALNACT2	SLC30A1
CYP2C18	CYP2C8	CYP2C9	CYP2J2	CYP4F3
DNAH11	DNAH12	DNAH3	DNAH5	DNAH7
GJA4	GJB1	GJB2	GJB3	GJB4
LRRC8B	LRRC8D	LRRC8E	SLC44A1	TRIM2
MLPH	RAB27B	SYTL1	SYTL2	SYTL5
ATP10B	ATP8B1	ATP8B2	TMEM30B
CA13	CA2	SLC26A3	SLC4A4
CCDC112	CCDC148	NOL4L	TEX9
CCNB1IP1	H1-3	H1-5	ZNF662
CEMIP2	MAN2B1	MAN2B2	SIAE
CLDN10	CLDN18	CLDN2	TJP3
CMPK2	DCTPP1	ENTPD3	ENTPD8
CSPG4	MGAM	MGAM2	SI
FABP1	GNPNAT1	GPD1	GPD2
GOLGA7B	ORMDL3	SPTLC2	SPTSSB
POMK	SLC35F2	TMEM120A	TPRG1
SLC3A1	SLC7A11	SLC7A7	SLC7A8
SULT1B1	SULT1C2	SULT1C4	SULT1E1
ACER2	CERS4	CERS6
ADH1B	ADH1C	ADH6
ALDH1A2	AOX1	INMT
ARHGAP10	ARHGAP26	C2CD2
ARHGEF17	RASL12	RERG
C3orf52	TMPRSS2	TMPRSS4
CD99	CD99L2	PILRB
CDAN1	MAMDC2	TK1
CPT2	SLC25A20	SLC25A29
CYP3A4	CYP3A5	UGT2B7
DARS2	FAAH	FAAH2
DBP	HLF	HNF4G
DNAJC27	FAM184A	LRRC61
ETV4	ETV5	SLC45A3
FAM3B	FUT3	FUT6
FRAS1	FREM2	HMCN1
FUT8	MGAT1	MGAT2
GAS1	IHH	SHH
GCNT1	GCNT3	GCNT4
GDF15	PLEKHA6	TCEAL9
GGT5	GGT6	GGT7
GRHL1	GRHL2	ZNF76
HTRA3	PCSK6	TMEM25
LGR4	LGR5	RNF43
LRFN3	MANEAL	ST3GAL4
MYO5B	RAB11FIP1	RAB25
OAS1	OAS2	OAS3
OSBPL3	PITPNM3	ZFPL1
PDE11A	PDE2A	PDE5A
PDE1A	PDE1B	PDE1C
PLPP2	PLPP3	SGPP2
TAS2R13	TAS2R30	TAS2R50
UCK1	UCK2	UCKL1
AARSD1	TRIM45
GLI3
GLIPR2
GLIS2
GLRB
GLRX5
GLS
GLUL
GLYCTK
GMDS
GMEB2
GMPR
GNA12
GNA14
GNA15
GNAI2
GNAI3
GNAL
GNAO1
GNAZ
GNB2
GNB4
GNB5
GNG11
GNG12
GNG2
GNG4
GNG7
GNL1
GNL3L
GNPAT
GNPTAB
GNRH1
GOLGA4
GOLGB1
GOLIM4
GOLM1
GOLPH3L
GOSR2
GP2
GPAA1
GPAT3
GPATCH2
GPC1
GPC3
GPM6A
GPM6B
GPNMB
GPR161
GPR173
GPR180
GPR183
GPR34
GPR35
GPR39
GPR52
GPRASP1
GPRASP2
GPRC5A
GPRIN3
GPS1
GPSM2
GPT2
GPX4
GRAMD1A
GRAMD1C
GRAMD2A
GRAP
GRB7
GRHPR
GRIK2
GRIN2A
GRINA
GRIP1
GRIP2
GRIPAP1
GRK4
GRK5
GRM7
GRPEL2
GSAP
GSDMD
GSDME
GSE1
GSK3A
GSK3B
GSKIP
GSTA4
GSTCD
GSTM2
GSTM3
GSTM4
GSTZ1
GTF2A1
GTF2E1
GTF2F1
GTF2I
GTF3C5
GTPBP3
GTPBP6
GTSE1
GUCY2C
GUK1
GYG1
GYPC
GYS1
GZF1
GZMA
H1-1
H1-10
H1-2
H1-4
H2AC11
H2AC12
H2AC13
H2AC14
H2AC16
H2AC20
H2AC21
H2AC4
H2AC6
H2AC8
H2BC10
H2BC11
H2BC12
H2BC13
H2BC14
H2BC15
H2BC17
H2BC21
H2BC3
H2BC4
H2BC5
H2BC6
H2BC7
H2BC8
H2BC9
H3-3A
H3-3B
H3C1
H3C10
H3C11
H3C12
H3C13
H3C6
H3C7
H3C8
H4C1
H4C11
H4C12
H4C13
H4C2
H4C3
H4C4
H4C5
H4C6
H4C8
H4C9
H6PD
HAAO
HABP2
HABP4
HACD2
HACD3
HARBI1
HASPIN
HAUS4
HAUS5
HAUS7
HAVCR2
HBB
HBS1L
HCFC1R1
HCK
HCN3
HDAC5
HDAC6
HDAC7
HDAC9
HDDC3
HDGFL2
HEATR1
HEATR3
HEATR5B
HECTD1
HECW2
HELB
HELLS
HELZ2
HEMK1
HENMT1
HERPUD1
HES6
HEXD
HEY2
HEYL
HFM1
HHIP
HHLA2
HIBCH
HIC1
HID1
HIF3A
HIKESHI
HILPDA
HIP1R
HIPK2
HIRIP3
HIVEP1
HJURP
HKDC1
HLA-DMA
HLA-DMB
HLA-DOA
HLA-DPA1
HLA-DQA1
HLA-DQB1
HLA-DRA
HLA-DRB5
HLA-F
HLA-G
HLCS
HLX
HMBOX1
HMG20B
HMGA1
HMGA2
HMGB1
HMGCR
HMGCS1
HMGCS2
HMGN2
HMGN5
HMMR
HMOX1
HNF4A
HNRNPA0
HNRNPA1
HNRNPA1L2
HNRNPA2B1
HNRNPA3
HNRNPC
HNRNPD
HNRNPDL
HNRNPH3
HNRNPL
HNRNPM
HNRNPUL2
HOMER2
HOMER3
HOOK1
HOOK3
HOXA10
HOXB2
HOXB3
HOXC4
HOXD8
HPF1
HPGDS
HPS3
HR
HRAS
HS3ST1
HS3ST3B1
HSCB
HSD11B1L
HSD17B12
HSD17B7
HSF1
HSF2
HSF4
HSH2D
HSP90AB1
HSPA12A
HSPA14
HSPA1A
HSPA1B
HSPA1L
HSPA4
HSPB1
HSPBP1
HSPE1
HSPG2
HTATIP2
HTATSF1
HTR1D
HTR2B
HTRA1
HYLS1
HYOU1
IBTK
ICA1
ICA1L
ICAM3
ICMT
ID2
ID3
ID4
IDE
IDH1
IDH2
IDH3A
IDH3G
IER2
IFFO1
IFI27
IFI44
IFI44L
IFIH1
IFIT1
IFIT2
IFIT3
IFIT5
IFITM1
IFITM3
IFNAR2
IFNE
IFNLR1
IFT140
IFT80
IGBP1
IGDCC4
IGF1
IGF2
IGF2BP2
IGF2BP3
IGF2R
IGFBP2
IGFBP3
IGFBP4
IGFBP5
IGHMBP2
IGSF11
IGSF3
IK
IKBKE
IKBKG
IKZF1
IKZF2
IKZF3
IKZF4
IKZF5
IL11RA
IL15
IL16
IL17RB
IL17RC
IL17RE
IL18
IL18BP
IL18R1
IL1B
IL1R2
IL1RAP
IL1RAPL2
IL1RL2
IL1RN
IL20RA
IL22RA1
IL2RB
IL2RG
IL32
IL33
IL7
ILDR1
ILF3
ILK
IMPA2
IMPDH1
IMPDH2
INAVA
ING1
ING2
ING5
INHA
INO80D
INPP4B
INPP5B
INPP5E
INPP5K
INPPL1
INTS1
INTS11
INTS13
INTS2
INTS6
INTS7
IPMK
IPO11
IPO4
IPP
IPPK
IQCG
IQCN
IQGAP1
IQGAP2
IQGAP3
IQSEC1
IQUB
IRAK2
IRF1
IRF2BP1
IRF2BPL
IRF3
IRF5
IRF6
IRF8
IRF9
IRS2
ISCA1
ISCU
ISG15
ISLR
ISY1
ISYNA1
ITCH
ITGA1
ITGA10
ITGA2
ITGA3
ITGA4
ITGA5
ITGA6
ITGA7
ITGA8
ITGA9
ITGAE
ITGB1
ITGB4
ITGB6
ITGB7
ITGB8
ITGBL1
ITIH3
ITIH5
ITLN1
ITM2B
ITPKA
ITPR2
ITPR3
ITPRID2
ITPRIP
IVNS1ABP
IYD
JAK3
JAKMIP2
JAM2
JAM3
JAZF1
JCAD
JCHAIN
JDP2
JMJD1C
JMJD6
JOSD1
JOSD2
JPT1
JPT2
JUN
JUNB
JUND
JUP
KALRN
KANK2
KAT2A
KAT2B
KAT8
KAZN
KBTBD4
KBTBD7
KBTBD8
KCNAB3
KCND1
KCND3
KCNE3
KCNE4
KCNG3
KCNH2
KCNH8
KCNIP1
KCNIP2
KCNJ15
KCNJ16
KCNJ2
KCNJ3
KCNJ8
KCNK1
KCNK10
KCNK3
KCNK5
KCNMA1
KCNMB3
KCNMB4
KCNN4
KCNQ1
KCNQ3
KCNS3
KCNT2
KCP
KCTD13
KCTD14
KCTD15
KCTD17
KCTD2
KCTD7
KDELR1
KDELR2
KDELR3
KDM1B
KDM4A
KDM4B
KDM5A
KDM5B
KDM6B
KDM7A
KHSRP
KIAA1217
KIAA1549
KIAA1614
KIAA1671
KIF11
KIF12
KIF13A
KIF13B
KIF14
KIF15
KIF18A
KIF18B
KIF1A
KIF20A
KIF20B
KIF21A
KIF21B
KIF23
KIF24
KIF26B
KIF27
KIF2A
KIF2C
KIF3B
KIF3C
KIF4A
KIF5B
KIF7
KIF9
KIFC1
KIFC3
KIRREL1
KITLG
KLC1
KLC2
KLF15
KLF2
KLF5
KLF8
KLF9
KLHDC1
KLHDC4
KLHDC8A
KLHDC8B
KLHL11
KLHL21
KLHL22
KLHL26
KLHL28
KLHL36
KLHL6
KLHL8
KLK11
KMT2B
KMT2C
KMT5A
KMT5C
KNL1
KNOP1
KNSTRN
KNTC1
KPNA2
KPNA7
KRAS
KRBA1
KRBOX4
KREMEN1
KRI1
KRT10
KRT15
KRT17
KRT18
KRT19
KRT7
KRT8
KRT80
KRTCAP2
KSR1
KSR2
KTN1
KYAT1
L3MBTL1
LACTB2
LAGE3
LAMA1
LAMA2
LAMA3
LAMB2
LAMB3
LAMC2
LAMC3
LAMP3
LAMTOR1
LAPTM4A
LAPTM4B
LARP1B
LARP4
LARP4B
LARP6
LAS1L
LASP1
LATS2
LAYN
LBH
LCAT
LCK
LCOR
LCORL
LCP1
LCP2
LDB1
LDB2
LDHD
LDLRAD3
LDLRAD4
LEMD2
LENG1
LENG8
LEO1
LEPR
LGALS1
LIF
LILRB4
LILRB5
LIMA1
LIMD1
LIN37
LIN54
LIN7A
LIN7C
LIN9
LIPA
LIPE
LIPG
LIPH
LIX1L
LLGL1
LLGL2
LMBR1L
LMCD1
LMF1
LMF2
LMNB1
LMO7
LMOD1
LMTK2
LMTK3
LNPEP
LNPK
LNX1
LNX2
LONRF1
LONRF2
LONRF3
LOXL1
LOXL2
LOXL4
LPAR5
LPCAT3
LPIN1
LPIN2
LPL
LPP
LRBA
LRCH1
LRCH2
LRCH4
LRG1
LRGUK
LRIG1
LRIG3
LRP1
LRP2BP
LRP4
LRP6
LRP8
LRPPRC
LRR1
LRRC1
LRRC3
LRRC31
LRRC32
LRRC47
LRRC59
LRRFIP1
LRSAM1
LSM1
LSM10
LSM14B
LSR
LSS
LTB4R
LTB4R2
LTBP2
LTF
LTK
LTN1
LTO1
LTV1
LUC7L
LUC7L2
LUC7L3
LUM
LURAP1L
LUZP1
LY6G5B
LY75
LYN
LYNX1
LYPD6B
LYPLA1
LYSMD1
LYST
LYVE1
LYZ
LZTR1
LZTS2
MACROD1
MACROH2A1
MAD2L1
MAD2L1BP
MAD2L2
MAF
MAF1
MAFF
MAFG
MAFK
MAGED2
MAGEH1
MAGI1
MAGI2
MAGI3
MAGIX
MAGT1
MAK16
MAL2
MALT1
MAMLD1
MAN1A2
MAN1C1
MAN2A1
MAN2C1
MAOB
MAP1A
MAP1LC3A
MAP1LC3B
MAP1S
MAP2K2
MAP2K6
MAP2K7
MAP3K1
MAP3K10
MAP3K12
MAP3K13
MAP3K2
MAP3K20
MAP3K21
MAP3K3
MAP3K5
MAP3K6
MAP3K9
MAP4K2
MAP7
MAP7D1
MAP7D2
MAP7D3
MAP9
MAPK11
MAPK12
MAPK13
MAPK3
MAPK6
MAPK7
MAPK8IP1
MAPK8IP3
MAPRE3
MARCHF3
MARCKSL1
MARK4
MARS2
MARVELD2
MARVELD3
MAST2
MASTL
MATR3
MAU2
MAX
MAZ
MBD1
MBD3
MBD6
MBNL3
MBOAT2
MC1R
MCAM
MCC
MCF2
MCM10
MCM2
MCM4
MCM8
MCM9
MCOLN1
MCOLN2
MCPH1
MCRIP1
MCU
MDC1
MDK
MDM2
ME3
MECOM
MECP2
MED1
MED12
MED12L
MED13
MED16
MED18
MED22
MED25
MED26
MED27
MED29
MED9
MEF2D
MEGF10
MEGF6
MEGF8
MELK
MELTF
MEN1
MEP1A
MEPCE
MET
METAP1D
METTL17
METTL23
MEX3B
MFAP2
MFAP3
MFAP4
MFGE8
MFHAS1
MGA
MGAT4A
MGAT5
MGLL
MGME1
MGP
MGRN1
MIA2
MIA3
MIB1
MIB2
MICA
MICAL1
MICAL2
MICAL3
MICALL2
MICB
MICOS10
MICU3
MIDN
MIEF2
MIEN1
MIER2
MIF
MIIP
MINK1
MIOS
MIPOL1
MIS18BP1
MISP
MKI67
MKLN1
MLEC
MLF2
MLH3
MLKL
MLLT1
MLLT3
MLLT6
MLST8
MLXIP
MMAA
MMAB
MME
MMEL1
MMP1
MMP11
MMP12
MMP14
MMP15
MMP19
MMP2
MMP28
MMP7
MMP9
MMRN1
MMS22L
MN1
MND1
MNT
MOB1A
MOB3B
MOCS1
MOGAT2
MORF4L1
MORF4L2
MORN4
MOV10
MPC2
MPHOSPH8
MPHOSPH9
MPP1
MPP7
MPPE1
MPRIP
MPST
MRAP2
MRAS
MRC2
MREG
MRFAP1
MRGBP
MRNIP
MRPL10
MRPL12
MRPL13
MRPL14
MRPL19
MRPL2
MRPL23
MRPL28
MRPL36
MRPL38
MRPL4
MRPL41
MRPL42
MRPL43
MRPS11
MRPS17
MRPS18A
MRPS18C
MRPS26
MRPS28
MRPS30
MRPS35
MRTFA
MSH2
MSH3
MSH5
MSMB
MSN
MSR1
MSRB3
MSTO1
MSX2
MT1G
MT1X
MT2A
MTA1
MTBP
MTCH1
MTCH2
MTCL1
MTERF4
MTFR1
MTFR1L
MTFR2
MTG1
MTG2
MTHFS
MTIF2
MTMR3
MTMR8
MTOR
MTTP
MUC1
MUC13
MUC17
MUS81
MVB12A
MVB12B
MVD
MX1
MX2
MXD1
MXI1
MXRA5
MXRA7
MXRA8
MYB
MYBBP1A
MYBL1
MYBL2
MYBPC1
MYC
MYCBP
MYCL
MYCT1
MYEF2
MYEOV
MYH11
MYH14
MYH3
MYL12A
MYL5
MYL6B
MYL9
MYLK
MYO10
MYO19
MYO1A
MYO1B
MYO1E
MYO5C
MYO6
MYO7A
MYO9A
MYOF
MYOM1
MYPOP
MYRIP
MZF1
MZT2A
MZT2B
N4BP2
N4BP2L1
N4BP3
NAA10
NAA15
NAA60
NAA80
NAB1
NAB2
NABP1
NACA
NAGLU
NANS
NAP1L1
NAP1L3
NAP1L5
NAPG
NAPRT
NARF
NASP
NAT1
NAT14
NAT9
NATD1
NAV2
NAV3
NAXD
NBAS
NBEAL2
NBL1
NBN
NCALD
NCAM1
NCAPD2
NCAPD3
NCAPG
NCAPG2
NCAPH
NCAPH2
NCDN
NCF2
NCKAP1
NCKAP1L
NCKAP5
NCKAP5L
NCKIPSD
NCOA2
NCOA4
NCOA5
NCOA7
NCOR2
NCR3LG1
NCS1
NDC1
NDC80
NDE1
NDEL1
NDFIP2
NDN
NDOR1
NDRG2
NDUFA11
NDUFA13
NDUFA4L2
NDUFAF2
NDUFAF3
NDUFB8
NDUFS1
NDUFS2
NDUFV1
NDUFV2
NEB
NEBL
NECAB3
NECTIN1
NECTIN3
NEDD1
NEDD4
NEDD4L
NEDD8
NEDD9
NEFH
NEGR1
NEIL1
NEIL3
NEK2
NEK6
NEK9
NELFA
NELFB
NEMF
NEMP2
NENF
NES
NET1
NETO2
NEURL4
NF1
NFASC
NFAT5
NFATC1
NFATC3
NFATC4
NFE2L3
NFIC
NFIL3
NFIX
NFKB2
NFKBIA
NFKBID
NFKBIE
NFKBIL1
NFKBIZ
NGEF
NGLY1
NGRN
NHS
NHSL1
NICN1
NID1
NINL
NIP7
NIPA1
NIPAL3
NIPBL
NIPSNAP3B
NISCH
NLGN2
NLGN3
NLGN4X
NLK
NLN
NLRC3
NLRP1
NLRP2
NME3
NME4
NMI
NMNAT1
NMRK1
NMU
NNT
NOC4L
NOCT
NOD1
NOD2
NOL10
NOL12
NONO
NOP10
NOP53
NOS1AP
NOTCH4
NOVA1
NPAS2
NPAT
NPC1L1
NPC2
NPDC1
NPEPL1
NPHP1
NPHP3
NPL
NPM1
NPNT
NPRL2
NPRL3
NPTXR
NQO2
NR0B2
NR1D1
NR1H2
NR1H4
NR1I2
NR2F1
NR2F2
NR4A1
NR4A2
NR4A3
NR5A1
NR5A2
NR6A1
NRARP
NRAS
NRBP2
NRCAM
NRG3
NRG4
NRIP1
NRM
NRP2
NRXN2
NSA2
NSD1
NSD2
NSF
NSG1
NSUN3
NT5C2
NT5DC1
NT5DC2
NTRK2
NUAK1
NUAK2
NUBP2
NUCB1
NUDC
NUDT12
NUDT16
NUDT16L1
NUDT4
NUDT6
NUF2
NUFIP2
NUMBL
NUP155
NUP210
NUP37
NUP62CL
NUPR1
NUSAP1
NXF1
NXN
NXT1
NXT2
NYNRIN
OASL
OBI1
OBSCN
OBSL1
OCLN
OCRL
OGFR
OGG1
OGN
OIP5
OLFM4
OLFML3
OLR1
ONECUT2
ONECUT3
OPA1
OPN3
OR51E1
ORAI3
ORC1
ORC6
ORMDL2
OSBPL10
OSBPL5
OSBPL6
OSBPL8
OSR2
OTC
OTUB1
OTUB2
OTUD5
OTUD7A
OTUD7B
OTULINL
OVGP1
OVOL2
OXA1L
OXNAD1
OXR1
P2RX7
P2RY1
P2RY11
P2RY2
P3H1
P3H3
P4HA2
PA2G4
PABPC1L
PABPC4
PABPC5
PABPN1
PACS2
PACSIN3
PADI2
PAF1
PAFAH2
PAG1
PAGR1
PAK3
PALB2
PALD1
PALLD
PAM16
PAN2
PANX1
PAPLN
PAQR5
PARD6B
PARD6G
PARK7
PARP10
PARP12
PARP14
PARP16
PARP2
PARP4
PARP8
PARP9
PARPBP
PARVB
PASK
PATJ
PAX8
PAXX
PBK
PBX2
PBX3
PBXIP1
PCBP2
PCBP4
PCCB
PCDH7
PCDHA10
PCDHB16
PCDHB5
PCDHGA11
PCDHGA8
PCDHGB1
PCGF2
PCGF3
PCGF6
PCIF1
PCLAF
PCLO
PCOLCE
PCSK7
PCSK9
PCYT1B
PDAP1
PDCD10
PDCD7
PDCL
PDCL3
PDE10A
PDE3B
PDE4C
PDE4D
PDE4DIP
PDE7A
PDE7B
PDGFD
PDGFRA
PDGFRB
PDGFRL
PDIA4
PDIA6
PDIK1L
PDK3
PDK4
PDLIM1
PDLIM2
PDLIM3
PDLIM4
PDLIM5
PDLIM7
PDP1
PDPN
PDSS1
PDXDC1
PDZD2
PDZK1
PDZRN3
PEA15
PEAR1
PEBP1
PECR
PEG3
PELI1
PELI3
PELP1
PER1
PERP
PET100
PEX13
PEX14
PEX19
PEX26
PEX5
PEX6
PFDN2
PFDN5
PFKM
PGAM1
PGAM5
PGAP3
PGBD1
PGBD5
PGF
PGGT1B
PGK1
PGM5
PHACTR2
PHACTR3
PHB2
PHC1
PHC2
PHC3
PHEX
PHF1
PHF10
PHF13
PHF14
PHF19
PHF2
PHF20L1
PHF21A
PHGDH
PHIP
PHKA1
PHKB
PHKG2
PHLDA2
PHLDB3
PHTF1
PI3
PI4K2A
PIAS4
PICK1
PIDD1
PIEZO2
PIF1
PIGH
PIGL
PIGM
PIGN
PIGQ
PIGR
PIGW
PIH1D2
PIK3AP1
PIK3C2A
PIK3C2B
PIK3C2G
PIK3CB
PIK3CD
PIK3CG
PIK3R3
PIM1
PIMREG
PIN1
PINX1
PIP4K2B
PIP4P1
PIP4P2
PIP5K1B
PIP5K1C
PIPOX
PITPNM1
PITPNM2
PITX1
PIWIL1
PIWIL4
PJVK
PKD1
PKD1L1
PKD2
PKHD1
PKIG
PKM
PKMYT1
PKN1
PKN2
PKNOX2
PKP3
PKP4
PLA2G10
PLA2G4A
PLA2G6
PLA2G7
PLAAT2
PLAAT3
PLAC8
PLAGL1
PLAU
PLAUR
PLCB1
PLCB4
PLCD1
PLCE1
PLCG1
PLCG2
PLCH1
PLCH2
PLCL1
PLD1
PLD2
PLD3
PLEK
PLEK2
PLEKHA1
PLEKHA4
PLEKHB1
PLEKHF2
PLEKHG1
PLEKHG2
PLEKHG4
PLEKHG6
PLEKHH1
PLEKHH2
PLEKHM2
PLEKHN1
PLEKHO1
PLEKHO2
PLK1
PLK3
PLK4
PLLP
PLOD2
PLP2
PLS1
PLSCR4
PLTP
PLXDC1
PLXNA3
PMAIP1
PMF1
PMP22
PNISR
PNKP
PNMA1
PNMA2
PNMA8A
PNN
PNPLA2
PNPLA3
PNRC1
POC1A
POC1B
POFUT2
POGZ
POLA1
POLD2
POLD3
POLD4
POLDIP3
POLE2
POLE4
POLH
POLL
POLM
POLN
POLQ
POLR1B
POLR1E
POLR2E
POLR2J
POLR2J3
POLR2M
POLR3GL
POLRMT
POM121
POM121C
POMGNT1
POMGNT2
PON2
PON3
POPDC2
POU2F3
POU5F1
POU6F1
PPA1
PPA2
PPAN
PPARD
PPARG
PPARGC1A
PPARGC1B
PPFIBP2
PPIA
PPIC
PPL
PPM1F
PPM1K
PPM1L
PPOX
PPP1CA
PPP1R12C
PPP1R15A
PPP1R1B
PPP1R3B
PPP1R3E
PPP1R3F
PPP1R9B
PPP2CB
PPP2R1A
PPP2R2D
PPP2R3B
PPP2R5A
PPP2R5B
PPP2R5D
PPP3CA
PPP4R3B
PPP4R4
PPRC1
PPT2
PQBP1
PRAF2
PRAG1
PRAME
PRAP1
PRC1
PRCP
PRDM11
PRDX1
PREB
PRELID2
PRELID3B
PRELP
PREP
PREX2
PRIM2
PRKAA1
PRKAA2
PRKAB1
PRKACA
PRKACB
PRKAR1B
PRKAR2B
PRKCE
PRKCI
PRKCSH
PRKCZ
PRKD1
PRKD2
PRKDC
PRKG2
PRKRIP1
PRLR
PRMT1
PRMT7
PRMT9
PRNP
PROC
PROCR
PRORP
PROS1
PROSER2
PRPF19
PRPF3
PRPF40A
PRPF8
PRPS1
PRPS2
PRR11
PRR12
PRR13
PRR14
PRR14L
PRR15L
PRR3
PRR5
PRRC2A
PRRG2
PRRG4
PRRT1
PRRX1
PRSS1
PRSS2
PRSS3
PRX
PSAPL1
PSCA
PSD
PSEN1
PSIP1
PSMA1
PSMA2
PSMA5
PSMA6
PSMB10
PSMB3
PSMC1
PSMD1
PSMD14
PSMD3
PSMD7
PSMD9
PSME4
PSPN
PTAFR
PTBP3
PTCD1
PTCH1
PTCH2
PTDSS2
PTER
PTGDS
PTGER3
PTGER4
PTGES3
PTGIS
PTGS1
PTGS2
PTK2
PTK2B
PTK6
PTK7
PTMA
PTMS
PTN
PTP4A3
PTPN13
PTPN21
PTPN22
PTPN23
PTPN3
PTPN4
PTPN6
PTPN7
PTPRB
PTPRC
PTPRD
PTPRE
PTPRF
PTPRJ
PTPRK
PTPRN2
PTPRR
PTPRS
PTPRU
PTTG1
PUDP
PURA
PUS7
PUS7L
PWWP3A
PWWP3B
PXMP2
PYCR1
PYCR2
PYGO1
PYROXD1
PYROXD2
QDPR
QPCT
QPCTL
QPRT
QSER1
R3HDM2
RAB10
RAB11A
RAB11B
RAB11FIP3
RAB11FIP4
RAB11FIP5
RAB13
RAB15
RAB17
RAB19
RAB22A
RAB26
RAB27A
RAB31
RAB34
RAB36
RAB37
RAB38
RAB3B
RAB3D
RAB3GAP2
RAB3IP
RAB40C
RAB4B
RAB5C
RAB5IF
RAB7A
RAB8A
RAB9B
RABAC1
RABGAP1L
RABGGTA
RABIF
RABL6
RACGAP1
RACK1
RAD18
RAD51
RAD51AP1
RAD52
RAD54B
RAD54L
RAD9A
RADX
RAG1
RAI1
RAI2
RALGAPA2
RALGAPB
RALGDS
RALGPS1
RAMP1
RANBP10
RANBP17
RANBP3
RAP1GAP
RAP2B
RAPGEF2
RAPGEF3
RAPGEF4
RAPGEF5
RAPH1
RARRES1
RARRES2
RARS1
RASAL1
RASAL2
RASD1
RASGEF1B
RASGRF2
RASGRP1
RASGRP3
RASL11A
RASSF1
RASSF10
RASSF6
RASSF7
RASSF8
RAVER1
RB1
RBAK
RBBP8
RBCK1
RBKS
RBM10
RBM12B
RBM14
RBM15
RBM19
RBM34
RBM38
RBM4
RBM41
RBM42
RBM44
RBM47
RBM4B
RBM6
RBMS1
RBMX
RBP1
RBP7
RBPMS
RC3H1
RC3H2
RCAN2
RCAN3
RCCD1
RCN1
REC8
RECK
RECQL
REEP3
REG1A
REG4
REL
RELA
RELCH
REP15
REPS2
REST
RETREG1
REV3L
REX1BD
RFFL
RFK
RFLNA
RFX1
RFX2
RFX5
RFX7
RFXAP
RGL1
RGN
RGPD8
RGS12
RGS2
RGS3
RGS4
RGS5
RGS6
RHBDD2
RHBDF1
RHBDL2
RHEB
RHEX
RHOB
RHOBTB2
RHOBTB3
RHOF
RHOG
RHOH
RHOJ
RHOQ
RHOT2
RHOV
RHPN1
RHPN2
RIC3
RICTOR
RIF1
RILPL1
RILPL2
RIMS1
RIN3
RING1
RINL
RIOK3
RIOX2
RIPK2
RIPK3
RIPK4
RIPOR1
RIPOR2
RMDN2
RMI1
RMI2
RMND5A
RNASEH2C
RND1
RND3
RNF103
RNF11
RNF125
RNF126
RNF128
RNF141
RNF144A
RNF144B
RNF152
RNF157
RNF166
RNF167
RNF169
RNF183
RNF185
RNF187
RNF2
RNF213
RNF215
RNF217
RNF25
RNF31
RNF39
RNF5
RNF6
RNGTT
RNH1
RNPS1
RO60
ROBO3
ROBO4
ROCK2
ROGDI
ROR2
RORC
RP2
RP9
RPA1
RPA3
RPA4
RPAP2
RPE
RPGRIP1L
RPL10
RPL10A
RPL11
RPL12
RPL13
RPL13A
RPL14
RPL15
RPL17
RPL18
RPL18A
RPL21
RPL22
RPL23
RPL23A
RPL24
RPL26
RPL26L1
RPL27
RPL27A
RPL28
RPL29
RPL3
RPL31
RPL32
RPL34
RPL35
RPL35A
RPL36
RPL36A
RPL36AL
RPL37
RPL37A
RPL38
RPL39
RPL39L
RPL4
RPL41
RPL5
RPL6
RPL7
RPL7A
RPL8
RPL9
RPLP0
RPLP1
RPLP2
RPN1
RPP25
RPS10
RPS11
RPS12
RPS13
RPS14
RPS15
RPS15A
RPS16
RPS17
RPS18
RPS19
RPS2
RPS20
RPS21
RPS23
RPS24
RPS25
RPS26
RPS27
RPS27A
RPS28
RPS29
RPS3
RPS3A
RPS4X
RPS5
RPS6
RPS6KA1
RPS6KA2
RPS6KA3
RPS6KL1
RPS7
RPS8
RPS9
RPSA
RRAGA
RRAGC
RRAS
RRBP1
RREB1
RRM2
RSAD1
RSAD2
RSL1D1
RSL24D1
RSPH1
RSRC1
RTKN
RTKN2
RTL8A
RTL8B
RTL8C
RTN4IP1
RTP4
RUBCNL
RUNX1
RUNX1T1
RUNX3
RUSC1
RUSC2
RWDD1
RWDD3
RWDD4
RXRA
RXRB
RYR2
S100A11
S100A13
S100A14
S100A2
S100A4
S100A6
S100A9
S100P
S1PR1
S1PR2
S1PR3
SAFB
SAFB2
SALL2
SAMD1
SAMD13
SAMD4B
SAR1B
SARDH
SARNP
SARS2
SART1
SASS6
SAT2
SBNO1
SCAF1
