"","GAMuT_20095","GAMuT_20104","GAMuT_20800","GAMuT_OV0711","GAMuT_1000"
"ENSG00000124155",360,3146,788,2041,5046
"ENSG00000124160",220,1103,362,779,860
"ENSG00000124164",879,2921,1719,2243,1845
"ENSG00000124171",533,1833,867,1940,2795
"ENSG00000124172",1434,5027,1486,3237,2524
"ENSG00000124177",952,6650,1470,3223,3451
"ENSG00000124181",403,1930,520,1130,895
"ENSG00000124193",1974,4318,2210,5118,3627
"ENSG00000124198",3507,7906,4170,7756,6274
"ENSG00000124201",707,8106,1632,4016,3448
"ENSG00000124205",57,51,2,289,77
"ENSG00000124207",2633,9811,2867,4356,2131
"ENSG00000124209",1351,2584,1572,3796,1864
"ENSG00000124212",154,95,67,396,2953
"ENSG00000124214",1279,5505,1789,3913,3333
"ENSG00000124215",1,51,11,27,41
"ENSG00000124217",80,551,112,322,461
"ENSG00000124222",320,979,320,1011,974
"ENSG00000124224",280,472,183,895,474
"ENSG00000124225",53,1257,190,781,301
"ENSG00000124226",676,2497,884,1738,1994
"ENSG00000124228",333,3066,575,1168,1888
"ENSG00000124243",69,208,57,122,80
"ENSG00000124253",300,727,19,5852,3
"ENSG00000124257",5,50,1,31,68
"ENSG00000124275",909,2520,628,1284,918
"ENSG00000124279",373,716,217,476,397
"ENSG00000124299",135,4158,183,1440,2013
"ENSG00000124313",132,464,39,276,180
"ENSG00000124333",1293,1620,509,850,642
"ENSG00000124356",783,1655,1190,2133,1742
"ENSG00000124357",195,900,348,730,717
"ENSG00000124370",227,217,295,416,237
"ENSG00000124374",269,622,406,443,647
"ENSG00000124380",188,552,344,490,446
"ENSG00000124383",614,991,1159,1322,911
"ENSG00000124406",3477,4714,1343,13122,854
"ENSG00000124422",1464,13515,2250,4345,5260
"ENSG00000124429",15041,14125,6597,18147,3724
"ENSG00000124440",0,6,0,18,4920
"ENSG00000124444",51,285,74,143,467
"ENSG00000124459",196,844,344,642,1021
"ENSG00000124479",9,4,14,73,21
"ENSG00000124486",12491,25621,6145,15465,6979
"ENSG00000124491",131,350,615,1003,939
"ENSG00000124496",222,72,634,1258,1069
"ENSG00000124508",47,283,65,144,304
"ENSG00000124523",354,854,447,934,851
"ENSG00000124532",612,1816,521,1089,1024
"ENSG00000124535",406,2777,594,1215,1923
"ENSG00000124541",257,1668,385,630,1097
"ENSG00000124549",76,304,51,298,222
"ENSG00000124562",292,1568,393,681,1265
"ENSG00000124570",2332,6669,1242,5737,2758
"ENSG00000124571",724,5726,1084,1744,2144
"ENSG00000124574",107,1284,176,795,1043
"ENSG00000124575",1829,4258,1067,3697,5291
"ENSG00000124587",116,1160,139,726,1976
"ENSG00000124588",120,857,190,415,227
"ENSG00000124593",22,158,31,142,341
"ENSG00000124596",600,907,741,1130,959
"ENSG00000124602",85,1004,184,419,1378
"ENSG00000124608",116,1189,194,688,1401
"ENSG00000124610",30,1023,11,18,144
"ENSG00000124613",22,250,9,193,201
"ENSG00000124614",49,124,35,77,55
"ENSG00000124615",2,773,36,474,167
"ENSG00000124635",1258,5481,1063,1082,1287
"ENSG00000124641",201,797,340,762,951
"ENSG00000124659",99,860,173,358,687
"ENSG00000124664",347,58,462,440,580
"ENSG00000124688",257,1131,448,778,846
"ENSG00000124702",272,2841,398,802,2195
"ENSG00000124733",248,1435,516,761,1087
"ENSG00000124743",72,73,44,113,84
"ENSG00000124749",45,13,9,156,154
"ENSG00000124762",361,1902,1015,2845,1195
"ENSG00000124766",1089,6719,2011,5219,3612
"ENSG00000124767",1949,6514,2042,3485,3924
"ENSG00000124772",13,38,15,19,45
"ENSG00000124782",852,6491,976,3672,4651
"ENSG00000124783",3115,8075,3417,7012,9272
"ENSG00000124784",357,1018,426,881,646
"ENSG00000124786",583,939,569,1371,1424
"ENSG00000124787",67,442,75,187,108
"ENSG00000124788",938,2872,1306,2915,2811
"ENSG00000124789",1405,5835,1818,3349,3690
"ENSG00000124795",4448,9981,4066,6280,4453
"ENSG00000124802",102,359,174,259,217
"ENSG00000124813",24,136,102,220,233
"ENSG00000124831",1534,4594,3266,4941,4727
"ENSG00000124839",57,858,202,603,700
"ENSG00000124920",296,2481,486,2304,5487
"ENSG00000124939",8,5,6,64,51
"ENSG00000124942",35352,47236,27593,128498,150076
"ENSG00000125037",753,1635,718,1431,1665
"ENSG00000125089",26,419,105,255,252
"ENSG00000125107",6288,13767,6358,13684,11918
"ENSG00000125122",1,23,8,33,54
"ENSG00000125124",625,719,542,1627,908
"ENSG00000125144",50,148,41,356,3
"ENSG00000125148",34,472,201,198,48
"ENSG00000125149",183,411,223,599,508
"ENSG00000125166",811,2622,1188,2040,2018
"ENSG00000125170",376,1625,314,1876,2219
"ENSG00000125207",427,12,2078,240,44
"ENSG00000125246",331,385,197,541,145
"ENSG00000125247",659,1337,554,1727,827
"ENSG00000125249",2304,1802,669,1636,1247
"ENSG00000125257",169,4004,225,399,410
"ENSG00000125266",1473,2276,1092,3462,3827
"ENSG00000125304",10192,17166,5298,13774,15190
"ENSG00000125319",26,221,29,38,191
"ENSG00000125347",455,6791,791,1233,798
"ENSG00000125351",218,462,153,300,136
"ENSG00000125352",242,333,171,292,192
"ENSG00000125354",94,456,94,328,443
"ENSG00000125356",2012,2836,802,1842,858
"ENSG00000125375",361,1100,311,992,785
"ENSG00000125378",178,377,913,728,38
"ENSG00000125384",311,8,12,65,465
"ENSG00000125386",177,1716,250,755,1043
"ENSG00000125388",34,100,16,42,81
"ENSG00000125398",1281,3526,2572,3768,4296
"ENSG00000125430",10,35,8,120,14
"ENSG00000125434",6,186,9,46,29
"ENSG00000125445",452,1024,577,1030,2056
"ENSG00000125447",162,622,199,831,2437
"ENSG00000125449",34,278,44,157,563
"ENSG00000125450",516,1090,556,1220,2530
"ENSG00000125454",67,284,112,233,391
"ENSG00000125457",105,215,153,268,499
"ENSG00000125458",185,400,180,598,1341
"ENSG00000125459",13,139,32,69,202
"ENSG00000125482",568,772,513,653,318
"ENSG00000125484",1884,3256,1763,2191,1331
"ENSG00000125485",513,1355,595,783,503
"ENSG00000125503",85,1395,113,487,1904
"ENSG00000125505",220,5662,284,997,1755
"ENSG00000125520",26,794,60,198,668
"ENSG00000125534",117,1392,129,583,2640
"ENSG00000125538",27,75,15,324,8
"ENSG00000125611",27,260,68,136,204
"ENSG00000125618",17,177,51,28,902
"ENSG00000125629",604,1426,948,1581,784
"ENSG00000125630",712,2860,1300,1939,1340
"ENSG00000125633",1090,3806,1813,2202,1625
"ENSG00000125637",584,2799,1523,2020,3579
"ENSG00000125648",173,882,171,460,786
"ENSG00000125650",21,76,22,39,61
"ENSG00000125651",381,2072,498,1080,1410
"ENSG00000125652",133,859,91,402,435
"ENSG00000125656",104,877,146,280,403
"ENSG00000125676",6634,7136,3753,6361,2923
"ENSG00000125686",762,2870,1089,2107,3784
"ENSG00000125691",7640,15105,5207,9206,23366
"ENSG00000125703",200,466,194,502,388
"ENSG00000125730",155,1585,1508,723,1109
"ENSG00000125731",128,534,207,635,923
"ENSG00000125733",72,588,289,634,475
"ENSG00000125734",162,1321,389,933,1092
"ENSG00000125740",23,109,29,31,86
"ENSG00000125741",136,810,171,321,915
"ENSG00000125743",1132,4081,1289,1967,4203
"ENSG00000125744",16,68,12,114,420
"ENSG00000125746",213,1212,388,706,2412
"ENSG00000125753",630,6437,713,2469,6694
"ENSG00000125755",207,3850,335,1023,4769
"ENSG00000125772",1363,2594,1334,3098,1034
"ENSG00000125775",258,1796,216,1773,3848
"ENSG00000125779",302,1316,438,729,947
"ENSG00000125798",265,340,372,352,993
"ENSG00000125810",304,1222,1006,811,1181
"ENSG00000125812",207,852,280,498,347
"ENSG00000125814",259,1049,391,884,643
"ENSG00000125817",190,1538,263,933,1950
"ENSG00000125818",553,2925,881,1710,2501
"ENSG00000125821",258,873,405,674,565
"ENSG00000125826",330,2776,437,966,1423
"ENSG00000125827",905,1003,1062,2063,1211
"ENSG00000125834",256,3283,411,825,1630
"ENSG00000125835",483,5861,665,1599,1803
"ENSG00000125841",10,145,10,47,178
"ENSG00000125843",45,464,102,214,315
"ENSG00000125844",1893,14133,2224,5983,13117
"ENSG00000125845",112,650,72,1180,3296
"ENSG00000125846",118,1028,168,512,659
"ENSG00000125848",195,1131,1437,1043,2740
"ENSG00000125850",66,381,77,266,469
"ENSG00000125863",655,1399,666,1079,920
"ENSG00000125864",42,36,91,57,45
"ENSG00000125868",3343,6218,4140,6870,4351
"ENSG00000125869",175,13,0,574,193
"ENSG00000125870",601,1390,587,1024,701
"ENSG00000125871",327,820,388,636,608
"ENSG00000125875",256,1420,449,1133,1140
"ENSG00000125877",190,1593,293,758,1181
"ENSG00000125885",461,1673,551,752,640
"ENSG00000125895",10,176,53,77,14
"ENSG00000125898",26,392,22,58,304
"ENSG00000125901",123,1570,166,395,619
"ENSG00000125912",230,3105,239,1392,1329
"ENSG00000125944",3305,8039,3523,7279,4376
"ENSG00000125945",528,1321,555,1841,937
"ENSG00000125952",390,2426,666,1338,1079
"ENSG00000125962",376,537,224,649,361
"ENSG00000125967",55,484,108,356,331
"ENSG00000125968",17,1998,78,567,2335
"ENSG00000125970",668,5095,1015,2181,3478
"ENSG00000125971",244,1565,461,796,1103
"ENSG00000125977",850,2575,855,1226,1220
"ENSG00000125991",1026,6811,1782,3471,7278
"ENSG00000125995",190,2357,203,651,1090
"ENSG00000125999",0,2,25,0,2547
"ENSG00000126001",223,2209,349,710,609
"ENSG00000126003",87,1547,143,426,1072
"ENSG00000126005",107,357,108,526,524
"ENSG00000126012",1232,5331,1235,2753,2257
"ENSG00000126016",1451,2086,910,716,310
"ENSG00000126062",137,1342,179,659,1152
"ENSG00000126067",796,4675,964,1810,2366
"ENSG00000126070",744,2809,1004,2117,2271
"ENSG00000126088",200,864,360,841,1073
"ENSG00000126091",13,95,42,74,138
"ENSG00000126106",68,414,134,272,299
"ENSG00000126107",318,2463,326,1542,1803
"ENSG00000126214",258,1497,344,1058,1476
"ENSG00000126215",42,709,91,173,397
"ENSG00000126216",727,1181,497,1230,1420
"ENSG00000126217",690,617,675,626,1006
"ENSG00000126218",9,20,2,86,27
"ENSG00000126226",957,1376,620,1327,1520
"ENSG00000126243",18,273,29,108,404
"ENSG00000126247",681,5182,1388,2794,6250
"ENSG00000126249",29,285,58,99,182
"ENSG00000126254",92,1527,189,464,2833
"ENSG00000126261",1468,4060,1807,2904,4580
"ENSG00000126267",1810,6291,1414,2935,5386
"ENSG00000126351",209,21007,358,802,2767
"ENSG00000126368",24,1104,38,205,349
"ENSG00000126391",84,1248,243,580,1452
"ENSG00000126432",424,4204,764,3649,4947
"ENSG00000126453",22,575,19,107,378
"ENSG00000126456",108,2074,232,502,2140
"ENSG00000126457",431,4185,817,1685,5184
"ENSG00000126458",62,713,95,414,1291
"ENSG00000126460",28,212,78,161,574
"ENSG00000126461",45,1230,67,353,1722
"ENSG00000126464",38,1167,72,339,1546
"ENSG00000126522",273,2347,300,1808,1331
"ENSG00000126524",1727,2035,2156,3306,999
"ENSG00000126561",82,541,105,435,863
"ENSG00000126562",132,105,50,425,33
"ENSG00000126581",985,1923,1382,2818,4998
"ENSG00000126602",692,2926,1097,2217,2434
"ENSG00000126603",4,65,11,42,73
"ENSG00000126653",372,565,455,691,949
"ENSG00000126698",589,1844,751,1320,1244
"ENSG00000126705",27,455,59,398,832
"ENSG00000126709",257,26883,1289,777,2150
"ENSG00000126746",430,1689,366,829,766
"ENSG00000126749",223,622,194,400,282
"ENSG00000126756",1067,1341,658,971,731
"ENSG00000126759",11,13,7,36,22
"ENSG00000126767",321,1123,226,936,587
"ENSG00000126768",278,891,253,409,372
"ENSG00000126773",971,2804,1282,2785,2469
"ENSG00000126775",338,1161,366,1657,1032
"ENSG00000126777",5724,14730,5811,11671,8487
"ENSG00000126785",70,32,76,149,160
"ENSG00000126787",984,3103,643,523,626
"ENSG00000126790",306,582,164,490,419
"ENSG00000126803",48,206,55,146,461
"ENSG00000126804",1141,2083,1189,2278,1551
"ENSG00000126814",495,1218,657,1149,662
"ENSG00000126821",237,999,375,332,211
"ENSG00000126822",733,2861,770,2074,1445
"ENSG00000126858",795,1993,871,1451,1740
"ENSG00000126860",15,29,44,45,9
"ENSG00000126870",662,974,492,1283,297
"ENSG00000126878",176,158,360,63,106
"ENSG00000126882",8,96,42,42,75
"ENSG00000126883",1493,3564,1261,2552,1643
"ENSG00000126903",101,609,94,374,341
"ENSG00000126934",234,2225,275,647,1015
"ENSG00000126945",1403,2099,1019,2079,1119
"ENSG00000126947",42,51,22,104,320
"ENSG00000126953",184,308,134,168,97
"ENSG00000126970",98,444,28,255,193
"ENSG00000127022",23318,44012,18528,28762,38349
"ENSG00000127054",220,2296,276,1066,1768
"ENSG00000127080",172,639,277,439,295
"ENSG00000127081",957,747,1002,986,495
"ENSG00000127084",49,174,79,70,62
"ENSG00000127124",41,89,125,288,96
"ENSG00000127125",660,1663,796,1376,1245
"ENSG00000127152",330,1583,285,1421,591
"ENSG00000127184",4098,6331,2006,4269,3195
"ENSG00000127191",167,1469,225,403,377
"ENSG00000127220",5,68,4,44,159
"ENSG00000127249",320,292,85,242,3423
"ENSG00000127311",453,1961,506,855,486
"ENSG00000127314",425,942,346,980,550
"ENSG00000127324",28817,24615,11553,60688,8338
"ENSG00000127328",1694,3026,950,1491,698
"ENSG00000127329",1018,1138,560,2167,876
"ENSG00000127334",5120,8192,3360,8683,3203
"ENSG00000127337",625,783,332,567,239
"ENSG00000127362",37,89,53,143,48
"ENSG00000127364",56,94,84,193,62
"ENSG00000127366",17,56,34,118,32
"ENSG00000127399",38,603,101,273,208
"ENSG00000127415",16,320,60,88,275
"ENSG00000127418",74,709,159,294,395
"ENSG00000127419",20,171,53,171,550
"ENSG00000127445",81,805,138,433,570
"ENSG00000127452",53,460,66,300,346
"ENSG00000127463",604,3246,988,2131,3581
"ENSG00000127481",3166,21399,6055,10638,11900
"ENSG00000127483",2411,7999,2799,6215,5398
"ENSG00000127507",34,150,292,37,17
"ENSG00000127511",175,1234,200,757,792
"ENSG00000127526",478,2273,540,1557,1530
"ENSG00000127527",189,854,224,557,799
"ENSG00000127528",8,39,14,128,301
"ENSG00000127540",341,1230,323,922,685
"ENSG00000127554",105,360,85,256,412
"ENSG00000127564",20,248,54,86,195
"ENSG00000127580",32,151,53,151,329
"ENSG00000127586",14,461,45,168,358
"ENSG00000127603",7206,15599,11682,23305,20452
"ENSG00000127616",556,5225,818,2352,2397
"ENSG00000127663",189,1669,213,875,701
"ENSG00000127666",45,979,53,274,224
"ENSG00000127720",290,372,153,579,268
"ENSG00000127774",67,436,101,158,229
"ENSG00000127804",380,1483,492,1187,836
"ENSG00000127824",390,1893,894,1230,820
"ENSG00000127831",4121,20854,2847,8194,2749
"ENSG00000127837",571,5112,1318,2691,2781
"ENSG00000127838",221,2403,330,1255,3148
"ENSG00000127863",11,786,39,66,72
"ENSG00000127870",1788,2067,1192,1907,1633
"ENSG00000127884",1421,3435,1035,3032,1457
"ENSG00000127914",15939,10520,12408,23726,5937
"ENSG00000127920",67,82,103,211,197
"ENSG00000127922",830,1921,857,1450,802
"ENSG00000127946",326,642,667,861,806
"ENSG00000127947",1321,2539,1853,3995,1791
"ENSG00000127948",440,3033,603,2358,1456
"ENSG00000127951",76,547,91,637,205
"ENSG00000127952",315,766,507,646,583
"ENSG00000127954",5,246,617,71,733
"ENSG00000127955",170,916,37,1003,486
"ENSG00000127957",32,125,29,85,65
"ENSG00000127980",1285,2789,1544,2551,676
"ENSG00000127989",36,922,23,1030,323
"ENSG00000127990",77,38,21,457,212
"ENSG00000127993",219,339,275,505,287
"ENSG00000127995",1223,899,499,1838,684
"ENSG00000128000",648,1724,725,2042,2427
"ENSG00000128016",154,2243,266,1518,1932
"ENSG00000128039",229,879,461,2384,4915
"ENSG00000128045",18,117,0,155,222
"ENSG00000128050",2480,7047,3472,3831,2927
"ENSG00000128052",136,871,501,571,890
"ENSG00000128059",470,1430,759,935,632
"ENSG00000128159",147,551,213,950,1283
"ENSG00000128165",2,219,19,63,149
"ENSG00000128185",37,205,68,188,345
"ENSG00000128191",257,1161,390,1061,1092
"ENSG00000128203",104,43,115,464,242
"ENSG00000128228",30,289,57,188,761
"ENSG00000128242",31,278,29,209,54
"ENSG00000128245",954,5730,1456,3765,2161
"ENSG00000128266",19,35,44,69,22
"ENSG00000128268",302,505,380,866,2656
"ENSG00000128272",1212,2730,1119,2094,3819
"ENSG00000128274",0,42,1,29,37
"ENSG00000128283",208,990,376,1153,2419
"ENSG00000128284",128,209,228,632,188
"ENSG00000128294",137,529,156,437,166
"ENSG00000128298",174,404,317,671,463
"ENSG00000128309",391,1092,626,1511,2548
"ENSG00000128311",830,1581,895,2063,3977
"ENSG00000128335",167,1131,404,750,1691
"ENSG00000128340",59,232,186,376,174
"ENSG00000128342",111,765,638,541,428
"ENSG00000128394",20,71,47,70,65
"ENSG00000128422",2,354,32,12,982
"ENSG00000128463",465,1460,573,1142,1192
"ENSG00000128487",538,1521,698,1301,1230
"ENSG00000128512",247,1072,935,914,424
"ENSG00000128513",503,986,723,1179,538
"ENSG00000128524",371,1316,451,654,348
"ENSG00000128534",773,1484,736,1305,671
"ENSG00000128536",268,481,125,512,133
"ENSG00000128563",84,660,147,355,285
"ENSG00000128567",660,3127,1911,1249,398
"ENSG00000128573",104,942,4,158,26
"ENSG00000128578",72,213,355,214,61
"ENSG00000128581",287,600,336,359,146
"ENSG00000128585",4907,7491,4543,8938,3271
"ENSG00000128590",454,820,715,1158,451
"ENSG00000128591",40,61,158,97,116
"ENSG00000128594",5,33,7,35,121
"ENSG00000128595",2747,3006,4177,4128,2590
"ENSG00000128596",1,21,5,18,33
"ENSG00000128602",38,188,9,214,204
"ENSG00000128604",56,194,83,130,138
"ENSG00000128606",53,31,20,102,43
"ENSG00000128607",1740,3658,1395,2681,1433
"ENSG00000128609",1225,1520,1048,2484,871
"ENSG00000128626",137,1104,191,410,1076
"ENSG00000128641",1542,12275,4686,4128,1959
"ENSG00000128654",439,1686,702,1097,652
"ENSG00000128655",22,136,76,213,214
"ENSG00000128656",78,89,131,52,87
"ENSG00000128694",100,389,192,276,185
"ENSG00000128699",770,1502,1054,1455,1028
"ENSG00000128708",700,1749,1360,1142,810
"ENSG00000128709",20,153,38,42,60
"ENSG00000128731",918,7136,1174,3113,3785
"ENSG00000128739",11,205,4,166,436
"ENSG00000128789",1056,2252,390,1847,629
"ENSG00000128791",522,2842,402,1277,677
"ENSG00000128805",16,67,43,40,61
"ENSG00000128815",49,323,93,114,64
"ENSG00000128829",744,3448,1281,2110,1340
"ENSG00000128833",1874,3347,3519,6594,5999
"ENSG00000128849",489,104,1023,1652,1194
"ENSG00000128872",284,509,639,602,203
"ENSG00000128881",264,739,355,909,746
"ENSG00000128891",317,377,214,583,921
"ENSG00000128908",774,2511,972,2144,2114
"ENSG00000128915",1209,2015,1387,2945,2018
"ENSG00000128917",32,543,193,141,267
"ENSG00000128918",4,8151,11,8,61
"ENSG00000128923",791,1223,1118,2290,2050
"ENSG00000128928",379,3088,705,2250,2144
"ENSG00000128944",378,1472,368,268,354
"ENSG00000128951",386,1732,764,991,756
"ENSG00000128973",196,1932,386,816,767
"ENSG00000128989",2681,6011,4046,7195,4172
"ENSG00000129003",8597,18437,8030,26720,12511
"ENSG00000129007",574,1508,346,1348,546
"ENSG00000129009",84,129,14,286,167
"ENSG00000129028",43,128,62,89,81
"ENSG00000129038",20,67,23,161,192
"ENSG00000129048",5,157,2,105,29
"ENSG00000129055",589,1004,1090,1305,756
"ENSG00000129071",526,1706,578,1184,855
"ENSG00000129083",4279,11866,3994,7506,6120
"ENSG00000129084",426,2120,496,751,684
"ENSG00000129103",922,3539,1569,3336,9344
"ENSG00000129116",1372,2328,930,2165,2021
"ENSG00000129128",2767,2750,3315,5719,5593
"ENSG00000129158",112,588,142,304,267
"ENSG00000129167",6,62,6,164,17
"ENSG00000129173",181,1768,214,254,514
"ENSG00000129187",642,1524,1181,2001,1449
"ENSG00000129195",65,497,76,92,64
"ENSG00000129197",296,1192,427,1062,563
"ENSG00000129219",145,1224,292,792,451
"ENSG00000129235",723,2760,475,2104,656
"ENSG00000129245",169,1426,239,554,476
"ENSG00000129250",563,11727,922,3147,2755
"ENSG00000129255",495,1922,582,1607,1156
"ENSG00000129292",3247,5014,2245,4065,4092
"ENSG00000129295",714,239,91,254,326
"ENSG00000129315",2022,3303,1932,3256,1534
"ENSG00000129317",2301,2786,1353,3715,1245
"ENSG00000129347",65,883,219,286,368
"ENSG00000129351",1111,10077,1712,3965,4761
"ENSG00000129353",501,4188,732,2359,5797
"ENSG00000129354",516,4007,881,2462,2738
"ENSG00000129355",18,92,30,34,35
"ENSG00000129422",2768,5421,4770,6300,16440
"ENSG00000129451",113,457,486,542,18
"ENSG00000129460",391,913,398,791,849
"ENSG00000129465",132,937,156,593,514
"ENSG00000129467",33,91,198,105,120
"ENSG00000129472",166,678,288,772,709
"ENSG00000129473",332,1255,570,704,980
"ENSG00000129474",31,1049,147,292,1368
"ENSG00000129480",247,653,284,644,336
"ENSG00000129484",146,604,221,458,583
"ENSG00000129493",572,2380,881,1887,990
"ENSG00000129514",245,2123,312,946,2917
"ENSG00000129515",1039,3885,1399,2672,1931
"ENSG00000129518",683,1454,602,1235,799
"ENSG00000129521",973,6957,2445,4200,4173
"ENSG00000129534",1403,3839,1445,2019,1294
"ENSG00000129538",1568,2292,925,3751,5523
"ENSG00000129559",329,1796,449,751,1328
"ENSG00000129562",1127,2965,1304,2305,3388
"ENSG00000129566",823,6436,1221,6493,6064
"ENSG00000129595",63,684,53,582,895
"ENSG00000129596",8,4,1,48,111
"ENSG00000129625",2739,4018,2288,4735,2966
"ENSG00000129636",1026,1007,1396,3177,2707
"ENSG00000129646",33,134,53,104,63
"ENSG00000129654",18,2,0,2,519
"ENSG00000129657",303,952,661,1138,2136
"ENSG00000129667",109,592,254,351,324
"ENSG00000129675",118,914,126,507,290
"ENSG00000129680",216,127,174,412,121
"ENSG00000129682",34,325,71,75,104
"ENSG00000129691",625,589,809,1316,1454
"ENSG00000129696",188,261,272,293,417
"ENSG00000129757",5,149,24,52,125
"ENSG00000129810",233,839,228,161,238
"ENSG00000129911",56,712,85,215,187
"ENSG00000129925",134,1805,322,777,1790
"ENSG00000129932",7,273,19,82,227
"ENSG00000129933",238,1702,370,1072,1254
"ENSG00000129946",19,870,128,203,374
"ENSG00000129968",28,183,25,102,177
"ENSG00000130005",5,226,2,21,48
"ENSG00000130021",609,831,461,1314,661
"ENSG00000130023",256,744,238,830,683
"ENSG00000130024",743,2493,1053,1975,1273
"ENSG00000130038",1609,69,1248,867,691
"ENSG00000130052",6,93,32,98,77
"ENSG00000130055",12,182,1,215,166
"ENSG00000130066",6327,9291,6138,11241,2955
"ENSG00000130119",585,1449,467,1228,810
"ENSG00000130147",589,5280,2188,3151,2493
"ENSG00000130150",628,753,409,1044,318
"ENSG00000130158",278,2280,383,1175,1338
"ENSG00000130159",101,658,116,367,688
"ENSG00000130164",597,2657,1366,3628,9187
"ENSG00000130165",121,815,193,328,378
"ENSG00000130175",685,4339,1006,2539,4146
"ENSG00000130176",11,41,13,40,76
"ENSG00000130177",2296,2107,1146,2505,1870
"ENSG00000130193",315,4742,339,946,3029
"ENSG00000130202",212,4294,591,1066,7218
"ENSG00000130203",117,924,489,473,823
"ENSG00000130204",107,2175,198,491,1734
"ENSG00000130208",41,138,246,64,389
"ENSG00000130222",17,89,44,28,101
"ENSG00000130224",44,5,6,84,44
"ENSG00000130227",1496,2448,2041,3045,4169
"ENSG00000130234",549,5545,4,1168,253
"ENSG00000130244",75,277,99,287,531
"ENSG00000130254",247,1120,427,863,1124
"ENSG00000130255",3577,15366,4247,9266,6144
"ENSG00000130294",2,5,0,7,6
"ENSG00000130299",22,280,44,163,163
"ENSG00000130300",2,725,202,2,25
"ENSG00000130303",83,10808,70,1600,948
"ENSG00000130304",29,207,156,227,354
"ENSG00000130305",56,674,91,256,282
"ENSG00000130309",489,3815,1118,2255,1428
"ENSG00000130311",76,837,131,434,551
"ENSG00000130312",125,985,153,362,297
"ENSG00000130313",182,1138,235,615,582
"ENSG00000130332",248,1076,264,594,615
"ENSG00000130338",906,7443,1317,2973,4813
"ENSG00000130340",1225,4423,1383,4060,4194
"ENSG00000130347",101,451,93,235,410
"ENSG00000130348",313,1227,409,883,1211
"ENSG00000130349",205,560,238,427,404
"ENSG00000130363",468,858,443,1236,858
"ENSG00000130382",73,808,124,360,705
"ENSG00000130396",3646,15971,4585,10554,9383
"ENSG00000130402",2238,15413,4407,8680,37158
"ENSG00000130413",17,589,3,206,162
"ENSG00000130414",987,3731,1769,2537,2879
"ENSG00000130429",523,6222,830,1845,1379
"ENSG00000130449",517,2087,568,1730,1978
"ENSG00000130475",62,76,107,262,309
"ENSG00000130477",30,16,9,104,71
"ENSG00000130479",73,1205,97,353,695
"ENSG00000130489",144,453,124,434,313
"ENSG00000130508",446,550,774,1004,1355
"ENSG00000130511",42,445,49,173,383
"ENSG00000130513",144,1328,488,1361,464
"ENSG00000130517",349,2018,502,1791,1144
"ENSG00000130518",19,117,17,64,167
"ENSG00000130520",600,4089,746,1420,1200
"ENSG00000130522",188,3569,324,741,1591
"ENSG00000130529",195,2993,225,2000,6613
"ENSG00000130544",368,788,488,880,405
"ENSG00000130545",106,1075,100,465,545
"ENSG00000130559",838,2434,1065,1375,833
"ENSG00000130560",496,1109,353,617,357
"ENSG00000130584",24,74,59,152,208
"ENSG00000130589",175,6508,208,958,2061
"ENSG00000130590",6,159,44,81,92
"ENSG00000130592",29,329,78,63,48
"ENSG00000130600",16,267,256,1,5683
"ENSG00000130635",542,1430,1007,1440,2226
"ENSG00000130638",1137,1625,1161,2229,2375
"ENSG00000130640",604,1525,480,1353,2148
"ENSG00000130653",71,23,119,219,321
"ENSG00000130669",108,1548,139,494,2241
"ENSG00000130675",84,534,96,158,127
"ENSG00000130684",182,998,313,766,699
"ENSG00000130695",213,1197,394,600,504
"ENSG00000130699",118,862,159,467,600
"ENSG00000130701",62,427,31,154,79
"ENSG00000130702",41,3355,244,629,3126
"ENSG00000130703",684,2946,857,2534,2369
"ENSG00000130706",206,3338,305,802,1411
"ENSG00000130707",3589,11067,5109,1717,477
"ENSG00000130713",578,1362,680,772,523
"ENSG00000130714",161,925,136,445,320
"ENSG00000130717",176,599,158,275,336
"ENSG00000130723",1896,9538,2387,3759,4205
"ENSG00000130724",529,1971,588,1703,3163
"ENSG00000130725",107,993,149,330,880
"ENSG00000130726",705,8930,1162,2763,9522
"ENSG00000130731",122,810,163,597,661
"ENSG00000130733",260,1475,355,1092,1176
"ENSG00000130734",76,494,83,213,200
"ENSG00000130741",6182,8325,2801,5756,2784
"ENSG00000130749",228,2329,350,837,2413
"ENSG00000130755",19,80,57,41,32
"ENSG00000130758",15,298,31,102,309
"ENSG00000130762",300,2096,302,1491,1816
"ENSG00000130764",212,1936,316,847,1387
"ENSG00000130766",61,1573,59,544,1319
"ENSG00000130768",163,1193,197,890,1639
"ENSG00000130770",762,3093,613,1871,2126
"ENSG00000130772",209,744,224,547,648
"ENSG00000130775",15,290,76,88,334
"ENSG00000130779",1609,3854,1695,3253,1698
"ENSG00000130787",477,3028,496,1355,876
"ENSG00000130803",353,1480,426,1141,916
"ENSG00000130810",6,168,18,60,56
"ENSG00000130811",416,2689,719,1557,2130
"ENSG00000130813",68,1442,168,349,516
"ENSG00000130816",394,3796,922,953,1465
"ENSG00000130818",147,1567,489,1165,629
"ENSG00000130821",657,4357,99,3342,238
"ENSG00000130826",1344,3715,1212,1934,1092
"ENSG00000130827",290,2034,223,1065,1082
"ENSG00000130830",40,322,99,74,43
"ENSG00000130844",22,694,39,111,484
