"","GAMuT_23091","GAMuT_32035","GAMuT_32810","GAMuT_41361","GAMuT_41828","GAMuT_49009","GAMuT_51027","GAMuT_51052","GAMuT_51056","GAMuT_70066","GAMuT_IC294"
"ENSG00000101298",131,67,91,57,110,39,106,50,74,108,71
"ENSG00000101310",3655,1800,3217,1555,4503,1383,1748,1752,1392,1370,1638
"ENSG00000101311",2808,2010,4385,2850,3872,2021,3173,1721,1323,771,3002
"ENSG00000101333",734,942,3240,1069,897,1668,971,1223,1536,1564,907
"ENSG00000101335",796,721,1373,844,678,286,1079,75,1341,3707,1001
"ENSG00000101336",270,149,292,156,109,199,277,34,148,140,85
"ENSG00000101337",2377,1666,4105,1580,2723,1217,1941,2134,1747,1974,2062
"ENSG00000101342",62,33,495,233,22,54,24,32,57,50,122
"ENSG00000101343",2074,1536,3615,1513,2826,1204,1172,1495,1037,1847,1575
"ENSG00000101346",1518,1292,2828,1502,1281,1279,1378,1191,1273,1847,1461
"ENSG00000101347",914,1640,2204,884,1457,802,1638,669,1071,2612,1243
"ENSG00000101350",2964,2621,5163,2962,2898,2312,2623,2320,2026,3328,2225
"ENSG00000101353",20,36,24,38,23,29,29,27,34,68,45
"ENSG00000101361",1591,1194,2329,966,1388,723,1284,1016,1257,1830,1717
"ENSG00000101363",570,469,1072,529,738,426,563,599,419,616,473
"ENSG00000101365",1129,707,1391,725,993,725,919,781,650,1055,738
"ENSG00000101367",2125,1595,2608,1405,3201,1319,1754,1338,1180,1963,1474
"ENSG00000101384",9357,7431,11108,9963,13679,7160,14132,8374,4475,5935,6162
"ENSG00000101391",419,524,822,607,526,459,454,691,513,565,616
"ENSG00000101400",224,180,42,154,273,161,167,270,110,94,58
"ENSG00000101407",681,796,1347,869,978,652,651,797,665,1151,955
"ENSG00000101412",76,56,37,42,31,77,137,34,26,88,70
"ENSG00000101413",911,1016,1873,1004,1216,1153,741,1052,740,1138,1055
"ENSG00000101417",568,476,698,458,673,352,430,539,356,585,505
"ENSG00000101421",1516,1293,2712,1271,1594,1192,1487,1329,917,1374,1074
"ENSG00000101439",10391,3952,7651,3223,9804,3423,4277,4379,2927,2079,1933
"ENSG00000101442",218,243,376,214,283,318,223,266,196,272,243
"ENSG00000101443",3141,1461,556,431,1183,65,1428,1261,2558,30,249
"ENSG00000101444",3596,1425,2408,1252,2179,1167,1801,1326,1225,1363,1477
"ENSG00000101445",75,114,165,121,39,86,147,40,53,132,147
"ENSG00000101447",121,70,204,102,159,91,133,59,62,167,102
"ENSG00000101452",573,535,1331,738,709,673,496,544,495,640,627
"ENSG00000101457",557,571,1027,579,774,297,529,513,348,312,392
"ENSG00000101460",199,55,212,171,47,132,180,28,26,137,34
"ENSG00000101464",390,304,657,276,481,252,314,303,327,382,321
"ENSG00000101473",501,366,534,426,458,327,348,406,234,364,268
"ENSG00000101474",2013,1275,1995,968,1839,930,1409,1188,896,1267,1030
"ENSG00000101493",968,868,1134,1045,1071,758,1132,659,1093,1873,1283
"ENSG00000101544",850,946,1240,1013,1164,708,848,1086,703,1032,1060
"ENSG00000101546",230,313,249,279,334,168,184,311,367,358,287
"ENSG00000101557",1189,1313,2001,1345,2182,945,1225,1572,1299,1884,1783
"ENSG00000101558",3854,3932,4819,4143,5877,2832,2881,4765,3135,5965,4053
"ENSG00000101574",490,711,871,603,870,510,530,734,525,777,677
"ENSG00000101577",6014,3751,5625,4896,10370,4253,3489,4649,1939,3599,3596
"ENSG00000101596",4836,6725,9714,7487,7802,5520,5317,8619,6057,8142,8908
"ENSG00000101605",1778,2313,639,510,302,355,208,250,1049,650,2256
"ENSG00000101608",9330,6078,9358,6354,12937,5565,5876,6016,4234,5745,5475
"ENSG00000101624",280,218,356,234,312,148,195,221,139,352,218
"ENSG00000101639",3259,3403,3674,3732,3352,2619,2479,5044,3323,4917,4177
"ENSG00000101654",1592,1748,2390,1652,2156,1357,1248,1913,1381,2016,1819
"ENSG00000101665",197,284,546,552,355,345,453,199,151,353,258
"ENSG00000101670",224,225,329,200,120,191,323,70,447,150,275
"ENSG00000101680",1104,1321,2050,683,821,716,2024,98,750,4145,1349
"ENSG00000101695",371,376,731,601,1000,225,275,797,374,261,537
"ENSG00000101745",2419,3436,5789,4161,5407,3091,2650,4484,3171,4518,4422
"ENSG00000101751",936,1213,927,1301,1259,946,964,1806,887,1707,1271
"ENSG00000101752",3619,3357,5962,4032,6126,3201,2916,3673,3060,5824,3806
"ENSG00000101773",2319,1608,1793,1954,3560,1350,1488,2074,1195,1216,1914
"ENSG00000101782",4020,3985,10052,5840,8634,4276,3437,5259,2474,3372,3586
"ENSG00000101811",442,331,562,308,532,301,405,336,323,335,344
"ENSG00000101825",8666,2448,3183,8117,8557,697,7064,978,5296,738,483
"ENSG00000101842",30154,8333,6939,5999,92577,6714,5869,15664,9196,4260,7330
"ENSG00000101843",773,582,851,473,1030,386,558,448,382,802,537
"ENSG00000101844",514,284,708,287,843,269,290,353,311,340,332
"ENSG00000101846",1999,3143,6199,2355,3803,3381,3013,3612,3584,3028,3141
"ENSG00000101849",783,593,708,805,1144,528,598,770,430,821,434
"ENSG00000101850",25,30,29,45,34,16,70,7,23,94,18
"ENSG00000101856",4053,3172,4426,3095,5155,1592,2057,3118,2582,7238,3325
"ENSG00000101868",937,1007,1024,1127,1068,804,995,1099,820,1329,1414
"ENSG00000101871",627,565,649,446,631,549,611,501,725,716,870
"ENSG00000101882",371,358,529,431,530,340,316,355,252,615,483
"ENSG00000101888",356,379,527,316,665,239,239,347,217,359,363
"ENSG00000101898",23,43,78,46,55,48,34,48,69,55,76
"ENSG00000101901",1078,2150,2249,2221,2406,1771,1808,4491,2333,2440,2485
"ENSG00000101911",3313,1937,1261,1674,3892,562,1450,1055,4081,7227,2896
"ENSG00000101928",372,261,417,276,403,168,234,275,255,540,279
"ENSG00000101935",1087,880,1158,896,1606,540,874,756,1031,2418,1412
"ENSG00000101940",1034,535,654,626,1074,667,763,622,450,567,387
"ENSG00000101945",76,79,72,55,67,57,71,53,51,87,63
"ENSG00000101955",65,170,263,161,40,53,270,19,97,642,178
"ENSG00000101966",3496,3340,6267,3348,6442,2553,2223,4753,2537,2983,3732
"ENSG00000101972",5306,5127,7650,5920,8178,3745,3821,5421,3612,6884,5587
"ENSG00000101974",1063,1067,1525,1235,1502,822,997,855,855,2207,1312
"ENSG00000101977",33,73,76,106,67,15,25,29,51,268,61
"ENSG00000101986",76,71,80,48,43,70,98,55,55,61,40
"ENSG00000101997",238,159,222,132,214,168,173,199,122,175,112
"ENSG00000102003",30,22,216,126,14,60,11,14,65,159,7
"ENSG00000102007",787,575,674,1137,1223,569,600,1256,313,626,619
"ENSG00000102010",515,115,164,161,42,261,231,62,217,141,14
"ENSG00000102024",5727,3760,4753,2538,6815,2589,4141,2208,2856,7021,3585
"ENSG00000102030",324,164,257,172,260,147,281,207,122,193,188
"ENSG00000102034",1910,910,1229,1430,2134,1262,1128,1311,582,1053,797
"ENSG00000102038",1688,2209,968,1521,2219,860,1671,1861,1788,4080,1974
"ENSG00000102043",226,299,287,340,445,344,254,359,202,305,274
"ENSG00000102053",90,185,248,275,182,211,146,215,222,254,164
"ENSG00000102054",2832,2100,2672,1888,3333,1668,1898,1880,1532,2948,1889
"ENSG00000102057",13,46,52,46,20,56,52,18,32,78,48
"ENSG00000102078",170,226,271,211,214,198,228,242,182,244,208
"ENSG00000102081",1108,2239,3214,2284,2466,1451,1363,2004,1586,3232,2565
"ENSG00000102096",63,102,139,99,83,81,162,73,86,105,86
"ENSG00000102098",41,61,89,56,48,20,53,10,85,260,99
"ENSG00000102100",1231,637,1243,419,1113,446,673,568,444,398,422
"ENSG00000102103",590,370,468,395,516,323,443,327,284,474,323
"ENSG00000102119",226,267,264,225,250,149,226,262,178,311,165
"ENSG00000102125",230,209,327,324,271,264,229,357,191,253,296
"ENSG00000102144",7073,4764,6516,3569,8514,4646,8667,3830,3448,4242,4529
"ENSG00000102158",5256,2557,4399,2646,7224,1809,2386,3212,1995,2969,3222
"ENSG00000102172",923,1108,1501,756,1381,698,1059,929,764,2108,939
"ENSG00000102174",227,549,782,101,195,65,446,31,407,2148,427
"ENSG00000102178",785,402,570,447,648,393,504,402,225,440,319
"ENSG00000102181",406,442,453,424,406,275,521,241,415,923,421
"ENSG00000102189",2145,1799,3176,2366,4072,1343,1324,2069,1966,2958,2707
"ENSG00000102218",879,561,1110,499,1593,538,523,671,430,725,622
"ENSG00000102221",404,354,667,438,517,269,371,411,424,747,448
"ENSG00000102225",1011,669,886,867,986,672,944,821,652,1024,791
"ENSG00000102226",819,813,978,624,693,628,1024,597,625,1306,626
"ENSG00000102230",37,67,98,40,28,16,50,9,69,250,58
"ENSG00000102241",1660,1689,2204,1791,2012,1145,1530,1541,1374,2025,1527
"ENSG00000102265",5075,4676,9091,3157,6388,2292,7488,2432,4188,3139,2204
"ENSG00000102271",214,206,332,156,222,35,150,19,296,1016,301
"ENSG00000102287",25,87,631,110,84,44,103,15,46,74,777
"ENSG00000102302",35,67,79,53,35,49,94,13,55,178,59
"ENSG00000102309",319,263,316,292,396,216,276,247,179,375,288
"ENSG00000102312",97,108,113,151,151,137,144,107,133,105,99
"ENSG00000102316",5619,3932,5253,2304,5477,2415,4747,2304,3266,6929,2885
"ENSG00000102317",3960,4064,3900,3649,5234,2953,4681,3653,2523,3700,2905
"ENSG00000102349",103,318,76,734,212,387,54,462,175,231,194
"ENSG00000102359",299,471,504,268,281,166,835,37,268,651,207
"ENSG00000102362",2016,1871,2928,2880,4830,1468,1463,1957,1566,3189,2750
"ENSG00000102383",32,63,90,61,41,13,66,6,61,221,69
"ENSG00000102384",109,67,77,74,97,76,133,53,74,311,185
"ENSG00000102390",481,342,694,326,591,500,322,379,286,381,307
"ENSG00000102393",223,155,298,150,248,113,233,122,127,261,169
"ENSG00000102401",2523,1622,2491,1204,3045,1071,1276,1595,1284,2028,1579
"ENSG00000102409",462,311,239,122,327,111,178,221,237,684,298
"ENSG00000102445",31,61,54,39,78,40,63,3,31,56,77
"ENSG00000102452",23,66,259,437,30,64,96,17,52,99,26
"ENSG00000102471",1409,1493,3357,1463,2498,1348,959,1888,1072,1707,1570
"ENSG00000102524",69,302,372,132,224,113,227,201,363,345,488
"ENSG00000102531",5840,4646,6948,4085,7529,3217,3492,5053,4735,6081,5677
"ENSG00000102543",177,191,204,244,207,142,178,217,113,270,215
"ENSG00000102547",335,239,351,225,493,171,196,196,249,489,264
"ENSG00000102554",3456,5449,11408,6763,5184,4338,2514,7384,4097,6094,7126
"ENSG00000102572",3898,3949,5175,5175,5158,4246,3862,4567,2470,3280,3221
"ENSG00000102575",196,308,697,132,374,131,308,218,144,294,94
"ENSG00000102580",7369,3885,7806,3370,11722,2503,3027,4147,2813,3587,3167
"ENSG00000102595",1511,1503,1752,1391,2454,903,1200,1837,1459,2293,2075
"ENSG00000102606",1313,2013,3325,2245,2180,2195,1911,2748,2021,2773,2351
"ENSG00000102699",8225,7873,10441,7664,13528,5819,5937,11137,6406,5500,8489
"ENSG00000102710",1097,1798,2431,2142,2101,1382,1256,2482,1976,2593,2351
"ENSG00000102738",475,455,603,572,686,391,388,547,337,643,509
"ENSG00000102743",340,163,149,152,293,147,143,209,98,235,140
"ENSG00000102753",1236,1108,1681,1210,2219,800,1008,1127,926,1827,1366
"ENSG00000102755",397,266,272,554,486,112,505,100,516,1072,756
"ENSG00000102760",65,59,124,38,202,41,67,28,84,122,84
"ENSG00000102763",1872,1428,1835,1534,2069,1080,1153,1447,1809,1554,2138
"ENSG00000102780",991,2445,6238,1394,1794,3326,2210,1826,3365,3499,3336
"ENSG00000102781",186,217,285,258,648,108,214,263,208,568,297
"ENSG00000102786",2033,2530,4364,3203,3774,2126,1794,3297,2630,3127,3540
"ENSG00000102796",261,235,141,233,246,247,165,356,154,229,166
"ENSG00000102804",4016,2566,4681,4567,5551,3639,3120,3501,2295,5440,2833
"ENSG00000102805",1817,1253,1931,821,1980,797,820,1435,1030,1320,799
"ENSG00000102837",170,235,5521,3276,318,23,24632,11,603,2539,14
"ENSG00000102854",7450,2486,451,355,2282,861,4804,2592,2192,1064,1204
"ENSG00000102858",582,623,733,665,623,758,906,626,532,815,735
"ENSG00000102870",719,671,875,686,700,594,852,858,569,876,735
"ENSG00000102871",582,416,507,408,443,391,419,470,332,263,397
"ENSG00000102878",83,158,64,226,100,152,104,201,146,157,206
"ENSG00000102879",79,86,274,87,101,109,152,59,31,80,84
"ENSG00000102882",1498,796,2100,1350,2041,1025,956,1336,756,1095,782
"ENSG00000102886",635,222,835,298,567,430,180,247,165,452,147
"ENSG00000102890",1321,625,524,498,652,793,675,689,378,300,402
"ENSG00000102893",4716,3414,4787,3781,6019,3105,2799,4490,3406,4312,4021
"ENSG00000102897",499,486,548,344,403,192,477,325,488,427,464
"ENSG00000102898",549,441,631,486,766,286,497,396,591,655,469
"ENSG00000102900",1026,805,968,570,1063,654,892,818,717,1076,871
"ENSG00000102901",229,265,348,357,301,245,306,370,322,446,312
"ENSG00000102908",1576,3227,4733,4372,3616,2501,2099,3617,3614,4920,4431
"ENSG00000102910",6181,5557,7462,5195,6943,4020,4215,6337,5250,6063,7014
"ENSG00000102921",1865,2109,4041,2881,3402,2051,1850,2951,1966,2483,2717
"ENSG00000102931",1305,874,1088,813,1936,481,702,723,504,1392,698
"ENSG00000102934",3182,1474,1443,1821,5105,1049,1156,1181,992,1183,939
"ENSG00000102935",101,201,161,222,175,49,259,36,155,531,225
"ENSG00000102967",198,188,197,128,153,113,217,195,217,194,244
"ENSG00000102974",1664,1370,2560,1647,1907,1238,1320,1475,1052,1814,1501
"ENSG00000102977",81,72,73,68,76,46,109,85,35,90,60
"ENSG00000102978",1580,1047,1475,902,1746,888,1044,891,656,1149,831
"ENSG00000102984",66,82,139,87,72,76,67,44,55,94,56
"ENSG00000102996",799,493,732,494,791,978,984,659,553,503,689
"ENSG00000103005",189,271,390,286,288,274,325,339,295,266,292
"ENSG00000103018",2001,1554,2545,1559,2928,1273,1401,1360,1360,2199,1614
"ENSG00000103021",199,98,153,50,113,53,152,105,206,228,225
"ENSG00000103024",314,100,84,72,89,123,194,80,25,70,50
"ENSG00000103034",25,17,51,49,27,24,53,3,35,56,48
"ENSG00000103035",1600,1051,1623,1043,2018,931,1108,990,845,1416,1079
"ENSG00000103037",412,364,476,385,435,200,286,494,283,386,393
"ENSG00000103042",221,298,511,281,313,302,360,336,272,391,312
"ENSG00000103043",374,528,585,491,472,489,591,598,482,587,532
"ENSG00000103044",85,81,159,252,271,1010,194,424,245,138,217
"ENSG00000103047",422,420,555,626,583,629,430,776,392,536,582
"ENSG00000103051",1286,1152,1924,1169,1476,1100,1095,1274,1070,1610,1293
"ENSG00000103056",2173,902,2159,869,1099,2152,1391,1011,797,1508,1188
"ENSG00000103061",617,537,800,592,654,476,569,595,553,718,624
"ENSG00000103064",262,287,484,244,392,165,400,163,386,703,299
"ENSG00000103066",292,291,364,197,333,210,325,240,199,317,181
"ENSG00000103067",1869,1922,1740,1903,2216,2309,1502,2395,1391,1470,1605
"ENSG00000103089",933,721,1081,895,1401,728,817,916,324,488,400
"ENSG00000103091",895,1251,1523,1903,1176,1185,930,1590,1257,1441,1480
"ENSG00000103111",1150,1010,1401,864,1547,847,881,1195,888,968,961
"ENSG00000103121",441,440,595,468,595,409,395,553,485,685,683
"ENSG00000103126",476,398,593,498,386,635,629,509,327,372,411
"ENSG00000103145",150,143,167,202,160,101,219,126,103,144,88
"ENSG00000103148",243,315,369,266,217,228,344,290,423,429,284
"ENSG00000103150",627,1084,893,883,678,621,668,1184,1284,1150,1339
"ENSG00000103152",1024,228,258,195,485,326,478,199,170,160,135
"ENSG00000103160",619,585,871,655,831,403,526,479,432,952,424
"ENSG00000103168",311,437,411,437,314,408,407,442,325,615,368
"ENSG00000103174",550,285,404,294,447,331,308,501,199,250,178
"ENSG00000103175",601,688,893,616,590,175,670,61,687,2983,897
"ENSG00000103184",355,84,10,83,115,39,39,230,45,67,71
"ENSG00000103187",1882,1617,1230,1139,2027,1316,2008,1883,1071,774,936
"ENSG00000103194",1207,1215,1751,1197,1590,903,1156,1272,1339,1559,1576
"ENSG00000103196",742,871,776,556,1350,428,1445,363,648,2230,861
"ENSG00000103197",1369,1352,1853,1481,1235,1555,1519,1777,1285,1613,1385
"ENSG00000103199",203,232,268,221,159,220,244,276,207,259,249
"ENSG00000103202",377,186,183,128,242,101,205,137,252,227,173
"ENSG00000103222",2847,2428,1891,2766,2882,1780,2359,4263,1699,2095,1931
"ENSG00000103226",94,73,76,77,129,15,44,74,49,126,68
"ENSG00000103227",247,240,158,215,191,163,241,268,227,266,233
"ENSG00000103245",423,257,287,240,321,270,340,259,170,252,235
"ENSG00000103248",288,380,493,413,331,350,343,530,379,428,448
"ENSG00000103249",500,441,667,368,410,504,691,549,279,502,378
"ENSG00000103254",216,71,71,38,95,57,85,42,17,36,23
"ENSG00000103257",127,31,49,37,105,24,175,7,89,60,36
"ENSG00000103260",224,37,29,12,48,22,58,47,25,23,41
"ENSG00000103264",394,372,636,498,472,393,494,429,396,573,358
"ENSG00000103266",740,418,432,417,600,363,531,507,268,383,295
"ENSG00000103274",530,371,451,322,472,288,416,358,238,312,263
"ENSG00000103275",883,873,1307,905,1029,718,971,846,825,1163,854
"ENSG00000103316",78,27,17,62,39,93,68,21,23,18,9
"ENSG00000103319",2215,1930,1756,1932,2340,1544,1811,2130,1492,1312,1974
"ENSG00000103326",695,380,379,354,266,680,581,361,367,190,304
"ENSG00000103335",523,550,987,717,684,674,1439,210,643,625,449
"ENSG00000103342",4271,4082,5421,3790,6145,3064,3519,4645,3872,4749,5107
"ENSG00000103343",122,135,185,133,130,70,88,111,125,180,168
"ENSG00000103351",659,670,509,621,650,399,647,551,580,1309,624
"ENSG00000103353",1306,1138,1567,1097,1680,748,1130,1291,982,1637,1188
"ENSG00000103356",1031,731,817,452,894,450,744,688,759,830,832
"ENSG00000103363",2967,1056,1643,879,1671,1288,2116,842,645,753,662
"ENSG00000103365",1480,1807,1714,2319,1823,1496,1525,1687,1377,2783,1785
"ENSG00000103381",364,356,783,358,464,298,487,320,470,604,287
"ENSG00000103404",474,495,779,603,835,368,509,699,568,862,844
"ENSG00000103415",1460,604,830,597,1883,554,701,597,506,669,490
"ENSG00000103423",977,587,755,592,781,574,687,671,558,624,850
"ENSG00000103429",2429,1659,2379,1998,3032,1779,1681,2154,1112,1747,1563
"ENSG00000103460",814,1263,2364,1847,1555,1497,737,2263,1571,1325,1977
"ENSG00000103472",39,70,45,83,51,38,28,38,61,64,120
"ENSG00000103479",4011,4399,5970,4199,6014,3066,2920,5311,2533,4751,3780
"ENSG00000103485",70,58,124,65,71,44,77,16,144,347,70
"ENSG00000103489",1611,1948,2987,2255,2305,1763,1541,1841,1144,2026,1746
"ENSG00000103490",98,163,131,89,87,109,140,40,70,188,90
"ENSG00000103494",614,650,765,423,643,270,510,483,846,1019,796
"ENSG00000103495",911,671,1164,847,979,545,993,852,647,1104,849
"ENSG00000103496",471,509,593,623,542,537,591,516,337,586,552
"ENSG00000103502",984,697,1052,616,1013,595,804,709,338,813,472
"ENSG00000103507",334,250,360,249,342,175,368,279,217,383,210
"ENSG00000103510",766,631,705,611,812,472,549,631,384,833,612
"ENSG00000103512",617,353,554,321,809,272,438,436,531,520,355
"ENSG00000103528",331,406,152,349,497,333,272,763,354,323,215
"ENSG00000103534",7486,10108,15395,4555,8312,6453,11260,8133,14737,4453,13001
"ENSG00000103540",771,2008,2967,1361,1317,790,1741,1916,3749,1760,2404
"ENSG00000103544",757,899,1169,1237,1420,900,877,1259,1131,1642,1186
"ENSG00000103549",1603,1171,1521,1109,1504,1095,1501,1204,1086,1331,1012
"ENSG00000103550",894,943,909,706,916,642,919,885,842,981,967
"ENSG00000103591",1939,1260,1910,1194,2726,1263,1299,1641,1010,1414,1251
"ENSG00000103599",148,184,165,125,163,93,121,273,300,265,322
"ENSG00000103642",569,512,607,387,790,311,520,418,329,417,454
"ENSG00000103647",63,58,68,50,29,82,101,9,80,167,28
"ENSG00000103653",477,503,675,387,426,603,716,486,437,464,524
"ENSG00000103657",5539,6729,9118,7364,6624,5806,5754,6211,5423,10256,7088
"ENSG00000103671",644,697,1173,736,1015,678,597,787,497,731,684
"ENSG00000103707",288,256,339,242,380,176,246,245,234,379,290
"ENSG00000103710",88,71,110,88,34,71,194,6,98,161,63
"ENSG00000103742",79,116,142,154,101,65,149,47,123,553,174
"ENSG00000103769",5323,5341,6060,5021,10307,4431,4459,6965,3329,3994,4689
"ENSG00000103811",3257,2165,3042,955,2557,3037,2357,1829,1856,2215,1243
"ENSG00000103852",615,652,602,753,745,456,608,783,704,904,737
"ENSG00000103855",550,425,581,480,682,399,699,404,462,532,412
"ENSG00000103876",181,136,153,245,195,268,132,222,239,175,227
"ENSG00000103888",164,106,454,838,210,80,443,137,389,291,401
"ENSG00000103932",351,369,521,445,406,290,423,402,317,426,390
"ENSG00000103942",1081,259,68,267,1213,28,692,967,823,286,258
"ENSG00000103966",1025,921,1024,696,1237,856,1195,651,734,1024,691
"ENSG00000103978",3357,2564,4141,2817,4629,2218,2101,2981,1868,3036,2706
"ENSG00000103994",6192,5978,7678,5106,7686,4029,5426,4875,5277,9215,5986
"ENSG00000103995",366,511,667,740,607,484,420,526,358,737,705
"ENSG00000104043",131,317,570,235,293,191,221,51,217,574,417
"ENSG00000104047",775,970,1250,940,996,549,648,1338,1357,1713,1462
"ENSG00000104064",669,821,1226,1118,918,596,660,845,699,1222,1131
"ENSG00000104067",5805,7650,14083,9193,12103,6010,4531,7720,6379,8486,8107
"ENSG00000104081",147,305,809,533,212,418,313,320,175,398,148
"ENSG00000104093",2164,6624,9251,7183,6085,5403,2815,7386,6897,7139,4493
"ENSG00000104129",386,381,384,373,355,325,333,410,274,451,369
"ENSG00000104131",999,962,1447,995,1597,694,755,1062,1066,1397,1293
"ENSG00000104133",6450,6376,9419,6347,8806,5543,5622,7657,6291,6689,6969
"ENSG00000104140",80,15,20,52,34,41,24,15,14,23,14
"ENSG00000104142",621,405,559,351,615,398,548,352,319,478,273
"ENSG00000104147",33,38,23,16,20,34,28,15,14,40,28
"ENSG00000104154",355,205,752,263,372,124,201,89,223,744,203
"ENSG00000104164",1396,1184,2003,1300,2210,768,919,1239,871,1747,1316
"ENSG00000104177",41,34,116,370,58,25,118,18,556,153,581
"ENSG00000104205",173,149,232,145,311,102,102,189,112,163,154
"ENSG00000104213",115,32,37,34,24,9,28,8,30,77,24
"ENSG00000104218",445,853,895,983,890,537,595,965,922,1147,1075
"ENSG00000104219",2593,2919,464,1055,3398,768,260,2887,1539,2415,886
"ENSG00000104221",411,221,372,198,372,187,236,214,127,259,264
"ENSG00000104228",676,431,717,512,773,391,421,613,458,541,280
"ENSG00000104231",1505,1329,1493,1383,1818,979,947,1440,935,1566,1612
"ENSG00000104237",102,33,14,216,166,25,38,35,64,11,39
"ENSG00000104267",64882,19339,8126,18660,119977,9067,10183,28973,3819,6392,11702
"ENSG00000104290",1399,894,1809,1642,2690,504,509,1475,886,3216,1039
"ENSG00000104299",496,456,568,452,630,400,467,511,462,489,266
"ENSG00000104312",464,285,302,281,526,175,236,223,229,258,271
"ENSG00000104320",3198,2177,2702,1778,3503,1379,1658,1801,1525,3020,1964
"ENSG00000104324",1376,777,1293,797,1086,421,765,249,715,1435,645
"ENSG00000104325",1365,1258,1803,1421,1678,910,945,1190,988,1715,1466
"ENSG00000104331",2817,2993,5087,2392,3826,1803,2375,2575,2588,4412,3051
"ENSG00000104332",367,797,2051,495,312,819,1133,68,1583,1366,621
"ENSG00000104341",2513,2440,2441,1993,2575,974,2547,1478,1414,3685,1895
"ENSG00000104343",878,1276,1915,1322,2146,778,755,1388,944,1641,1547
"ENSG00000104356",279,254,331,225,404,155,264,318,267,325,312
"ENSG00000104361",2478,1832,3777,2311,5197,1385,1545,2327,2204,2286,1812
"ENSG00000104365",1460,2795,2972,1982,1589,1639,1879,2337,2644,2093,3797
"ENSG00000104368",969,1013,2298,569,447,817,2237,49,680,2412,1500
"ENSG00000104369",92,103,852,175,116,209,93,130,171,171,194
"ENSG00000104375",505,870,1215,874,892,610,777,713,1064,1723,1068
"ENSG00000104381",158,253,305,375,384,192,222,202,234,465,278
"ENSG00000104388",4273,3755,5176,3842,7851,2409,2352,3995,2267,3525,3048
"ENSG00000104408",7308,3865,4885,3944,8072,2658,4011,2900,3929,6048,4521
"ENSG00000104412",1024,1009,1344,1196,1408,655,801,987,766,1298,1203
"ENSG00000104413",4579,3893,6802,4940,7599,3591,2746,5854,3338,2534,3946
"ENSG00000104415",153,248,445,276,140,244,433,37,87,593,147
"ENSG00000104419",7806,6342,5161,11797,10415,13780,4777,8744,3640,8926,4210
"ENSG00000104427",118,472,447,603,450,178,177,549,293,654,408
"ENSG00000104432",244,286,484,252,435,244,156,49,277,181,424
"ENSG00000104442",939,902,1174,918,1578,647,603,1056,634,1191,1016
"ENSG00000104447",795,637,1710,768,1933,220,869,136,1016,1722,715
"ENSG00000104450",678,706,966,284,1408,405,484,697,460,472,521
"ENSG00000104472",356,342,541,481,743,248,256,459,325,376,333
"ENSG00000104490",603,817,1550,670,862,468,1117,62,586,3087,761
"ENSG00000104497",271,430,614,640,679,354,276,504,339,680,423
"ENSG00000104517",5555,6616,9632,7978,7719,5783,6017,7246,5922,8989,7832
"ENSG00000104518",1051,491,508,380,537,774,850,325,288,328,365
"ENSG00000104522",3793,1667,3023,1199,2906,1371,2572,1756,1648,783,1398
"ENSG00000104524",298,120,113,61,234,50,156,103,93,63,74
"ENSG00000104529",5498,2095,2468,2032,3725,1728,3538,1783,1625,2471,1790
"ENSG00000104537",44,53,275,212,23,95,26,13,58,474,153
"ENSG00000104549",2521,775,997,1065,3919,757,479,903,2999,3738,2053
"ENSG00000104611",2833,2798,4071,2029,4126,3176,2608,2892,2325,2191,1301
"ENSG00000104613",1995,1512,1635,1399,2073,965,1320,1522,1205,1769,1007
"ENSG00000104626",556,603,761,558,772,349,550,662,562,693,410
"ENSG00000104635",16123,9944,15673,9346,29550,7756,7235,15261,6275,5508,4719
"ENSG00000104643",696,792,1113,896,1102,612,644,957,883,1231,693
"ENSG00000104660",1040,1083,1951,959,2068,606,760,1237,889,1184,696
"ENSG00000104671",350,368,505,329,627,203,279,330,305,460,236
"ENSG00000104679",436,235,267,222,320,207,338,253,193,367,144
"ENSG00000104687",4374,2684,4324,2907,4953,1345,2817,2889,1833,3320,1530
"ENSG00000104689",1295,602,867,543,1705,548,642,673,519,278,496
"ENSG00000104691",967,1013,1488,750,1194,487,1616,380,941,3572,993
"ENSG00000104695",1731,2306,3622,2192,2936,1180,2111,1596,1407,5608,1718
"ENSG00000104714",380,694,778,951,526,900,570,960,636,691,395
"ENSG00000104723",137,307,363,433,229,73,255,47,339,1466,300
"ENSG00000104728",904,1122,1367,1632,1091,172,1252,995,1258,1485,819
"ENSG00000104731",381,532,496,479,354,609,495,551,499,528,656
"ENSG00000104738",1181,670,750,604,931,651,1224,644,545,1239,1366
"ENSG00000104756",511,629,712,744,1097,512,561,561,461,778,393
"ENSG00000104763",4960,3528,6270,2599,7143,2832,2713,3926,3212,4351,2256
"ENSG00000104765",2482,3169,3956,2806,3917,3020,2898,2158,2045,5551,1825
"ENSG00000104774",778,406,792,356,686,353,785,323,429,507,341
"ENSG00000104783",1421,1026,903,944,1234,934,1566,1378,614,326,883
"ENSG00000104805",2846,1805,2142,1660,2250,1235,2658,2040,1214,1646,1179
"ENSG00000104812",528,429,539,454,497,419,571,532,444,497,430
"ENSG00000104823",1185,599,852,673,809,654,932,499,462,724,505
"ENSG00000104824",1845,1828,2495,2014,2053,1467,1735,1882,1186,2417,1813
