"","GAMuT_23836","GAMuT_51163"
"ENSG00000096401",3739,2483
"ENSG00000096433",9484,9259
"ENSG00000096654",1112,753
"ENSG00000096696",40676,25217
"ENSG00000096717",2107,1144
"ENSG00000096746",2893,3450
"ENSG00000096872",1191,363
"ENSG00000096968",940,665
"ENSG00000097007",2081,6064
"ENSG00000097021",378,2610
"ENSG00000097033",3500,5676
"ENSG00000097046",634,1053
"ENSG00000097096",28,2158
"ENSG00000099139",136,14222
"ENSG00000099194",14732,2808
"ENSG00000099203",383,117
"ENSG00000099204",25268,9424
"ENSG00000099219",5764,1702
"ENSG00000099246",3836,1475
"ENSG00000099250",2099,2081
"ENSG00000099251",84,74
"ENSG00000099256",294,1105
"ENSG00000099260",3869,236
"ENSG00000099282",932,1579
"ENSG00000099284",956,108
"ENSG00000099290",1047,570
"ENSG00000099308",316,1851
"ENSG00000099326",469,640
"ENSG00000099330",338,353
"ENSG00000099331",3511,4067
"ENSG00000099337",700,182
"ENSG00000099338",56,228
"ENSG00000099341",3212,1725
"ENSG00000099364",423,289
"ENSG00000099377",170,883
"ENSG00000099381",382,697
"ENSG00000099385",916,654
"ENSG00000099622",4678,1783
"ENSG00000099624",489,289
"ENSG00000099783",3631,2895
"ENSG00000099785",471,146
"ENSG00000099795",755,1872
"ENSG00000099797",532,1436
"ENSG00000099800",786,241
"ENSG00000099804",624,387
"ENSG00000099810",4321,1108
"ENSG00000099812",1429,4572
"ENSG00000099814",1187,2089
"ENSG00000099817",1292,547
"ENSG00000099821",474,320
"ENSG00000099834",0,2019
"ENSG00000099849",485,1121
"ENSG00000099860",959,60
"ENSG00000099864",682,67
"ENSG00000099875",5894,1329
"ENSG00000099889",700,282
"ENSG00000099899",600,1289
"ENSG00000099901",1229,2768
"ENSG00000099904",389,498
"ENSG00000099910",682,776
"ENSG00000099917",1190,3378
"ENSG00000099940",1248,1580
"ENSG00000099942",3104,8081
"ENSG00000099949",1127,1253
"ENSG00000099953",1074,189
"ENSG00000099956",1069,1643
"ENSG00000099958",5,66
"ENSG00000099960",9,97
"ENSG00000099968",3020,3592
"ENSG00000099977",408,1134
"ENSG00000099991",4507,3794
"ENSG00000099992",199,259
"ENSG00000099994",235,159
"ENSG00000099995",2856,5547
"ENSG00000099998",64,158
"ENSG00000099999",412,582
"ENSG00000100003",605,234
"ENSG00000100014",1058,1316
"ENSG00000100023",1179,1966
"ENSG00000100027",471,165
"ENSG00000100028",2425,3234
"ENSG00000100029",1352,1712
"ENSG00000100030",9051,7466
"ENSG00000100031",37,1294
"ENSG00000100034",438,710
"ENSG00000100036",51,120
"ENSG00000100038",450,643
"ENSG00000100055",85,145
"ENSG00000100056",241,502
"ENSG00000100058",338,363
"ENSG00000100060",57,89
"ENSG00000100065",951,2609
"ENSG00000100068",474,527
"ENSG00000100075",795,2845
"ENSG00000100077",1125,1894
"ENSG00000100083",1049,1522
"ENSG00000100084",240,435
"ENSG00000100092",160,1810
"ENSG00000100097",1558,546
"ENSG00000100099",2774,2847
"ENSG00000100100",1005,516
"ENSG00000100104",923,1081
"ENSG00000100105",1547,2886
"ENSG00000100106",1628,2833
"ENSG00000100109",964,1795
"ENSG00000100116",261,225
"ENSG00000100124",400,1004
"ENSG00000100129",5183,4698
"ENSG00000100138",2274,2173
"ENSG00000100139",1148,1462
"ENSG00000100147",264,638
"ENSG00000100150",859,2060
"ENSG00000100151",583,619
"ENSG00000100154",2300,528
"ENSG00000100162",197,547
"ENSG00000100170",347,9459
"ENSG00000100196",1194,1532
"ENSG00000100201",43899,45859
"ENSG00000100207",4616,14515
"ENSG00000100209",268,268
"ENSG00000100211",815,539
"ENSG00000100216",1711,2916
"ENSG00000100219",24289,6524
"ENSG00000100220",2365,2721
"ENSG00000100221",1820,4736
"ENSG00000100225",3856,3973
"ENSG00000100226",1317,2863
"ENSG00000100227",2162,3583
"ENSG00000100228",104,31
"ENSG00000100234",689,905
"ENSG00000100239",1632,2127
"ENSG00000100241",1091,4229
"ENSG00000100242",1673,2565
"ENSG00000100243",1458,2938
"ENSG00000100246",615,429
"ENSG00000100258",557,2202
"ENSG00000100263",334,661
"ENSG00000100266",5043,2980
"ENSG00000100271",386,123
"ENSG00000100280",5063,3369
"ENSG00000100281",1552,2073
"ENSG00000100284",1497,1586
"ENSG00000100285",35,149
"ENSG00000100288",47,79
"ENSG00000100290",105,199
"ENSG00000100292",172,2475
"ENSG00000100294",358,381
"ENSG00000100296",2110,1681
"ENSG00000100297",986,4533
"ENSG00000100299",431,228
"ENSG00000100300",970,1368
"ENSG00000100304",1353,1429
"ENSG00000100307",212,1544
"ENSG00000100311",773,132
"ENSG00000100316",20697,10952
"ENSG00000100319",245,429
"ENSG00000100320",4120,4728
"ENSG00000100321",592,779
"ENSG00000100324",544,1274
"ENSG00000100325",1126,1591
"ENSG00000100330",3695,3032
"ENSG00000100335",1248,3341
"ENSG00000100336",24,91
"ENSG00000100342",1097,1852
"ENSG00000100344",287,89
"ENSG00000100345",28832,46557
"ENSG00000100347",1601,1829
"ENSG00000100348",689,2362
"ENSG00000100350",612,1594
"ENSG00000100353",6674,7603
"ENSG00000100354",9716,8197
"ENSG00000100359",890,995
"ENSG00000100360",950,629
"ENSG00000100364",3685,1639
"ENSG00000100365",56,167
"ENSG00000100368",50,52
"ENSG00000100372",845,886
"ENSG00000100376",507,3801
"ENSG00000100379",169,247
"ENSG00000100380",3441,2964
"ENSG00000100385",9,92
"ENSG00000100387",1149,924
"ENSG00000100393",8609,11652
"ENSG00000100395",1047,1867
"ENSG00000100401",1835,2644
"ENSG00000100403",2545,5295
"ENSG00000100410",541,856
"ENSG00000100412",2706,9388
"ENSG00000100413",814,666
"ENSG00000100416",611,1266
"ENSG00000100417",381,1555
"ENSG00000100418",1276,1288
"ENSG00000100422",2904,4420
"ENSG00000100425",1650,3173
"ENSG00000100426",1836,2402
"ENSG00000100433",1,160
"ENSG00000100439",623,902
"ENSG00000100441",2580,4558
"ENSG00000100442",2377,1935
"ENSG00000100445",351,528
"ENSG00000100461",2004,2238
"ENSG00000100462",1775,1943
"ENSG00000100478",169,321
"ENSG00000100479",281,616
"ENSG00000100483",280,456
"ENSG00000100485",3310,4890
"ENSG00000100490",150,731
"ENSG00000100503",6807,1704
"ENSG00000100504",3247,160
"ENSG00000100519",2383,1492
"ENSG00000100522",2862,1803
"ENSG00000100523",2706,438
"ENSG00000100526",245,549
"ENSG00000100528",2949,2412
"ENSG00000100532",386,330
"ENSG00000100554",2568,1410
"ENSG00000100557",4,80
"ENSG00000100558",210,919
"ENSG00000100564",306,356
"ENSG00000100567",2187,2208
"ENSG00000100568",2640,1892
"ENSG00000100575",484,545
"ENSG00000100577",335,1055
"ENSG00000100578",2062,1396
"ENSG00000100580",3398,1136
"ENSG00000100583",326,18
"ENSG00000100591",1961,2205
"ENSG00000100592",4019,2080
"ENSG00000100596",6570,11021
"ENSG00000100599",194,360
"ENSG00000100600",4362,2153
"ENSG00000100601",401,504
"ENSG00000100603",2565,2631
"ENSG00000100604",1591,29
"ENSG00000100605",2582,3789
"ENSG00000100612",1784,655
"ENSG00000100614",4864,3977
"ENSG00000100625",2118,19
"ENSG00000100626",74,401
"ENSG00000100629",653,620
"ENSG00000100632",2493,2147
"ENSG00000100644",13345,5546
"ENSG00000100647",1832,5241
"ENSG00000100650",7382,5247
"ENSG00000100664",9837,10696
"ENSG00000100665",24,768
"ENSG00000100697",9229,10093
"ENSG00000100711",1135,740
"ENSG00000100714",3343,4465
"ENSG00000100722",6207,5132
"ENSG00000100726",388,414
"ENSG00000100731",6839,6497
"ENSG00000100744",1462,1585
"ENSG00000100749",821,807
"ENSG00000100764",220,239
"ENSG00000100767",112,45
"ENSG00000100784",3434,2129
"ENSG00000100796",5060,6721
"ENSG00000100802",241,335
"ENSG00000100804",1747,1031
"ENSG00000100811",3730,5267
"ENSG00000100813",6181,7265
"ENSG00000100814",1154,467
"ENSG00000100815",7297,6395
"ENSG00000100823",3011,2818
"ENSG00000100836",1421,971
"ENSG00000100842",16,24
"ENSG00000100852",10668,16963
"ENSG00000100865",567,692
"ENSG00000100867",26,238
"ENSG00000100883",2892,2098
"ENSG00000100888",6706,6515
"ENSG00000100889",1162,1931
"ENSG00000100890",353,239
"ENSG00000100897",1762,2512
"ENSG00000100902",349,274
"ENSG00000100906",1501,2334
"ENSG00000100908",147,335
"ENSG00000100911",1283,2601
"ENSG00000100916",287,273
"ENSG00000100918",883,153
"ENSG00000100926",88,54
"ENSG00000100934",3068,3254
"ENSG00000100938",1246,552
"ENSG00000100941",4135,4138
"ENSG00000100949",334,465
"ENSG00000100968",401,214
"ENSG00000100979",1311,214
"ENSG00000100982",584,1001
"ENSG00000100983",1024,3954
"ENSG00000100985",25,207
"ENSG00000100991",3093,4761
"ENSG00000100994",2867,3726
"ENSG00000100997",1351,1880
"ENSG00000101000",49,279
"ENSG00000101003",643,1532
"ENSG00000101004",1031,586
"ENSG00000101017",30,473
"ENSG00000101019",1590,2213
"ENSG00000101040",2519,1840
"ENSG00000101049",40,1126
"ENSG00000101052",748,815
"ENSG00000101057",587,1418
"ENSG00000101076",2,21094
"ENSG00000101079",1311,940
"ENSG00000101084",110,267
"ENSG00000101096",420,2213
"ENSG00000101098",295,1162
"ENSG00000101104",822,1697
"ENSG00000101109",2885,3252
"ENSG00000101126",7243,12500
"ENSG00000101132",720,467
"ENSG00000101138",1361,1713
"ENSG00000101146",842,1911
"ENSG00000101150",2168,2893
"ENSG00000101152",1717,2758
"ENSG00000101158",1819,3110
"ENSG00000101160",2848,1797
"ENSG00000101161",2331,3304
"ENSG00000101166",3218,4673
"ENSG00000101181",351,979
"ENSG00000101182",2293,4106
"ENSG00000101187",396,37
"ENSG00000101189",321,581
"ENSG00000101190",236,508
"ENSG00000101191",3384,6367
"ENSG00000101193",2189,2759
"ENSG00000101194",80,94
"ENSG00000101199",861,1537
"ENSG00000101213",5,322
"ENSG00000101216",320,720
"ENSG00000101220",174,444
"ENSG00000101224",1636,2621
"ENSG00000101236",1418,531
"ENSG00000101246",440,864
"ENSG00000101247",605,661
"ENSG00000101255",194,24
"ENSG00000101265",341,644
"ENSG00000101266",3552,3041
"ENSG00000101276",839,1959
"ENSG00000101290",2917,2971
"ENSG00000101294",2947,2678
"ENSG00000101298",75,58
"ENSG00000101310",3657,3100
"ENSG00000101311",144,2808
"ENSG00000101333",3690,181
"ENSG00000101335",291,1679
"ENSG00000101336",85,89
"ENSG00000101337",2883,1805
"ENSG00000101342",34,351
"ENSG00000101343",2540,2362
"ENSG00000101346",2066,13562
"ENSG00000101347",1849,1419
"ENSG00000101350",4768,5582
"ENSG00000101353",61,95
"ENSG00000101361",2883,4414
"ENSG00000101363",563,605
"ENSG00000101365",1198,2773
"ENSG00000101367",3846,4545
"ENSG00000101384",6397,3381
"ENSG00000101391",806,1081
"ENSG00000101400",69,267
"ENSG00000101407",1648,3675
"ENSG00000101412",228,1013
"ENSG00000101413",1311,6223
"ENSG00000101417",423,546
"ENSG00000101421",1631,2815
"ENSG00000101439",4786,4375
"ENSG00000101442",331,779
"ENSG00000101443",746,967
"ENSG00000101444",6223,4587
"ENSG00000101445",30,43
"ENSG00000101447",437,792
"ENSG00000101452",622,1016
"ENSG00000101457",496,496
"ENSG00000101460",178,647
"ENSG00000101464",825,1913
"ENSG00000101473",354,616
"ENSG00000101474",2743,2306
"ENSG00000101493",3495,653
"ENSG00000101544",1821,1178
"ENSG00000101546",554,426
"ENSG00000101557",3844,4048
"ENSG00000101558",6503,9656
"ENSG00000101574",892,1423
"ENSG00000101577",2472,9577
"ENSG00000101596",9802,16467
"ENSG00000101605",58,1168
"ENSG00000101608",9178,4824
"ENSG00000101624",482,941
"ENSG00000101639",5859,14663
"ENSG00000101654",2937,3832
"ENSG00000101665",410,252
"ENSG00000101670",534,1610
"ENSG00000101680",461,948
"ENSG00000101695",706,753
"ENSG00000101745",5539,13622
"ENSG00000101751",2611,1241
"ENSG00000101752",8417,4963
"ENSG00000101773",4581,6606
"ENSG00000101782",4159,6435
"ENSG00000101811",1430,624
"ENSG00000101825",1223,225
"ENSG00000101842",10,1
"ENSG00000101843",1056,422
"ENSG00000101844",420,180
"ENSG00000101846",420,1454
"ENSG00000101849",1435,257
"ENSG00000101850",220,13
"ENSG00000101856",2822,3081
"ENSG00000101868",2029,2893
"ENSG00000101871",1040,1046
"ENSG00000101882",614,436
"ENSG00000101888",513,342
"ENSG00000101898",59,82
"ENSG00000101901",2775,1207
"ENSG00000101911",2530,2683
"ENSG00000101928",873,191
"ENSG00000101935",2102,911
"ENSG00000101940",770,451
"ENSG00000101945",108,175
"ENSG00000101955",265,41
"ENSG00000101966",4866,3030
"ENSG00000101972",8827,7617
"ENSG00000101974",1935,489
"ENSG00000101977",198,36
"ENSG00000101986",105,317
"ENSG00000101997",389,223
"ENSG00000102003",11,36
"ENSG00000102007",670,870
"ENSG00000102010",13,0
"ENSG00000102024",6216,927
"ENSG00000102030",414,189
"ENSG00000102034",530,1244
"ENSG00000102038",5106,630
"ENSG00000102043",182,183
"ENSG00000102053",21,243
"ENSG00000102054",18012,4540
"ENSG00000102057",27,30
"ENSG00000102078",444,107
"ENSG00000102081",5590,2422
"ENSG00000102096",186,119
"ENSG00000102098",44,318
"ENSG00000102100",598,387
"ENSG00000102103",648,555
"ENSG00000102119",490,286
"ENSG00000102125",251,406
"ENSG00000102144",14477,5617
"ENSG00000102158",5240,2619
"ENSG00000102172",1959,989
"ENSG00000102174",65,147
"ENSG00000102178",870,540
"ENSG00000102181",469,341
"ENSG00000102189",4197,3444
"ENSG00000102218",866,369
"ENSG00000102221",1125,767
"ENSG00000102225",2473,1783
"ENSG00000102226",1222,982
"ENSG00000102230",38,47
"ENSG00000102241",2070,2005
"ENSG00000102265",3091,983
"ENSG00000102271",98,216
"ENSG00000102287",100,992
"ENSG00000102302",559,97
"ENSG00000102309",396,202
"ENSG00000102312",236,34
"ENSG00000102316",4167,1878
"ENSG00000102317",5600,1605
"ENSG00000102349",147,54
"ENSG00000102359",219,179
"ENSG00000102362",3143,648
"ENSG00000102383",25,45
"ENSG00000102384",571,489
"ENSG00000102390",524,451
"ENSG00000102393",864,232
"ENSG00000102401",2191,836
"ENSG00000102409",241,107
"ENSG00000102445",837,492
"ENSG00000102452",106,20
"ENSG00000102471",2170,4194
"ENSG00000102524",200,130
"ENSG00000102531",8107,5808
"ENSG00000102543",439,315
"ENSG00000102547",365,186
"ENSG00000102554",5996,10656
"ENSG00000102572",4658,4676
"ENSG00000102575",155,261
"ENSG00000102580",5122,3640
"ENSG00000102595",3719,1614
"ENSG00000102606",2879,4533
"ENSG00000102699",8553,6364
"ENSG00000102710",3874,2281
"ENSG00000102738",939,644
"ENSG00000102743",663,1420
"ENSG00000102753",3004,1522
"ENSG00000102755",1753,669
"ENSG00000102760",464,91
"ENSG00000102763",4532,2749
"ENSG00000102780",4251,4019
"ENSG00000102781",117,725
"ENSG00000102786",6132,3645
"ENSG00000102796",249,365
"ENSG00000102804",15817,6580
"ENSG00000102805",1293,910
"ENSG00000102837",13,148164
"ENSG00000102854",61,1195
"ENSG00000102858",1076,1305
"ENSG00000102870",1199,1191
"ENSG00000102871",283,197
"ENSG00000102878",163,143
"ENSG00000102879",68,148
"ENSG00000102882",489,1462
"ENSG00000102886",53,116
"ENSG00000102890",506,917
"ENSG00000102893",6166,4787
"ENSG00000102897",612,633
"ENSG00000102898",1737,725
"ENSG00000102900",1535,893
"ENSG00000102901",469,372
"ENSG00000102908",26624,4300
"ENSG00000102910",7906,4672
"ENSG00000102921",2710,2109
"ENSG00000102931",1534,790
"ENSG00000102934",2239,874
"ENSG00000102935",131,214
"ENSG00000102967",311,318
"ENSG00000102974",2135,3000
"ENSG00000102977",137,187
"ENSG00000102978",1406,1349
"ENSG00000102984",161,135
"ENSG00000102996",1229,766
"ENSG00000103005",590,284
"ENSG00000103018",9111,2064
"ENSG00000103021",899,85
"ENSG00000103024",143,184
"ENSG00000103034",698,11
"ENSG00000103035",2081,1590
"ENSG00000103037",601,519
"ENSG00000103042",990,305
"ENSG00000103043",981,1214
"ENSG00000103044",1109,72
"ENSG00000103047",1335,352
"ENSG00000103051",1824,2119
"ENSG00000103056",1417,1817
"ENSG00000103061",1093,747
"ENSG00000103064",334,409
"ENSG00000103066",500,259
"ENSG00000103067",1440,866
"ENSG00000103089",706,254
"ENSG00000103091",1856,1445
"ENSG00000103111",1476,1004
"ENSG00000103121",679,843
"ENSG00000103126",1472,1001
"ENSG00000103145",186,167
"ENSG00000103148",817,429
"ENSG00000103150",847,444
"ENSG00000103152",486,201
"ENSG00000103160",2685,469
"ENSG00000103168",626,865
"ENSG00000103174",224,205
"ENSG00000103175",154,567
"ENSG00000103184",110,51
"ENSG00000103187",238,2220
"ENSG00000103194",2405,2680
"ENSG00000103196",492,1326
"ENSG00000103197",1952,1332
"ENSG00000103199",316,269
"ENSG00000103202",526,617
"ENSG00000103222",3867,590
"ENSG00000103226",138,30
"ENSG00000103227",186,276
"ENSG00000103245",482,463
"ENSG00000103248",584,500
"ENSG00000103249",1286,909
"ENSG00000103254",197,79
"ENSG00000103257",1472,754
"ENSG00000103260",38,22
"ENSG00000103264",713,1534
"ENSG00000103266",759,477
"ENSG00000103274",378,374
"ENSG00000103275",2327,1191
"ENSG00000103316",304,97
"ENSG00000103319",2034,1630
"ENSG00000103326",512,1022
"ENSG00000103335",1906,3846
"ENSG00000103342",10229,3741
"ENSG00000103343",311,277
"ENSG00000103351",1788,374
"ENSG00000103353",2785,1075
"ENSG00000103356",1242,841
"ENSG00000103363",2899,861
"ENSG00000103365",3623,1312
"ENSG00000103381",275,1117
"ENSG00000103404",2313,1742
"ENSG00000103415",1121,684
"ENSG00000103423",1553,1539
"ENSG00000103429",2260,1457
"ENSG00000103460",736,1376
"ENSG00000103472",37,25
"ENSG00000103479",5650,2935
"ENSG00000103485",1379,2085
"ENSG00000103489",88,931
"ENSG00000103490",41,334
"ENSG00000103494",1341,497
"ENSG00000103495",1727,2854
"ENSG00000103496",584,573
"ENSG00000103502",1207,713
"ENSG00000103507",564,467
"ENSG00000103510",741,1096
"ENSG00000103512",1033,582
"ENSG00000103528",158,178
"ENSG00000103534",1090,9618
"ENSG00000103540",2247,1570
"ENSG00000103544",2434,1150
"ENSG00000103549",2402,2380
"ENSG00000103550",1103,1378
"ENSG00000103591",3222,2406
"ENSG00000103599",583,192
"ENSG00000103642",653,554
"ENSG00000103647",11,55
"ENSG00000103653",745,2186
"ENSG00000103657",8179,11571
"ENSG00000103671",1021,1823
"ENSG00000103707",562,570
"ENSG00000103710",56,216
"ENSG00000103742",94,149
"ENSG00000103769",6215,6795
"ENSG00000103811",2856,4590
"ENSG00000103852",913,1207
"ENSG00000103855",1281,525
"ENSG00000103876",562,751
"ENSG00000103888",7995,210
"ENSG00000103932",823,1358
"ENSG00000103942",10909,451
"ENSG00000103966",1512,874
"ENSG00000103978",5125,4238
"ENSG00000103994",7342,11177
"ENSG00000103995",847,2270
"ENSG00000104043",250,312
"ENSG00000104047",1643,1089
"ENSG00000104064",1638,1941
"ENSG00000104067",10388,13805
"ENSG00000104081",723,1047
"ENSG00000104093",4461,8977
"ENSG00000104129",389,662
"ENSG00000104131",2826,2812
"ENSG00000104133",9847,10820
"ENSG00000104140",39,76
"ENSG00000104142",1149,854
"ENSG00000104147",86,401
"ENSG00000104154",259,440
"ENSG00000104164",1883,1946
"ENSG00000104177",2803,103
"ENSG00000104205",317,225
"ENSG00000104213",94,30
"ENSG00000104218",2117,1322
"ENSG00000104219",3172,119
"ENSG00000104221",239,132
"ENSG00000104228",609,309
"ENSG00000104231",2237,1525
"ENSG00000104237",386,33
"ENSG00000104267",85,5200
"ENSG00000104290",5800,233
"ENSG00000104299",880,257
"ENSG00000104312",1452,514
"ENSG00000104320",3591,4085
"ENSG00000104324",299,1371
"ENSG00000104325",2652,1454
"ENSG00000104331",5534,835
"ENSG00000104332",223,770
"ENSG00000104341",6168,7396
"ENSG00000104343",2308,1254
"ENSG00000104356",612,464
"ENSG00000104361",1431,1176
"ENSG00000104365",1875,921
"ENSG00000104368",266,514
"ENSG00000104369",5,53
"ENSG00000104375",2225,2757
"ENSG00000104381",85,620
"ENSG00000104388",4111,2473
"ENSG00000104408",10279,4221
"ENSG00000104412",1408,1237
"ENSG00000104413",5259,4537
"ENSG00000104415",71,150
"ENSG00000104419",2156,49179
"ENSG00000104427",1324,75
"ENSG00000104432",9,31
"ENSG00000104442",1970,1642
"ENSG00000104447",9336,527
"ENSG00000104450",541,234
"ENSG00000104472",614,945
"ENSG00000104490",985,487
"ENSG00000104497",710,459
"ENSG00000104517",17125,10564
"ENSG00000104518",863,783
"ENSG00000104522",1031,724
"ENSG00000104524",218,209
"ENSG00000104529",4326,3362
"ENSG00000104537",3,12612
"ENSG00000104549",1226,4396
"ENSG00000104611",2688,1302
"ENSG00000104613",3132,888
"ENSG00000104626",1509,418
"ENSG00000104635",2989,5406
"ENSG00000104643",1625,481
"ENSG00000104660",2167,434
"ENSG00000104671",579,137
"ENSG00000104679",275,178
"ENSG00000104687",4843,3417
"ENSG00000104689",1286,186
"ENSG00000104691",387,482
"ENSG00000104695",2506,1386
"ENSG00000104714",810,160
"ENSG00000104723",3365,183
"ENSG00000104728",825,469
"ENSG00000104731",718,767
"ENSG00000104738",3288,3496
"ENSG00000104756",1011,512
"ENSG00000104763",8720,2321
"ENSG00000104765",5261,1798
"ENSG00000104774",875,472
"ENSG00000104783",2190,23
"ENSG00000104805",2636,3700
"ENSG00000104812",1250,691
"ENSG00000104823",844,1634
"ENSG00000104824",3306,3714
"ENSG00000104825",196,211
"ENSG00000104835",109,142
"ENSG00000104852",2593,3552
"ENSG00000104853",1838,2252
"ENSG00000104856",203,283
"ENSG00000104859",276,616
"ENSG00000104866",667,883
"ENSG00000104870",1000,2996
"ENSG00000104872",1207,735
"ENSG00000104880",176,59
"ENSG00000104881",458,697
"ENSG00000104883",50,29
"ENSG00000104884",562,537
"ENSG00000104885",785,760
"ENSG00000104886",623,667
"ENSG00000104889",469,218
"ENSG00000104894",37,44
"ENSG00000104897",416,439
"ENSG00000104904",4525,1866
"ENSG00000104907",515,257
"ENSG00000104915",600,223
"ENSG00000104936",216,265
"ENSG00000104946",407,741
"ENSG00000104953",93,4
"ENSG00000104957",569,274
"ENSG00000104960",1442,856
"ENSG00000104964",2911,1355
"ENSG00000104969",737,439
"ENSG00000104973",557,641
"ENSG00000104976",160,52
"ENSG00000104979",1001,249
"ENSG00000104980",643,428
"ENSG00000104983",136,113
"ENSG00000104998",41,978
"ENSG00000105011",413,2193
"ENSG00000105053",769,1749
"ENSG00000105058",1622,2174
"ENSG00000105063",1502,2062
"ENSG00000105072",227,322
"ENSG00000105085",211,595
"ENSG00000105122",23,32
"ENSG00000105127",916,1974
"ENSG00000105135",468,3015
"ENSG00000105136",600,436
"ENSG00000105137",45,115
"ENSG00000105171",573,686
"ENSG00000105173",147,519
"ENSG00000105176",2758,3057
"ENSG00000105185",1413,1795
"ENSG00000105186",1464,3285
"ENSG00000105193",5859,6427
"ENSG00000105197",1032,1063
"ENSG00000105202",1494,2304
"ENSG00000105204",389,336
"ENSG00000105220",6376,8799
"ENSG00000105221",1802,2088
"ENSG00000105223",2693,1126
"ENSG00000105227",64,183
"ENSG00000105229",432,311
"ENSG00000105245",171,330
"ENSG00000105248",178,164
"ENSG00000105254",1045,534
"ENSG00000105258",490,426
"ENSG00000105270",54,135
"ENSG00000105281",3634,4894
"ENSG00000105287",634,1102
"ENSG00000105289",1196,783
"ENSG00000105298",335,207
"ENSG00000105321",218,359
"ENSG00000105323",4159,6986
"ENSG00000105325",744,525
"ENSG00000105327",87,87
"ENSG00000105329",178,126
"ENSG00000105339",664,535
"ENSG00000105341",664,1029
"ENSG00000105355",1459,671
"ENSG00000105357",4131,15577
"ENSG00000105364",291,664
"ENSG00000105372",15419,13703
"ENSG00000105373",2970,2429
"ENSG00000105379",323,742
"ENSG00000105388",1379,84
"ENSG00000105393",359,522
"ENSG00000105397",1212,3718
"ENSG00000105401",2170,2926
"ENSG00000105402",1012,1075
"ENSG00000105404",321,288
"ENSG00000105426",540,753
"ENSG00000105429",1900,1579
"ENSG00000105438",3043,3386
"ENSG00000105443",2792,1409
"ENSG00000105447",630,792
"ENSG00000105472",64,53
"ENSG00000105483",1666,1336
"ENSG00000105486",884,1881
"ENSG00000105497",768,790
"ENSG00000105499",155,40
"ENSG00000105514",3497,1146
"ENSG00000105516",115,261
"ENSG00000105518",1222,250
"ENSG00000105519",2671,191
"ENSG00000105520",179,130
"ENSG00000105523",281,1025
"ENSG00000105538",318,42
"ENSG00000105552",605,637
"ENSG00000105556",266,253
"ENSG00000105559",120,347
"ENSG00000105568",4624,7804
"ENSG00000105576",2147,970
"ENSG00000105583",893,404
"ENSG00000105607",423,138
"ENSG00000105609",101,62
"ENSG00000105612",1906,340
"ENSG00000105617",130,96
"ENSG00000105618",779,776
"ENSG00000105619",339,152
"ENSG00000105639",174,286
"ENSG00000105640",132,194
"ENSG00000105643",532,589
"ENSG00000105650",39,774
"ENSG00000105655",599,1191
"ENSG00000105656",312,661
"ENSG00000105662",261,539
"ENSG00000105669",935,1174
"ENSG00000105671",484,1060
"ENSG00000105676",409,919
"ENSG00000105677",1629,873
"ENSG00000105698",882,820
"ENSG00000105699",2717,2021
"ENSG00000105700",1152,1778
"ENSG00000105701",1878,2593
"ENSG00000105705",581,1023
"ENSG00000105708",814,1668
"ENSG00000105717",59,49
"ENSG00000105722",486,1354
"ENSG00000105723",340,771
"ENSG00000105726",1378,2001
"ENSG00000105732",352,523
"ENSG00000105738",1863,5936
"ENSG00000105750",611,437
"ENSG00000105755",591,634
"ENSG00000105767",839,66
"ENSG00000105771",788,1063
"ENSG00000105778",6710,5554
"ENSG00000105792",1030,271
"ENSG00000105793",1219,1121
"ENSG00000105810",4146,385
"ENSG00000105819",2262,2673
"ENSG00000105821",1310,1707
"ENSG00000105829",758,837
"ENSG00000105835",1416,5018
"ENSG00000105849",1343,1172
"ENSG00000105851",99,144
"ENSG00000105852",11,18
"ENSG00000105854",5675,6404
"ENSG00000105855",28749,10076
"ENSG00000105856",3581,2927
"ENSG00000105865",269,824
"ENSG00000105866",792,1202
"ENSG00000105875",2343,455
"ENSG00000105877",2246,8
"ENSG00000105879",1338,1673
"ENSG00000105887",10161,6149
"ENSG00000105894",10,21
"ENSG00000105926",1639,5768
"ENSG00000105928",113,147
"ENSG00000105939",5223,6255
"ENSG00000105948",856,622
"ENSG00000105953",2683,5734
"ENSG00000105963",120,519
"ENSG00000105967",154,927
"ENSG00000105968",3204,5357
"ENSG00000105971",1213,1232
"ENSG00000105974",1824,260
"ENSG00000105976",11972,5657
"ENSG00000105982",76,32
"ENSG00000105983",11466,4511
"ENSG00000105993",2527,2426
"ENSG00000106003",1646,1845
"ENSG00000106009",572,1381
"ENSG00000106012",1054,1329
"ENSG00000106025",3608,1363
"ENSG00000106028",2464,2278
"ENSG00000106034",908,894
"ENSG00000106049",1486,3521
"ENSG00000106052",7720,17599
"ENSG00000106066",546,245
"ENSG00000106069",508,1207
"ENSG00000106070",4461,1311
"ENSG00000106077",1397,1639
"ENSG00000106078",4675,2904
"ENSG00000106080",776,387
"ENSG00000106086",2166,1187
"ENSG00000106089",264,136
"ENSG00000106100",609,953
"ENSG00000106105",4838,2663
"ENSG00000106123",27,167
"ENSG00000106125",160,202
"ENSG00000106133",143,134
"ENSG00000106144",1887,3823
"ENSG00000106153",1947,2365
"ENSG00000106211",3562,1969
"ENSG00000106236",257,200
"ENSG00000106244",1031,1260
"ENSG00000106245",1234,1486
"ENSG00000106246",115,162
"ENSG00000106258",17852,20997
