file_id,uniprot_id,ID,hydrophobicity_score,volume_score,alpha_max_dist,pocket,druggability,num_drug_pockets,struct_score
AF-O43657-F1-model_v4,O43657,O43657-F1,65.091,4.364,14.761,0.187,0.964,2,88.4437222509035
AF-P0C7N1-F1-model_v4,P0C7N1,P0C7N1-F1,59.125,4.625,17.611,0.158,0.964,1,89.3642346938775
AF-P0DTE5-F1-model_v4,P0DTE5,P0DTE5-F1,57.368,5,15.24,0.325,0.964,1,92.7525402755078
AF-P17858-F1-model_v4,P17858,P17858-F1,29.649,4.297,21.415,0.24,0.964,2,92.7964598356532
AF-P33032-F1-model_v4,P33032,P33032-F1,48,4.364,20.019,0.151,0.964,2,82.817118842846
AF-P35558-F1-model_v4,P35558,P35558-F1,12.235,4.147,22.978,0.323,0.964,1,96.5756716724954
AF-P41247-F1-model_v4,P41247,P41247-F1,60.577,3.923,15.875,0.43,0.964,1,94.2962810755961
AF-P49005-F1-model_v4,P49005,P49005-F1,19,4.375,15.009,0.209,0.964,1,89.1264550997783
AF-P51854-F1-model_v4,P51854,P51854-F1,29.192,3.846,18.535,0.244,0.964,1,94.5277772925764
AF-P53609-F1-model_v4,P53609,P53609-F1,34.211,4.421,21.391,0.355,0.964,1,94.658807277628
AF-P55058-F1-model_v4,P55058,P55058-F1,64.077,4.462,22.123,0.054,0.964,2,89.4004648143339
AF-P61011-F1-model_v4,P61011,P61011-F1,16.152,4.217,35.77,0.131,0.964,3,78.509755595575
AF-Q13285-F1-model_v4,Q13285,Q13285-F1,52.6,4.233,17.385,0.181,0.964,1,78.9579746136865
AF-Q13571-F1-model_v4,Q13571,Q13571-F1,54.333,4.6,19.206,0.239,0.964,2,69.275031085605
AF-Q14571-F1-model_v4,Q14571,Q14571-F1,66.529,4.647,17.884,0.4,0.964,1,78.3337423367392
AF-Q14728-F1-model_v4,Q14728,Q14728-F1,34.936,4.128,29.585,0.111,0.964,1,92.0065348564734
AF-Q2VYF4-F1-model_v4,Q2VYF4,Q2VYF4-F1,45.864,4.727,21.781,0.131,0.964,1,62.4039562118126
AF-Q3MJ16-F1-model_v4,Q3MJ16,Q3MJ16-F1,26.622,4.432,28.64,0.202,0.964,2,80.8617798191474
AF-Q8IVF6-F1-model_v4,Q8IVF6,Q8IVF6-F1,48.357,5,17.617,0.211,0.964,2,72.8099567794517
AF-Q8IVQ6-F1-model_v4,Q8IVQ6,Q8IVQ6-F1,60.962,4.077,18.058,0.296,0.964,1,88.5599185151652
AF-Q8IYB9-F1-model_v4,Q8IYB9,Q8IYB9-F1,43.182,4.424,30.223,0.1,0.964,1,76.3276374471357
AF-Q8IZF0-F1-model_v4,Q8IZF0,Q8IZF0-F1,40.156,4.344,28.556,0.173,0.964,6,77.2686669977299
AF-Q8N7E2-F1-model_v4,Q8N7E2,Q8N7E2-F1,39.941,4.588,22.463,0.134,0.964,1,54.8769170305677
AF-Q8NA96-F1-model_v4,Q8NA96,Q8NA96-F1,47.231,4.692,16.73,0.255,0.964,1,55.8201018181818
AF-Q8NGG8-F1-model_v4,Q8NGG8,Q8NGG8-F1,60.7,4.433,20.703,0.135,0.964,1,90.5925252525252
AF-Q8NHA6-F1-model_v4,Q8NHA6,Q8NHA6-F1,53.35,4.2,15.618,0.213,0.964,2,87.1302058942269
AF-Q96HY7-F1-model_v4,Q96HY7,Q96HY7-F1,24.098,4.341,26.912,0.105,0.964,3,95.0743758611188
AF-Q9H583-F1-model_v4,Q9H583,Q9H583-F1,31.222,4.741,33.929,0.203,0.964,4,76.4386838399249
AF-Q9H7C4-F1-model_v4,Q9H7C4,Q9H7C4-F1,51.778,5.222,16.456,0.536,0.964,2,73.8269760247486
AF-Q9NVU0-F1-model_v4,Q9NVU0,Q9NVU0-F1,9.533,3.2,17.178,0.312,0.964,1,79.8336822396576
AF-Q9NZS9-F1-model_v4,Q9NZS9,Q9NZS9-F1,43.724,4.414,17.834,0.029,0.964,3,82.4530195762939
AF-Q9P2D6-F1-model_v4,Q9P2D6,Q9P2D6-F1,25.19,3.952,19.448,0.213,0.964,1,60.1379238318933
AF-Q9ULC8-F1-model_v4,Q9ULC8,Q9ULC8-F1,65.478,4.478,16.064,0.415,0.964,1,58.2297805260408
AF-Q9Y485-F4-model_v4,Q9Y485,Q9Y485-F4,27.033,3.6,17.182,0.106,0.964,1,68.5592087511395
AF-Q9Y5W8-F1-model_v4,Q9Y5W8,Q9Y5W8-F1,64.103,4.552,19.653,0.089,0.964,4,76.5857790727134
AF-O15403-F1-model_v4,O15403,O15403-F1,41.559,4.294,17.798,0.211,0.963,1,76.1803242574257
AF-O15427-F1-model_v4,O15427,O15427-F1,25.098,3.882,30.795,0.025,0.963,1,83.5874261119082
AF-O43252-F1-model_v4,O43252,O43252-F1,16.725,3.9,30.206,0.163,0.963,1,93.5637725994375
AF-O75864-F1-model_v4,O75864,O75864-F1,28.2,4.133,18.43,0.384,0.963,1,74.7317876882028
AF-O75970-F1-model_v4,O75970,O75970-F1,30.893,4,27.705,0.199,0.963,1,63.7535376599987
AF-O95671-F1-model_v4,O95671,O95671-F1,32.642,4.472,33.539,0.039,0.963,2,87.3980839189748
AF-O95935-F1-model_v4,O95935,O95935-F1,51,4.81,14.913,0.265,0.963,1,61.2290121012101
AF-P0DPD6-F1-model_v4,P0DPD6,P0DPD6-F1,20.467,4.267,17.372,0.177,0.963,1,87.5783639763166
AF-P15559-F1-model_v4,P15559,P15559-F1,58.8,4.8,18.862,0.254,0.963,1,98.3285341273477
AF-P41597-F1-model_v4,P41597,P41597-F1,45.385,3.923,15.326,0.058,0.963,3,78.2824847664184
AF-P49327-F1-model_v4,P49327,P49327-F1,28.15,4.5,39.248,0.204,0.963,3,85.9133473651388
AF-Q14119-F1-model_v4,Q14119,Q14119-F1,34.385,3.692,27.628,0.018,0.963,2,58.6281050515205
AF-Q14149-F1-model_v4,Q14149,Q14149-F1,23.069,4.207,17.782,0.081,0.963,1,71.1897614605544
AF-Q15406-F1-model_v4,Q15406,Q15406-F1,80.917,4.75,15.132,0.164,0.963,1,78.3851837270341
AF-Q16566-F1-model_v4,Q16566,Q16566-F1,21.146,4,32.214,0.135,0.963,2,72.223960558751
AF-Q2LD37-F13-model_v4,Q2LD37,Q2LD37-F13,74.722,4.889,20.235,0.115,0.963,6,59.3357835957525
AF-Q53FV1-F1-model_v4,Q53FV1,Q53FV1-F1,71,4.765,14.883,0.267,0.963,1,94.0316246953696
AF-Q5K4L6-F1-model_v4,Q5K4L6,Q5K4L6-F1,23.886,4.029,41.675,0.084,0.963,1,86.8669568567026
AF-Q5TAH2-F1-model_v4,Q5TAH2,Q5TAH2-F1,68.579,4.368,15.116,0.254,0.963,1,77.4824807311165
AF-Q5VUY2-F1-model_v4,Q5VUY2,Q5VUY2-F1,61.1,4.35,15.378,0.177,0.963,2,95.9851397849462
AF-Q6UX01-F1-model_v4,Q6UX01,Q6UX01-F1,74.556,4.611,14.463,0.356,0.963,2,80.4720200462606
AF-Q7Z407-F6-model_v4,Q7Z407,Q7Z407-F6,17.818,4,28.14,0.178,0.963,2,83.3190330624307
AF-Q8IWU9-F1-model_v4,Q8IWU9,Q8IWU9-F1,17.773,4,22.165,0.096,0.963,1,83.3990869896018
AF-Q8N8A8-F1-model_v4,Q8N8A8,Q8N8A8-F1,14.333,4,30.345,0.129,0.963,1,71.391794529686507
AF-Q8NEB7-F1-model_v4,Q8NEB7,Q8NEB7-F1,43.529,4.059,27.035,0.145,0.963,1,63.0567720195213
AF-Q96T21-F1-model_v4,Q96T21,Q96T21-F1,29.667,4.042,29.184,0.054,0.963,1,55.9810320656227
AF-Q9H208-F1-model_v4,Q9H208,Q9H208-F1,43.467,4.533,17.752,0.172,0.963,1,84.9852525252525
AF-Q9HBH9-F1-model_v4,Q9HBH9,Q9HBH9-F1,16.778,3.722,16.883,0.253,0.963,1,72.3218868442735
AF-Q9NRZ5-F1-model_v4,Q9NRZ5,Q9NRZ5-F1,43,4.329,38.884,0.937,0.963,1,94.3425667417176
AF-Q9UKP5-F1-model_v4,Q9UKP5,Q9UKP5-F1,21.432,4,31.294,0.093,0.963,2,76.8010256410256
AF-Q9Y6F1-F1-model_v4,Q9Y6F1,Q9Y6F1-F1,24.955,4.227,23.053,0.075,0.963,1,85.6578032631828
AF-A0A4W9AIG4-F1-model_v4,A0A4W9AIG4,A0A4W9AIG4-F1,37.429,4.405,22.848,0.112,0.962,1,82.5593767820774
AF-A6NHA9-F1-model_v4,A6NHA9,A6NHA9-F1,38.333,3.952,15.697,0.239,0.962,1,89.0120148944973
AF-A8K4G0-F1-model_v4,A8K4G0,A8K4G0-F1,32.562,4.938,19.314,0.158,0.962,1,80.2862962962963
AF-O75912-F1-model_v4,O75912,O75912-F1,21.938,4.062,25.212,0.107,0.962,2,71.6726147850445
AF-P0C604-F1-model_v4,P0C604,P0C604-F1,57.727,4.227,24.515,0.306,0.962,4,82.3698803827751
AF-P10826-F1-model_v4,P10826,P10826-F1,65.8,4.8,14.397,0.476,0.962,1,80.7011022952678
AF-P21439-F1-model_v4,P21439,P21439-F1,65.846,4.923,14.592,0.141,0.962,4,83.4898376428142
AF-P28827-F1-model_v4,P28827,P28827-F1,14.964,3.929,25.431,0.061,0.962,1,84.371132042712
AF-P41145-F1-model_v4,P41145,P41145-F1,43.333,4.6,17.264,0.337,0.962,2,80.0734512683578
AF-P42126-F1-model_v4,P42126,P42126-F1,56.667,4.481,15.709,0.231,0.962,1,90.3405813449024
AF-P48378-F1-model_v4,P48378,P48378-F1,41.242,4.848,28.315,0.302,0.962,1,68.7397530206112
AF-Q01718-F1-model_v4,Q01718,Q01718-F1,53.767,4.633,20.594,0.155,0.962,1,84.554147774979
AF-Q08426-F1-model_v4,Q08426,Q08426-F1,29.725,4.025,31.653,0.099,0.962,1,95.1505555555556
AF-Q13085-F1-model_v4,Q13085,Q13085-F1,61.417,4.208,17.283,0.193,0.962,5,82.7617585006693
AF-Q2LD37-F16-model_v4,Q2LD37,Q2LD37-F16,28.692,4.154,29.57,0.212,0.962,4,58.8656746252082
AF-Q3KQZ1-F1-model_v4,Q3KQZ1,Q3KQZ1-F1,54.263,4.158,17.089,0.214,0.962,1,89.2749715037264
AF-Q5GJ75-F1-model_v4,Q5GJ75,Q5GJ75-F1,82.308,4.615,15.243,0.046,0.962,1,74.8392639372822
AF-Q6UXD7-F1-model_v4,Q6UXD7,Q6UXD7-F1,41.56,4,15.256,0.407,0.962,1,74.8889873108834
AF-Q86UT5-F1-model_v4,Q86UT5,Q86UT5-F1,42.769,3.923,19.014,0.165,0.962,1,70.0145160539786
AF-Q8IUX7-F1-model_v4,Q8IUX7,Q8IUX7-F1,30.972,4.333,29.842,0.229,0.962,1,67.7898807846537
AF-Q8IZM9-F1-model_v4,Q8IZM9,Q8IZM9-F1,32.062,3.875,18.792,0.223,0.962,2,84.1745361111111
AF-Q8N3F8-F1-model_v4,Q8N3F8,Q8N3F8-F1,21.557,4.393,39.961,0.025,0.962,3,59.3974516079866
AF-Q8NCG7-F1-model_v4,Q8NCG7,Q8NCG7-F1,59.773,4.955,18.364,0.253,0.962,2,73.6641903107508
AF-Q8NCW5-F1-model_v4,Q8NCW5,Q8NCW5-F1,30.219,4.219,27.04,0.423,0.962,1,86.8761372812921
AF-Q8NGD0-F1-model_v4,Q8NGD0,Q8NGD0-F1,39.12,3.88,16.613,0.378,0.962,2,89.5502046548957
AF-Q96N23-F10-model_v4,Q96N23,Q96N23-F10,22.84,3.96,15.039,0.12,0.962,2,75.5592244304411
AF-Q9BX95-F1-model_v4,Q9BX95,Q9BX95-F1,55.737,4.211,14.587,0.329,0.962,4,81.8956313204276
AF-Q9H5I5-F1-model_v4,Q9H5I5,Q9H5I5-F1,59.567,5.133,23.907,0.216,0.962,3,77.3928991816124
AF-Q9P273-F1-model_v4,Q9P273,Q9P273-F1,27.978,4.067,30.936,0.422,0.962,4,78.076855345912
AF-Q9Y3A0-F1-model_v4,Q9Y3A0,Q9Y3A0-F1,30.862,4.207,20.566,0.097,0.962,1,88.6826919385797
AF-A8MUP2-F1-model_v4,A8MUP2,A8MUP2-F1,25.893,3.929,15.175,0.225,0.961,1,88.1067197802198
AF-O00534-F1-model_v4,O00534,O00534-F1,9.421,4.053,20.023,0.084,0.961,3,83.7797349357919
AF-O43167-F1-model_v4,O43167,O43167-F1,43.4,3.45,20.155,0.21,0.961,2,53.1199963570128
AF-O95714-F15-model_v4,O95714,O95714-F15,60.789,4.368,18.65,0.071,0.961,3,78.9849909755866
AF-O95857-F1-model_v4,O95857,O95857-F1,58.474,4.053,15.239,0.264,0.961,1,90.2628488745981
AF-P01135-F1-model_v4,P01135,P01135-F1,69.923,3.846,15.615,0.202,0.961,1,66.8868469991547
AF-P0DMU2-F1-model_v4,P0DMU2,P0DMU2-F1,41.314,4,28.873,0.104,0.961,2,89.6790202563043
AF-P11836-F1-model_v4,P11836,P11836-F1,18.944,4.5,24.476,0.126,0.961,1,70.5959067357513
AF-P13473-F1-model_v4,P13473,P13473-F1,62.045,4.545,14.759,0.148,0.961,1,83.9895987361769
AF-P20929-F10-model_v4,P20929,P20929-F10,15.345,4.517,33.796,0.065,0.961,2,56.7770901926445
AF-P28335-F1-model_v4,P28335,P28335-F1,72.864,4.273,17.153,0.059,0.961,3,73.5313296703297
AF-P30989-F1-model_v4,P30989,P30989-F1,27.654,4.269,17.757,0.155,0.961,2,79.9278613071494
AF-P49286-F1-model_v4,P49286,P49286-F1,45.156,4.25,15.215,0.378,0.961,2,84.4482475317348
AF-Q07869-F1-model_v4,Q07869,Q07869-F1,55.044,4.489,20.267,0.057,0.961,1,81.1083456587236
AF-Q08477-F1-model_v4,Q08477,Q08477-F1,51.25,4.472,18.253,0.156,0.961,2,91.8275165876777
AF-Q14166-F1-model_v4,Q14166,Q14166-F1,25.118,4.294,29.471,0.183,0.961,2,91.1891239763854
AF-Q14204-F3-model_v4,Q14204,Q14204-F3,53.444,4.111,15.234,0.312,0.961,1,78.4600785683108
AF-Q14CZ0-F1-model_v4,Q14CZ0,Q14CZ0-F1,47.4,4.9,19.214,0.381,0.961,1,70.0215264367816
AF-Q15035-F1-model_v4,Q15035,Q15035-F1,65,4.435,15.428,0.281,0.961,1,85.7065701269118
AF-Q16798-F1-model_v4,Q16798,Q16798-F1,34.944,4.389,19.17,0.352,0.961,1,92.2585151450964
AF-Q4G176-F1-model_v4,Q4G176,Q4G176-F1,22.28,4.2,34.216,0.111,0.961,1,86.8397543160691
AF-Q5SRD1-F1-model_v4,Q5SRD1,Q5SRD1-F1,39.45,3.7,23.115,0.304,0.961,1,55.0611272727273
AF-Q6ZMI3-F1-model_v4,Q6ZMI3,Q6ZMI3-F1,30.571,4.667,25.157,0.131,0.961,1,74.8661306653809
AF-Q7RTY1-F1-model_v4,Q7RTY1,Q7RTY1-F1,38.431,3.882,25.57,0.065,0.961,1,76.5541158536585
AF-Q7Z2D5-F1-model_v4,Q7Z2D5,Q7Z2D5-F1,51.389,4.417,28.778,0.114,0.961,2,56.1479986256657
AF-Q7Z2Q7-F1-model_v4,Q7Z2Q7,Q7Z2Q7-F1,57.438,4.812,19.416,0.1,0.961,1,74.0542790791599
AF-Q8N4W6-F1-model_v4,Q8N4W6,Q8N4W6-F1,61.872,4.667,22.953,0.081,0.961,3,78.3089119170984
AF-Q8NGS0-F1-model_v4,Q8NGS0,Q8NGS0-F1,47.067,4.067,25.124,0.094,0.961,1,89.1411886091622
AF-Q8WU67-F1-model_v4,Q8WU67,Q8WU67-F1,36.925,4.125,21.106,0.154,0.961,1,93.6236206363917
AF-Q96A11-F1-model_v4,Q96A11,Q96A11-F1,19.095,4.19,15.871,0.475,0.961,1,87.2699247031567
AF-Q96QS1-F1-model_v4,Q96QS1,Q96QS1-F1,41.875,4.219,20.076,0.12,0.961,1,72.8937649484536
AF-Q9BRV8-F1-model_v4,Q9BRV8,Q9BRV8-F1,13.8,4.7,24.199,0.7,0.961,1,85.482909860859
AF-Q9BZL6-F1-model_v4,Q9BZL6,Q9BZL6-F1,30.055,4.255,30.676,0.066,0.961,1,69.5702207505519
AF-Q9H799-F2-model_v4,Q9H799,Q9H799-F2,17.435,4.435,27.405,0.128,0.961,2,70.2985678815288
AF-Q9NRU3-F1-model_v4,Q9NRU3,Q9NRU3-F1,79.467,4.6,18.504,0.199,0.961,2,67.2874186078191
AF-Q9UHI5-F1-model_v4,Q9UHI5,Q9UHI5-F1,47.762,4.333,24.035,0.22,0.961,3,81.8899441747573
AF-Q9UKR8-F1-model_v4,Q9UKR8,Q9UKR8-F1,36.107,3.821,23.608,0.064,0.961,1,84.8232589771491
AF-Q9UPP1-F1-model_v4,Q9UPP1,Q9UPP1-F1,29.655,4.276,30.427,0.109,0.961,2,62.6794541722014
AF-Q9Y487-F1-model_v4,Q9Y487,Q9Y487-F1,81.056,4.722,15.63,0.143,0.961,1,81.7617173472343
AF-O00154-F1-model_v4,O00154,O00154-F1,44.818,3.909,17.106,0.303,0.96,1,84.9933880903491
AF-O14656-F1-model_v4,O14656,O14656-F1,25.048,3.905,19.319,0.296,0.96,2,85.9488530734633
AF-O76061-F1-model_v4,O76061,O76061-F1,81.083,4.667,17.089,0.27,0.96,2,73.2958494623656
AF-P04180-F1-model_v4,P04180,P04180-F1,45.659,4.268,19.096,0.142,0.96,1,87.7876995438997
AF-P28702-F1-model_v4,P28702,P28702-F1,61.833,4.375,14.281,0.07,0.96,1,72.3850676352705
AF-P50990-F1-model_v4,P50990,P50990-F1,16.308,3.462,16.317,0.353,0.96,3,87.8963856287425
AF-Q00765-F1-model_v4,Q00765,Q00765-F1,45.375,4.5,23.318,0.112,0.96,1,79.5647194719472
AF-Q02224-F2-model_v4,Q02224,Q02224-F2,32,4.733,22.516,0.126,0.96,2,70.764444444444507
AF-Q13535-F1-model_v4,Q13535,Q13535-F1,30.353,4.412,22.648,0.292,0.96,2,76.4657637772946
AF-Q5VTQ0-F1-model_v4,Q5VTQ0,Q5VTQ0-F1,65.567,4.6,16.959,0.156,0.96,2,82.0522949002217
AF-Q6ZMG9-F1-model_v4,Q6ZMG9,Q6ZMG9-F1,28.368,4.816,19.808,0.159,0.96,2,87.9754488188976
AF-Q7L5L3-F1-model_v4,Q7L5L3,Q7L5L3-F1,51.571,4.286,15.782,0.13,0.96,1,93.1324223602484
AF-Q8IXW5-F1-model_v4,Q8IXW5,Q8IXW5-F1,33.111,4.037,22.434,0.13,0.96,1,64.1960757420675
AF-Q8IY34-F1-model_v4,Q8IY34,Q8IY34-F1,40,4.429,17.78,0.17,0.96,3,82.3919585099264
AF-Q8N584-F1-model_v4,Q8N584,Q8N584-F1,31.224,4.707,49.609,0.023,0.96,2,85.6918396022482
AF-Q8NGC5-F1-model_v4,Q8NGC5,Q8NGC5-F1,31.375,3.875,15.144,0.521,0.96,3,86.1110092081031
AF-Q8TD57-F4-model_v4,Q8TD57,Q8TD57-F4,16.955,3.5,23.025,0.164,0.96,4,85.6663929332386
AF-Q92570-F1-model_v4,Q92570,Q92570-F1,32.286,4.929,17.757,0.281,0.96,1,65.7415269086358
AF-Q92597-F1-model_v4,Q92597,Q92597-F1,35.476,4.048,20.84,0.317,0.96,1,78.598135026738
AF-Q96IZ6-F1-model_v4,Q96IZ6,Q96IZ6-F1,43.917,4.25,15.194,0.272,0.96,2,82.1588214169115
AF-Q96MX6-F1-model_v4,Q96MX6,Q96MX6-F1,27.333,4.455,23.875,0.095,0.96,2,96.6869266547406
AF-Q9NQ32-F1-model_v4,Q9NQ32,Q9NQ32-F1,39.048,4.238,21.977,0.108,0.96,3,52.1752194314104
AF-Q9P035-F1-model_v4,Q9P035,Q9P035-F1,55.63,4.63,19.18,0.082,0.96,2,88.7885658153242
AF-Q9UIK5-F1-model_v4,Q9UIK5,Q9UIK5-F1,66.556,4.5,16.284,0.081,0.96,1,68.7434989576094
AF-Q9UQR0-F1-model_v4,Q9UQR0,Q9UQR0-F1,31.136,4.227,21.158,-0.016,0.96,3,69.0634310471976
AF-Q9Y653-F1-model_v4,Q9Y653,Q9Y653-F1,38.462,5.038,20.645,0.294,0.96,2,78.0137559284933
AF-O60508-F1-model_v4,O60508,O60508-F1,45.45,3.9,20.58,0.189,0.959,1,86.684453362256
AF-O75152-F1-model_v4,O75152,O75152-F1,-16.9,4,20.97,0.585,0.959,1,57.4746409105483
AF-O95222-F1-model_v4,O95222,O95222-F1,45.263,4.474,14.432,0.409,0.959,1,83.0527362204724
AF-O95255-F1-model_v4,O95255,O95255-F1,68.111,5.056,15.321,0.2,0.959,2,81.4078773544337
AF-P16118-F1-model_v4,P16118,P16118-F1,19.82,4.24,28.394,0.06,0.959,1,92.0747205614765
AF-P20648-F1-model_v4,P20648,P20648-F1,72.667,4.333,14.177,0.086,0.959,3,88.7902084893883
AF-P21359-F7-model_v4,P21359,P21359-F7,77.5,5.333,14.875,0.076,0.959,2,78.2831224159626
AF-P29590-F1-model_v4,P29590,P29590-F1,61.2,4.8,20.586,0.055,0.959,3,70.8715750219362
AF-P36537-F1-model_v4,P36537,P36537-F1,36.078,4.255,25.201,0.163,0.959,1,92.3871098670399
AF-P37231-F1-model_v4,P37231,P37231-F1,50.651,4.651,21.87,0.238,0.959,1,76.1501112484549
AF-P49619-F1-model_v4,P49619,P49619-F1,18,3.647,24.609,0.099,0.959,1,77.5099278846154
AF-P53007-F1-model_v4,P53007,P53007-F1,14.227,4.182,21.518,0.147,0.959,2,75.0818337510443
AF-P58876-F1-model_v4,P58876,P58876-F1,78,5.125,14.374,0.283,0.959,1,87.5827170582227
AF-P85298-F1-model_v4,P85298,P85298-F1,75.429,5.143,14.393,0.243,0.959,2,76.213223162348
AF-Q08462-F1-model_v4,Q08462,Q08462-F1,16.222,5.333,16.589,0.145,0.959,4,79.2051215017851
AF-Q08AG5-F1-model_v4,Q08AG5,Q08AG5-F1,21.095,4.452,26.1,0.103,0.959,3,52.6256988646938
AF-Q3SY52-F1-model_v4,Q3SY52,Q3SY52-F1,47.571,4.333,16.429,0.105,0.959,1,66.5219102296451
AF-Q5T1V6-F1-model_v4,Q5T1V6,Q5T1V6-F1,31.414,4.448,23.895,0.158,0.959,1,79.0065824357912
AF-Q6ZR08-F1-model_v4,Q6ZR08,Q6ZR08-F1,41.524,4.381,22.689,0.363,0.959,3,83.0876591825995
AF-Q6ZR08-F7-model_v4,Q6ZR08,Q6ZR08-F7,41.708,4.833,25.377,0.104,0.959,3,86.3166032055256
AF-Q7Z6G8-F1-model_v4,Q7Z6G8,Q7Z6G8-F1,24.289,4.089,34.703,0.041,0.959,2,57.5183972772277
AF-Q86VD9-F1-model_v4,Q86VD9,Q86VD9-F1,54.706,4,15.28,0.114,0.959,3,87.6567304696194
AF-Q8IU68-F1-model_v4,Q8IU68,Q8IU68-F1,30.471,4.353,27.775,0.13,0.959,5,76.689878619733
AF-Q8IWB9-F1-model_v4,Q8IWB9,Q8IWB9-F1,62.233,4.667,20.335,0.093,0.959,3,56.42632845307
AF-Q8N0U8-F1-model_v4,Q8N0U8,Q8N0U8-F1,50.636,4,16.409,0.096,0.959,1,91.1335336194564
AF-Q8NGR6-F1-model_v4,Q8NGR6,Q8NGR6-F1,50.733,4.767,22.168,0.125,0.959,1,86.7620861860652
AF-Q9BYH1-F1-model_v4,Q9BYH1,Q9BYH1-F1,31,3.783,22.093,0.149,0.959,1,69.1123861033342
AF-Q9H340-F1-model_v4,Q9H340,Q9H340-F1,33.857,4.086,22.889,0.142,0.959,3,89.4309947643979
AF-Q9H568-F1-model_v4,Q9H568,Q9H568-F1,35.444,4.148,25.266,0.185,0.959,3,88.2739339752407
AF-Q9NU22-F9-model_v4,Q9NU22,Q9NU22-F9,33.65,4.35,17.715,0.18,0.959,2,76.9037293788876
AF-Q9UP95-F1-model_v4,Q9UP95,Q9UP95-F1,61.368,4.316,20.147,0.218,0.959,2,81.4208569071193
AF-Q9Y289-F1-model_v4,Q9Y289,Q9Y289-F1,85.5,5.2,18.255,0.151,0.959,3,80.28021973466
AF-Q9Y6N6-F1-model_v4,Q9Y6N6,Q9Y6N6-F1,43.182,4.273,17.527,0.148,0.959,4,75.4689529539567
AF-A6NE02-F1-model_v4,A6NE02,A6NE02-F1,44.583,3.667,17.361,0.14,0.958,1,85.9152179763186
AF-A6NJV1-F1-model_v4,A6NJV1,A6NJV1-F1,25.65,4.1,21.158,0.065,0.958,1,81.2547041062802
AF-A6NM76-F1-model_v4,A6NM76,A6NM76-F1,66.095,4.19,15.457,0.337,0.958,2,89.8560753341434
AF-O60602-F1-model_v4,O60602,O60602-F1,40,4.312,18.272,0.124,0.958,1,89.0651498479803
AF-O75678-F1-model_v4,O75678,O75678-F1,56.238,4.429,15.46,0.243,0.958,1,75.1363850085179
AF-P10276-F1-model_v4,P10276,P10276-F1,63.458,4.833,14.331,0.362,0.958,1,79.418920518602
AF-P12882-F1-model_v4,P12882,P12882-F1,39.448,4.483,16.298,0.109,0.958,1,74.3964582933845
AF-P24390-F1-model_v4,P24390,P24390-F1,94,5.875,16.519,0.177,0.958,2,92.3511768082664
AF-P48509-F1-model_v4,P48509,P48509-F1,42.938,3.938,18.11,0.15,0.958,3,87.9959767794043
AF-P61160-F1-model_v4,P61160,P61160-F1,3.276,3.414,20.884,0.237,0.958,1,93.9645648030496
AF-Q01726-F1-model_v4,Q01726,Q01726-F1,67.15,4.7,14.585,0.288,0.958,2,80.2189536315142
AF-Q02094-F1-model_v4,Q02094,Q02094-F1,66.067,3.8,16.968,0.185,0.958,2,94.8662805662806
AF-Q2M2D7-F1-model_v4,Q2M2D7,Q2M2D7-F1,45.842,4.342,34.204,0.022,0.958,1,77.1619360568384
AF-Q5T036-F1-model_v4,Q5T036,Q5T036-F1,41.148,4.593,27.148,0.025,0.958,1,55.2968418367347
AF-Q5VWJ9-F1-model_v4,Q5VWJ9,Q5VWJ9-F1,15.833,4.458,18.754,0.191,0.958,1,81.4068853868195
AF-Q6AI14-F1-model_v4,Q6AI14,Q6AI14-F1,78.778,4.889,23.878,0.139,0.958,4,66.6580568271507
AF-Q6P9G4-F1-model_v4,Q6P9G4,Q6P9G4-F1,79.429,4.5,15.465,0.216,0.958,1,63.5732684283727
AF-Q6PF04-F1-model_v4,Q6PF04,Q6PF04-F1,31.391,4.913,28.035,0.186,0.958,1,65.9121025849786
AF-Q75N90-F9-model_v4,Q75N90,Q75N90-F9,10.548,3.839,27.393,0.195,0.958,2,75.3038825484765
AF-Q7Z4K8-F1-model_v4,Q7Z4K8,Q7Z4K8-F1,46.067,4.533,17.178,0.277,0.958,3,80.6765184678523
AF-Q86SQ6-F1-model_v4,Q86SQ6,Q86SQ6-F1,42.519,4.333,20.651,0.267,0.958,2,64.7121456922718
AF-Q8IY50-F1-model_v4,Q8IY50,Q8IY50-F1,45.368,4.447,18.073,0.125,0.958,1,75.3504325468844
AF-Q8TDJ6-F9-model_v4,Q8TDJ6,Q8TDJ6-F9,22.34,4.404,37.496,0.076,0.958,2,70.0479521969629
AF-Q9H9S3-F1-model_v4,Q9H9S3,Q9H9S3-F1,46.714,4,19.921,0.197,0.958,3,71.5526590538336
AF-Q9NX47-F1-model_v4,Q9NX47,Q9NX47-F1,54.308,3.923,15.175,0.291,0.958,3,86.5846694026448
AF-Q9NX78-F1-model_v4,Q9NX78,Q9NX78-F1,37.714,4.786,27.321,0.211,0.958,2,92.6704275026719
AF-Q9P1Q0-F1-model_v4,Q9P1Q0,Q9P1Q0-F1,46.462,4.692,15.225,0.108,0.958,1,75.4842704443014
AF-A8K855-F1-model_v4,A8K855,A8K855-F1,27.72,4.12,29.909,0.041,0.957,2,81.2967782841292
AF-B3EWG5-F1-model_v4,B3EWG5,B3EWG5-F1,33.133,3.533,21.119,0.114,0.957,1,62.3503987730061
