"","gene_id","gene_name","unstranded_1"
"11180","ENSG00000163938.17","GNL3",9694
"11181","ENSG00000163939.18","PBRM1",6257
"11182","ENSG00000163945.19","UVSSA",1531
"11183","ENSG00000163946.13","TASOR",8029
"11184","ENSG00000163947.12","ARHGEF3",7038
"11185","ENSG00000163950.13","SLBP",5044
"11186","ENSG00000163956.13","LRPAP1",10501
"11187","ENSG00000163958.14","ZDHHC19",12
"11188","ENSG00000163959.10","SLC51A",144
"11189","ENSG00000163960.12","UBXN7",14619
"11190","ENSG00000163961.4","RNF168",6495
"11191","ENSG00000163964.17","PIGX",5372
"11192","ENSG00000163975.12","MELTF",6182
"11193","ENSG00000163982.6","OTOP1",0
"11194","ENSG00000163993.7","S100P",56
"11195","ENSG00000163995.21","ABLIM2",58
"11196","ENSG00000164002.11","EXO5",246
"11197","ENSG00000164007.11","CLDN19",112
"11198","ENSG00000164008.16","C1orf50",164
"11199","ENSG00000164010.15","ERMAP",535
"11200","ENSG00000164011.18","ZNF691",739
"11201","ENSG00000164022.17","AIMP1",3032
"11202","ENSG00000164023.14","SGMS2",524
"11203","ENSG00000164024.12","METAP1",5039
"11204","ENSG00000164031.17","DNAJB14",2089
"11205","ENSG00000164032.12","H2AZ1",11392
"11206","ENSG00000164035.10","EMCN",55
"11207","ENSG00000164037.17","SLC9B1",38
"11208","ENSG00000164038.16","SLC9B2",283
"11209","ENSG00000164039.15","BDH2",846
"11210","ENSG00000164040.18","PGRMC2",4764
"11211","ENSG00000164045.12","CDC25A",4028
"11212","ENSG00000164047.6","CAMP",3
"11213","ENSG00000164048.14","ZNF589",2403
"11214","ENSG00000164049.14","FBXW12",25
"11215","ENSG00000164050.13","PLXNB1",10395
"11216","ENSG00000164051.14","CCDC51",1730
"11217","ENSG00000164053.21","ATRIP",1255
"11218","ENSG00000164054.15","SHISA5",20525
"11219","ENSG00000164056.11","SPRY1",20762
"11220","ENSG00000164061.5","BSN",834
"11221","ENSG00000164062.13","APEH",8588
"11222","ENSG00000164066.13","INTU",1190
"11223","ENSG00000164068.16","RNF123",3823
"11224","ENSG00000164070.12","HSPA4L",1169
"11225","ENSG00000164073.11","MFSD8",929
"11226","ENSG00000164074.15","ABHD18",1123
"11227","ENSG00000164076.17","CAMKV",11
"11228","ENSG00000164077.14","MON1A",1474
"11229","ENSG00000164078.13","MST1R",342
"11230","ENSG00000164080.13","RAD54L2",3771
"11231","ENSG00000164081.13","TEX264",3369
"11232","ENSG00000164082.15","GRM2",8
"11233","ENSG00000164086.10","DUSP7",3141
"11234","ENSG00000164087.8","POC1A",2762
"11235","ENSG00000164088.18","PPM1M",1477
"11236","ENSG00000164089.9","ETNPPL",57
"11237","ENSG00000164091.12","WDR82",18994
"11238","ENSG00000164093.17","PITX2",5
"11239","ENSG00000164096.13","C4orf3",7816
"11240","ENSG00000164099.3","PRSS12",203
"11241","ENSG00000164100.9","NDST3",44
"11242","ENSG00000164104.12","HMGB2",17878
"11243","ENSG00000164105.4","SAP30",1390
"11244","ENSG00000164106.8","SCRG1",12
"11245","ENSG00000164107.9","HAND2",21
"11246","ENSG00000164109.14","MAD2L1",5176
"11247","ENSG00000164111.15","ANXA5",13726
"11248","ENSG00000164112.13","TMEM155",4
"11249","ENSG00000164113.11","ADAD1",4
"11250","ENSG00000164114.19","MAP9",1658
"11251","ENSG00000164116.17","GUCY1A1",509
"11252","ENSG00000164117.14","FBXO8",819
"11253","ENSG00000164118.13","CEP44",1025
"11254","ENSG00000164120.14","HPGD",135
"11255","ENSG00000164122.9","ASB5",2
"11256","ENSG00000164123.7","C4orf45",2
"11257","ENSG00000164124.11","TMEM144",1267
"11258","ENSG00000164125.16","GASK1B",1039
"11259","ENSG00000164128.7","NPY1R",3
"11260","ENSG00000164129.12","NPY5R",0
"11261","ENSG00000164134.13","NAA15",10296
"11262","ENSG00000164136.17","IL15",180
"11263","ENSG00000164142.16","FAM160A1",1963
"11264","ENSG00000164144.16","ARFIP1",5161
"11265","ENSG00000164151.12","ICE1",11390
"11266","ENSG00000164161.10","HHIP",12
"11267","ENSG00000164162.14","ANAPC10",695
"11268","ENSG00000164163.11","ABCE1",9635
"11269","ENSG00000164164.17","OTUD4",9622
"11270","ENSG00000164167.12","LSM6",1621
"11271","ENSG00000164168.8","TMEM184C",5022
"11272","ENSG00000164169.13","PRMT9",1239
"11273","ENSG00000164171.11","ITGA2",315
"11274","ENSG00000164172.20","MOCS2",1462
"11275","ENSG00000164175.15","SLC45A2",3
"11276","ENSG00000164176.13","EDIL3",1478
"11277","ENSG00000164180.14","TMEM161B",401
"11278","ENSG00000164181.14","ELOVL7",977
"11279","ENSG00000164182.12","NDUFAF2",548
"11280","ENSG00000164185.6","ZNF474",61
"11281","ENSG00000164187.7","LMBRD2",3172
"11282","ENSG00000164188.9","RANBP3L",30
"11283","ENSG00000164190.19","NIPBL",12184
"11284","ENSG00000164197.12","RNF180",206
"11285","ENSG00000164199.18","ADGRV1",6
"11286","ENSG00000164209.17","SLC25A46",1260
"11287","ENSG00000164211.13","STARD4",1082
"11288","ENSG00000164219.10","PGGT1B",707
"11289","ENSG00000164220.7","F2RL2",35
"11290","ENSG00000164221.13","CCDC112",544
"11291","ENSG00000164236.12","ANKRD33B",1297
"11292","ENSG00000164237.9","CMBL",852
"11293","ENSG00000164241.13","C5orf63",221
"11294","ENSG00000164244.21","PRRC1",2251
"11295","ENSG00000164251.5","F2RL1",3804
"11296","ENSG00000164252.13","AGGF1",1542
"11297","ENSG00000164253.14","WDR41",2384
"11298","ENSG00000164256.11","PRDM9",1
"11299","ENSG00000164258.12","NDUFS4",1058
"11300","ENSG00000164265.9","SCGB3A2",9
"11301","ENSG00000164266.11","SPINK1",25
"11302","ENSG00000164270.18","HTR4",0
"11303","ENSG00000164283.13","ESM1",577
"11304","ENSG00000164284.15","GRPEL2",1877
"11305","ENSG00000164287.13","CDC20B",1984
"11306","ENSG00000164291.17","ARSK",534
"11307","ENSG00000164292.13","RHOBTB3",902
"11308","ENSG00000164294.14","GPX8",1858
"11309","ENSG00000164296.7","TIGD6",375
"11310","ENSG00000164299.7","SPZ1",0
"11311","ENSG00000164300.17","SERINC5",7126
"11312","ENSG00000164303.11","ENPP6",2
"11313","ENSG00000164304.16","CAGE1",16
"11314","ENSG00000164305.19","CASP3",3594
"11315","ENSG00000164306.11","PRIMPOL",356
"11316","ENSG00000164307.13","ERAP1",2097
"11317","ENSG00000164308.17","ERAP2",161
"11318","ENSG00000164309.15","CMYA5",150
"11319","ENSG00000164318.18","EGFLAM",688
"11320","ENSG00000164323.14","CFAP97",2526
"11321","ENSG00000164325.8","TMEM174",0
"11322","ENSG00000164326.5","CARTPT",0
"11323","ENSG00000164327.13","RICTOR",2884
"11324","ENSG00000164329.13","TENT2",2226
"11325","ENSG00000164330.17","EBF1",120
"11326","ENSG00000164331.10","ANKRA2",479
"11327","ENSG00000164332.8","UBLCP1",808
"11328","ENSG00000164334.15","FAM170A",3
"11329","ENSG00000164338.10","UTP15",1205
"11330","ENSG00000164342.13","TLR3",36
"11331","ENSG00000164344.16","KLKB1",11
"11332","ENSG00000164346.10","NSA2",6211
"11333","ENSG00000164347.18","GFM2",1436
"11334","ENSG00000164362.21","TERT",23
"11335","ENSG00000164363.10","SLC6A18",0
"11336","ENSG00000164366.4","CCDC127",3401
"11337","ENSG00000164379.7","FOXQ1",9
"11338","ENSG00000164385.9","LINC01600",28
"11339","ENSG00000164393.8","ADGRF2",111
"11340","ENSG00000164398.15","ACSL6",9
"11341","ENSG00000164399.5","IL3",0
"11342","ENSG00000164400.6","CSF2",1
"11343","ENSG00000164402.14","SEPTIN8",2832
"11344","ENSG00000164403.15","SHROOM1",926
"11345","ENSG00000164404.8","GDF9",57
"11346","ENSG00000164405.11","UQCRQ",1785
"11347","ENSG00000164406.8","LEAP2",15
"11348","ENSG00000164411.12","GJB7",7
"11349","ENSG00000164414.18","SLC35A1",542
"11350","ENSG00000164418.21","GRIK2",18
"11351","ENSG00000164430.16","CGAS",1529
"11352","ENSG00000164434.12","FABP7",2
"11353","ENSG00000164438.6","TLX3",0
"11354","ENSG00000164440.15","TXLNB",40
"11355","ENSG00000164442.10","CITED2",3792
"11356","ENSG00000164451.13","CALHM4",0
"11357","ENSG00000164458.10","TBXT",0
"11358","ENSG00000164463.12","CREBRF",1062
"11359","ENSG00000164465.19","DCBLD1",916
"11360","ENSG00000164466.13","SFXN1",1726
"11361","ENSG00000164483.17","SAMD3",9
"11362","ENSG00000164484.12","TMEM200A",100
"11363","ENSG00000164485.15","IL22RA2",2
"11364","ENSG00000164488.12","DACT2",1688
"11365","ENSG00000164494.12","PDSS2",863
"11366","ENSG00000164500.7","SPATA48",0
"11367","ENSG00000164506.14","STXBP5",2280
"11368","ENSG00000164508.5","H2AC1",0
"11369","ENSG00000164509.15","IL31RA",7
"11370","ENSG00000164512.18","ANKRD55",2
"11371","ENSG00000164520.11","RAET1E",2
"11372","ENSG00000164530.15","PI16",11
"11373","ENSG00000164532.11","TBX20",0
"11374","ENSG00000164535.15","DAGLB",1408
"11375","ENSG00000164542.13","KIAA0895",2208
"11376","ENSG00000164543.7","STK17A",2744
"11377","ENSG00000164548.11","TRA2A",2237
"11378","ENSG00000164556.7","FAM183BP",7
"11379","ENSG00000164574.16","GALNT10",833
"11380","ENSG00000164576.12","SAP30L",976
"11381","ENSG00000164587.13","RPS14",29874
"11382","ENSG00000164588.8","HCN1",1
"11383","ENSG00000164591.14","MYOZ3",11
"11384","ENSG00000164597.15","COG5",3186
"11385","ENSG00000164600.7","NEUROD6",0
"11386","ENSG00000164603.12","BMT2",1105
"11387","ENSG00000164604.13","GPR85",22
"11388","ENSG00000164609.10","SLU7",1528
"11389","ENSG00000164610.9","RP9",2334
"11390","ENSG00000164611.13","PTTG1",2494
"11391","ENSG00000164615.6","CAMLG",1093
"11392","ENSG00000164616.16","FBXL21P",2
"11393","ENSG00000164619.10","BMPER",17
"11394","ENSG00000164620.9","RELL2",19
"11395","ENSG00000164621.5","SMAD5-AS1",0
"11396","ENSG00000164626.9","KCNK5",4433
"11397","ENSG00000164627.18","KIF6",416
"11398","ENSG00000164631.19","ZNF12",2515
"11399","ENSG00000164638.10","SLC29A4",1005
"11400","ENSG00000164645.3","TEX47",0
"11401","ENSG00000164647.9","STEAP1",183
"11402","ENSG00000164649.20","CDCA7L",2467
"11403","ENSG00000164651.17","SP8",4
"11404","ENSG00000164654.16","MIOS",4039
"11405","ENSG00000164659.15","ELAPOR2",776
"11406","ENSG00000164663.14","USP49",1438
"11407","ENSG00000164669.13","INTS4P1",71
"11408","ENSG00000164674.16","SYTL3",268
"11409","ENSG00000164675.11","IQUB",256
"11410","ENSG00000164683.18","HEY1",137
"11411","ENSG00000164684.13","ZNF704",4326
"11412","ENSG00000164687.11","FABP5",626
"11413","ENSG00000164690.8","SHH",18
"11414","ENSG00000164691.18","TAGAP",127
"11415","ENSG00000164692.18","COL1A2",61247
"11416","ENSG00000164694.17","FNDC1",738
"11417","ENSG00000164695.5","CHMP4C",857
"11418","ENSG00000164707.15","SLC13A4",184
"11419","ENSG00000164708.6","PGAM2",0
"11420","ENSG00000164713.10","BRI3",12312
"11421","ENSG00000164715.6","LMTK2",5556
"11422","ENSG00000164729.7","SLC35G3",1
"11423","ENSG00000164733.22","CTSB",70108
"11424","ENSG00000164736.6","SOX17",28323
"11425","ENSG00000164740.5","SEPTIN7P5",0
"11426","ENSG00000164741.15","DLC1",397
"11427","ENSG00000164742.16","ADCY1",40
"11428","ENSG00000164743.5","C8orf48",2
"11429","ENSG00000164744.13","SUN3",6
"11430","ENSG00000164746.14","C7orf57",491
"11431","ENSG00000164749.13","HNF4G",10
"11432","ENSG00000164751.15","PEX2",2826
"11433","ENSG00000164754.15","RAD21",44736
"11434","ENSG00000164756.12","SLC30A8",60
"11435","ENSG00000164758.7","MED30",2207
"11436","ENSG00000164761.9","TNFRSF11B",2224
"11437","ENSG00000164764.11","SBSPON",54
"11438","ENSG00000164776.10","PHKG1",147
"11439","ENSG00000164778.4","EN2",9
"11440","ENSG00000164794.9","KCNV1",4
"11441","ENSG00000164796.18","CSMD3",5
"11442","ENSG00000164808.17","SPIDR",2894
"11443","ENSG00000164815.11","ORC5",2172
"11444","ENSG00000164816.8","DEFA5",0
"11445","ENSG00000164818.16","DNAAF5",5297
"11446","ENSG00000164821.5","DEFA4",0
"11447","ENSG00000164822.5","DEFA6",0
"11448","ENSG00000164823.11","OSGIN2",3808
"11449","ENSG00000164825.4","DEFB1",383
"11450","ENSG00000164828.18","SUN1",7325
"11451","ENSG00000164830.18","OXR1",5893
"11452","ENSG00000164841.5","TMEM74",20
"11453","ENSG00000164845.16","FAM86FP",70
"11454","ENSG00000164849.10","GPR146",68
"11455","ENSG00000164850.15","GPER1",1299
"11456","ENSG00000164853.9","UNCX",1
"11457","ENSG00000164855.16","TMEM184A",2188
"11458","ENSG00000164867.11","NOS3",1325
"11459","ENSG00000164871.17","SPAG11B",0
"11460","ENSG00000164877.19","MICALL2",1514
"11461","ENSG00000164879.7","CA3",55
"11462","ENSG00000164880.16","INTS1",14727
"11463","ENSG00000164885.13","CDK5",1178
"11464","ENSG00000164889.15","SLC4A2",8985
"11465","ENSG00000164893.9","SLC7A13",1
"11466","ENSG00000164896.20","FASTK",5755
"11467","ENSG00000164897.14","TMUB1",7379
"11468","ENSG00000164898.13","FMC1",83
"11469","ENSG00000164900.4","GBX1",11
"11470","ENSG00000164902.14","PHAX",1543
"11471","ENSG00000164904.18","ALDH7A1",5222
"11472","ENSG00000164916.11","FOXK1",5633
"11473","ENSG00000164919.11","COX6C",9548
"11474","ENSG00000164920.9","OSR2",622
"11475","ENSG00000164924.18","YWHAZ",111220
"11476","ENSG00000164929.17","BAALC",200
"11477","ENSG00000164930.12","FZD6",7365
"11478","ENSG00000164932.13","CTHRC1",2484
"11479","ENSG00000164933.12","SLC25A32",24
"11480","ENSG00000164934.14","DCAF13",9591
"11481","ENSG00000164935.6","DCSTAMP",25
"11482","ENSG00000164938.14","TP53INP1",4223
"11483","ENSG00000164941.14","INTS8",4300
"11484","ENSG00000164944.12","VIRMA",8429
"11485","ENSG00000164946.20","FREM1",33
"11486","ENSG00000164949.8","GEM",454
"11487","ENSG00000164951.16","PDP1",2003
"11488","ENSG00000164953.16","TMEM67",2046
"11489","ENSG00000164961.16","WASHC5",6681
"11490","ENSG00000164967.10","RPP25L",1411
"11491","ENSG00000164970.15","FAM219A",1671
"11492","ENSG00000164972.13","C9orf24",572
"11493","ENSG00000164975.15","SNAPC3",3007
"11494","ENSG00000164976.9","MYORG",1239
"11495","ENSG00000164978.18","NUDT2",460
"11496","ENSG00000164983.7","TMEM65",6162
"11497","ENSG00000164985.15","PSIP1",6843
"11498","ENSG00000164989.17","CCDC171",431
"11499","ENSG00000165006.14","UBAP1",3107
"11500","ENSG00000165023.7","DIRAS2",1810
"11501","ENSG00000165025.15","SYK",4296
"11502","ENSG00000165028.12","NIPSNAP3B",308
"11503","ENSG00000165029.17","ABCA1",5394
"11504","ENSG00000165030.4","NFIL3",1557
"11505","ENSG00000165046.13","LETM2",160
"11506","ENSG00000165055.16","METTL2B",2417
"11507","ENSG00000165059.8","PRKACG",0
"11508","ENSG00000165060.15","FXN",625
"11509","ENSG00000165061.15","ZMAT4",3
"11510","ENSG00000165066.13","NKX6-3",354
"11511","ENSG00000165071.15","TMEM71",39
"11512","ENSG00000165072.10","MAMDC2",298
"11513","ENSG00000165076.14","PRSS37",3
"11514","ENSG00000165078.13","CPA6",53
"11515","ENSG00000165084.16","C8orf34",225
"11516","ENSG00000165091.18","TMC1",38
"11517","ENSG00000165092.13","ALDH1A1",235
"11518","ENSG00000165097.16","KDM1B",8931
"11519","ENSG00000165102.15","HGSNAT",9435
"11520","ENSG00000165105.10","RASEF",883
"11521","ENSG00000165113.13","GKAP1",161
"11522","ENSG00000165115.15","KIF27",704
"11523","ENSG00000165118.15","C9orf64",1144
"11524","ENSG00000165119.21","HNRNPK",37718
"11525","ENSG00000165120.5","SSMEM1",3
"11526","ENSG00000165121.11","AL353743.1",160
"11527","ENSG00000165124.18","SVEP1",89
"11528","ENSG00000165125.22","TRPV6",3
"11529","ENSG00000165131.8","LLCFC1",1
"11530","ENSG00000165138.18","ANKS6",2932
"11531","ENSG00000165140.11","FBP1",234
"11532","ENSG00000165152.9","PGAP4",171
"11533","ENSG00000165156.15","ZHX1",6287
"11534","ENSG00000165164.14","CFAP47",287
"11535","ENSG00000165168.8","CYBB",2293
"11536","ENSG00000165169.11","DYNLT3",2324
"11537","ENSG00000165171.11","METTL27",1051
"11538","ENSG00000165175.16","MID1IP1",4635
"11539","ENSG00000165178.9","NCF1C",334
"11540","ENSG00000165181.16","SHOC1",28
"11541","ENSG00000165182.12","CXorf58",8
"11542","ENSG00000165185.15","KIAA1958",1795
"11543","ENSG00000165186.12","PTCHD1",5
"11544","ENSG00000165188.13","RNF183",96
"11545","ENSG00000165192.14","ASB11",0
"11546","ENSG00000165194.15","PCDH19",652
"11547","ENSG00000165195.16","PIGA",1582
"11548","ENSG00000165197.5","VEGFD",25
"11549","ENSG00000165202.3","OR1Q1",25
"11550","ENSG00000165204.3","OR1K1",3
"11551","ENSG00000165209.19","STRBP",8171
"11552","ENSG00000165215.6","CLDN3",47842
"11553","ENSG00000165219.22","GAPVD1",5173
"11554","ENSG00000165233.18","CARD19",1141
"11555","ENSG00000165238.16","WNK2",6710
"11556","ENSG00000165240.20","ATP7A",1739
"11557","ENSG00000165244.7","ZNF367",1200
"11558","ENSG00000165246.14","NLGN4Y",0
"11559","ENSG00000165259.14","HDX",29
"11560","ENSG00000165264.11","NDUFB6",1833
"11561","ENSG00000165269.13","AQP7",18
"11562","ENSG00000165271.17","NOL6",3724
"11563","ENSG00000165272.16","AQP3",376
"11564","ENSG00000165275.10","TRMT10B",534
"11565","ENSG00000165280.17","VCP",24891
"11566","ENSG00000165282.14","PIGO",2497
"11567","ENSG00000165283.16","STOML2",5676
"11568","ENSG00000165288.11","BRWD3",2755
"11569","ENSG00000165300.7","SLITRK5",15
"11570","ENSG00000165304.8","MELK",3109
"11571","ENSG00000165309.14","ARMC3",1004
"11572","ENSG00000165312.6","OTUD1",4506
"11573","ENSG00000165322.18","ARHGAP12",1618
"11574","ENSG00000165323.15","FAT3",3
"11575","ENSG00000165325.14","DEUP1",120
"11576","ENSG00000165338.17","HECTD2",1294
"11577","ENSG00000165349.12","SLC7A3",10
"11578","ENSG00000165355.7","FBXO33",2202
"11579","ENSG00000165359.16","INTS6L",1830
"11580","ENSG00000165370.3","GPR101",0
"11581","ENSG00000165376.11","CLDN2",19
"11582","ENSG00000165379.13","LRFN5",20
"11583","ENSG00000165383.11","LRRC18",8
"11584","ENSG00000165389.7","SPTSSA",2088
"11585","ENSG00000165392.11","WRN",1383
"11586","ENSG00000165406.16","MARCHF8",2541
"11587","ENSG00000165409.18","TSHR",25
"11588","ENSG00000165410.15","CFL2",1722
"11589","ENSG00000165416.15","SUGT1",3498
"11590","ENSG00000165417.12","GTF2A1",4841
"11591","ENSG00000165424.7","ZCCHC24",446
"11592","ENSG00000165434.8","PGM2L1",7094
"11593","ENSG00000165443.12","PHYHIPL",291
"11594","ENSG00000165449.11","SLC16A9",87
"11595","ENSG00000165457.14","FOLR2",39
"11596","ENSG00000165458.14","INPPL1",10013
"11597","ENSG00000165462.5","PHOX2A",24
"11598","ENSG00000165471.7","MBL2",0
"11599","ENSG00000165474.8","GJB2",662
"11600","ENSG00000165475.15","CRYL1",457
"11601","ENSG00000165476.14","REEP3",2606
"11602","ENSG00000165478.7","HEPACAM",0
"11603","ENSG00000165480.16","SKA3",2228
"11604","ENSG00000165487.14","MICU2",2421
"11605","ENSG00000165490.13","DDIAS",1653
"11606","ENSG00000165494.11","PCF11",2416
"11607","ENSG00000165495.16","PKNOX2",83
"11608","ENSG00000165496.5","RPL10L",1
"11609","ENSG00000165501.17","LRR1",676
"11610","ENSG00000165502.7","RPL36AL",5160
"11611","ENSG00000165506.15","DNAAF2",1623
"11612","ENSG00000165507.9","DEPP1",1477
"11613","ENSG00000165509.13","MAGEC3",5
"11614","ENSG00000165511.6","ZNF22-AS1",323
"11615","ENSG00000165512.5","ZNF22",2195
"11616","ENSG00000165516.11","KLHDC2",1943
"11617","ENSG00000165521.15","EML5",7
"11618","ENSG00000165525.18","NEMF",2890
"11619","ENSG00000165526.9","RPUSD4",1290
"11620","ENSG00000165527.7","ARF6",11582
"11621","ENSG00000165533.19","TTC8",1073
"11622","ENSG00000165548.11","TMEM63C",29
"11623","ENSG00000165553.4","NGB",1
"11624","ENSG00000165555.9","NOXRED1",70
"11625","ENSG00000165556.10","CDX2",1
"11626","ENSG00000165566.12","AMER2",1
"11627","ENSG00000165568.18","AKR1E2",12
"11628","ENSG00000165572.8","KBTBD6",1613
"11629","ENSG00000165583.15","SSX5",4
"11630","ENSG00000165584.16","SSX3",2
"11631","ENSG00000165588.18","OTX2",0
"11632","ENSG00000165591.6","FAAH2",1099
"11633","ENSG00000165606.9","DRGX",0
"11634","ENSG00000165609.13","NUDT5",2824
"11635","ENSG00000165617.15","DACT1",212
"11636","ENSG00000165621.8","OXGR1",15
"11637","ENSG00000165623.10","UCMA",0
"11638","ENSG00000165626.17","BEND7",1541
"11639","ENSG00000165629.20","ATP5F1C",15127
"11640","ENSG00000165630.14","PRPF18",297
"11641","ENSG00000165632.8","TAF3",2095
"11642","ENSG00000165633.13","VSTM4",78
"11643","ENSG00000165637.13","VDAC2",16552
"11644","ENSG00000165643.11","SOHLH1",269
"11645","ENSG00000165644.11","COMTD1",2218
"11646","ENSG00000165646.14","SLC18A2",2
"11647","ENSG00000165650.12","PDZD8",3602
"11648","ENSG00000165655.17","ZNF503",21718
"11649","ENSG00000165660.8","ABRAXAS2",2097
"11650","ENSG00000165661.17","QSOX2",2789
"11651","ENSG00000165669.14","FAM204A",2135
"11652","ENSG00000165671.21","NSD1",4474
"11653","ENSG00000165672.7","PRDX3",13933
"11654","ENSG00000165675.16","ENOX2",1354
"11655","ENSG00000165678.21","GHITM",14951
"11656","ENSG00000165682.14","CLEC1B",2
"11657","ENSG00000165684.4","SNAPC4",3975
"11658","ENSG00000165685.8","TMEM52B",15
"11659","ENSG00000165688.12","PMPCA",5989
"11660","ENSG00000165689.17","ENTR1",2566
"11661","ENSG00000165694.10","FRMD7",0
"11662","ENSG00000165695.10","AK8",403
"11663","ENSG00000165698.16","SPACA9",895
"11664","ENSG00000165699.15","TSC1",4257
"11665","ENSG00000165702.14","GFI1B",7
"11666","ENSG00000165704.15","HPRT1",4436
"11667","ENSG00000165714.11","BORCS5",996
"11668","ENSG00000165716.11","DIPK1B",10328
"11669","ENSG00000165724.6","ZMYND19",2789
"11670","ENSG00000165730.16","STOX1",685
"11671","ENSG00000165731.20","RET",126
"11672","ENSG00000165732.13","DDX21",12106
"11673","ENSG00000165733.8","BMS1",5402
"11674","ENSG00000165752.17","STK32C",1975
"11675","ENSG00000165757.9","JCAD",533
"11676","ENSG00000165762.3","OR4K2",7
"11677","ENSG00000165775.18","FUNDC2",6486
"11678","ENSG00000165782.11","PIP4P1",1979
"11679","ENSG00000165792.18","METTL17",777
"11680","ENSG00000165794.10","SLC39A2",5
"11681","ENSG00000165795.23","NDRG2",301
"11682","ENSG00000165799.5","RNASE7",6
"11683","ENSG00000165801.10","ARHGEF40",3161
"11684","ENSG00000165802.23","NSMF",7660
"11685","ENSG00000165804.16","ZNF219",2184
"11686","ENSG00000165805.10","C12orf50",4
"11687","ENSG00000165806.21","CASP7",1095
"11688","ENSG00000165807.8","PPP1R36",37
"11689","ENSG00000165810.17","BTNL9",1129
"11690","ENSG00000165813.20","CCDC186",2302
"11691","ENSG00000165816.13","VWA2",381
"11692","ENSG00000165819.12","METTL3",2115
"11693","ENSG00000165821.12","SALL2",1541
"11694","ENSG00000165828.15","PRAP1",6
"11695","ENSG00000165832.6","TRUB1",3444
"11696","ENSG00000165837.12","ERICH6B",4
"11697","ENSG00000165841.11","CYP2C19",0
"11698","ENSG00000165861.14","ZFYVE1",1602
"11699","ENSG00000165863.17","C10orf82",274
"11700","ENSG00000165868.16","HSPA12A",4163
"11701","ENSG00000165874.13","SHLD2P1",7
"11702","ENSG00000165879.9","FRAT1",328
"11703","ENSG00000165886.5","UBTD1",2517
"11704","ENSG00000165887.12","ANKRD2",156
"11705","ENSG00000165891.16","E2F7",2544
"11706","ENSG00000165895.19","ARHGAP42",383
"11707","ENSG00000165898.14","ISCA2",1367
"11708","ENSG00000165899.11","OTOGL",52
"11709","ENSG00000165905.18","LARGE2",4710
"11710","ENSG00000165912.16","PACSIN3",4267
"11711","ENSG00000165914.15","TTC7B",2586
"11712","ENSG00000165915.14","SLC39A13",4154
"11713","ENSG00000165916.8","PSMC3",8188
"11714","ENSG00000165917.10","RAPSN",229
"11715","ENSG00000165923.16","AGBL2",68
"11716","ENSG00000165929.13","TC2N",3893
"11717","ENSG00000165934.13","CPSF2",6847
"11718","ENSG00000165935.9","SMCO2",24
"11719","ENSG00000165943.5","MOAP1",6265
"11720","ENSG00000165948.11","IFI27L1",491
"11721","ENSG00000165949.12","IFI27",561
"11722","ENSG00000165953.10","SERPINA12",0
"11723","ENSG00000165959.12","CLMN",3219
"11724","ENSG00000165966.16","PDZRN4",24
"11725","ENSG00000165970.12","SLC6A5",0
"11726","ENSG00000165972.13","CCDC38",8
"11727","ENSG00000165973.19","NELL1",3
"11728","ENSG00000165983.14","PTER",588
"11729","ENSG00000165985.10","C1QL3",25
"11730","ENSG00000165995.22","CACNB2",108
"11731","ENSG00000165996.14","HACD1",213
"11732","ENSG00000165997.5","ARL5B",3798
"11733","ENSG00000166002.7","SMCO4",504
"11734","ENSG00000166004.15","CEP295",1955
"11735","ENSG00000166006.14","KCNC2",1
"11736","ENSG00000166007.11","TRIM51HP",0
"11737","ENSG00000166012.17","TAF1D",7139
"11738","ENSG00000166013.11","TRIM53BP",0
"11739","ENSG00000166016.6","ABTB2",667
"11740","ENSG00000166024.14","R3HCC1L",1075
"11741","ENSG00000166025.18","AMOTL1",369
"11742","ENSG00000166033.13","HTRA1",990
"11743","ENSG00000166035.11","LIPC",28
"11744","ENSG00000166037.11","CEP57",2929
"11745","ENSG00000166046.11","TCP11L2",366
"11746","ENSG00000166049.11","PASD1",0
"11747","ENSG00000166068.13","SPRED1",785
"11748","ENSG00000166069.13","TMCO5A",2
"11749","ENSG00000166073.11","GPR176",588
"11750","ENSG00000166086.13","JAM3",69
"11751","ENSG00000166090.8","IL25",0
"11752","ENSG00000166091.21","CMTM5",2
"11753","ENSG00000166104.15","AC126323.1",10
"11754","ENSG00000166105.16","GLB1L3",10
"11755","ENSG00000166106.3","ADAMTS15",2486
"11756","ENSG00000166111.10","SVOP",21
"11757","ENSG00000166118.8","SPATA19",0
"11758","ENSG00000166123.14","GPT2",7821
"11759","ENSG00000166126.11","AMN",702
"11760","ENSG00000166128.13","RAB8B",959
"11761","ENSG00000166130.15","IKBIP",824
"11762","ENSG00000166133.18","RPUSD2",1178
"11763","ENSG00000166135.14","HIF1AN",3605
"11764","ENSG00000166136.16","NDUFB8",544
"11765","ENSG00000166140.17","ZFYVE19",2098
"11766","ENSG00000166143.10","PPP1R14D",229
"11767","ENSG00000166145.14","SPINT1",56440
"11768","ENSG00000166147.14","FBN1",1293
"11769","ENSG00000166148.4","AVPR1A",71
"11770","ENSG00000166152.4","C16orf78",0
"11771","ENSG00000166153.16","DEPDC4",84
"11772","ENSG00000166159.11","LRTM2",21
"11773","ENSG00000166160.9","OPN1MW2",0
"11774","ENSG00000166164.16","BRD7",5805
"11775","ENSG00000166165.13","CKB",5741
