"gene","p.fisher","q.fisher"
"DCHS1",NA,NA
"DCHS2",NA,NA
"DCI",NA,NA
"DCK",NA,NA
"DCLK1",NA,NA
"DCLK2",NA,NA
"DCLK3",NA,NA
"DCLRE1A",NA,NA
"DCLRE1B",NA,NA
"DCLRE1C",NA,NA
"DCN",NA,NA
"DCP1A",NA,NA
"DCP1B",NA,NA
"DCP2",NA,NA
"DCPS",NA,NA
"DCST1",NA,NA
"DCST2",NA,NA
"DCT",NA,NA
"DCTD",NA,NA
"DCTN1",NA,NA
"DCTN2",NA,NA
"DCTN3",NA,NA
"DCTN4",NA,NA
"DCTN5",NA,NA
"DCTN6",NA,NA
"DCTPP1",NA,NA
"DCUN1D1",NA,NA
"DCUN1D2",NA,NA
"DCUN1D3",NA,NA
"DCUN1D4",NA,NA
"DCUN1D5",NA,NA
"DCX",NA,NA
"DCXR",NA,NA
"DDA1",NA,NA
"DDAH1",NA,NA
"DDAH2",NA,NA
"DDB1",NA,NA
"DDB2",NA,NA
"DDC",NA,NA
"DDHD1",NA,NA
"DDHD2",NA,NA
"DDI1",NA,NA
"DDI2",NA,NA
"DDIT3",NA,NA
"DDIT4",NA,NA
"DDIT4L",NA,NA
"DDN",NA,NA
"DDO",NA,NA
"DDOST",NA,NA
"DDR1",NA,NA
"DDR2",NA,NA
"DDRGK1",NA,NA
"DDT",NA,NA
"DDTL",NA,NA
"DDX1",NA,NA
"DDX10",NA,NA
"DDX11",NA,NA
"DDX17",NA,NA
"DDX18",NA,NA
"DDX19A",NA,NA
"DDX19B",NA,NA
"DDX20",NA,NA
"DDX21",NA,NA
"DDX23",NA,NA
"DDX24",NA,NA
"DDX25",NA,NA
"DDX26B",NA,NA
"DDX27",NA,NA
"DDX28",NA,NA
"DDX31",NA,NA
"DDX39",NA,NA
"DDX3X",NA,NA
"DDX3Y",NA,NA
"DDX4",NA,NA
"DDX41",NA,NA
"DDX42",NA,NA
"DDX43",NA,NA
"DDX46",NA,NA
"DDX47",NA,NA
"DDX49",NA,NA
"DDX5",NA,NA
"DDX50",NA,NA
"DDX51",NA,NA
"DDX52",NA,NA
"DDX53",NA,NA
"DDX54",NA,NA
"DDX55",NA,NA
"DDX56",NA,NA
"DDX58",NA,NA
"DDX59",NA,NA
"DDX6",NA,NA
"DDX60",NA,NA
"DDX60L",NA,NA
"DEAF1",NA,NA
"DEC1",NA,NA
"DECR1",NA,NA
"DECR2",NA,NA
"DEDD",NA,NA
"DEDD2",NA,NA
"DEF6",NA,NA
"DEF8",NA,NA
"DEFA1",NA,NA
"DEFA1B",NA,NA
"DEFA3",NA,NA
"DEFA4",NA,NA
"DEFA5",NA,NA
"DEFA6",NA,NA
"DEFB1",NA,NA
"DEFB103A",NA,NA
"DEFB103B",NA,NA
"DEFB104A",NA,NA
"DEFB104B",NA,NA
"DEFB105A",NA,NA
"DEFB105B",NA,NA
"DEFB106A",NA,NA
"DEFB106B",NA,NA
"DEFB107A",NA,NA
"DEFB107B",NA,NA
"DEFB108B",NA,NA
"DEFB110",NA,NA
"DEFB112",NA,NA
"DEFB113",NA,NA
"DEFB114",NA,NA
"DEFB115",NA,NA
"DEFB116",NA,NA
"DEFB118",NA,NA
"DEFB119",NA,NA
"DEFB121",NA,NA
"DEFB123",NA,NA
"DEFB124",NA,NA
"DEFB125",NA,NA
"DEFB126",NA,NA
"DEFB127",NA,NA
"DEFB128",NA,NA
"DEFB129",NA,NA
"DEFB130",NA,NA
"DEFB131",NA,NA
"DEFB132",NA,NA
"DEFB133",NA,NA
"DEFB134",NA,NA
"DEFB135",NA,NA
"DEFB136",NA,NA
"DEFB4A",NA,NA
"DEGS1",NA,NA
"DEGS2",NA,NA
"DEK",NA,NA
"DEM1",NA,NA
"DENND1A",NA,NA
"DENND1B",NA,NA
"DENND1C",NA,NA
"DENND2A",NA,NA
"DENND2C",NA,NA
"DENND2D",NA,NA
"DENND3",NA,NA
"DENND4A",NA,NA
"DENND4B",NA,NA
"DENND4C",NA,NA
"DENND5A",NA,NA
"DENND5B",NA,NA
"DENR",NA,NA
"DEPDC1",NA,NA
"DEPDC1B",NA,NA
"DEPDC4",NA,NA
"DEPDC5",NA,NA
"DEPDC6",NA,NA
"DEPDC7",NA,NA
"DERA",NA,NA
"DERL1",NA,NA
"DERL2",NA,NA
"DERL3",NA,NA
"DES",NA,NA
"DET1",NA,NA
"DEXI",NA,NA
"DFFA",NA,NA
"DFFB",NA,NA
"DFNA5",NA,NA
"DFNB31",NA,NA
"DFNB59",NA,NA
"DGAT1",NA,NA
"DGAT2",NA,NA
"DGAT2L6",NA,NA
"DGCR14",NA,NA
"DGCR2",NA,NA
"DGCR6",NA,NA
"DGCR6L",NA,NA
"DGCR8",NA,NA
"DGKA",NA,NA
"DGKB",NA,NA
"DGKD",NA,NA
"DGKE",NA,NA
"DGKG",NA,NA
"DGKH",NA,NA
"DGKI",NA,NA
"DGKK",NA,NA
"DGKQ",NA,NA
"DGKZ",NA,NA
"DGUOK",NA,NA
"DHCR24",NA,NA
"DHCR7",NA,NA
"DHDDS",NA,NA
"DHDH",NA,NA
"DHDPSL",NA,NA
"DHFR",NA,NA
"DHFRL1",NA,NA
"DHH",NA,NA
"DHODH",NA,NA
"DHPS",NA,NA
"DHRS1",NA,NA
"DHRS11",NA,NA
"DHRS12",NA,NA
"DHRS13",NA,NA
"DHRS2",NA,NA
"DHRS3",NA,NA
"DHRS4",NA,NA
"DHRS4L1",NA,NA
"DHRS4L2",NA,NA
"DHRS7",NA,NA
"DHRS7B",NA,NA
"DHRS7C",NA,NA
"DHRS9",NA,NA
"DHRSX",NA,NA
"DHTKD1",NA,NA
"DHX15",NA,NA
"DHX16",NA,NA
"DHX29",NA,NA
"DHX30",NA,NA
"DHX32",NA,NA
"DHX33",NA,NA
"DHX34",NA,NA
"DHX35",NA,NA
"DHX36",NA,NA
"DHX37",NA,NA
"DHX38",NA,NA
"DHX40",NA,NA
"DHX57",NA,NA
"DHX58",NA,NA
"DHX8",NA,NA
"DHX9",NA,NA
"DIABLO",NA,NA
"DIAPH1",NA,NA
"DIAPH2",NA,NA
"DIAPH3",NA,NA
"DICER1",NA,NA
"DIDO1",NA,NA
"DIMT1L",NA,NA
"DIO1",NA,NA
"DIO2",NA,NA
"DIO3",NA,NA
"DIP2A",NA,NA
"DIP2B",NA,NA
"DIP2C",NA,NA
"DIRAS1",NA,NA
"DIRAS2",NA,NA
"DIRAS3",NA,NA
"DIRC1",NA,NA
"DIRC2",NA,NA
"DIS3",NA,NA
"DIS3L",NA,NA
"DIS3L2",NA,NA
"DISC1",NA,NA
"DISP1",NA,NA
"DISP2",NA,NA
"DIXDC1",NA,NA
"DKC1",NA,NA
"DKFZP781G0119",NA,NA
"DKFZp761E198",NA,NA
"DKK1",NA,NA
"DKK2",NA,NA
"DKK3",NA,NA
"DKK4",NA,NA
"DKKL1",NA,NA
"DLAT",NA,NA
"DLC1",NA,NA
"DLD",NA,NA
"DLEC1",NA,NA
"DLEU7",NA,NA
"DLG1",NA,NA
"DLG2",NA,NA
"DLG3",NA,NA
"DLG4",NA,NA
"DLG5",NA,NA
"DLGAP1",NA,NA
"DLGAP2",NA,NA
"DLGAP3",NA,NA
"DLGAP4",NA,NA
"DLGAP5",NA,NA
"DLK1",NA,NA
"DLK2",NA,NA
"DLL1",NA,NA
"DLL3",NA,NA
"DLL4",NA,NA
"DLST",NA,NA
"DLX1",NA,NA
"DLX2",NA,NA
"DLX3",NA,NA
"DLX4",NA,NA
"DLX5",NA,NA
"DLX6",NA,NA
"DMAP1",NA,NA
"DMBT1",NA,NA
"DMBX1",NA,NA
"DMC1",NA,NA
"DMD",NA,NA
"DMGDH",NA,NA
"DMKN",NA,NA
"DMP1",NA,NA
"DMPK",NA,NA
"DMRT1",NA,NA
"DMRT2",NA,NA
"DMRT3",NA,NA
"DMRTA1",NA,NA
"DMRTA2",NA,NA
"DMRTB1",NA,NA
"DMRTC1",NA,NA
"DMRTC1B",NA,NA
"DMRTC2",NA,NA
"DMTF1",NA,NA
"DMWD",NA,NA
"DMXL1",NA,NA
"DMXL2",NA,NA
"DNA2",NA,NA
"DNAH1",NA,NA
"DNAH10",NA,NA
"DNAH11",NA,NA
"DNAH12",NA,NA
"DNAH14",NA,NA
"DNAH17",NA,NA
"DNAH2",NA,NA
"DNAH3",NA,NA
"DNAH5",NA,NA
"DNAH6",NA,NA
"DNAH7",NA,NA
"DNAH8",NA,NA
"DNAH9",NA,NA
"DNAI1",NA,NA
"DNAI2",NA,NA
"DNAJA1",NA,NA
"DNAJA2",NA,NA
"DNAJA3",NA,NA
"DNAJA4",NA,NA
"DNAJB1",NA,NA
"DNAJB11",NA,NA
"DNAJB12",NA,NA
"DNAJB13",NA,NA
"DNAJB14",NA,NA
"DNAJB2",NA,NA
"DNAJB3",NA,NA
"DNAJB4",NA,NA
"DNAJB5",NA,NA
"DNAJB6",NA,NA
"DNAJB7",NA,NA
"DNAJB8",NA,NA
"DNAJB9",NA,NA
"DNAJC1",NA,NA
"DNAJC10",NA,NA
"DNAJC11",NA,NA
"DNAJC12",NA,NA
"DNAJC13",NA,NA
"DNAJC14",NA,NA
"DNAJC15",NA,NA
"DNAJC16",NA,NA
"DNAJC17",NA,NA
"DNAJC18",NA,NA
"DNAJC19",NA,NA
"DNAJC2",NA,NA
"DNAJC21",NA,NA
"DNAJC22",NA,NA
"DNAJC24",NA,NA
"DNAJC25",NA,NA
"DNAJC25-GNG10",NA,NA
"DNAJC27",NA,NA
"DNAJC28",NA,NA
"DNAJC3",NA,NA
"DNAJC30",NA,NA
"DNAJC4",NA,NA
"DNAJC5",NA,NA
"DNAJC5B",NA,NA
"DNAJC5G",NA,NA
"DNAJC6",NA,NA
"DNAJC7",NA,NA
"DNAJC8",NA,NA
"DNAJC9",NA,NA
"DNAL1",NA,NA
"DNAL4",NA,NA
"DNALI1",NA,NA
"DNASE1",NA,NA
"DNASE1L1",NA,NA
"DNASE1L2",NA,NA
"DNASE1L3",NA,NA
"DNASE2",NA,NA
"DNASE2B",NA,NA
"DND1",NA,NA
"DNER",NA,NA
"DNHD1",NA,NA
"DNLZ",NA,NA
"DNM1",NA,NA
"DNM1L",NA,NA
"DNM2",NA,NA
"DNM3",NA,NA
"DNMBP",NA,NA
"DNMT1",NA,NA
"DNMT3A",NA,NA
"DNMT3B",NA,NA
"DNMT3L",NA,NA
"DNPEP",NA,NA
"DNTT",NA,NA
"DNTTIP1",NA,NA
"DNTTIP2",NA,NA
"DOC2A",NA,NA
"DOC2B",NA,NA
"DOCK1",NA,NA
"DOCK10",NA,NA
"DOCK11",NA,NA
"DOCK2",NA,NA
"DOCK3",NA,NA
"DOCK4",NA,NA
"DOCK5",NA,NA
"DOCK6",NA,NA
"DOCK7",NA,NA
"DOCK8",NA,NA
"DOCK9",NA,NA
"DOHH",NA,NA
"DOK1",NA,NA
"DOK2",NA,NA
"DOK3",NA,NA
"DOK4",NA,NA
"DOK5",NA,NA
"DOK6",NA,NA
"DOK7",NA,NA
"DOLK",NA,NA
"DOLPP1",NA,NA
"DOM3Z",NA,NA
"DONSON",NA,NA
"DOPEY1",NA,NA
"DOPEY2",NA,NA
"DOT1L",NA,NA
"DPAGT1",NA,NA
"DPCD",NA,NA
"DPCR1",NA,NA
"DPEP1",NA,NA
"DPEP2",NA,NA
"DPEP3",NA,NA
"DPF1",NA,NA
"DPF2",NA,NA
"DPF3",NA,NA
"DPH1",NA,NA
"DPH2",NA,NA
"DPH3",NA,NA
"DPH3B",NA,NA
"DPH5",NA,NA
"DPM1",NA,NA
"DPM2",NA,NA
"DPM3",NA,NA
"DPP10",NA,NA
"DPP3",NA,NA
"DPP4",NA,NA
"DPP6",NA,NA
"DPP7",NA,NA
"DPP8",NA,NA
"DPP9",NA,NA
"DPPA2",NA,NA
"DPPA3",NA,NA
"DPPA4",NA,NA
"DPPA5",NA,NA
"DPRX",NA,NA
"DPT",NA,NA
"DPY19L1",NA,NA
"DPY19L2",NA,NA
"DPY19L3",NA,NA
"DPY19L4",NA,NA
"DPY30",NA,NA
"DPYD",NA,NA
"DPYS",NA,NA
"DPYSL2",NA,NA
"DPYSL3",NA,NA
"DPYSL4",NA,NA
"DPYSL5",NA,NA
"DQX1",NA,NA
"DR1",NA,NA
"DRAM1",NA,NA
"DRAM2",NA,NA
"DRAP1",NA,NA
"DRD1",NA,NA
"DRD2",NA,NA
"DRD3",NA,NA
"DRD4",NA,NA
"DRD5",NA,NA
"DRG1",NA,NA
"DRG2",NA,NA
"DRGX",NA,NA
"DRP2",NA,NA
"DSC1",NA,NA
"DSC2",NA,NA
"DSC3",NA,NA
"DSCAM",NA,NA
"DSCAML1",NA,NA
"DSCC1",NA,NA
"DSCR3",NA,NA
"DSCR4",NA,NA
"DSCR6",NA,NA
"DSE",NA,NA
"DSEL",NA,NA
"DSG1",NA,NA
"DSG2",NA,NA
"DSG3",NA,NA
"DSG4",NA,NA
"DSN1",NA,NA
"DSP",NA,NA
"DSPP",NA,NA
"DST",NA,NA
"DSTN",NA,NA
"DSTYK",NA,NA
"DTD1",NA,NA
"DTHD1",NA,NA
"DTL",NA,NA
"DTNA",NA,NA
"DTNB",NA,NA
"DTNBP1",NA,NA
"DTWD1",NA,NA
"DTWD2",NA,NA
"DTX1",NA,NA
"DTX2",NA,NA
"DTX3",NA,NA
"DTX3L",NA,NA
"DTX4",NA,NA
"DTYMK",NA,NA
"DULLARD",NA,NA
"DUOX1",NA,NA
"DUOX2",NA,NA
"DUOXA1",NA,NA
"DUOXA2",NA,NA
"DUPD1",NA,NA
"DUS1L",NA,NA
"DUS2L",NA,NA
"DUS3L",NA,NA
"DUS4L",NA,NA
"DUSP1",NA,NA
"DUSP10",NA,NA
"DUSP11",NA,NA
"DUSP12",NA,NA
"DUSP13",NA,NA
"DUSP14",NA,NA
"DUSP15",NA,NA
"DUSP16",NA,NA
"DUSP18",NA,NA
"DUSP19",NA,NA
"DUSP2",NA,NA
"DUSP21",NA,NA
"DUSP22",NA,NA
"DUSP23",NA,NA
"DUSP26",NA,NA
"DUSP27",NA,NA
"DUSP28",NA,NA
"DUSP3",NA,NA
"DUSP4",NA,NA
"DUSP5",NA,NA
"DUSP6",NA,NA
"DUSP7",NA,NA
"DUSP8",NA,NA
"DUSP9",NA,NA
"DUT",NA,NA
"DUX4",NA,NA
"DUXA",NA,NA
"DVL1",NA,NA
"DVL2",NA,NA
"DVL3",NA,NA
"DYDC1",NA,NA
"DYDC2",NA,NA
"DYM",NA,NA
"DYNC1H1",NA,NA
"DYNC1I1",NA,NA
"DYNC1I2",NA,NA
"DYNC1LI1",NA,NA
"DYNC1LI2",NA,NA
"DYNC2H1",NA,NA
"DYNC2LI1",NA,NA
"DYNLL1",NA,NA
"DYNLL2",NA,NA
"DYNLRB1",NA,NA
"DYNLRB2",NA,NA
"DYNLT1",NA,NA
"DYNLT3",NA,NA
"DYRK1A",NA,NA
"DYRK1B",NA,NA
"DYRK2",NA,NA
"DYRK3",NA,NA
"DYRK4",NA,NA
"DYSF",NA,NA
"DYSFIP1",NA,NA
"DYTN",NA,NA
"DYX1C1",NA,NA
"DZIP1",NA,NA
"DZIP1L",NA,NA
"DZIP3",NA,NA
"E2F1",NA,NA
"E2F2",NA,NA
"E2F3",NA,NA
"E2F4",NA,NA
"E2F5",NA,NA
"E2F6",NA,NA
"E2F7",NA,NA
"E2F8",NA,NA
"E4F1",NA,NA
"EAF1",NA,NA
"EAF2",NA,NA
"EAPP",NA,NA
"EARS2",NA,NA
"EBAG9",NA,NA
"EBF1",NA,NA
"EBF2",NA,NA
"EBF3",NA,NA
"EBF4",NA,NA
"EBI3",NA,NA
"EBLN2",NA,NA
"EBNA1BP2",NA,NA
"EBP",NA,NA
"EBPL",NA,NA
"ECD",NA,NA
"ECE1",NA,NA
"ECE2",NA,NA
"ECEL1",NA,NA
"ECH1",NA,NA
"ECHDC1",NA,NA
"ECHDC2",NA,NA
"ECHDC3",NA,NA
"ECHS1",NA,NA
"ECM1",NA,NA
"ECM2",NA,NA
"ECSCR",NA,NA
"ECSIT",NA,NA
"ECT2",NA,NA
"ECT2L",NA,NA
"EDA",NA,NA
"EDA2R",NA,NA
"EDAR",NA,NA
"EDARADD",NA,NA
"EDC3",NA,NA
"EDC4",NA,NA
"EDDM3A",NA,NA
"EDDM3B",NA,NA
"EDEM1",NA,NA
"EDEM2",NA,NA
"EDEM3",NA,NA
"EDF1",NA,NA
"EDIL3",NA,NA
"EDN1",NA,NA
"EDN2",NA,NA
"EDN3",NA,NA
"EDNRA",NA,NA
"EDNRB",NA,NA
"EEA1",NA,NA
"EED",NA,NA
"EEF1A1",NA,NA
"EEF1A2",NA,NA
"EEF1B2",NA,NA
"EEF1D",NA,NA
"EEF1E1",NA,NA
"EEF1G",NA,NA
"EEF2",NA,NA
"EEF2K",NA,NA
"EEFSEC",NA,NA
"EEPD1",NA,NA
"EFCAB1",NA,NA
"EFCAB2",NA,NA
"EFCAB3",NA,NA
"EFCAB4A",NA,NA
"EFCAB4B",NA,NA
"EFCAB5",NA,NA
"EFCAB6",NA,NA
"EFCAB7",NA,NA
"EFCAB9",NA,NA
"EFEMP1",NA,NA
"EFEMP2",NA,NA
"EFHA1",NA,NA
"EFHA2",NA,NA
"EFHB",NA,NA
"EFHC1",NA,NA
"EFHC2",NA,NA
"EFHD1",NA,NA
"EFHD2",NA,NA
"EFNA1",NA,NA
"EFNA2",NA,NA
"EFNA3",NA,NA
"EFNA4",NA,NA
"EFNA5",NA,NA
"EFNB1",NA,NA
"EFNB2",NA,NA
"EFNB3",NA,NA
"EFR3A",NA,NA
"EFR3B",NA,NA
"EFS",NA,NA
"EFTUD1",NA,NA
"EFTUD2",NA,NA
"EGF",NA,NA
"EGFL6",NA,NA
"EGFL7",NA,NA
"EGFL8",NA,NA
"EGFLAM",NA,NA
"EGFR",NA,NA
"EGLN1",NA,NA
"EGLN2",NA,NA
"EGLN3",NA,NA
"EGR1",NA,NA
"EGR2",NA,NA
"EGR3",NA,NA
"EGR4",NA,NA
"EHBP1",NA,NA
"EHBP1L1",NA,NA
"EHD1",NA,NA
"EHD2",NA,NA
"EHD3",NA,NA
"EHD4",NA,NA
"EHF",NA,NA
"EHHADH",NA,NA
"EHMT1",NA,NA
"EHMT2",NA,NA
"EI24",NA,NA
"EID1",NA,NA
"EID2",NA,NA
"EID2B",NA,NA
"EID3",NA,NA
"EIF1",NA,NA
"EIF1AD",NA,NA
"EIF1AX",NA,NA
"EIF1AY",NA,NA
"EIF1B",NA,NA
"EIF2A",NA,NA
"EIF2AK1",NA,NA
"EIF2AK2",NA,NA
"EIF2AK3",NA,NA
"EIF2AK4",NA,NA
"EIF2B1",NA,NA
"EIF2B2",NA,NA
"EIF2B3",NA,NA
"EIF2B4",NA,NA
"EIF2B5",NA,NA
"EIF2C1",NA,NA
"EIF2C2",NA,NA
"EIF2C3",NA,NA
"EIF2C4",NA,NA
"EIF2S1",NA,NA
"EIF2S2",NA,NA
"EIF2S3",NA,NA
"EIF3A",NA,NA
"EIF3B",NA,NA
"EIF3C",NA,NA
"EIF3CL",NA,NA
"EIF3D",NA,NA
"EIF3E",NA,NA
"EIF3F",NA,NA
"EIF3G",NA,NA
"EIF3H",NA,NA
"EIF3I",NA,NA
"EIF3J",NA,NA
"EIF3K",NA,NA
"EIF3L",NA,NA
"EIF3M",NA,NA
"EIF4A1",NA,NA
"EIF4A2",NA,NA
"EIF4A3",NA,NA
"EIF4B",NA,NA
"EIF4E",NA,NA
"EIF4E1B",NA,NA
"EIF4E2",NA,NA
"EIF4E3",NA,NA
"EIF4EBP1",NA,NA
"EIF4EBP2",NA,NA
"EIF4EBP3",NA,NA
"EIF4ENIF1",NA,NA
"EIF4G1",NA,NA
"EIF4G2",NA,NA
"EIF4G3",NA,NA
"EIF4H",NA,NA
"EIF5",NA,NA
"EIF5A",NA,NA
"EIF5A2",NA,NA
"EIF5AL1",NA,NA
"EIF5B",NA,NA
"EIF6",NA,NA
"ELAC1",NA,NA
"ELAC2",NA,NA
"ELANE",NA,NA
"ELAVL1",NA,NA
"ELAVL2",NA,NA
"ELAVL3",NA,NA
"ELAVL4",NA,NA
"ELF1",NA,NA
"ELF2",NA,NA
"ELF3",NA,NA
"ELF4",NA,NA
"ELF5",NA,NA
"ELFN1",NA,NA
"ELFN2",NA,NA
"ELK1",NA,NA
"ELK3",NA,NA
"ELK4",NA,NA
"ELL",NA,NA
"ELL2",NA,NA
"ELL3",NA,NA
"ELMO1",NA,NA
"ELMO2",NA,NA
"ELMO3",NA,NA
"ELMOD1",NA,NA
"ELMOD2",NA,NA
"ELMOD3",NA,NA
"ELN",NA,NA
"ELOF1",NA,NA
"ELOVL1",NA,NA
"ELOVL2",NA,NA
"ELOVL3",NA,NA
"ELOVL4",NA,NA
"ELOVL5",NA,NA
"ELOVL6",NA,NA
"ELOVL7",NA,NA
"ELP2",NA,NA
"ELP3",NA,NA
"ELP4",NA,NA
"ELSPBP1",NA,NA
"ELTD1",NA,NA
"EMB",NA,NA
"EMCN",NA,NA
"EMD",NA,NA
"EME1",NA,NA
"EME2",NA,NA
"EMG1",NA,NA
"EMID1",NA,NA
"EMID2",NA,NA
"EMILIN1",NA,NA
"EMILIN2",NA,NA
"EMILIN3",NA,NA
"EML1",NA,NA
"EML2",NA,NA
"EML3",NA,NA
"EML4",NA,NA
"EML5",NA,NA
"EML6",NA,NA
"EMP1",NA,NA
"EMP2",NA,NA
"EMP3",NA,NA
"EMR1",NA,NA
"EMR2",NA,NA
"EMR3",NA,NA
"EMX1",NA,NA
"EMX2",NA,NA
"EN1",NA,NA
"EN2",NA,NA
"ENAH",NA,NA
"ENAM",NA,NA
"ENC1",NA,NA
"ENDOD1",NA,NA
"ENDOG",NA,NA
"ENDOU",NA,NA
"ENG",NA,NA
"ENGASE",NA,NA
"ENHO",NA,NA
"ENKUR",NA,NA
"ENO1",NA,NA
"ENO2",NA,NA
"ENO3",NA,NA
"ENOPH1",NA,NA
"ENOSF1",NA,NA
"ENOX1",NA,NA
"ENOX2",NA,NA
"ENPEP",NA,NA
"ENPP1",NA,NA
"ENPP2",NA,NA
"ENPP3",NA,NA
"ENPP4",NA,NA
"ENPP5",NA,NA
"ENPP6",NA,NA
"ENPP7",NA,NA
"ENSA",NA,NA
"ENTHD1",NA,NA
"ENTPD1",NA,NA
"ENTPD2",NA,NA
"ENTPD3",NA,NA
"ENTPD4",NA,NA
"ENTPD5",NA,NA
"ENTPD6",NA,NA
"ENTPD7",NA,NA
"ENTPD8",NA,NA
"ENY2",NA,NA
"EOMES",NA,NA
"EP300",NA,NA
"EP400",NA,NA
"EPAS1",NA,NA
"EPB41",NA,NA
"EPB41L1",NA,NA
"EPB41L2",NA,NA
"EPB41L3",NA,NA
"EPB41L4A",NA,NA
"EPB41L4B",NA,NA
"EPB41L5",NA,NA
"EPB42",NA,NA
"EPB49",NA,NA
"EPC1",NA,NA
"EPC2",NA,NA
"EPCAM",NA,NA
"EPDR1",NA,NA
"EPGN",NA,NA
"EPHA1",NA,NA
"EPHA10",NA,NA
"EPHA2",NA,NA
"EPHA3",NA,NA
"EPHA4",NA,NA
"EPHA5",NA,NA
"EPHA6",NA,NA
"EPHA7",NA,NA
"EPHA8",NA,NA
"EPHB1",NA,NA
"EPHB2",NA,NA
"EPHB3",NA,NA
"EPHB4",NA,NA
"EPHB6",NA,NA
"EPHX1",NA,NA
"EPHX2",NA,NA
"EPHX3",NA,NA
"EPHX4",NA,NA
"EPM2A",NA,NA
"EPM2AIP1",NA,NA
"EPN1",NA,NA
"EPN2",NA,NA
"EPN3",NA,NA
"EPO",NA,NA
"EPOR",NA,NA
"EPPK1",NA,NA
"EPRS",NA,NA
"EPS15",NA,NA
"EPS15L1",NA,NA
"EPS8",NA,NA
"EPS8L1",NA,NA
"EPS8L2",NA,NA
"EPS8L3",NA,NA
"EPSTI1",NA,NA
"EPT1",NA,NA
"EPX",NA,NA
"EPYC",NA,NA
"ERAL1",NA,NA
"ERAP1",NA,NA
"ERAP2",NA,NA
"ERAS",NA,NA
"ERBB2",NA,NA
"ERBB2IP",NA,NA
"ERBB3",NA,NA
"ERBB4",NA,NA
"ERC1",NA,NA
"ERC2",NA,NA
"ERCC1",NA,NA
"ERCC2",NA,NA
"ERCC3",NA,NA
"ERCC4",NA,NA
"ERCC5",NA,NA
"ERCC6",NA,NA
"ERCC6L",NA,NA
"ERCC8",NA,NA
"EREG",NA,NA
"ERF",NA,NA
"ERG",NA,NA
"ERGIC1",NA,NA
"ERGIC2",NA,NA
"ERGIC3",NA,NA
"ERH",NA,NA
"ERI1",NA,NA
"ERI2",NA,NA
"ERI3",NA,NA
"ERICH1",NA,NA
"ERLEC1",NA,NA
"ERLIN1",NA,NA
"ERLIN2",NA,NA
"ERMAP",NA,NA
"ERMN",NA,NA
"ERMP1",NA,NA
"ERN1",NA,NA
"ERN2",NA,NA
"ERO1L",NA,NA
"ERO1LB",NA,NA
"ERP27",NA,NA
"ERP29",NA,NA
"ERP44",NA,NA
"ERRFI1",NA,NA
"ERV3",NA,NA
"ERVFRDE1",NA,NA
"ESAM",NA,NA
"ESCO1",NA,NA
"ESCO2",NA,NA
"ESD",NA,NA
"ESF1",NA,NA
"ESM1",NA,NA
"ESPL1",NA,NA
"ESPN",NA,NA
"ESPNL",NA,NA
"ESR1",NA,NA
"ESR2",NA,NA
"ESRP1",NA,NA
"ESRP2",NA,NA
"ESRRA",NA,NA
"ESRRB",NA,NA
"ESRRG",NA,NA
"ESX1",NA,NA
"ESYT1",NA,NA
"ESYT2",NA,NA
"ESYT3",NA,NA
"ETAA1",NA,NA
"ETF1",NA,NA
"ETFA",NA,NA
"ETFB",NA,NA
"ETFDH",NA,NA
"ETHE1",NA,NA
"ETNK1",NA,NA
"ETNK2",NA,NA
"ETS1",NA,NA
"ETS2",NA,NA
"ETV1",NA,NA
"ETV2",NA,NA
"ETV3",NA,NA
"ETV3L",NA,NA
"ETV4",NA,NA
"ETV5",NA,NA
"ETV6",NA,NA
"ETV7",NA,NA
"EVC",NA,NA
"EVC2",NA,NA
"EVI2A",NA,NA
"EVI2B",NA,NA
"EVI5",NA,NA
"EVI5L",NA,NA
"EVL",NA,NA
"EVPL",NA,NA
"EVPLL",NA,NA
"EVX1",NA,NA
"EVX2",NA,NA
"EWSR1",NA,NA
"EXD1",NA,NA
"EXD2",NA,NA
"EXD3",NA,NA
"EXO1",NA,NA
"EXOC1",NA,NA
"EXOC2",NA,NA
"EXOC3",NA,NA
"EXOC3L",NA,NA
"EXOC3L2",NA,NA
"EXOC4",NA,NA
"EXOC5",NA,NA
"EXOC6",NA,NA
"EXOC6B",NA,NA
"EXOC7",NA,NA
"EXOC8",NA,NA
"EXOG",NA,NA
"EXOSC1",NA,NA
"EXOSC10",NA,NA
"EXOSC2",NA,NA
"EXOSC3",NA,NA
"EXOSC4",NA,NA
"EXOSC5",NA,NA
"EXOSC6",NA,NA
"EXOSC7",NA,NA
"EXOSC8",NA,NA
"EXOSC9",NA,NA
"EXPH5",NA,NA
"EXT1",NA,NA
"EXT2",NA,NA
"EXTL1",NA,NA
"EXTL2",NA,NA
"EXTL3",NA,NA
"EYA1",NA,NA
"EYA2",NA,NA
"EYA3",NA,NA
"EYA4",NA,NA
"EYS",NA,NA
"EZH1",NA,NA
"EZH2",NA,NA
"EZR",NA,NA
"F10",NA,NA
"F11",NA,NA
"F11R",NA,NA
"F12",NA,NA
"F13A1",NA,NA
"F13B",NA,NA
"F2",NA,NA
"F2R",NA,NA
"F2RL1",NA,NA
"F2RL2",NA,NA
"F2RL3",NA,NA
"F3",NA,NA
"F5",NA,NA
"F7",NA,NA
"F8",NA,NA
"F8A1",NA,NA
