,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
103,NCT00645177,2,Completed,breast cancer,LINIFANIB,Macrophage colony stimulating factor receptor inhibitor,INHIBITOR,colony stimulating factor 1 receptor,CSF1R,Small molecule,The purpose of this study is to determine the effect of ABT-869 plus paclitaxel compared to paclitaxel alone on disease progression in metastatic breast cancer.,yes,NA
239,NCT02370238,2,Completed,breast cancer,REPARIXIN,Interleukin-8 receptor A modulator,MODULATOR,C-X-C motif chemokine receptor 1,CXCR1,Small molecule,"The Objectives of this study:

The primary objective of the study was to evaluate progression-free survival (PFS) (defined as the number of days between the date of randomization and the date of clinical disease progression (PD) according to Response Evaluation Criteria in Solid Tumors (RECIST) criteria version 1.1, as assessed by Independent Radiology Review, or death for any cause, whichever occured first) in patients with metastatic triple-negative breast cancer (TNBC) treated with the combination of paclitaxel and orally administered reparixin compared to paclitaxel alone.

The secondary objectives were:

* To determine overall survival (OS).
* To evaluate objective response rates (ORR).
* To determine median PFS (mPFS).
* To assess the safety of the combination of paclitaxel and orally administered reparixin (referred to as combination treatment).",yes,TNBC
67,NCT00309491,3,Completed,breast cancer,AMINOGLUTETHIMIDE,Cytochrome P450 11A1 inhibitor,INHIBITOR,cytochrome P450 family 11 subfamily A member 1,CYP11A1,Small molecule,"Primarily, this clinical investigation compared the efficacy of tamoxifen + aminoglutethimide vs. tamoxifen alone in terms of prognosis (overall survival) in postmenopausal patients with potentially curative, operated hormone receptor-positive breast cancer.",yes,HR+
178,NCT01517802,3,Completed,breast cancer,ABIRATERONE ACETATE,Cytochrome P450 17A1 inhibitor,INHIBITOR,cytochrome P450 family 17 subfamily A member 1,CYP17A1,Small molecule,The purpose of this study is to collect follow-up safety data from participants in completed abiraterone acetate studies for a maximum duration of 9 years.,yes,NA
212,NCT01990209,2,Completed,breast cancer,ORTERONEL,Cytochrome P450 17A1 inhibitor,INHIBITOR,cytochrome P450 family 17 subfamily A member 1,CYP17A1,Small molecule,"The androgen receptor (AR) is expressed in 70-90 percent of primary breast tumors and in 75 percent of breast metastases. There is evidence to suggest that Androgen Receptor (AR) may be a target in patients with advanced breast cancer. Breast cancer patients whose tumors do not express the ER, PR or HER2 (triple negative) have very few options for treatment. Orteronel is being developed as an endocrine therapy for relevant hormone-sensitive cancers such as prostrate cancer and breast cancer. Triple-negative metastatic breast cancer patients with AR expression could potentially benefit from anti-androgen therapy like orteronel.",yes,TNBC/AR+
105,NCT00688909,4,Completed,breast cancer,LETROZOLE,Cytochrome P450 19A1 inhibitor,INHIBITOR,cytochrome P450 family 19 subfamily A member 1,CYP19A1,Small molecule,This study will evaluate whether patients who are intolerant and discontinue anastrozole due to grade 2-3 arthralgia-myalgia have a decrease in rheumatological symptoms while taking letrozole,yes,NA
182,NCT01553903,4,Completed,breast cancer,ANASTROZOLE,Cytochrome P450 19A1 inhibitor,INHIBITOR,cytochrome P450 family 19 subfamily A member 1,CYP19A1,Small molecule,"This is a biomedical study of interventional type which includes 29 patients on 9 months: 8 months recruiting and 1 month follow up.

Patients with hormone dependent breast cancer metastatic or non-metastatic, for which an indication of hormonal therapy treatment (with tamoxifen or anti-aromatase) is retained, will be enrolled in this study.

The main objective of this study is to evaluate the feasibility for the determination of Oxysterols (CT, CE, OCDO) in this patient population, before and after the initiation of treatment (ie, at D0 before and D28 after beginning of treatment).",yes,NA
338,NCT03355157,4,Recruiting,breast cancer,EXEMESTANE,Cytochrome P450 19A1 inhibitor,INHIBITOR,cytochrome P450 family 19 subfamily A member 1,CYP19A1,Small molecule,"The goal of the study for patients with metastatic breast cancer (MBC) is to show that palbociclib + endocrine therapy shows a significant improvement in time-to-treatment failure over chemotherapy regimen (mono-chemotherapy with or without endocrine therapy). This would provide level 1 evidence from real world that palbociclib plus endocrine therapy is the first choice in MBC patients needing first-line therapy not only compared to endocrine therapy but also compared to chemotherapy with or without endocrine maintenance therapy.

In addition, we assume that patient-reported outcome as measured by FACT-B and a novel composite endpoint of well-being and healthcare utilization (DMTI) will be improved with palbociclib + endocrine treatment vs. chemotherapy regimen.",yes,NA
24,NCT00006007,2,Completed,breast cancer,PEMETREXED DISODIUM,Dihydrofolate reductase inhibitor,INHIBITOR,dihydrofolate reductase,DHFR,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combining LY231514 plus gemcitabine in treating women who have metastatic breast cancer.",yes,NA
65,NCT00301925,3,"Active, not recruiting",breast cancer,METHOTREXATE,Dihydrofolate reductase inhibitor,INHIBITOR,dihydrofolate reductase,DHFR,Small molecule,"RATIONALE: Drugs used in chemotherapy work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving more than one drug (combination chemotherapy) may kill more tumor cells. Giving combination chemotherapy after surgery may kill any remaining tumor cells. It is not yet known which combination chemotherapy regimen is more effective in treating early stage breast cancer that has been removed by surgery.

PURPOSE: This randomized phase III trial is studying four different combination chemotherapy regimens to compare how well they work in treating patients with early stage breast cancer that has been removed by surgery.",yes,NA
140,NCT01118624,2,Completed,breast carcinoma,PRALATREXATE,Dihydrofolate reductase inhibitor,INHIBITOR,dihydrofolate reductase,DHFR,Small molecule,The purpose of this study is to determine the efficacy (ability to provide a beneficial treatment of the disease) of pralatrexate for the treatment of female patients with advanced or metastatic breast cancer who have failed prior chemotherapy. Patients will receive vitamin B12 and folic acid supplementation.,yes,NA
88,NCT00508586,1,Completed,breast cancer,EMVODODSTAT,Dihydroorotate dehydrogenase inhibitor,INHIBITOR,dihydroorotate dehydrogenase (quinone),DHODH,Small molecule,"Formation of new blood vessels (angiogenesis) is important for tumor growth in metastatic breast cancer. It is known that tumors make a protein called vascular endothelial growth factor (VEGF) and there are higher levels of VEGF in the tumors and blood of many women with metastatic breast cancer. VEGF stimulates the formation of blood vessels that supply the tumor with nutrients and oxygen. PTC299 is an oral drug that has been shown to decrease production of VEGF in animal models of human cancer. In these animal models, oral PTC299 administration decreases VEGF levels in the tumor and in the bloodstream, decreases blood vessel numbers in the tumor, and significantly slows or halts tumor growth. Safety studies in research animals indicate good tolerability at doses and drug levels that are higher than those planned for the clinical studies. Results from Phase 1a studies in healthy volunteers indicate that PTC299 achieves levels of PTC299 in the bloodstream that are known to be active in animal models of human cancer. This Phase 1b study is designed to test the hypothesis that PTC299 will be tolerable and will show evidence of VEGF reduction and antitumor activity when administered orally in combination with anastrozole (Arimidex®), letrozole (Femara®), or exemestane (Aromasin®) to women with metastatic breast cancer.",yes,NA
363,NCT03709446,1,Recruiting,breast cancer,LEFLUNOMIDE,Dihydroorotate dehydrogenase inhibitor,INHIBITOR,dihydroorotate dehydrogenase (quinone),DHODH,Small molecule,"Triple negative breast cancer (TNBC) represents about 15% of breast cancers and is characterized by the lack of expression of estrogen receptor (ER), progesterone receptor (PR), and HER-2 non-amplification. Women with TNBC tend to be younger, African American, and BRCA-1 germline carriers. The hallmark of this subtype is early metastatic recurrences with a peak frequency 1-2 years. Prognosis for metastatic TNBC is especially poor with median survival of about 1 year as compared to about 2-4 years with other types of metastatic breast cancer.

The primary objective of the phase I part of this study is to determine the safety, tolerability and maximum tolerated dose of leflunomide in women with previously treated TNBC (or ER+ , HER2-neg MBC in Phase I). The primary objective of the phase 2 part of this study is to determine the efficacy of leflunomide in patients with TNBC.

Leflunomide, which will be taken daily by mouth, is an inhibitor of dihydroorotate dehydrogenase (DHODH). This proposal will test if DHODH is a novel target for a particular subset of women with metastatic TNBC.",yes,TNBC
291,NCT02957968,2,"Active, not recruiting",breast adenocarcinoma,DECITABINE,DNA (cytosine-5)-methyltransferase 3A inhibitor,INHIBITOR,DNA methyltransferase 3 alpha,DNMT3A,Small molecule,"This study is a 2-cohort, open-label, multicenter, phase 2 study of a short course of immunotherapy consisting of sequential decitabine followed by pembrolizumab administered prior to a standard neoadjuvant chemotherapy regimen for patients with locally advanced HER2-negative breast cancer. The primary efficacy objective is to determine if the immunotherapy increases the presence and percentage of tumor and/or stromal area of infiltrating lymphocytes prior to initiation of standard neoadjuvant chemotherapy. At enrollment, patients will be assigned to one of 2 cohorts based on hormone receptor status.

* Cohort A - patients with HER2-negative, hormone receptor-negative breast cancer (defined as both ER and PgR with \< 10% positive staining on IHC) Note: before beginning standard neoadjuvant chemotherapy, patients in Cohort A may be reassigned to Cohort A2 to receive extended pembrolizumab as part of new standard neoadjuvant and postoperative adjuvant therapy.
* Cohort B - patients with HER2-negative, hormone receptor-positive breast cancer (defined as either ER or PgR with ≥ 10% positive staining on IHC)",yes,Her2-
444,NCT04891068,2,Recruiting,breast cancer,AZACITIDINE,DNA (cytosine-5)-methyltransferase 3A inhibitor,INHIBITOR,DNA methyltransferase 3 alpha,DNMT3A,Small molecule,"To determine the effect of low dose azacitidine therapy on tumor infiltrating lymphocytes (TILs) in primary tumors from patients with high-risk early stage breast cancer, paired t-tests will be first used to compare TIL count in pre- and post-treatment specimens.",yes,NA
198,NCT01730729,0.5,Completed,breast cancer,CABERGOLINE,Dopamine D2 receptor agonist,AGONIST,dopamine receptor D2,DRD2,Small molecule,"Prolactin is a hormone produced in the pituitary gland. Previous studies have revealed that elevated levels of the hormone prolactin might be associated with an increased risk of breast cancer. Cabergoline has been shown to lower prolactin levels in the blood.

The purpose of this study is to evaluate the effectiveness of cabergoline in treating metastatic breast cancer disease in those who test positive for the prolactin receptor.",yes,PRL+
30,NCT00054275,2,Completed,breast cancer,ERLOTINIB,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,epidermal growth factor receptor,EGFR,Small molecule,"RATIONALE: Erlotinib may stop the growth of tumor cells by blocking the enzymes necessary for tumor cell growth. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining erlotinib with docetaxel may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combining erlotinib with docetaxel in treating patients who have stage IV or recurrent breast cancer.",yes,NA
72,NCT00357734,3,Completed,breast cancer,GEFITINIB,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,epidermal growth factor receptor,EGFR,Small molecule,The purpose of this study is to assess the long-term safety profile and the secondary objective to estimate clinical benefit of ZD1839 (gefitinib).,yes,NA
75,NCT00390455,3,Completed,HER2 Positive Breast Carcinoma,LAPATINIB DITOSYLATE,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,epidermal growth factor receptor,EGFR,Small molecule,This randomized phase III trial studies fulvestrant and lapatinib to see how well they work compared to fulvestrant and a placebo in treating postmenopausal women with stage III or stage IV breast cancer that is hormone receptor-positive. Estrogen can cause the growth of breast cancer cells. Hormone therapy using fulvestrant may fight breast cancer by lowering the amount of estrogen the body makes. Lapatinib may stop the growth of breast cancer cells by blocking some of the enzymes needed for cell growth. It is not yet known whether fulvestrant is more effective with or without lapatinib in treating breast cancer.,yes,HR+
107,NCT00733408,2,Completed,triple-negative breast cancer,ERLOTINIB HYDROCHLORIDE,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,epidermal growth factor receptor,EGFR,Small molecule,"This phase II trial studies how well giving paclitaxel albumin-stabilized nanoparticle (Nab-paclitaxel) formulation together with bevacizumab followed by bevacizumab and erlotinib hydrochloride work in treating patients with metastatic breast cancer. Drugs used in chemotherapy, such as paclitaxel albumin-stabilized nanoparticle formulation, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Monoclonal antibodies, such as bevacizumab, can prevent cancer growth by blocking the ability of cancer cells to grow and spread. Erlotinib hydrochloride may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. This trial evaluates a maintenance treatment with erlotinib and bevacizumab after Nab-paclitaxel and bevacizumab which may control cancer growth with biologic therapies.",yes,NA
236,NCT02338245,2,Completed,breast cancer,VARLITINIB,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,epidermal growth factor receptor,EGFR,Small molecule,"This is an open-label, randomized, parallel group Phase 2A/2B study to evaluate the clinical activity of ASLAN001 in combination with capecitabine compared with lapatinib in combination with capecitabine in patients with HER2 positive metastatic breast cancer that has failed on prior trastuzumab therapy.",yes,Her2+
466,NCT05429684,3,Recruiting,breast cancer,PYROTINIB,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,epidermal growth factor receptor,EGFR,Small molecule,"This is an open, prospective and interventional clinical study. Patients with advanced Human Epidermal Growth Factor Receptor 2 (HER2) positive breast cancer resistant to trastuzumab will be enrolled in the study. Histological specimens obtained from different metastatic foci of patients, are used to conduct genome-wide sequencing together with Circulating tumor DNA (ctDNA) of blood samples. Meanwhile, investigator will construct PDO model based on biopsy tissue. Patients as well as their paired Patient-derived organoids (PDO) models are divided into six groups according to genomic signatures. Each group of patients will receive the best targeted treatment scheme from the current clinical perspective, while the matched PDO model will accept a variety of potential effective schemes intervention. The future treatment plan of patients will be timely adjusted based on the tumor inhibition rate of PDO models. This study is the first time to explore the best individualized application sequence of targeted therapy for refractory HER2 positive breast cancer by combining genome sequencing with drug sensitivity test of PDO model. The results are expected to improve the prognosis of patients with advanced HER2 positive breast cancer.",yes,Her2+
31,NCT00055926,1,Completed,breast cancer,CP-724714,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 2,ERBB2,Small molecule,"RATIONALE: CP-724,714 may stop the growth of tumor cells by blocking the enzymes necessary for tumor cell growth.

PURPOSE: Phase I trial to study the effectiveness of CP-724,714 in treating patients who have metastatic HER2-overexpressing breast cancer.",yes,Her2+
35,NCT00078572,3,Completed,breast cancer,LAPATINIB,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 2,ERBB2,Small molecule,This study was designed to compare the efficacy and safety of an oral dual tyrosine kinase inhibitor in combination with capecitabine versus capecitabine alone in women with locally advanced or metastatic breast cancer that has not responded to previous therapy.,yes,NA
114,NCT00878709,3,Completed,breast cancer,NERATINIB,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 2,ERBB2,Small molecule,The purpose of this study is to investigate whether neratinib can further reduce the risk of recurrence from previously diagnosed HER-2 positive breast cancer after adjuvant treatment with trastuzumab.,yes,Her2+
134,NCT01068704,2,Completed,breast cancer,BMS-690514,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 2,ERBB2,Small molecule,The purpose of this study is to determine if BMS-690514 + letrozole will be more effective than lapatinib + letrozole in patients who have metastatic hormone receptor positive breast cancer after developing progressive disease immediately following adjuvant antiendocrine therapy,yes,HR+
187,NCT01594177,2,Completed,breast cancer,AFATINIB,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 2,ERBB2,Small molecule,"Anthracycline/taxane based combination chemotherapy of at least 18 weeks represents the standard of care in the neoadjuvant setting. In HER2 positive disease trastuzumab is given simultaneously. Neoadjuvant anthracycline-taxane-based chemotherapy given simul-taneously with trastuzumab achieves a pCR rate of approx. 40%. Recent data showed that a double blockade of the HER2 receptor (e.g. trastuzumab + lapatinib; trastuzumab + pertuzumab) given together with a few cycles of chemotherapy can increase the pCR rate by approximately 20%. So far, there is uncertainty, if afatinib (BIBW 2992), an irreversible HER family blocker can lead to an even more complete blockade of the HER2 pathway when given in combination with trastuzumab. The neoadjuvant setting provides the unique opportunity to assess precisely and at short term the effect of systemic treatment by assessing the pCR at surgery. It also allows treating patients with HER2 positive breast cancer before surgery without standard trastuzumab treatment, as, according to current guideline, trastuzumab can also be given sequentially after surgery. The aim of the study is to show that chemotherapy + trastuzumab + afatinib can achieve significant pCR rates.",yes,Her2+
243,NCT02418689,2,Completed,breast cancer,POZIOTINIB,Epidermal growth factor receptor inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 2,ERBB2,Small molecule,"The purpose of this study is to evaluate the efficacy and safety of novel pan-HER inhibitor, NOV120101 (Poziotinib), in HER2-overexpressed recurrent stage IV breast cancer patients who received at least 2 prior HER2-directed regimens.",yes,Her2+
453,NCT05122494,3,Recruiting,breast cancer,HEMAY-022,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 2,ERBB2,Small molecule,"The purpose of this study is to evaluate the effectiveness of Hemay022 combined with AI (exemestane or letrozole) in the treatment of ER+/HER2+ advanced breast cancer patients based on the progression-free survival (PFS) assessed by the independent review committee (IRC). The second purpose of this study is to evaluate the pharmacokinetics and efficacy of Hemay022 in combination with AI, and the safety of Hemay022 in combination with AI.

The trial plans to recruit 339 subjects, who will be randomly divided into two cohorts (the experimental group is hemay022 combined with AI, and the control group is lapatinib combined with capecitabine). During the treatment period, imaging examinations and anti-tumor efficacy evaluations will be performed regularly until the subject develop disease progression or starts receiving other treatments or dies or refuses to come to the hospital for follow-up or the trial is terminated, etc.",yes,ER+/Her2+
454,NCT05132582,3,Recruiting,breast cancer,TUCATINIB,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 2,ERBB2,Small molecule,"This study is being done to see if tucatinib works better than placebo when given with other drugs to treat participants with HER2-positive breast cancer. A placebo is a pill that looks the same as tucatinib but has no medicine in it. This study will also test what side effects happen when participants take this combination of drugs. A side effect is anything a drug does to the body besides treating your disease.

Participants will have cancer that has spread in the body near where it started (locally advanced) and cannot be removed (unresectable) or has spread through the body (metastatic).

In this study, all participants will get either tucatinib or placebo. Participants will be assigned randomly to a group. This is a blinded study, so patients and their doctors will not know which group a participant is in.

All participants will also get trastuzumab and pertuzumab. These are 2 drugs used to treat this type of cancer.",yes,Her2+
86,NCT00494481,2,Completed,breast cancer,VANDETANIB,Epidermal growth factor receptor inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 3,ERBB3,Small molecule,To assess the efficacy of ZD6474 in combination with docetaxel in the treatment of ABC using the progression event count methodology,yes,NA
227,NCT02299999,2,"Active, not recruiting",breast cancer,SAPITINIB,Receptor tyrosine-protein kinase erbB-3 inhibitor,INHIBITOR,erb-b2 receptor tyrosine kinase 3,ERBB3,Small molecule,"Open label multicentric phase II randomized trial, using high throughput genome analysis as a therapeutic decision tool, which aims at comparing a targeted treatment administered according to the identified molecular anomalies of the tumor with maintenance chemotherapy (targeted substudy 1) as well as immunotherapy with maintenance chemotherapy in patients without actionable genomic alterations or non eligible to substudy 1 (immune substudy 2).",yes,NA
14,NCT00003771,3,Completed,breast cancer,ESTRADIOL,Estrogen receptor alpha agonist,AGONIST,estrogen receptor 1,ESR1,Small molecule,"RATIONALE: Hormone replacement therapy is effective for relieving symptoms of menopause. It is not yet known if hormone replacement therapy increases the risk of breast cancer recurrence in women previously treated for early stage breast cancer.

PURPOSE: Randomized phase III trial to determine the risk of breast cancer recurrence in women with previous early stage breast cancer who are receiving hormone replacement therapy for menopause symptoms.",no,NA
54,NCT00166543,2,Completed,breast cancer,SR16234,Estrogen receptor alpha antagonist,ANTAGONIST,estrogen receptor 1,ESR1,Small molecule,This study is being done to find out how safe TAS-108 is and how well TAS-108 works on recurrent or recurrent inoperable breast cancer.,yes,NA
85,NCT00464516,2,Completed,breast cancer,ESTETROL,Estrogen receptor agonist,AGONIST,estrogen receptor 1,ESR1,Small molecule,"The study is designed as a single-center, randomized, double-blind, placebo-controlled study in pre- and postmenopausal women who will undergo surgery for breast cancer. Subjects will either receive estetrol or placebo during a 2 week treatment period.

Several biological markers, such as a cellular growth marker and cell death markers, will be assessed in the tumor tissue and surrounding normal tissue before and after the treatment period. During the 2 week interval between diagnosis of breast cancer and surgical resection, no therapy for breast cancer is usually administered.",yes,NA
97,NCT00537771,4,Completed,breast cancer,TAMOXIFEN CITRATE,Estrogen receptor alpha modulator,MODULATOR,estrogen receptor 1,ESR1,Small molecule,"The primary objective is to compare ARIMIDEX (anastrozole) 1 mg once daily with Tamoxifen 20 mg once daily as adjuvant treatment in terms of: incidence of fatty liver diseases.

The second objectives are to compare ARIMIDEX (anastrozole) 1 mg once daily with Tamoxifen 20 mg once daily as adjuvant treatment in terms of: incidences of abnormal liver function test, and time to treatment failure.",no,NA
184,NCT01553903,4,Completed,breast cancer,TAMOXIFEN,Estrogen receptor alpha modulator,MODULATOR,estrogen receptor 1,ESR1,Small molecule,"This is a biomedical study of interventional type which includes 29 patients on 9 months: 8 months recruiting and 1 month follow up.

Patients with hormone dependent breast cancer metastatic or non-metastatic, for which an indication of hormonal therapy treatment (with tamoxifen or anti-aromatase) is retained, will be enrolled in this study.

The main objective of this study is to evaluate the feasibility for the determination of Oxysterols (CT, CE, OCDO) in this patient population, before and after the initiation of treatment (ie, at D0 before and D28 after beginning of treatment).",yes,ER+
237,NCT02344940,4,Completed,breast cancer,TOREMIFENE,Estrogen receptor modulator,MODULATOR,estrogen receptor 1,ESR1,Small molecule,"To compare the safety of toremifene and tamoxifen therapy in premenopausal patients with operable breast cancer by monitoring gynecological abnormality,blood lipid level,hepatic abnormality,estrogen level and perimenopausal symptoms.",yes,ER+
250,NCT02447328,4,Completed,breast cancer,FULVESTRANT,Estrogen receptor antagonist,ANTAGONIST,estrogen receptor 1,ESR1,Small molecule,This single-arm study aims to assess the safety and tolerability profile of Fulvestrant(Faslodex®) as 2nd line and later therapy in postmenopausal women with locally advanced or metastatic breast cancer. The primary objective is to evaluate the adverse events after Fulvestrant (Faslodex®) for about 6 months,yes,NA
255,NCT02621957,1,Completed,breast cancer,BRILANESTRANT,Estrogen receptor alpha antagonist,ANTAGONIST,estrogen receptor 1,ESR1,Small molecule,This study is to assess the pharmacokinetics (PK) of a single dose of pravastatin with and without concomitant GDC-0810 administration in healthy female subjects of non-childbearing potential. During Period 1 (Day -1 to Day 4) PK parameters of pravastatin will be determined in the absence of GDC-0810. During Period 2 (Days 5-28) PK parameters of pravastatin will be determined in the presence of GDC-0810.,yes,ER+
366,NCT03778931,3,"Active, not recruiting",breast cancer,ELACESTRANT,Estrogen receptor alpha degrader,DEGRADER,estrogen receptor 1,ESR1,Small molecule,This Phase 3 clinical study compares the efficacy and safety of elacestrant to the standard of care (SoC) options of fulvestrant or an aromatase inhibitor (AI) in women and men with breast cancer whose disease has advanced on at least one endocrine therapy including a CDK4/6 inhibitor in combination with fulvestrant or an aromatase inhibitor (AI) .,yes,ER+
373,NCT03931928,2,Completed,breast cancer,AFIMOXIFENE,Estrogen receptor modulator,MODULATOR,estrogen receptor 1,ESR1,Small molecule,"In hormone-receptor positive breast cancer or DCIS (ductal carcinoma in situ) tamoxifen remains an important treatment option for patients before menopause and those patients after menopause who cannot be treated with aromatase-inhibitors. Nonetheless, a considerable amount of patients suffer a relapse of their cancer while on treatment with tamoxifen. Tamoxifen is a drug that is metabolized to a variety of compounds by the human liver, and the most important antihormonally active metabolite is called (Z)-Endoxifen. It is known that patients who have a reduced or absent activity of the drug-metabolizing enzyme CYP2D6 have lower levels of (Z)-Endoxifen. Furthermore, it has been observed that patients on tamoxifen therapy who have absent CYP2D6 activity are at a 2-fold increased risk for disease recurrence, and patients with lower CYP2D6 compared to patients with normal CYP2D6 activity still have a 1.4-fold increased risk for disease recurrence.

This trial will include patients who are already on tamoxifen therapy for at least 3 months and is designed to show that in patients with absent or low CYP2D6 activity, (Z)-Endoxifen supplementation - that is giving (Z)-Endoxifen in addition to tamoxifen for the study period of 42 days - can increase blood levels of (Z)-Endoxifen to therapeutic concentrations. It is planned to included 504 patients in this blinded, randomized trial, which will have a placebo group (receiving no (Z)-Endoxifen) and two intervention groups that will receive 0, 1.5 or 3 mg (Z)-Endoxifen depending on their CYP2D6 genetics or their (Z)-Endoxifen levels at the start of the study.

The trial is not designed to evaluate outcome measures (that is recurrence or survival rates) of (Z)-Endoxifen supplementation in tamoxifen treated patients, but will document the safety of the combined administration of tamoxifen and (Z)-Endoxifen.",Yes,ER+
386,NCT04059484,2,"Active, not recruiting",breast cancer,AMCENESTRANT,Estrogen receptor alpha degrader,DEGRADER,estrogen receptor 1,ESR1,Small molecule,"Primary Objective:

To determine whether amcenestrant per overall survival (os) improves progression free survival (PFS) when compared with an endocrine monotherapy of the choice of the physician, in participants with metastatic or locally advanced breast cancer

Secondary Objectives:

* To compare the overall survival in the 2 treatment arms
* To assess the objective response rate in the 2 treatment arms
* To evaluate the disease control rate in the 2 treatment arms
* To evaluate the clinical benefit rate in the 2 treatment arms
* To evaluate the duration of response in the 2 treatment arms
* To evaluate the PFS according to the estrogen receptor 1 gene (ESR1) mutation status in the 2 treatment arms
* To evaluate the pharmacokinetics of amcenestrant as single agent
* To evaluate health-related quality of life in the 2 treatment arms
* To compare the overall safety profile in the 2 treatment arms",yes,NA
413,NCT04546009,3,"Active, not recruiting",breast cancer,GIREDESTRANT,Estrogen receptor alpha degrader,DEGRADER,estrogen receptor 1,ESR1,Small molecule,"This Phase III, randomized, double-blind, placebo-controlled, multicenter study will evaluate the efficacy and safety of giredestrant combined with palbociclib compared with letrozole combined with palbociclib in patients with estrogen receptor (ER)-positive, human epidermal growth factor receptor-2 (HER2)-negative locally advanced (recurrent or progressed) or metastatic breast cancer.",yes,ER+/Her2-
480,NCT05774951,3,Recruiting,breast cancer,CAMIZESTRANT,Estrogen receptor alpha degrader,DEGRADER,estrogen receptor 1,ESR1,Small molecule,This is a Phase III open-label study to assess if camizestrant improves outcomes compared to standard endocrine therapy in patients with ER+/HER2 - early breast cancer with intermediate or high risk for disease recurrence who completed definitive locoregional therapy (with or without chemotherapy) and standard adjuvant endocrine therapy (ET) for at least 2 years and up to 5 years. The planned duration of treatment in either arm of the study is 60 months.,yes,ER+/Her2-
17,NCT00003906,3,Completed,breast cancer,RALOXIFENE,Estrogen receptor beta modulator,MODULATOR,estrogen receptor 2,ESR2,Small molecule,"RATIONALE: Estrogen can stimulate the growth of breast cancer cells. Hormone therapy using raloxifene and tamoxifen may fight breast cancer by blocking the uptake of estrogen by the tumor cells.

PURPOSE: Randomized double-blinded clinical trial to compare the effectiveness of raloxifene with that of tamoxifen in preventing breast cancer in postmenopausal women.",yes,NA
23,NCT00005879,2,Completed,breast cancer,ARZOXIFENE,Estrogen receptor modulator,MODULATOR,estrogen receptor 2,ESR2,Small molecule,"RATIONALE: Chemoprevention therapy is the use of certain drugs to try to prevent the development or recurrence of cancer. The use of LY353381 may be an effective way to prevent the development of breast cancer in women who have hyperplasia.

PURPOSE: Randomized phase II trial to study the effectiveness of LY353381 in preventing breast cancer in women who have hyperplasia.",yes,NA
61,NCT00200174,2,Completed,breast cancer,RALOXIFENE HYDROCHLORIDE,Estrogen receptor beta modulator,MODULATOR,estrogen receptor 2,ESR2,Small molecule,"The purpose of this research study is to learn about the effects of two drugs when they are given together. The names of the drugs are raloxifene and exemestane.

Raloxifene is a drug that is related to estrogen. In the liver and bone, it acts like estrogen. In the breast and uterus it acts like an anti-estrogen. It has been used in postmenopausal women to prevent a disease called osteoporosis. This is a disease that decreases bone strength over many years and may finally lead to bone fractures. In a group of women who were taking the drug, it also seemed to decrease the chances of breast cancer and possibly endometrial cancer (cancer of the uterus). Therefore, we want to study it further to see if it prevents breast cancer. We also want to find out if it may be even better in preventing breast cancer if it is given with another drug.

The other drug in this trial is exemestane. Exemestane is a type of drug that works to decrease estrogen levels in postmenopausal women. This type of drug is used in women for the treatment of breast cancer. Before we can decide if the two drugs combined are better for preventing breast cancer, we must first test these drugs together to make sure that they are safe. This safety testing is the purpose of this trial.",yes,NA
