"","NCT_ID","Phase","Status","Disease.Name","Drug.Name","Mechanism.of.Action","Action.Type","Target.ID","Target.Approved.Name","Target.Approved.Symbol","Drug.Type","trial_summary","anti_cancer"
"157","NCT00687648",2,"Unknown status","breast cancer","PREDNISOLONE","Glucocorticoid receptor agonist","AGONIST","ENSG00000113580","nuclear receptor subfamily 3 group C member 1","NR3C1","Small molecule","RATIONALE: Drugs used in chemotherapy, such as cyclophosphamide, methotrexate, and prednisolone, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Estrogen can cause the growth of breast cancer cells. Hormone therapy using anastrozole, letrozole, or exemestane may fight breast cancer by lowering the amount of estrogen the body makes. It is not yet known whether giving combination chemotherapy together with aromatase inhibitor therapy is more effective than combination chemotherapy alone in treating breast cancer.

PURPOSE: This randomized phase II trial is studying giving cyclophosphamide, methotrexate, and prednisolone together with aromatase inhibitor therapy to see how well it works compared with cyclophosphamide, methotrexate, and prednisolone in treating postmenopausal women with metastatic breast cancer.","yes"
"158","NCT00692458",3,"Withdrawn","breast cancer","ODANACATIB","Cathepsin K inhibitor","INHIBITOR","ENSG00000143387","cathepsin K","CTSK","Small molecule","The purpose of this study is to test MK0822 on reducing the risk of bone metastasis in women with breast cancer.","yes"
"162","NCT00736970",2,"Completed","breast cancer","RIDAFOROLIMUS","Serine/threonine-protein kinase mTOR inhibitor","INHIBITOR","ENSG00000198793","mechanistic target of rapamycin kinase","MTOR","Small molecule","This clinical trial will study the use of ridaforolimus in metastatic breast cancer subjects whose tumors have shown a resistance to trastuzumab (herceptin). The goal of this study is to find out if subjects treated with ridaforolimus in combination with trastuzumab have a positive response to the treatment, and if treatment with ridaforolimus in combination with trastuzumab prolongs survival.","yes"
"164","NCT00773474",2,"Terminated","breast cancer","LONAFARNIB","Protein farnesyltransferase inhibitor","INHIBITOR","ENSG00000168522","farnesyltransferase, CAAX box, subunit beta","FNTB","Small molecule","A published phase 2 study reported that lonafarnib was administered as a single agent via continuous or intermittent oral dosing to 76 women with advanced breast cancer who were previously treated with chemotherapy and/or with endocrine therapy. Objective response rates of approximately 10% were observed. This study will determine the rate of progression-free survival of patients with metastatic breast cancer who receive lonafarnib.","yes"
"165","NCT00774241",4,"Withdrawn","breast cancer","DOCETAXEL ANHYDROUS","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 2A class IIa","TUBB2A","Small molecule","This single arm study will assess the efficacy and safety of first line combination treatment with Avastin + docetaxel in patients with HER2 negative metastatic breast cancer.Patients will receive Avastin (15mg/kg iv every 3 weeks) plus docetaxel (75mg/m2 every 3 weeks for 6 cycles). The anticipated time on study treatment is until disease progression, and the target sample size is 100 individuals.","yes"
"169","NCT00777335",2,"Terminated","breast cancer","PANOBINOSTAT","Histone deacetylase inhibitor","INHIBITOR","ENSG00000116478","histone deacetylase 11","HDAC11","Small molecule","The purpose of the study is to assess the benefit of panobinostat monotherapy given either orally or i.v. to women with HER2-positive locally recurrent or metastatic breast cancer","yes"
"176","NCT00817362",2,"Terminated","breast carcinoma","RETASPIMYCIN","Heat shock protein HSP90 inhibitor","INHIBITOR","ENSG00000080824","heat shock protein 90 alpha family class A member 1","HSP90AA1","Small molecule","The purpose of this study is to see if IPI-504 in combination with trastuzamab is an effective treatment in HER2 positive metastatic breast cancer","yes"
"179","NCT00899574",2,"Completed","breast cancer","IMIQUIMOD","Toll-like receptor 7 agonist","AGONIST","ENSG00000196664","toll like receptor 7","TLR7","Small molecule","The purpose of this trial is to determine the safety and efficacy of Imiquimod, a Toll-like receptor 7 agonist in breast cancer (for chestwall recurrences or metastases to the skin).","yes"
"180","NCT00903214",1,"Withdrawn","breast cancer","RILUZOLE","Sodium channel alpha subunit blocker","BLOCKER","ENSG00000144285","sodium voltage-gated channel alpha subunit 4","SCN4A","Small molecule","RATIONALE: Studying samples of tumor tissue and blood from patients with cancer in the laboratory may help doctors identify biomarkers related to cancer. Riluzole may help slow the growth of tumor cells.

PURPOSE: This phase I trial is studying riluzole in women with stage I, stage II, or stage IIIA breast cancer.","yes"
"183","NCT00933309",1,"Completed","breast cancer","ROSIGLITAZONE","Peroxisome proliferator-activated receptor gamma agonist","AGONIST","ENSG00000132170","peroxisome proliferator activated receptor gamma","PPARG","Small molecule","The goal of this clinical research study is to find the highest tolerable dose of Avandamet that can be given in combination with exemestane to patients who are obese and postmenopausal with hormone-receptive-positive breast cancer that has spread to other parts of the body.","yes"
"187","NCT01009918",2,"Completed","breast cancer","CARVEDILOL PHOSPHATE","Adrenergic receptor alpha-1 antagonist","ANTAGONIST","ENSG00000120907","adrenoceptor alpha 1B","ADRA1B","Small molecule","RATIONALE: Lisinopril or Coreg CR®, may help reduce side effects caused by trastuzumab. It is not yet known whether lisinopril or Coreg CR® are more effective than a placebo in reducing side effects caused by trastuzumab.

PURPOSE: This phase II trial is studying lisinopril and Coreg CR® to see how well they work compared with a placebo in reducing side effects in patients with HER2-positive breast cancer receiving trastuzumab.","yes"
"190","NCT01009918",2,"Completed","breast cancer","CARVEDILOL","Adrenergic receptor alpha-1 antagonist","ANTAGONIST","ENSG00000043591","adrenoceptor alpha 1D","ADRA1D","Small molecule","RATIONALE: Lisinopril or Coreg CR®, may help reduce side effects caused by trastuzumab. It is not yet known whether lisinopril or Coreg CR® are more effective than a placebo in reducing side effects caused by trastuzumab.

PURPOSE: This phase II trial is studying lisinopril and Coreg CR® to see how well they work compared with a placebo in reducing side effects in patients with HER2-positive breast cancer receiving trastuzumab.","yes"
"193","NCT01009918",2,"Completed","breast cancer","LISINOPRIL ANHYDROUS","Angiotensin-converting enzyme inhibitor","INHIBITOR","ENSG00000159640","angiotensin I converting enzyme","ACE","Small molecule","RATIONALE: Lisinopril or Coreg CR®, may help reduce side effects caused by trastuzumab. It is not yet known whether lisinopril or Coreg CR® are more effective than a placebo in reducing side effects caused by trastuzumab.

PURPOSE: This phase II trial is studying lisinopril and Coreg CR® to see how well they work compared with a placebo in reducing side effects in patients with HER2-positive breast cancer receiving trastuzumab.","yes"
"197","NCT01029925",2,"Terminated","breast cancer","SODIUM DICHLOROACETATE","Pyruvate dehydrogenase kinase inhibitor","INHIBITOR","ENSG00000005882","pyruvate dehydrogenase kinase 1","PDK1","Small molecule","The purpose of this study is to determine the response rate by RECIST criteria of oral dichloroacetate in patients with recurrent and/or metastatic and pretreated breast and non-small cell lung cancer.","yes"
"238","NCT01042379",2,"Recruiting","triple-negative breast cancer","PEXIDARTINIB","Tyrosine-protein kinase receptor FLT3 inhibitor","INHIBITOR","ENSG00000182578","fms related receptor tyrosine kinase 3","FLT3","Small molecule","The purpose of this study is to further advance the ability to practice personalized medicine by learning which new drug agents are most effective with which types of breast cancer tumors and by learning more about which early indicators of response (tumor analysis prior to surgery via magnetic resonance imaging (MRI) images along with tissue and blood samples) are predictors of treatment success.","yes"
"262","NCT01042925",1,"Completed","breast cancer","PILARALISIB","PI3-kinase class I inhibitor","INHIBITOR","ENSG00000145675","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","PIK3CA","Small molecule","Phase 1 of this study will evaluate the maximum tolerated dose (MTD) of XL147 when given in combination with trastuzumab (Herceptin) and in combination with trastuzumab and paclitaxel. After the MTD is established for each combination (Phase 2), subjects will be enrolled to evaluate the preliminary efficacy and safety of these combinations in metastatic HER2 positive breast cancer. Both trastuzumab and paclitaxel are used in the treatment of metastatic breast cancer (MBC), but patients can develop resistance.

The link between PI3K mutations and trastuzumab resistance has been seen in breast cancer patients. This suggests that inhibitors of the PI3K/PTEN pathway may have the potential to restore sensitivity to trastuzumab. Similarly, introduction of activated mutant forms of PI3K has been shown to transform and confer paclitaxel resistance to immortalized breast epithelial cells. XL147 is a potent and selective inhibitor of PI3K and inhibits phosphorylation of multiple downstream components of PI3K/PTEN signaling. Therefore, XL147 may have utility in the treatment of trastuzumab resistant/refractory and HER2-positive MBC when administered in combination with trastuzumab alone or with trastuzumab and paclitaxel.","yes"
"263","NCT01056757",1,"Terminated","breast cancer","RIBAVIRIN","Inosine-5'-monophosphate dehydrogenase 1 inhibitor","INHIBITOR","ENSG00000106348","inosine monophosphate dehydrogenase 1","IMPDH1","Small molecule","The purpose of this study is to learn whether oral Ribavirin is safe and effective in treating patients with metastatic breast cancer, that have high levels of eIF4E.","yes"
"265","NCT01101438",3,"Completed","breast cancer","METFORMIN HYDROCHLORIDE","Mitochondrial complex I (NADH dehydrogenase) inhibitor","INHIBITOR","ENSG00000198695","NADH:ubiquinone oxidoreductase core subunit S7","NDUFS7","Small molecule","This study is looking at whether Metformin, an agent that is commonly used to treat diabetes, can decrease or affect the ability of breast cancer cells to grow and whether Metformin will work with other therapies to keep cancer from recurring. Health Canada has not approved the sale or use of Metformin to treat breast cancer, although they have approved its use in this clinical trial. Although Metformin is approved by the FDA for the treatment of diabetes, its use in breast cancer is considered investigational.","yes"
"267","NCT01113970",1,"Unknown status","breast cancer","INDIBULIN","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 2B class IIb","TUBB2B","Small molecule","This study is a Phase I/II trial of a novel Indibulin dosing schedule for the treatment of metastatic breast cancer. Eligible patients will have measurable or non-measurable, metastatic or unresectable, locally advanced breast cancer and may have received any number of prior therapies for their disease.

It is expected that the Phase I portion will enroll up to 20 patients and the Phase II portion will enroll up to 45 patients.","yes"
"270","NCT01134497",2,"Withdrawn","breast cancer","ZIBOTENTAN","Endothelin receptor ET-A antagonist","ANTAGONIST","ENSG00000151617","endothelin receptor type A","EDNRA","Small molecule","In this ""randomised Phase II trial"" all patients will receive carboplatin, with half randomly selected to receive ZD4054. The other half to also receive a dummy pill or placebo, this is so that we can accurately assess how much extra benefit ZD4054 may give. The trial will recruit 132 patients with metastatic breast cancer from across the UK and assess whether adding ZD4054 to carboplatin delays progression of their disease. It will also show whether the side effects of adding ZD4054 to carboplatin chemotherapy are acceptable.

Because ZD4054 has not previously been given with carboplatin to this population, in Stage 1 of the study 6 patients will receive ZD4054 with carboplatin. If there are no untoward side effects with carboplatin and ZD4054 then the trial will proceed to Stage 2 and a further 126 patients will be randomised to receive carboplatin with either ZD4054 or the placebo; neither the patient nor their doctor will know whether she is receiving ZD4054 or placebo.","yes"
"274","NCT01151449",2,"Terminated","male breast carcinoma","RG-4733","Gamma-secretase inhibitor","INHIBITOR","ENSG00000117362","presenilin 2","PSEN2","Small molecule","This phase II clinical trial studies how well gamma-secretase/Notch signalling pathway inhibitor RO4929097 works in treating patients with advanced, metastatic, or recurrent triple negative invasive breast cancer. Gamma-secretase/Notch signalling pathway inhibitor RO4929097 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.","yes"
"275","NCT01171924",1,"Completed","breast cancer","CUDC-101","Histone deacetylase inhibitor","INHIBITOR","ENSG00000116478","histone deacetylase 7","HDAC7","Small molecule","This is a phase Ib open label, expansion study of CUDC-101 in patients with advanced head and neck, gastric, breast, liver, and non-small cell lung cancer tumors. CUDC-101 is a multi-targeted agent designed to inhibit epidermal growth factor receptor (EGFR), human epidermal growth factor receptor Type 2 (Her2) and histone deacetylase (HDAC). The study is designed to compare the safety and tolerability of CUDC-101 when administered at the maximum tolerated dose on either a 5 days/week schedule or a 3 days/week schedule.","yes"
"282","NCT01205685",2,"Terminated","breast cancer","LINSITINIB","Insulin receptor inhibitor","INHIBITOR","ENSG00000171105","insulin receptor","INSR","Small molecule","Erlotinib attacks a part of cancer cells that helps them live and grow. Studies done in human beings show that this drug can make a difference in the way anti-estrogens work in hormone-sensitive breast cancers. OSI-906 attacks a different part of the cancer cell that helps them live and grow. Studies done in the laboratory show that OSI-906 can make a difference in the way anti-estrogens work in hormone-sensitive breast cancers.","yes"
"286","NCT01231802",2,"Unknown status","breast cancer","ENILURACIL","Dihydropyrimidine dehydrogenase inhibitor","INHIBITOR","ENSG00000188641","dihydropyrimidine dehydrogenase","DPYD","Small molecule","The purpose of the study is to determine if eniluracil/5-FU/leucovorin in metastatic breast cancer (MBC) may have efficacy and tolerability advantages over capecitabine monotherapy.","yes"
"291","NCT01240941",2,"Withdrawn","breast cancer","MK-2206","Serine/threonine-protein kinase AKT inhibitor","INHIBITOR","ENSG00000105221","AKT serine/threonine kinase 3","AKT3","Small molecule","This is a phase II Trial of MK-2206 in combination with Endocrine Therapy in patients with Hormone Receptor Breast Cancer. After the maximum tolerated dose is determined in the phase 1b trial (under a separate NCT number), efficacy will be evaluated among 17 patients.","yes"
"295","NCT01288092",2,"Withdrawn","breast cancer","DACTOLISIB","PI3-kinase class I inhibitor","INHIBITOR","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 1","PIK3R1","Small molecule","This is a prospective, multi-center, open-label, single arm, phase II study with a 2-stage design and Bayesian interim monitoring to investigate the safety and efficacy of BEZ235 in patients with progressive metastatic HR+ HER2- breast cancer who have received at least one prior line of endocrine therapy and two to three prior lines of chemotherapy for metastatic disease. Patients will be stratified into 3 groups according to their PI3K (phosphatidylinositol 3-Kinase) pathway activation status.","yes"
"299","NCT01332630",2,"Completed","breast cancer","DIPHENHYDRAMINE HYDROCHLORIDE","Histamine H1 receptor antagonist","ANTAGONIST","ENSG00000196639","histamine receptor H1","HRH1","Small molecule","The goal of the first part of this clinical research study is to find the highest tolerable dose of TPI-287 in patients with breast cancer that has spread to the brain.

The goal of the second part of this study is to learn if TPI-287 can control breast cancer that has spread to the brain. The safety of this drug will also be studied.","yes"
"300","NCT01333423",1,"Withdrawn","breast cancer","SELICICLIB","Cyclin-dependent kinase 1 inhibitor","INHIBITOR","ENSG00000123374","cyclin dependent kinase 1","CDK1","Small molecule","The goal of this clinical research study is to find the highest tolerable dose of seliciclib that can be given in combination with liposomal doxorubicin to patients with metastatic breast cancer.","yes"
"312","NCT01394211",2,"Terminated","male breast carcinoma","PAZOPANIB HYDROCHLORIDE","Tyrosine-protein kinase LCK inhibitor","INHIBITOR","ENSG00000077782","LCK proto-oncogene, Src family tyrosine kinase","LCK","Small molecule","This phase II trial studies how well giving pazopanib hydrochloride and anastrozole before surgery works in treating patients with stage II-III estrogen receptor-positive breast cancer. Pazopanib hydrochloride and anastrozole may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving pazopanib hydrochloride and anastrozole together before surgery may make the tumor smaller and reduce the amount of normal cells that have to be removed","yes"
"315","NCT01416389",2,"Completed","breast cancer","LITRONESIB","Kinesin-like protein 1 inhibitor","INHIBITOR","ENSG00000138160","kinesin family member 11","KIF11","Small molecule","The purpose of the study is to evaluate the anti-tumor activity of LY2523355 relative to ixabepilone for the treatment of metastatic or locally recurrent breast cancer using change in tumor size as a continuous measure of response.","yes"
"317","NCT01430585",2,"Terminated","breast cancer","PF-04691502","PI3-kinase class I inhibitor","INHIBITOR","ENSG00000145675","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","PIK3CB","Small molecule","PF-04691502 is an inhibitor of PI3K and mTOR kinase. Published data support the hypothesis that a PI3K/mTOR antagonist in combination with letrozole might mitigate the intrinsic or acquired resistance to hormonal therapy and restore hormone sensitivity in high risk (high Ki-67) patient population of hormone-sensitive breast cancers. In addition, Ki-67, a marker of cellular proliferation, could be used to select those patients who benefit from treatment with a PI3K-pathway inhibitor.","yes"
"341","NCT01610284",3,"Completed","breast cancer","BUPARLISIB","PI3-kinase class I inhibitor","INHIBITOR","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 2","PIK3R2","Small molecule","This study was a multi-center, randomized, double-blind, placebo controlled Phase III study to determine the efficacy and safety of treatment with buparlisib plus fulvestrant versus fulvestrant plus placebo in postmenopausal women with hormone Receptor-positive (HR-positive), human epidermal growth factor receptor 2-negative (HER2-negative), locally advanced or metastatic breast cancer (MBC) whose disease has progressed on or after aromatase inhibitor (AI) treatment.","yes"
"342","NCT01624441",1,"Completed","male breast carcinoma","DINACICLIB","Cyclin-dependent kinase 5 inhibitor","INHIBITOR","ENSG00000123374","cyclin dependent kinase 5","CDK5","Small molecule","This phase I clinical trial studies the side effects and the best dose of dinaciclib when given together with epirubicin hydrochloride (epirubicin) in patients with metastatic (cancer that has spread to other parts of the body) triple-negative breast cancer. Dinaciclib is designed to stop cancer cells from dividing into new cancer cells. Epirubicin is designed to block the way cancer cells grow and divide and may slow or stop cancer cells from spreading throughout the body. Researchers want to find out what is the highest tolerable dose of the experimental drug dinaciclib that can be given in combination with epirubicin in patients with metastatic triple negative breast cancer.","yes"
"343","NCT01639248",2,"Completed","breast cancer","ENMD-2076","Serine/threonine-protein kinase Aurora-A inhibitor","INHIBITOR","ENSG00000122025","aurora kinase A","AURKA","Small molecule","The purpose of this study is to determine the activity of ENMD-2076 as defined by the clinical benefit rate when patients with previously treated locally advanced or metastatic triple negative breast cancer are treated with daily oral ENMD-2076.","yes"
"355","NCT01730729",0.5,"Completed","breast cancer","CABERGOLINE","Dopamine D2 receptor agonist","AGONIST","ENSG00000149295","dopamine receptor D2","DRD2","Small molecule","Prolactin is a hormone produced in the pituitary gland. Previous studies have revealed that elevated levels of the hormone prolactin might be associated with an increased risk of breast cancer. Cabergoline has been shown to lower prolactin levels in the blood.

The purpose of this study is to evaluate the effectiveness of cabergoline in treating metastatic breast cancer disease in those who test positive for the prolactin receptor.","yes"
"363","NCT01847001",2,"Completed","breast cancer","PROPRANOLOL","Beta-2 adrenergic receptor antagonist","ANTAGONIST","ENSG00000169252","adrenoceptor beta 2","ADRB2","Small molecule","This study is being conducted in patients with newly diagnosed breast cancer that will be undergoing chemotherapy prior to surgery - neoadjuvant chemotherapy. The study involves treatment with standard chemotherapy and a commonly used, FDA-approved, blood pressure drug called propranolol (Inderal). The purposes of this study are to:

1. Determine the effect of propranolol plus chemotherapy on breast cancer cells as well as the growth of blood vessels surrounding breast cancer cells.
2. Determine the side effect profile of propranolol and chemotherapy in patients with breast cancer receiving neoadjuvant chemotherapy.

This research is being done because previous laboratory work has shown that propranolol may decrease the ability for the blood vessels around breast cancer cells to grow, which may be important in helping cancer cells grow. It also may reduce the likelihood for breast cancer cells to spread. If changes are seen in the breast cancer cells and surrounding blood vessels in this study, we will pan to evaluate whether propranolol decreases the likelihood of breast cancer from recurring in future, later studies. All chemotherapy regimens used in this study have been the standard of care for many years; however, the use of propranolol is being researched along with the chemotherapy regimens.","yes"
"365","NCT01861054",2,"Terminated","breast cancer","REPARIXIN","Interleukin-8 receptor A modulator","MODULATOR","ENSG00000180871","C-X-C motif chemokine receptor 1","CXCR1","Small molecule","This is a pilot ""window of opportunity"" clinical study in patients with operable breast cancer investigating use of reparixin as single agent in the time period between clinical diagnosis and surgery.

The primary objectives of this study were:

1- to evaluate the effects of orally administered reparixin on CSCs in the primary tumor and the tumoral microenvironment in an early breast cancer population:

A. CSC were measured in tissue samples by techniques that could include: ALDEFLUOR assay and assessment of CD44/CD24 by flow cytometry, or examination of RNA transcripts by RT-PCR, aldehyde dehydrogenase-1, CD44/CD24 and epithelial mesenchymal transition markers (Snail, Twist, Notch) by immunohistochemistry (IHC). CSC were defined as ALDEFLUOR positive (ALDH-1+) and/or CD44 high/CD24 low by flow cytometry or RT-PCR and IHC and by the detection of ALDH-1+ cells with or without epithelial mesenchymal transition (EMT) transcription factor in IHC assays.

B. Serine-threonine protein kinase (AKT), focal adhesion kinase (FAK), phosphatase and tensin homolog (PTEN) and chemokine receptor-1 (CXCR1) levels were measured in tissue samples by IHC.

C. Measurement of markers of inflammation (interleukin-1beta \[IL-1β\], interleukin-6 \[IL-6\], interleukin-8 \[IL-8\], tumor necrosis factor-alpha \[TNF-α\], granulocyte macrophage colony stimulating factor \[GM-CSF\], vascular endothelial growth factor \[VEGF\], basic fibroblast growth factor \[b-FGF\] and high-sensitivity C-reactive protein \[hsCRP\]) in plasma, leukocyte subsets (enumerate T subsets, B, and natural killer/natural killer T \[NK/NKT\] cells) and study polymorphonuclear leukocyte \[PMN\] biology in peripheral blood samples. D. Measurement of markers of angiogenesis (CD31 staining), tumor-infiltrating leukocytes (CD4, CD8, NK and macrophages), autophagy (P62 and LC3 by IHC), EpCAM and EMT markers (CD326, CD45, Twist1, SNAIL1, SLUG, ZEB1, FOXC2, TG2, Akt2, P13k and CK19 by RT-PCR) and tissue cellularity (residual disease characterization in tumor bed) in tumor tissue samples.

2. To evaluate the safety of oral reparixin administered three times daily (t.i.d.) for 21 consecutive days.

The secondary objective was to define the pharmacokinetic (PK) profile of orally administered reparixin.","yes"
"367","NCT01887288",2,"Terminated","breast cancer","DIGOXIN","Sodium/potassium-transporting ATPase inhibitor","INHIBITOR","ENSG00000163399","ATPase Na+/K+ transporting subunit alpha 4","ATP1A4","Small molecule","To evaluate the Growth Modulation Index (GMI) of the combination of metronomic capecitabine with oral digoxin in metastatic breast cancer","yes"
"372","NCT01929941",1,"Terminated","breast cancer","INCB-047986","Tyrosine-protein kinase JAK1 inhibitor","INHIBITOR","ENSG00000162434","Janus kinase 1","JAK1","Small molecule","This is an open-label study of INCB047986 given to two distinct groups of patients (Group 1 and Group 2) with advanced malignancies. The purpose of the study is to evaluate the safety, tolerability and pharmacokinetics of INCB047986 and to determine the maximum tolerated dose of INCB047986 in combination with gemcitabine and nab paclitaxel in a select group of patients with solid tumors. Each patient group will participate in a phase of the study which is divided into two parts. The patient groups will be enrolled in a sequential manner starting with Patient Group 1.

Patient Group 1

Group 1 will be comprised of patients with advanced malignancies who will receive INCB047986 as monotherapy.

Part 1: Dose Escalation Phase - This phase will evaluate the safety, tolerability and pharmacokinetics (PK) of INCB047986 when given as described to patients with advanced malignancies. A goal of Part 1 will be to identify the maximally tolerated dose (MTD) of INCB047986 and/or other dose(s) that are tolerated doses and produce a substantial pharmacologic effect. These doses will be used in Part 2 of the study.

Part 2: Expansion Phase - This phase will further explore the safety, tolerability, PK, and preliminary clinical activity of INCB047986 using the doses identified in Part 1.

Group 2

Group 2 will be in subjects with advanced or metastatic pancreatic cancer, breast cancer or urothelial cancer.

Part 1: Dose Optimization Phase - This phase will identify the MTD of INCB047986 in combination with gemcitabine and nab-paclitaxel in patients with advanced or metastatic solid tumors. Specifically, these will be patients with pancreatic adenocarcinoma (first or second line), triple-negative breast cancer (second line) or urothelial cancer (second line).

Part 2: Expansion Phase - This phase will explore the safety, tolerability, PK, biomarkers, and preliminary clinical activity of the dose regimen(s) identified in Part 1. Patients enrolled in this phase will be limited to those with advanced or metastatic pancreatic cancer.","yes"
"374","NCT01953003",3,"Completed","breast cancer","VINFLUNINE","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin alpha 3c","TUBA3C","Small molecule","Options for the treatment of patients who have progressed after an anthracycline and a taxane are limited. Capecitabine currently has a role in this setting, yet as many as 80% of patients do not respond to this treatment and those who respond eventually develop clinical resistance.

The antitumour activity of vinflunine has been demonstrated in patients with breast cancer after exposure to anthracycline and to taxane.

Vinflunine plus capecitabine has been shown to be a feasible combination for patients previously treated with an anthracycline and a taxane. Each drug in combination can be administered at efficacious doses.

This population has few therapeutic options with established clinical benefit. The development of a new regimen and potential new standard of care for this group is important.

* Primary objective:

  • to compare in patients with advanced breast cancer pretreated with anthracycline and taxane the efficacy of the combination of vinflunine and capecitabine with capecitabine alone, in terms of progression-free survival.
* Secondary objectives:

  * to evaluate the response rate, the time to response and the duration of response in both arms
  * to compare the disease control rate between arms
  * to evaluate the duration of disease control in both arms
  * to evaluate the overall survival in both arms
  * to evaluate safety

Methodology This multicentre, open-label, randomised, Phase III study will enrol a total of 334 patients with advanced breast cancer who have previously been treated with an anthracycline and a taxane. Patients will be randomised in a 1:1 ratio to receive VFL plus capecitabine (Arm A) or capecitabine alone (Arm B).","yes"
"375","NCT01964924",2,"Completed","triple-negative breast cancer","TRAMETINIB","Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor","INHIBITOR","ENSG00000126934","mitogen-activated protein kinase kinase 1","MAP2K1","Small molecule","This phase II trial studies how well trametinib and v-akt murine thymoma viral oncogene homolog 1 (Akt) inhibitor GSK2141795 work in treating patients with triple-negative breast cancer (breast cancer cells that do not have estrogen receptors, progesterone receptors, or large amounts of human epidermal growth factor receptor 2 \[HER2/neu\] protein) that has spread to other places in the body. Trametinib and Akt inhibitor GSK2141795 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.","yes"
"377","NCT01964924",2,"Completed","triple-negative breast cancer","UPROSERTIB","Serine/threonine-protein kinase AKT inhibitor","INHIBITOR","ENSG00000105221","AKT serine/threonine kinase 2","AKT2","Small molecule","This phase II trial studies how well trametinib and v-akt murine thymoma viral oncogene homolog 1 (Akt) inhibitor GSK2141795 work in treating patients with triple-negative breast cancer (breast cancer cells that do not have estrogen receptors, progesterone receptors, or large amounts of human epidermal growth factor receptor 2 \[HER2/neu\] protein) that has spread to other places in the body. Trametinib and Akt inhibitor GSK2141795 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.","yes"
"380","NCT01990209",2,"Completed","breast cancer","ORTERONEL","Cytochrome P450 17A1 inhibitor","INHIBITOR","ENSG00000148795","cytochrome P450 family 17 subfamily A member 1","CYP17A1","Small molecule","The androgen receptor (AR) is expressed in 70-90 percent of primary breast tumors and in 75 percent of breast metastases. There is evidence to suggest that Androgen Receptor (AR) may be a target in patients with advanced breast cancer. Breast cancer patients whose tumors do not express the ER, PR or HER2 (triple negative) have very few options for treatment. Orteronel is being developed as an endocrine therapy for relevant hormone-sensitive cancers such as prostrate cancer and breast cancer. Triple-negative metastatic breast cancer patients with AR expression could potentially benefit from anti-androgen therapy like orteronel.","yes"
"382","NCT02005770",4,"Completed","female breast carcinoma","SEVOFLURANE","GABA-A receptor; anion channel positive allosteric modulator","POSITIVE ALLOSTERIC MODULATOR","ENSG00000022355","gamma-aminobutyric acid type A receptor subunit alpha6","GABRA6","Small molecule","Serious concern about the role of anesthesia in tumor recurrence has considerably risen over years, but the lack of surrogate markers for tumor spreading made trials addressing this issue difficult to realize. In breast cancer patients CTC positivity has been recently recognized as an independent prognostic factor. In this respect, we postulated that in a first step changes in the number of CTC after general anesthesia would help to determine the effect of anesthesia on this tumor marker.","yes"
"384","NCT02005770",4,"Completed","female breast carcinoma","PROPOFOL","GABA-A receptor; anion channel positive allosteric modulator","POSITIVE ALLOSTERIC MODULATOR","ENSG00000022355","gamma-aminobutyric acid type A receptor subunit gamma3","GABRG3","Small molecule","Serious concern about the role of anesthesia in tumor recurrence has considerably risen over years, but the lack of surrogate markers for tumor spreading made trials addressing this issue difficult to realize. In breast cancer patients CTC positivity has been recently recognized as an independent prognostic factor. In this respect, we postulated that in a first step changes in the number of CTC after general anesthesia would help to determine the effect of anesthesia on this tumor marker.","yes"
"386","NCT02027376",1,"Completed","breast cancer","SONIDEGIB","Smoothened homolog inhibitor","INHIBITOR","ENSG00000128602","smoothened, frizzled class receptor","SMO","Small molecule","This is a single-arm, open-label, phase Ib study. In this trial, patients with Triple Negative (TN) Advanced Breast Cancer (ABC) will be treated with increasing doses of LDE225 (sonidegib) and docetaxel to determine the Maximum Tolerated Dose (MTD), Dose Limiting Toxicity (DLT) and Recommended Phase II Dose (RP2D) of the combination.

Eligible patients with hormonal receptors negative and Human Epidermal Growth Factor Receptor 2 (HER2) negative ABC will be included and treated with docetaxel intravenously in every three weeks cycles. LDE225 will be administered orally at three dose levels 400, 600 and 800mg one a day (QD) (a -1 dose level is included just in case dose de-escalation is needed). Treatment will be repeated on day 1 of a 21-day cycle until radiographic or symptomatic progression, unacceptable toxicity or withdraws informed consent.

The investigators propose to develop a phase Ib trial with the combination of docetaxel with LDE225 in TN ABC patients to define the safety, tolerability and RP2D, as well as to have some information about the efficacy of the combination.","yes"
