NCT ID,Brief Summary
NCT00703326,"The objective of this study is to compare the progression-free survival (PFS) of the drug combination ramucirumab plus docetaxel to placebo plus docetaxel in previously untreated participants with human epidermal growth factor receptor 2 (HER2)-negative, unresectable, locally-recurrent or metastatic breast cancer."
NCT01501669,"This study is a multicenter, randomized study, open-label, phase III study.The efficacy of irinotecan and capecitabine combination will be superior to capecitabine alone in term of progression free survival in metastatic breast cancer patients previously treated with anthracycline and taxane."
NCT00122356,"The purpose of this study is to evaluate the use of an oral bisphosphonate (alendronate) in preventing bone loss in postmenopausal women with early breast cancer who are receiving anastrozole therapy, and to determine how long alendronate treatment is needed."
NCT04174599,"A Phase III, Multi-Center, Randomized, Open-Label, Active-Controlled Trial to Compare the Efficacy and Safety of Recombinant Human Granulocyte Colony Stimulating Factor-Fc Fusion Protein (F-627) and Recombinant Human Granulocyte Colony Stimulating Factor (GRAN®) in the Prophylactic Treatment for Chemotherapy-Induced Neutropenia"
NCT03055312,"Compare the efficacy of bicalutamide with conventional chemotherapy (Treatment of Physician's Choice,TPC) in first-line treatment of AR positive metastatic triple negative breast"
NCT00008203,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation or bone marrow transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. Biological therapy may interfere with the growth of the cancer cells. It is not yet known which post-transplant biological therapy regimen is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of cyclosporine and interferon gamma to that of interleukin-2 following combination chemotherapy and bone marrow or peripheral stem cell transplantation in women who have stage II or stage III breast cancer."
NCT02929576,"The purpose of this study is to evaluate and compare the clinical benefit and safety of treatment with enzalutamide in combination with paclitaxel chemotherapy or as monotherapy versus placebo with paclitaxel in patients with locally advanced or metastatic, diagnostic-positive, triple-negative breast cancer (TNBC)."
NCT00003972,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. It is not yet known which regimen of combination chemotherapy is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of two regimens of combination chemotherapy followed by peripheral stem cell transplantation in treating patients who have stage II or stage IIIA breast cancer."
NCT02332928,"This is a double-blind, placebo-controlled trial wherein subjects with breast cancer will be randomized to receive either 20 mg oral melatonin or placebo the night before their first radiotherapy (RT), nightly throughout their RT, and for an additional 2 weeks following the completion of their RT. After informed consent is obtained from eligible subjects, they will then be electronically randomized on a 1:1 ratio to melatonin treatment or placebo. The subjects will be stratified according to treatment duration (less than 3 weeks; equal to or greater than 3 weeks) and prior chemotherapy."
NCT02594371,To determine the safety and tolerability of Oraxol as compared to IV paclitaxel in metastatic breast cancer
NCT00692458,The purpose of this study is to test MK0822 on reducing the risk of bone metastasis in women with breast cancer.
NCT01856543,"The purpose of this study is to find out if the effect of mometasone furoate is any different from Eucerin in decreasing the severity of redness of the skin during irradiation, preventing the skin from peeling, or reducing the amount of irritation the patient reports during treatment."
NCT00066690,"RATIONALE: Estrogen can stimulate the growth of breast tumor cells. Ovarian function suppression combined with hormone therapy using tamoxifen or exemestane may fight breast cancer by reducing the production of estrogen. It is not yet known whether suppression of ovarian function plus either tamoxifen or exemestane is more effective than tamoxifen alone in preventing the recurrence of hormone-responsive breast cancer.

PURPOSE: This randomized phase III trial studies ovarian suppression with either tamoxifen or exemestane to see how well they work compared to tamoxifen alone in treating premenopausal women who have undergone surgery for hormone-responsive breast cancer."
NCT00003674,"RATIONALE: Dalteparin may be effective in inhibiting the growth of blood vessels in tumors, decreasing the risk of metastatic cancer, preventing the formation of blood clots, and improving quality of life in treating patients with advanced cancer that has not responded to previous treatment. It is not yet known if standard therapy is more effective with or without dalteparin in treating advanced breast, lung, colorectal, and prostate cancer.

PURPOSE: Randomized double blinded phase III trial to compare the effectiveness of standard therapy with or without dalteparin in treating patients who have advanced breast, lung, colorectal, or prostate cancer that has not responded to previous chemotherapy or hormone therapy."
NCT00305643,"RATIONALE: Radiation therapy uses high energy x-rays to kill tumor cells. Drugs used in chemotherapy, such as capecitabine, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving radiation therapy together with capecitabine may kill more tumor cells. Celecoxib may prevent or lessen hand-foot syndrome caused by capecitabine.

PURPOSE: This randomized phase III trial is studying how well celecoxib works in preventing hand/foot syndrome caused by capecitabine in patients with metastatic breast or colorectal cancer."
NCT01608451,"Randomized Controlled Trial of Neoadjuvant Progesterone and Vitamin D3 in women with Large Operable Breast Cancer and Locally Advanced Breast Cancer - A Feasibility Study

Primary Progesterone Timing of surgery during the menstrual cycle and its impact on survival in premenopausal women with operable breast cancer has been extensively researched and reinvestigated by Badwe et al in the randomized clinical trial of 'Primary Progesterone Therapy for Operable Breast Cancer' at Tata Memorial Hospital. The underlying assumption was that the presence of unopposed estrogen (in follicular phase) at the time surgery may be deleterious for survival and that circulating progesterone might counteract this deleterious effect.

Vitamin D3 The most prominent physiological role of hormonally active form of vitamin D3, 1,25-dihydroxyvitamin D3 (1,25(OH)2D3 or calcitriol), is regulation of calcium and phosphorous homeostasis and bone metabolism via an intracellular receptor (VDR) which is a member of steroid thyroid hormone super-family of receptors. The VDR receptors are also found in other tissues like breast and prostate.

Vitamin D compounds have also been implicated in promotion of apoptosis in breast cancer cells and evidence suggests that 1,25(OH)2D3 and its synthetic analogues may potentiate responsiveness of breast cancer cells to conventional cytotoxic agents.

Objectives

1. To see the effect of primary progesterone on survival in women with high risk breast cancer (large operable and locally advanced breast cancer)
2. To see the effect of Vitamin D3 as an antiproliferative, cytotoxic and apoptotic agent (negative growth regulator) by evaluation of surrogate markers of proliferation and apoptosis.

Inclusion Criteria:

* Unilateral breast cancer
* Large operable breast cancer/LOBC (T3N0M0 or T3N1M0) and Locally advanced breast cancer/LABC (T3N1-2M0; T2N2M0)
* Age \<70 years
* Fit for CT

Exclusion Criteria:

* Prior Incision Biopsy or Excision Biopsy
* Metastatic breast cancer
* Renal failure or deranged Renal Function Test
* Hypoparathyroidism
* Pregnant or lactating mothers or women of childbearing age not practicing contraception
* Patient on any of the following drugs: Magnesium-containing antacids, Digitalis, Phenytoin barbiturates, Thiazide diuretics.
* Previous history of other cancers except cured skin and cervical carcinoma in situ.

Methodology / Treatment plan

The study drugs (Injectable Progesterone and Vitamin D3) will be tested in the neoadjuvant setting prior to administration of each chemotherapy cycle, in a 2x2 factorial design as below:

Neoadjuvant D3 will be administered as Inj. Arachitol 300,000 IU/ml intramuscular, before each chemotherapy cycle.

Neoadjuvant Progesterone used will be administered as single IM depot injection 500mg 5 days prior to each CT cycle and surgery date.

Primary Objectives Disease-free survival

Secondary Objectives Improvements in overall survival Tumor response"
NCT06106529,"The goal of this randomized intrapatient cross-over study is to assess the efficacy of oxybutynin versus venlafaxine in reducing hot flashes in women using endocrine therapy after breast cancer.

The objectives it aims to answer are:

* To assess the efficacy of oxybutynin versus venlafaxine in reducing hot flashes in women using endocrine therapy after breast cancer
* To assess side effects of oxybutynin versus venlafaxine.
* To assess the personal preference of women for oxybutynin versus venlafaxine in reducing hot flashes.
* To assess quality of life of women when reducing hot flashes in women using endocrine therapy after breast cancer.

Participants will fill-out a patient diary during 15 weeks total on a daily basis and receive an (online) questionnaire three times total.

Researchers will compare two groups (venlafaxine group versus oxubutynine group) to assess its efficacy concerning hot flashes."
NCT00944424,Randomized phase III trial to determine the effectiveness of High dose versus Standard dose of Vitamin D2 (Ergocalciferol) given with Docetaxel in patients with metastatic breast cancer
NCT03794388,"Breast cancer is the most common cancer in women in Europe. Therefore, breast cancer has become a chronic disease and patients need to learn to live with it as well as with the adverse effects related to the disease itself or to the therapies used.

As noted in the third ""Plan cancer"", pain is a major criterion in the quality of life of patients treated for breast cancer.

Neuropathic pain was defined in 2011 by the international Association for the Study of Pain (I.A.S.P.) as the direct result of a lesion or disease affecting the somato-sensory system.

Surgical treatment is often the first treatment of breast cancer. It can be conservative by performing a partial mastectomy (lumpectomy or quadrantectomy) or non-preservative by total mastectomy.

Intercostobrachial neuralgia (NICB) or Post mastectomy painful Syndrome (MPRR) was first described by Wood in 1978 as ""chronic pain beginning immediately or early after a mastectomy"" Or a lumpectomy affecting the anterior thorax, armpit and/or arm in its upper half. These post-surgical pains are related to a lesion of the nerves in the breast area.

In particular, the intercostobrachial nerve can be severed, stretched or crushed during surgery.

Post-operative neuropathic pain in patients with breast cancer is underdiagnosed either by general practitioner or in a specialized environment.

The diagnosis of neuropathic pain is performed during examination and clinical examination. Several scales allow to detect neuropathic pain but only the DN4 is recognized to be the most specific and sensitive scale.

Patients do not always express this pain. They do not always reconcile with the surgery. Either because the pain occurs a long time after the surgery, or they find it normal to get hurt. These diagnostic difficulties cause a delay in setting up a suitable analgesic treatment.

However, neuropathic pain responds poorly to common analgesics. Diagnosis, evaluation and early management of neuropathic pain are a priority in order to avoid their chronicization, to improve the quality of life of patients with breast cancer and to enable them to return to work quickly.

We therefore assume that the diagnosis of early neuropathic pain at 2 months of surgery associated with initiation of appropriate topical treatment without the systemic effects of conventional oral treatments, would reduce the incidence of Chronic neuropathic pain 6 months after surgery."
NCT01517802,The purpose of this study is to collect follow-up safety data from participants in completed abiraterone acetate studies for a maximum duration of 9 years.
NCT00003771,"RATIONALE: Hormone replacement therapy is effective for relieving symptoms of menopause. It is not yet known if hormone replacement therapy increases the risk of breast cancer recurrence in women previously treated for early stage breast cancer.

PURPOSE: Randomized phase III trial to determine the risk of breast cancer recurrence in women with previous early stage breast cancer who are receiving hormone replacement therapy for menopause symptoms."
NCT05838066,"This is a randomized, controlled, open-label, multicenter, phase Ш clinical study designed to compare the efficacy and safety of KN026 in combination with HB1801 to trastuzumab in combination with pertuzumab and docetaxel in the first-line treatment of subjects with HER2-positive recurrent or metastatic breast cancer. The statistical assumption for this study is superiority. The primary study endpoint was PFS as assessed by Blinded Independ Review Committee (BIRC)."
NCT03262935,The purpose of this study is to demonstrate that SYD985 \[(vic-)trastuzumab duocarmazine\] is superior to physician's choice in prolonging progression free survival.
NCT01237327,Long term efficacy of exemestane as compared to megestrol acetate in the treatment of women with natural or induced postmenopausal status with advanced breast cancer whose disease has progressed following anti-estrogens or anti-estrogens plus chemotherapy and who had participated on an original study of exemestane vs megestrol : study 971-ONC-0028-080.
NCT03794388,"Breast cancer is the most common cancer in women in Europe. Therefore, breast cancer has become a chronic disease and patients need to learn to live with it as well as with the adverse effects related to the disease itself or to the therapies used.

As noted in the third ""Plan cancer"", pain is a major criterion in the quality of life of patients treated for breast cancer.

Neuropathic pain was defined in 2011 by the international Association for the Study of Pain (I.A.S.P.) as the direct result of a lesion or disease affecting the somato-sensory system.

Surgical treatment is often the first treatment of breast cancer. It can be conservative by performing a partial mastectomy (lumpectomy or quadrantectomy) or non-preservative by total mastectomy.

Intercostobrachial neuralgia (NICB) or Post mastectomy painful Syndrome (MPRR) was first described by Wood in 1978 as ""chronic pain beginning immediately or early after a mastectomy"" Or a lumpectomy affecting the anterior thorax, armpit and/or arm in its upper half. These post-surgical pains are related to a lesion of the nerves in the breast area.

In particular, the intercostobrachial nerve can be severed, stretched or crushed during surgery.

Post-operative neuropathic pain in patients with breast cancer is underdiagnosed either by general practitioner or in a specialized environment.

The diagnosis of neuropathic pain is performed during examination and clinical examination. Several scales allow to detect neuropathic pain but only the DN4 is recognized to be the most specific and sensitive scale.

Patients do not always express this pain. They do not always reconcile with the surgery. Either because the pain occurs a long time after the surgery, or they find it normal to get hurt. These diagnostic difficulties cause a delay in setting up a suitable analgesic treatment.

However, neuropathic pain responds poorly to common analgesics. Diagnosis, evaluation and early management of neuropathic pain are a priority in order to avoid their chronicization, to improve the quality of life of patients with breast cancer and to enable them to return to work quickly.

We therefore assume that the diagnosis of early neuropathic pain at 2 months of surgery associated with initiation of appropriate topical treatment without the systemic effects of conventional oral treatments, would reduce the incidence of Chronic neuropathic pain 6 months after surgery."
NCT00122356,"The purpose of this study is to evaluate the use of an oral bisphosphonate (alendronate) in preventing bone loss in postmenopausal women with early breast cancer who are receiving anastrozole therapy, and to determine how long alendronate treatment is needed."
NCT00605267,"The purpose of this multi-centre, randomised, double-blind, parallel-group study is to compare efficacy and safety between anastrozole and tamoxifen in pre- and post-operative administration under goserelin acetate treatment for premenopausal breast cancer patients"
NCT00096434,This phase II trial is studying how well sorafenib works in treating patients with metastatic breast cancer. Sorafenib may stop the growth of tumor cells by blocking the enzymes necessary for their growth and by stopping blood flow to the tumor.
NCT04891068,"To determine the effect of low dose azacitidine therapy on tumor infiltrating lymphocytes (TILs) in primary tumors from patients with high-risk early stage breast cancer, paired t-tests will be first used to compare TIL count in pre- and post-treatment specimens."
NCT03330847,"This study is to assess the efficacy and safety of olaparib monotherapy versus olaparib in combination with an inhibitor of ATR (Ataxia-Telangiectasia Mutated (ATM) and Rad3-related protein kinase (Ceralasertib \[AZD6738\]) and olaparib monotherapy versus olaparib in combination with an inhibitor of WEE1 (adavosertib \[AZD1775\]) in second or third line setting in patients with Triple-negative breast cancer (TNBC) prospectively stratified by presence/absence of qualifying tumour mutation in genes involved in the homologous recombination repair (HRR) pathway. Treatment arms are olaparib monotherapy, olaparib+ Ceralasertib and olaparib+adavosertib. The study subject population will be divided into Stratum A, Stratum B, and Stratum C. Due to the different schedules of administration of each of the treatment options as well as their different toxicity profiles, the study is not blinded. Study has two stage consent process- stage 1 consent (molecular screening for HRR defects) and stage 2 consent (main study). Patients with TNBC and with known qualifying BRCAm, non BRCAm HRRm and non HRRm status will be offered the option of consenting to the main part of the study within the 28-day screening period. Following the ISRC meeting on 17 April 2019 a recommendation was made to close the adavosertib+olaparib treatment arm across all biomarker strata. Patients receiving treatment with adavosertib+olaparib treatment were offered the opportunity to continue treatment on olaparib monotherapy at the approved dose (300 mg bd). Following the closure of this arm the total number of patients randomised will be lower (approximately 350 patients). Approximately 300 patients will be randomised (using randomisation ratio 1:1) to 2 ongoing treatment arms plus an additional 47 patients to a 3rd arm (olaparib+adavosertib) prior to the arm being discontinued."
NCT03584009,"This is a Phase II, multicenter, open-label, randomized study to compare the efficacy of venetoclax in combination with fulvestrant compared with fulvestrant alone in women with ER+, HER2-negative, locally advanced or Metastatic Breast Cancer (MBC) who experienced disease recurrence or progression during or after treatment with CDK4/6i therapy for at least 8 weeks. As of 9th October 2020, participants in the Venetoclax + Fulvestrant arm, have all discontinued Venetoclax treatment and have continued on Fulvestrant treatment alone."
NCT04603911,"The object of our research is to investigate the relative efficacy of liposomal bupivacaine administered via an Erector Spinae Plane (ESP) block as compared to our standard of care medication solution of (bupivacaine mixed with epinephrine, dexamethasone, and clonidine) for pain management in subjects undergoing bilateral surgical intervention for breast cancer. This will be an investigator-initiated, double-blind, patient-controlled, randomized control trial comparing pain scores at 48 hours after injection."
NCT02649101,Sixty advanced breast cancer patients are planed to enrolled in this clinical trial. Forty patients are enrolled into thalidomide plus chemotherapy group. Twenty patients are enrolled into chemotherapy alone group. There is no restriction on chemotherapy regimen and lines.
NCT06110793,"The purpose of this study is to test whether the combination of lenvatinib, pembrolizumab, and fulvestrant is a safe and effective treatment that causes few or mild side effects in people with ER+/HER2- metastatic breast cancer."
NCT03084536,"In this double blinded randomized placebo-controlled trial, 160 subjects scheduled for breast surgery involving the axilla will be administered a multimodal pain regimen including acetaminophen, dexamethasone, celecoxib, and gabapentin. 80 subjects will also receive a Pectoral Nerve blocks I and II (PECS I and II block) preoperatively."
NCT01042379,The purpose of this study is to further advance the ability to practice personalized medicine by learning which new drug agents are most effective with which types of breast cancer tumors and by learning more about which early indicators of response (tumor analysis prior to surgery via magnetic resonance imaging (MRI) images along with tissue and blood samples) are predictors of treatment success.
NCT01658462,"National, randomized, unblinded, phase IIb trial with 2 strata: First-line chemotherapy / Second-line chemotherapy for locally recurrent or metastatic breast cancer."
NCT01997333,"The main purpose of this study is to see whether CDX-011 (glembatumumab vedotin, an antibody-drug conjugate) is effective in treating patients who have advanced Triple-Negative Breast Cancer (TNBC), and whose tumor cells make a protein called glycoprotein NMB (gpNMB), which CDX-011 binds to. The study will also further characterize the safety of CDX-011 treatment in this patient population."
NCT01240941,"This is a phase II Trial of MK-2206 in combination with Endocrine Therapy in patients with Hormone Receptor Breast Cancer. After the maximum tolerated dose is determined in the phase 1b trial (under a separate NCT number), efficacy will be evaluated among 17 patients."
NCT04596150,"A Phase 2, clinical study in advanced, metastatic breast cancer that will evaluate CX-2009 monotherapy in both Hormone Receptor(HR) positive/HER2 negative breast cancer and in TNBC, and evaluate CX-2009+CX-072 in TNBC"
NCT04529044,"This phase II trial investigates how well 177Lu-DOTATATE works in treating patients with breast cancer that is stage IV or has come back (recurrent). 177Lu-DOTATATE may shrink or destroy the tumor or circulating breast cancer stem cells if they show evidence of the SSTR2. 177Lu-DOTATATE is a targeted therapy that uses DOTATATE, linked to a radioactive agent called 177Lu. DOTATATE attaches to tumor cells with SSTR2 and delivers 177Lu to kill them. Giving 177Lu-DOTATATE may help decrease the number and size of tumors and the number of circulating cancer stem cells in patient's blood for the treatment of patients with breast cancer positive for SSTR2."
NCT04445844,"This is a phase 2 study to evaluate the safety and efficacy of the combination of INCMGA00012 and pelareorep and to see how well they work in treating patients with triple negative breast cancer that has spread to other parts of the body (metastatic).

INCMGA00012 is a monoclonal antibody that works by attaching to the programmed cell death protein 1 (PD-1) and blocking this pathway, allowing the immune system to recognize and attack the cancer cells. Pelareorep is a type of virus called reovirus which occurs naturally and may break down cancer cells. Giving INCMGA00012 and pelareorep may slow the growth and spread of the cancer to another part of the body."
NCT00098397,"This phase II trial is studying how well FR901228 works in treating patients with metastatic breast cancer. Drugs used in chemotherapy, such as FR901228, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. FR901228 may also stop the growth of tumor cells by blocking some of the enzymes needed for cell growth"
NCT04829604,"A Global, Phase 2 Study of ARX788 in HER2-positive Metastatic Breast Cancer Patients who were previously treated with T-DXd"
NCT01118624,The purpose of this study is to determine the efficacy (ability to provide a beneficial treatment of the disease) of pralatrexate for the treatment of female patients with advanced or metastatic breast cancer who have failed prior chemotherapy. Patients will receive vitamin B12 and folic acid supplementation.
NCT02441946,"The purpose of this study is to evaluate the biological effects of abemaciclib in combination with anastrozole and compare those to the effects of abemaciclib alone and anastrozole alone in the tumors of postmenopausal women with hormone receptor positive (HR+), human epidermal growth factor receptor 2 (HER2) negative breast cancer."
NCT00513695,"This phase II trial studies how well giving sunitinib malate together with paclitaxel, doxorubicin hydrochloride, and cyclophosphamide before surgery works in treating patients with stage IIB-IIIC breast cancer. Sunitinib malate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth or by blocking blood flow to the tumor. Drugs used in chemotherapy, such as paclitaxel, doxorubicin hydrochloride, and cyclophosphamide, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving sunitinib malate together with combination chemotherapy before surgery may make the tumor smaller and reduce the amount of normal tissue that needs to be removed"
NCT01151215,The main purpose of this study is to compare progression free survival in patients treated with AZD8931 given in combination with anastrozole versus anastrozole alone. The secondary objective is to investigate the safety and tolerability of AZD8931 given in combination with anastrozole.
NCT05809895,"The primary scientific question of interest of this study is whether the combination of ociperlimab, tislelizumab and chemotherapy improves progression-free survival (PFS) compared to the combination of placebo, pembrolizumab and chemotherapy as first-line therapy for adult men and women with advanced triple negative breast cancer (TNBC) whose tumors express programmed death ligand 1 (PD - L1) \[combined positive score (CPS) ≥10\], regardless of study treatment discontinuation or start of new anti-neoplastic therapy."
NCT06355037,"This is a Phase II, open-label, single-arm study evaluating the efficacy and safety of combined treatment of dasatinib, quercetin with chemotherapy in mTNBC (triple negative breast cancer) patients who progressed during previous chemotherapy."
NCT00513695,"This phase II trial studies how well giving sunitinib malate together with paclitaxel, doxorubicin hydrochloride, and cyclophosphamide before surgery works in treating patients with stage IIB-IIIC breast cancer. Sunitinib malate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth or by blocking blood flow to the tumor. Drugs used in chemotherapy, such as paclitaxel, doxorubicin hydrochloride, and cyclophosphamide, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving sunitinib malate together with combination chemotherapy before surgery may make the tumor smaller and reduce the amount of normal tissue that needs to be removed"
NCT00068588,"This phase II trial is studying how well giving GTI-2040 together with capecitabine works in treating patients with metastatic breast cancer. Drugs used in chemotherapy, such as capecitabine, work in different ways to stop tumor cells from dividing so they stop growing or die. GTI-2040 may help capecitabine kill more tumor cells by making them more sensitive to the drug"
NCT03765983,"This research study is studying a drug called GDC-0084 as a possible treatment for HER2-Positive Breast Cancer.

The drugs involved in this study are:

* GDC-0084
* Trastuzumab (Herceptin®)"
NCT04090567,"This phase II trial studies how well olaparib with cediranib or AZD6738 works in treating patients with germline BRCA mutated breast cancer that has spread to other places in the body (advanced or metastatic). Olaparib, cediranib, and AZD6738 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth."
NCT02338245,"This is an open-label, randomized, parallel group Phase 2A/2B study to evaluate the clinical activity of ASLAN001 in combination with capecitabine compared with lapatinib in combination with capecitabine in patients with HER2 positive metastatic breast cancer that has failed on prior trastuzumab therapy."
NCT00494481,To assess the efficacy of ZD6474 in combination with docetaxel in the treatment of ABC using the progression event count methodology
NCT01528345,"This trial is designed to enroll postmenopausal patients with locally advanced or metastatic, HER2- and HR+ breast cancer not amenable to curative treatment by surgery or radiotherapy, and whose disease has progressed on or after prior endocrine therapy.

Patients must undergo molecular pre-screening prior to entry."
NCT01227408,"The investigators propose to conduct a clinical trial of neoadjuvant treatment utilizing chemotherapy formulations with favorable toxicity profiles: weekly doxorubicin, PPX and capecitabine. It is expected this combination will at least maintain the efficacy of a traditional chemotherapy regimen but will be associated with less toxicity, particularly nausea, vomiting and alopecia. In order to accomplish this the investigators have designed a chemotherapy regimen whose components (or administration schedule) are associated with minimal or no alopecia and are also considered to have low emetogenic potential.

In an attempt to improve the efficacy of the regimen the investigators plan to study an alternate schedule of cyclophosphamide and methotrexate administration (metronomic chemotherapy) which appears to inhibit angiogenesis and therefore enhance the activity of conventional cytotoxic chemotherapy administered concurrently.

In this trial the investigators aim to determine the clinical and pathologic response rate of 12 weeks of doxorubicin followed by 4 cycles of PPX and capecitabine. Metronomic chemotherapy with cyclophosphamide and methotrexate will be administered during the 24 weeks of chemotherapy."
NCT04975451,DCb (docetaxel/carboplatin) regimens as Neoadjuvant Treatment for Triple-Negative Breast Cancer have been recommended by NCCN guideline.Combination of anti-angiogenesis inhibitors is expected to further improvePathologic Complete Response(PCR).This study is to evaluate the efficacy and safety of ADCb (Anlotinib/docetaxel/carboplatin) as Neoadjuvant Treatment in Triple-Negative breast cancer. The endpoint of PCR is used as a surrogate marker for survival. Safety and tolerability assessed by number of grade 4 toxicities and hospitalizations.
NCT00777335,The purpose of the study is to assess the benefit of panobinostat monotherapy given either orally or i.v. to women with HER2-positive locally recurrent or metastatic breast cancer
NCT01639248,The purpose of this study is to determine the activity of ENMD-2076 as defined by the clinical benefit rate when patients with previously treated locally advanced or metastatic triple negative breast cancer are treated with daily oral ENMD-2076.
NCT01394211,This phase II trial studies how well giving pazopanib hydrochloride and anastrozole before surgery works in treating patients with stage II-III estrogen receptor-positive breast cancer. Pazopanib hydrochloride and anastrozole may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving pazopanib hydrochloride and anastrozole together before surgery may make the tumor smaller and reduce the amount of normal cells that have to be removed
NCT02839668,"Because neoplastic disease is one of the leading causes of death worldwide and breast cancer is one of the most frequent neoplasia among women, the possibility of influencing the evolution of patients starting from the moment of surgical intervention using a perianesthesic intervention is a scientific topic of high interest. The study will compare two anesthetic techniques and their efficiency in lowering the factors that can favorize the dissemination of neoplasia and their role in the prevention of postoperative pain. The serum level of vascular endothelial growth factor A (VEGF-A) will be determined before and after the surgical intervention after using two different types of anesthesia (inhalational and intravenous), and the immunohistochemical expression of vascular endothelial growth factor receptors (VEGFR) will be determined on the excised tissue. For the two different types of anesthesia a continuous infusion of lidocaine 1% will be associated. The study will compare the short-term and long term-outcome of the patients assigned the two different types of anesthesia and their immediate postoperative evolution ."
NCT01693549,The purpose of this study is to determine whether cabazitaxel is effective in the treatment of metastatic breast cancer.
NCT01394211,This phase II trial studies how well giving pazopanib hydrochloride and anastrozole before surgery works in treating patients with stage II-III estrogen receptor-positive breast cancer. Pazopanib hydrochloride and anastrozole may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving pazopanib hydrochloride and anastrozole together before surgery may make the tumor smaller and reduce the amount of normal cells that have to be removed
NCT06087237,"The goal of this clinical trial is to assess the efficacy of pentoxifylline in reducing post surgical complications for breast cancer patients undergoing breast cancer surgery. It aims to evaluate the efficacy of pentoxifylline on postoperative pain and wound healing.

Participants will take oral pentoxifylline then post surgical oral pentoxifylline three times per day for 2 weeks. The researchers will compare the difference in pain score and wound healing relative to the control group."
NCT00464516,"The study is designed as a single-center, randomized, double-blind, placebo-controlled study in pre- and postmenopausal women who will undergo surgery for breast cancer. Subjects will either receive estetrol or placebo during a 2 week treatment period.

Several biological markers, such as a cellular growth marker and cell death markers, will be assessed in the tumor tissue and surrounding normal tissue before and after the treatment period. During the 2 week interval between diagnosis of breast cancer and surgical resection, no therapy for breast cancer is usually administered."
NCT03094052,"This phase II trial studies the incidence and severity of diarrhea in patients with stage II-IIIC HER2 Positive breast cancer treated with trastuzumab and neratinib. Trastuzumab is a form of targeted therapy because it attaches itself to specific molecules (receptors) on the surface of cancer cells, known as HER2 receptors. When trastuzumab attaches to HER2 receptors, the signals that tell the cells to grow are blocked and the cancer cell may be marked for destruction by the body's immune system. Neratinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving trastuzumab and neratinib may work better in treating patients with stage II-IIIC HER2 positive breast cancer."
NCT01042379,The purpose of this study is to further advance the ability to practice personalized medicine by learning which new drug agents are most effective with which types of breast cancer tumors and by learning more about which early indicators of response (tumor analysis prior to surgery via magnetic resonance imaging (MRI) images along with tissue and blood samples) are predictors of treatment success.
NCT03939897,This phase I/II trial studies the effects (good and bad) of adding copanlisib to the usual therapy of fulvestrant and abemaciclib in treating patients with hormone receptor positive and HER2 negative breast cancer that has spread from where it first started (breast) to other places in the body (metastatic). Some breast cancer cells have receptors for the hormones estrogen or progesterone. These cells are hormone receptor positive and they need estrogen or progesterone to grow. This can affect how the cancer is treated. Hormone therapy using fulvestrant may fight breast cancer by blocking the use of estrogen by the tumor cells. Abemaciclib and copanlisib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Adding copanlisib to the usual therapy of fulvestrant and abemaciclib may work better than giving fulvestrant and abemaciclib alone in treating patients with breast cancer.
NCT04986852,The objective is to evaluate the efficacy and safety of Olinvacimab in combination with Pembrolizumab in patients with mTNBC.
NCT00030537,"RATIONALE: Biological therapies such as erlotinib may interfere with the growth of tumor cells and slow the growth of the tumor.

PURPOSE: Phase II trial to study the effectiveness of erlotinib in treating patients who have locally advanced or metastatic breast cancer."
NCT02910219,Chemotherapy induced diarrhea is seen in up to 40-80% of patients receiving this treatment for HER2 positive locally advanced or metastatic breast cancer. This diarrhea can significantly impact a patient's quality of life and ability to tolerate chemo/anti-HER2 therapy. This study will look at the efficacy of the drug crofelemer in preventing diarrhea in breast cancer patients.
NCT00450866,"RATIONALE: Drugs used in chemotherapy, such as epothilone B, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing.

PURPOSE: This phase II trial is studying how well epothilone B works in treating patients with CNS metastases from breast cancer."
