"","GAMuT_60259"
"ENSG00000103343",130
"ENSG00000103351",643
"ENSG00000103353",2122
"ENSG00000103356",1162
"ENSG00000103363",1034
"ENSG00000103365",1470
"ENSG00000103381",870
"ENSG00000103404",1388
"ENSG00000103415",743
"ENSG00000103423",1155
"ENSG00000103429",1905
"ENSG00000103460",1020
"ENSG00000103472",23
"ENSG00000103479",2316
"ENSG00000103485",963
"ENSG00000103489",200
"ENSG00000103490",181
"ENSG00000103494",1204
"ENSG00000103495",1918
"ENSG00000103496",560
"ENSG00000103502",837
"ENSG00000103507",605
"ENSG00000103510",668
"ENSG00000103512",553
"ENSG00000103528",69
"ENSG00000103534",1030
"ENSG00000103540",1976
"ENSG00000103544",1962
"ENSG00000103549",1510
"ENSG00000103550",1390
"ENSG00000103591",1976
"ENSG00000103599",150
"ENSG00000103642",682
"ENSG00000103647",2
"ENSG00000103653",424
"ENSG00000103657",4781
"ENSG00000103671",684
"ENSG00000103707",268
"ENSG00000103710",42
"ENSG00000103742",35
"ENSG00000103769",4860
"ENSG00000103811",1182
"ENSG00000103852",433
"ENSG00000103855",1093
"ENSG00000103876",104
"ENSG00000103888",36
"ENSG00000103932",297
"ENSG00000103942",404
"ENSG00000103966",1467
"ENSG00000103978",3669
"ENSG00000103994",4479
"ENSG00000103995",1272
"ENSG00000104043",325
"ENSG00000104047",463
"ENSG00000104064",1543
"ENSG00000104067",7132
"ENSG00000104081",371
"ENSG00000104093",6602
"ENSG00000104129",154
"ENSG00000104131",2176
"ENSG00000104133",4222
"ENSG00000104140",39
"ENSG00000104142",385
"ENSG00000104147",161
"ENSG00000104154",336
"ENSG00000104164",1467
"ENSG00000104177",1370
"ENSG00000104205",112
"ENSG00000104213",51
"ENSG00000104218",1063
"ENSG00000104219",792
"ENSG00000104221",272
"ENSG00000104228",387
"ENSG00000104231",867
"ENSG00000104237",8
"ENSG00000104267",339
"ENSG00000104290",1716
"ENSG00000104299",424
"ENSG00000104312",2008
"ENSG00000104320",4989
"ENSG00000104324",329
"ENSG00000104325",705
"ENSG00000104331",3107
"ENSG00000104332",48
"ENSG00000104341",5229
"ENSG00000104343",1558
"ENSG00000104356",536
"ENSG00000104361",565
"ENSG00000104365",1328
"ENSG00000104368",740
"ENSG00000104369",152
"ENSG00000104375",1864
"ENSG00000104381",571
"ENSG00000104388",2432
"ENSG00000104408",3682
"ENSG00000104412",911
"ENSG00000104413",2713
"ENSG00000104415",220
"ENSG00000104419",1976
"ENSG00000104427",636
"ENSG00000104432",105
"ENSG00000104442",1244
"ENSG00000104447",1194
"ENSG00000104450",3915
"ENSG00000104472",370
"ENSG00000104490",239
"ENSG00000104497",413
"ENSG00000104517",37790
"ENSG00000104518",539
"ENSG00000104522",794
"ENSG00000104524",178
"ENSG00000104529",1771
"ENSG00000104537",30
"ENSG00000104549",1449
"ENSG00000104611",1726
"ENSG00000104613",1423
"ENSG00000104626",1787
"ENSG00000104635",2371
"ENSG00000104643",1269
"ENSG00000104660",1741
"ENSG00000104671",412
"ENSG00000104679",235
"ENSG00000104687",3039
"ENSG00000104689",1037
"ENSG00000104691",271
"ENSG00000104695",1990
"ENSG00000104714",409
"ENSG00000104723",88
"ENSG00000104728",647
"ENSG00000104731",472
"ENSG00000104738",6541
"ENSG00000104756",1059
"ENSG00000104763",4906
"ENSG00000104765",2906
"ENSG00000104774",606
"ENSG00000104783",88
"ENSG00000104805",1532
"ENSG00000104812",615
"ENSG00000104823",468
"ENSG00000104824",2693
"ENSG00000104825",153
"ENSG00000104835",73
"ENSG00000104852",1350
"ENSG00000104853",1276
"ENSG00000104856",479
"ENSG00000104859",231
"ENSG00000104866",349
"ENSG00000104870",847
"ENSG00000104872",805
"ENSG00000104880",84
"ENSG00000104881",482
"ENSG00000104883",18
"ENSG00000104884",316
"ENSG00000104885",546
"ENSG00000104886",311
"ENSG00000104889",449
"ENSG00000104894",66
"ENSG00000104897",256
"ENSG00000104904",2893
"ENSG00000104907",300
"ENSG00000104915",194
"ENSG00000104936",84
"ENSG00000104946",286
"ENSG00000104953",15
"ENSG00000104957",225
"ENSG00000104960",758
"ENSG00000104964",979
"ENSG00000104969",572
"ENSG00000104973",382
"ENSG00000104976",74
"ENSG00000104979",585
"ENSG00000104980",341
"ENSG00000104983",86
"ENSG00000104998",150
"ENSG00000105011",526
"ENSG00000105053",677
"ENSG00000105058",1002
"ENSG00000105063",1256
"ENSG00000105072",146
"ENSG00000105085",120
"ENSG00000105122",76
"ENSG00000105127",575
"ENSG00000105135",816
"ENSG00000105136",258
"ENSG00000105137",145
"ENSG00000105171",667
"ENSG00000105173",295
"ENSG00000105176",2456
"ENSG00000105185",1594
"ENSG00000105186",1508
"ENSG00000105193",3823
"ENSG00000105197",904
"ENSG00000105202",1666
"ENSG00000105204",41
"ENSG00000105220",6033
"ENSG00000105221",1458
"ENSG00000105223",1627
"ENSG00000105227",19
"ENSG00000105229",218
"ENSG00000105245",134
"ENSG00000105248",178
"ENSG00000105254",789
"ENSG00000105258",275
"ENSG00000105270",22
"ENSG00000105281",2167
"ENSG00000105287",669
"ENSG00000105289",194
"ENSG00000105298",146
"ENSG00000105321",204
"ENSG00000105323",5005
"ENSG00000105325",317
"ENSG00000105327",90
"ENSG00000105329",561
"ENSG00000105339",1931
"ENSG00000105341",580
"ENSG00000105355",1135
"ENSG00000105357",4232
"ENSG00000105364",270
"ENSG00000105372",8946
"ENSG00000105373",1055
"ENSG00000105379",237
"ENSG00000105388",1014
"ENSG00000105393",216
"ENSG00000105397",940
"ENSG00000105401",1228
"ENSG00000105402",890
"ENSG00000105404",222
"ENSG00000105426",160
"ENSG00000105429",664
"ENSG00000105438",2107
"ENSG00000105443",830
"ENSG00000105447",698
"ENSG00000105472",13
"ENSG00000105483",1693
"ENSG00000105486",791
"ENSG00000105497",395
"ENSG00000105499",66
"ENSG00000105514",751
"ENSG00000105516",20
"ENSG00000105518",410
"ENSG00000105519",186
"ENSG00000105520",58
"ENSG00000105523",52
"ENSG00000105538",201
"ENSG00000105552",350
"ENSG00000105556",199
"ENSG00000105559",250
"ENSG00000105568",3821
"ENSG00000105576",1147
"ENSG00000105583",583
"ENSG00000105607",220
"ENSG00000105609",84
"ENSG00000105612",411
"ENSG00000105617",93
"ENSG00000105618",821
"ENSG00000105619",195
"ENSG00000105639",586
"ENSG00000105640",113
"ENSG00000105643",316
"ENSG00000105650",14
"ENSG00000105655",506
"ENSG00000105656",238
"ENSG00000105662",65
"ENSG00000105669",383
"ENSG00000105671",373
"ENSG00000105676",325
"ENSG00000105677",1082
"ENSG00000105698",541
"ENSG00000105699",2082
"ENSG00000105700",487
"ENSG00000105701",850
"ENSG00000105705",284
"ENSG00000105708",358
"ENSG00000105717",38
"ENSG00000105722",232
"ENSG00000105723",277
"ENSG00000105726",670
"ENSG00000105732",241
"ENSG00000105738",1245
"ENSG00000105750",413
"ENSG00000105755",213
"ENSG00000105767",216
"ENSG00000105771",426
"ENSG00000105778",3554
"ENSG00000105792",279
"ENSG00000105793",633
"ENSG00000105810",10374
"ENSG00000105819",1086
"ENSG00000105821",1219
"ENSG00000105829",323
"ENSG00000105835",4663
"ENSG00000105849",2300
"ENSG00000105851",339
"ENSG00000105852",967
"ENSG00000105854",7066
"ENSG00000105855",41965
"ENSG00000105856",1515
"ENSG00000105865",286
"ENSG00000105866",566
"ENSG00000105875",316
"ENSG00000105877",9
"ENSG00000105879",746
"ENSG00000105887",4988
"ENSG00000105894",41
"ENSG00000105926",969
"ENSG00000105928",197
"ENSG00000105939",4952
"ENSG00000105948",428
"ENSG00000105953",2484
"ENSG00000105963",133
"ENSG00000105967",587
"ENSG00000105968",3308
"ENSG00000105971",2675
"ENSG00000105974",1333
"ENSG00000105976",19246
"ENSG00000105982",23
"ENSG00000105983",2532
"ENSG00000105993",1886
"ENSG00000106003",142
"ENSG00000106009",263
"ENSG00000106012",573
"ENSG00000106025",844
"ENSG00000106028",1387
"ENSG00000106034",126
"ENSG00000106049",1976
"ENSG00000106052",6556
"ENSG00000106066",690
"ENSG00000106069",191
"ENSG00000106070",1301
"ENSG00000106077",405
"ENSG00000106078",907
"ENSG00000106080",615
"ENSG00000106086",1491
"ENSG00000106089",75
"ENSG00000106100",577
"ENSG00000106105",4327
"ENSG00000106123",34
"ENSG00000106125",68
"ENSG00000106133",40
"ENSG00000106144",1046
"ENSG00000106153",1616
"ENSG00000106211",1316
"ENSG00000106236",4
"ENSG00000106244",596
"ENSG00000106245",972
"ENSG00000106246",38
"ENSG00000106258",2443
"ENSG00000106261",2289
"ENSG00000106263",6082
"ENSG00000106266",344
"ENSG00000106268",168
"ENSG00000106278",6
"ENSG00000106290",419
"ENSG00000106299",3233
"ENSG00000106305",779
"ENSG00000106330",58
"ENSG00000106333",107
"ENSG00000106344",1645
"ENSG00000106346",692
"ENSG00000106348",578
"ENSG00000106351",208
"ENSG00000106355",1407
"ENSG00000106366",233
"ENSG00000106367",691
"ENSG00000106392",2558
"ENSG00000106397",957
"ENSG00000106399",686
"ENSG00000106400",498
"ENSG00000106404",37
"ENSG00000106415",948
"ENSG00000106443",3192
"ENSG00000106459",427
"ENSG00000106460",2815
"ENSG00000106462",1632
"ENSG00000106477",434
"ENSG00000106479",136
"ENSG00000106483",915
"ENSG00000106484",73
"ENSG00000106524",1112
"ENSG00000106526",545
"ENSG00000106537",2148
"ENSG00000106538",808
"ENSG00000106541",7584
"ENSG00000106546",24930
"ENSG00000106554",1049
"ENSG00000106560",224
"ENSG00000106565",335
"ENSG00000106571",180
"ENSG00000106588",708
"ENSG00000106591",1192
"ENSG00000106603",1825
"ENSG00000106605",671
"ENSG00000106608",867
"ENSG00000106609",2319
"ENSG00000106610",157
"ENSG00000106615",666
"ENSG00000106617",306
"ENSG00000106624",1094
"ENSG00000106628",1214
"ENSG00000106635",309
"ENSG00000106636",2194
"ENSG00000106638",753
"ENSG00000106665",334
"ENSG00000106682",1811
"ENSG00000106683",382
"ENSG00000106686",259
"ENSG00000106688",2319
"ENSG00000106692",1943
"ENSG00000106701",578
"ENSG00000106723",4480
"ENSG00000106733",310
"ENSG00000106771",5464
"ENSG00000106772",1127
"ENSG00000106780",1801
"ENSG00000106785",1152
"ENSG00000106789",1372
"ENSG00000106799",7342
"ENSG00000106803",838
"ENSG00000106804",155
"ENSG00000106809",4
"ENSG00000106819",47
"ENSG00000106823",84
"ENSG00000106829",193
"ENSG00000106853",895
"ENSG00000106868",1465
"ENSG00000106948",496
"ENSG00000106976",902
"ENSG00000106991",339
"ENSG00000106992",8
"ENSG00000106993",447
"ENSG00000107020",191
"ENSG00000107021",282
"ENSG00000107036",2044
"ENSG00000107077",534
"ENSG00000107099",2243
"ENSG00000107104",584
"ENSG00000107130",385
"ENSG00000107140",189
"ENSG00000107159",1185
"ENSG00000107164",1010
"ENSG00000107175",608
"ENSG00000107185",830
"ENSG00000107186",294
"ENSG00000107201",5331
"ENSG00000107223",1714
"ENSG00000107242",10
"ENSG00000107249",1857
"ENSG00000107262",675
"ENSG00000107263",1248
"ENSG00000107281",142
"ENSG00000107282",45
"ENSG00000107290",9231
"ENSG00000107317",4
"ENSG00000107331",384
"ENSG00000107338",172
"ENSG00000107341",1359
"ENSG00000107362",415
"ENSG00000107371",627
"ENSG00000107372",4814
"ENSG00000107404",831
"ENSG00000107438",2810
"ENSG00000107443",577
"ENSG00000107518",25
"ENSG00000107521",566
"ENSG00000107537",578
"ENSG00000107551",807
"ENSG00000107554",1113
"ENSG00000107560",1071
"ENSG00000107562",82
"ENSG00000107566",1497
"ENSG00000107581",10188
"ENSG00000107611",239
"ENSG00000107614",716
"ENSG00000107625",1344
"ENSG00000107643",1361
"ENSG00000107651",2601
"ENSG00000107669",2355
"ENSG00000107672",1067
"ENSG00000107679",4325
"ENSG00000107719",55
"ENSG00000107731",221
"ENSG00000107736",113
"ENSG00000107738",492
"ENSG00000107742",818
"ENSG00000107745",2023
"ENSG00000107758",1217
"ENSG00000107771",1858
"ENSG00000107779",998
"ENSG00000107789",867
"ENSG00000107796",3432
"ENSG00000107798",2766
"ENSG00000107815",407
"ENSG00000107816",497
"ENSG00000107819",838
"ENSG00000107821",93
"ENSG00000107829",391
"ENSG00000107833",345
"ENSG00000107854",4184
"ENSG00000107862",2235
"ENSG00000107863",4904
"ENSG00000107864",350
"ENSG00000107872",70
"ENSG00000107874",315
"ENSG00000107882",272
"ENSG00000107890",1581
"ENSG00000107897",2957
"ENSG00000107902",78
"ENSG00000107929",6958
"ENSG00000107937",4405
"ENSG00000107938",1717
"ENSG00000107949",1596
"ENSG00000107951",1789
"ENSG00000107954",1
"ENSG00000107957",1344
"ENSG00000107959",3152
"ENSG00000107960",460
"ENSG00000107968",1496
"ENSG00000107984",306
"ENSG00000108010",2080
"ENSG00000108021",10210
"ENSG00000108039",2174
"ENSG00000108055",4022
"ENSG00000108061",3136
"ENSG00000108064",2917
"ENSG00000108091",4729
"ENSG00000108094",2317
"ENSG00000108100",2435
"ENSG00000108106",146
"ENSG00000108107",2089
"ENSG00000108175",926
"ENSG00000108176",204
"ENSG00000108179",1281
"ENSG00000108187",371
"ENSG00000108219",2822
"ENSG00000108239",993
"ENSG00000108242",475
"ENSG00000108244",1285
"ENSG00000108256",8456
"ENSG00000108262",774
"ENSG00000108298",11861
"ENSG00000108306",1231
"ENSG00000108312",1553
"ENSG00000108344",2647
"ENSG00000108349",2236
"ENSG00000108352",306
"ENSG00000108375",241
"ENSG00000108381",0
"ENSG00000108384",414
"ENSG00000108387",34
"ENSG00000108389",1684
"ENSG00000108395",1552
"ENSG00000108406",1309
"ENSG00000108423",455
"ENSG00000108424",9692
"ENSG00000108433",530
"ENSG00000108439",484
"ENSG00000108443",1929
"ENSG00000108448",98
"ENSG00000108465",945
"ENSG00000108468",1200
"ENSG00000108469",466
"ENSG00000108474",345
"ENSG00000108479",113
"ENSG00000108506",1555
"ENSG00000108509",304
"ENSG00000108510",9552
"ENSG00000108511",128
"ENSG00000108515",56
"ENSG00000108518",3470
"ENSG00000108523",737
"ENSG00000108528",382
"ENSG00000108551",6
"ENSG00000108557",608
"ENSG00000108559",1469
"ENSG00000108561",1606
"ENSG00000108578",1208
"ENSG00000108582",10503
"ENSG00000108587",1502
"ENSG00000108588",4299
"ENSG00000108590",256
"ENSG00000108591",461
"ENSG00000108592",1685
"ENSG00000108599",1438
"ENSG00000108602",1
"ENSG00000108604",1699
"ENSG00000108622",298
"ENSG00000108639",1731
"ENSG00000108641",143
"ENSG00000108651",1680
"ENSG00000108654",21876
"ENSG00000108666",310
"ENSG00000108669",1707
"ENSG00000108671",2683
"ENSG00000108679",6345
"ENSG00000108691",457
"ENSG00000108733",108
"ENSG00000108771",440
"ENSG00000108773",435
"ENSG00000108774",622
"ENSG00000108784",173
"ENSG00000108788",641
"ENSG00000108797",68
"ENSG00000108798",53
"ENSG00000108799",652
"ENSG00000108819",430
"ENSG00000108821",13762
"ENSG00000108826",657
"ENSG00000108828",1625
"ENSG00000108829",4506
"ENSG00000108840",217
"ENSG00000108846",756
"ENSG00000108848",3638
"ENSG00000108854",1315
"ENSG00000108861",2228
"ENSG00000108883",3153
"ENSG00000108924",23
"ENSG00000108946",7201
"ENSG00000108947",12
"ENSG00000108950",336
"ENSG00000108953",5742
"ENSG00000108960",1030
"ENSG00000108961",181
"ENSG00000108963",132
"ENSG00000108984",415
"ENSG00000109016",465
"ENSG00000109046",8512
"ENSG00000109062",539
"ENSG00000109063",37
"ENSG00000109065",371
"ENSG00000109066",261
"ENSG00000109079",1358
"ENSG00000109083",390
"ENSG00000109084",1239
"ENSG00000109089",908
"ENSG00000109099",268
"ENSG00000109103",209
"ENSG00000109107",97
"ENSG00000109111",3040
"ENSG00000109113",1171
"ENSG00000109118",772
"ENSG00000109133",4937
"ENSG00000109171",1768
"ENSG00000109180",3063
"ENSG00000109184",1442
"ENSG00000109189",1079
"ENSG00000109193",783
"ENSG00000109220",357
"ENSG00000109255",33
"ENSG00000109265",35
"ENSG00000109270",991
"ENSG00000109320",2557
"ENSG00000109321",2381
"ENSG00000109323",893
"ENSG00000109332",6587
"ENSG00000109339",429
"ENSG00000109381",1443
"ENSG00000109390",381
"ENSG00000109436",1769
"ENSG00000109445",622
"ENSG00000109452",3768
"ENSG00000109458",1404
"ENSG00000109466",651
"ENSG00000109472",180
"ENSG00000109475",3282
"ENSG00000109501",188
"ENSG00000109511",253
"ENSG00000109519",1149
"ENSG00000109534",246
"ENSG00000109536",371
"ENSG00000109572",2751
"ENSG00000109576",371
"ENSG00000109586",3654
"ENSG00000109606",9397
"ENSG00000109618",539
"ENSG00000109654",2452
"ENSG00000109667",34
"ENSG00000109670",1661
"ENSG00000109674",437
"ENSG00000109680",688
"ENSG00000109685",5125
"ENSG00000109686",1376
"ENSG00000109689",913
"ENSG00000109736",563
"ENSG00000109738",157
"ENSG00000109743",531
"ENSG00000109756",2198
"ENSG00000109762",1044
"ENSG00000109771",49
"ENSG00000109775",504
"ENSG00000109787",4283
"ENSG00000109790",1930
"ENSG00000109794",477
"ENSG00000109805",2495
"ENSG00000109814",3131
"ENSG00000109819",4
"ENSG00000109846",37
"ENSG00000109854",957
"ENSG00000109861",12789
"ENSG00000109881",306
"ENSG00000109906",5
"ENSG00000109911",396
"ENSG00000109917",791
"ENSG00000109919",3085
"ENSG00000109920",5914
"ENSG00000109929",1156
"ENSG00000109944",27
"ENSG00000109971",31148
"ENSG00000110002",186
"ENSG00000110011",51
"ENSG00000110013",185
"ENSG00000110031",248
"ENSG00000110042",1476
"ENSG00000110046",528
"ENSG00000110047",913
"ENSG00000110048",1980
"ENSG00000110057",968
"ENSG00000110060",136
"ENSG00000110063",98
"ENSG00000110066",4699
"ENSG00000110074",154
"ENSG00000110075",17719
"ENSG00000110076",71
"ENSG00000110077",618
"ENSG00000110079",256
"ENSG00000110080",306
"ENSG00000110090",5031
"ENSG00000110092",11976
"ENSG00000110104",344
"ENSG00000110107",953
"ENSG00000110108",601
"ENSG00000110171",82
"ENSG00000110172",6294
"ENSG00000110200",869
"ENSG00000110218",2505
"ENSG00000110237",679
"ENSG00000110274",460
"ENSG00000110315",1895
"ENSG00000110318",567
"ENSG00000110321",27747
"ENSG00000110324",522
"ENSG00000110328",337
"ENSG00000110330",6737
"ENSG00000110344",7017
"ENSG00000110367",9429
"ENSG00000110395",4396
"ENSG00000110400",803
"ENSG00000110422",4076
"ENSG00000110427",26
"ENSG00000110429",985
"ENSG00000110435",828
"ENSG00000110442",548
"ENSG00000110446",484
"ENSG00000110455",333
"ENSG00000110492",1592
"ENSG00000110497",1429
"ENSG00000110514",1883
"ENSG00000110536",478
"ENSG00000110583",404
"ENSG00000110619",888
"ENSG00000110628",59
"ENSG00000110651",2789
"ENSG00000110660",1672
"ENSG00000110693",632
"ENSG00000110696",2351
"ENSG00000110697",2930
"ENSG00000110700",2757
"ENSG00000110711",1006
"ENSG00000110713",5134
"ENSG00000110717",1122
"ENSG00000110719",1371
"ENSG00000110721",1143
"ENSG00000110723",4336
"ENSG00000110756",1088
"ENSG00000110768",1568
"ENSG00000110777",1
"ENSG00000110799",611
"ENSG00000110801",191
"ENSG00000110811",164
"ENSG00000110841",6011
"ENSG00000110844",368
"ENSG00000110848",636
"ENSG00000110851",1221
"ENSG00000110852",236
"ENSG00000110871",700
"ENSG00000110876",188
"ENSG00000110880",6556
"ENSG00000110888",1260
"ENSG00000110900",4
"ENSG00000110906",1179
"ENSG00000110911",1823
"ENSG00000110917",9229
"ENSG00000110921",209
"ENSG00000110925",1199
"ENSG00000110931",1727
"ENSG00000110934",144
"ENSG00000110955",11191
"ENSG00000110958",9889
"ENSG00000110987",459
"ENSG00000111011",3718
"ENSG00000111012",111
"ENSG00000111052",36
"ENSG00000111057",13641
"ENSG00000111058",53
"ENSG00000111077",95
"ENSG00000111087",18
"ENSG00000111110",1051
"ENSG00000111142",3362
"ENSG00000111144",4488
"ENSG00000111145",2299
"ENSG00000111181",23
"ENSG00000111196",830
"ENSG00000111199",40
"ENSG00000111203",334
"ENSG00000111206",1314
"ENSG00000111215",252
"ENSG00000111224",537
"ENSG00000111229",3157
"ENSG00000111231",695
"ENSG00000111237",2159
"ENSG00000111247",894
"ENSG00000111252",1084
"ENSG00000111261",491
"ENSG00000111266",1127
"ENSG00000111269",896
"ENSG00000111271",729
"ENSG00000111275",1226
"ENSG00000111276",1000
"ENSG00000111300",3996
"ENSG00000111319",733
"ENSG00000111321",1010
"ENSG00000111328",1063
"ENSG00000111331",15952
"ENSG00000111335",8005
"ENSG00000111341",745
"ENSG00000111344",229
"ENSG00000111348",1112
"ENSG00000111358",1618
"ENSG00000111361",1460
"ENSG00000111364",1172
"ENSG00000111371",26456
"ENSG00000111412",2349
"ENSG00000111424",397
"ENSG00000111445",1112
"ENSG00000111450",1100
"ENSG00000111481",3024
"ENSG00000111490",536
"ENSG00000111530",10201
"ENSG00000111540",2575
"ENSG00000111554",577
"ENSG00000111581",3563
"ENSG00000111596",4457
"ENSG00000111602",1969
"ENSG00000111605",5044
"ENSG00000111615",3921
"ENSG00000111639",1237
"ENSG00000111640",22775
"ENSG00000111641",1107
"ENSG00000111642",8103
"ENSG00000111647",1352
"ENSG00000111652",584
"ENSG00000111653",306
"ENSG00000111665",393
"ENSG00000111666",1241
"ENSG00000111667",1235
"ENSG00000111669",5069
"ENSG00000111670",4555
"ENSG00000111671",124
"ENSG00000111674",1343
"ENSG00000111676",504
"ENSG00000111678",352
"ENSG00000111679",544
"ENSG00000111684",668
"ENSG00000111696",1099
"ENSG00000111701",0
"ENSG00000111707",2876
"ENSG00000111711",2221
"ENSG00000111716",10443
"ENSG00000111725",987
"ENSG00000111726",663
"ENSG00000111727",677
"ENSG00000111728",12
"ENSG00000111731",2274
"ENSG00000111737",1106
"ENSG00000111752",80
"ENSG00000111775",1060
"ENSG00000111785",718
"ENSG00000111786",2542
"ENSG00000111788",33
"ENSG00000111790",1463
"ENSG00000111799",2684
"ENSG00000111801",747
"ENSG00000111802",753
"ENSG00000111816",3313
"ENSG00000111817",3183
"ENSG00000111832",525
"ENSG00000111843",1233
"ENSG00000111845",709
"ENSG00000111846",346
"ENSG00000111850",194
"ENSG00000111859",1893
"ENSG00000111860",230
"ENSG00000111863",128
"ENSG00000111875",366
"ENSG00000111877",683
"ENSG00000111879",22
"ENSG00000111880",1053
"ENSG00000111885",610
"ENSG00000111897",4089
"ENSG00000111906",500
"ENSG00000111907",544
"ENSG00000111911",640
"ENSG00000111912",1601
"ENSG00000111913",310
"ENSG00000111961",343
"ENSG00000111962",124
"ENSG00000112029",481
"ENSG00000112031",160
"ENSG00000112033",283
"ENSG00000112039",124
"ENSG00000112062",1700
"ENSG00000112078",2194
"ENSG00000112079",1878
"ENSG00000112081",6279
"ENSG00000112096",12907
"ENSG00000112110",702
"ENSG00000112118",2755
"ENSG00000112130",382
"ENSG00000112137",272
"ENSG00000112144",597
"ENSG00000112146",679
"ENSG00000112149",493
"ENSG00000112159",5869
"ENSG00000112167",207
"ENSG00000112182",28
"ENSG00000112186",98
"ENSG00000112200",3453
"ENSG00000112208",802
"ENSG00000112210",947
"ENSG00000112214",5
"ENSG00000112218",71
"ENSG00000112234",1414
"ENSG00000112237",1822
"ENSG00000112242",776
"ENSG00000112245",7879
"ENSG00000112249",5294
"ENSG00000112276",642
"ENSG00000112282",1376
"ENSG00000112290",44
"ENSG00000112293",35
"ENSG00000112294",419
"ENSG00000112297",3231
"ENSG00000112299",951
"ENSG00000112303",318
"ENSG00000112304",279
"ENSG00000112305",903
"ENSG00000112306",2900
"ENSG00000112308",4107
"ENSG00000112312",1191
"ENSG00000112320",16
"ENSG00000112335",1996
"ENSG00000112339",1491
"ENSG00000112343",1323
"ENSG00000112357",166
"ENSG00000112365",493
"ENSG00000112367",697
"ENSG00000112378",6293
"ENSG00000112379",2614
"ENSG00000112394",119
"ENSG00000112406",919
"ENSG00000112414",18282
"ENSG00000112419",2792
"ENSG00000112425",100
"ENSG00000112473",1106
"ENSG00000112511",215
"ENSG00000112514",475
"ENSG00000112530",1
"ENSG00000112531",3435
"ENSG00000112541",1678
"ENSG00000112559",179
"ENSG00000112561",66
"ENSG00000112562",56
"ENSG00000112576",641
"ENSG00000112578",300
"ENSG00000112584",813
"ENSG00000112592",234
"ENSG00000112624",585
"ENSG00000112640",575
"ENSG00000112651",164
"ENSG00000112655",757
"ENSG00000112658",360
"ENSG00000112659",530
"ENSG00000112667",128
"ENSG00000112679",357
"ENSG00000112685",1191
"ENSG00000112695",906
"ENSG00000112697",5581
"ENSG00000112699",520
"ENSG00000112701",2768
"ENSG00000112715",2401
"ENSG00000112739",3927
"ENSG00000112742",1309
"ENSG00000112759",574
"ENSG00000112763",452
"ENSG00000112769",1180
"ENSG00000112773",1171
"ENSG00000112782",198
"ENSG00000112787",316
"ENSG00000112796",24
"ENSG00000112812",91
"ENSG00000112818",0
"ENSG00000112837",31
"ENSG00000112851",8562
"ENSG00000112855",826
"ENSG00000112874",707
"ENSG00000112877",244
"ENSG00000112893",4877
"ENSG00000112902",186
"ENSG00000112936",43
"ENSG00000112941",921
"ENSG00000112964",11
"ENSG00000112972",3634
"ENSG00000112977",1943
"ENSG00000112981",59
"ENSG00000112983",1326
"ENSG00000112984",1998
"ENSG00000112992",2474
"ENSG00000112996",1594
"ENSG00000113013",9498
"ENSG00000113048",1545
"ENSG00000113068",932
"ENSG00000113070",292
"ENSG00000113083",328
"ENSG00000113108",105
"ENSG00000113119",154
"ENSG00000113140",6017
"ENSG00000113141",1343
"ENSG00000113161",3175
"ENSG00000113163",2247
"ENSG00000113194",2642
"ENSG00000113209",126
"ENSG00000113231",9
"ENSG00000113240",1137
"ENSG00000113248",29
"ENSG00000113263",102
"ENSG00000113269",865
"ENSG00000113272",451
"ENSG00000113273",615
"ENSG00000113282",4977
"ENSG00000113296",11
"ENSG00000113300",3004
"ENSG00000113303",13
"ENSG00000113312",1020
"ENSG00000113318",1310
"ENSG00000113319",582
"ENSG00000113328",3316
"ENSG00000113356",670
"ENSG00000113360",2425
"ENSG00000113361",16638
"ENSG00000113368",3729
"ENSG00000113369",7222
"ENSG00000113384",2738
"ENSG00000113387",2731
"ENSG00000113389",130
"ENSG00000113391",635
"ENSG00000113407",4805
"ENSG00000113441",7275
"ENSG00000113448",1269
"ENSG00000113456",970
"ENSG00000113460",1514
"ENSG00000113494",832
"ENSG00000113504",1252
"ENSG00000113522",4314
"ENSG00000113532",1251
"ENSG00000113552",968
"ENSG00000113555",41
"ENSG00000113558",2878
"ENSG00000113569",5190
"ENSG00000113575",4212
"ENSG00000113580",5313
"ENSG00000113583",2765
"ENSG00000113593",1170
"ENSG00000113594",323
"ENSG00000113595",760
"ENSG00000113597",1003
"ENSG00000113615",2664
"ENSG00000113621",768
"ENSG00000113638",451
"ENSG00000113643",3474
"ENSG00000113645",2080
"ENSG00000113648",7215
"ENSG00000113649",4184
"ENSG00000113657",1835
"ENSG00000113658",2761
"ENSG00000113712",3762
"ENSG00000113716",1862
"ENSG00000113719",2473
"ENSG00000113721",349
"ENSG00000113732",2540
"ENSG00000113734",229
"ENSG00000113739",449
"ENSG00000113742",1203
"ENSG00000113758",1151
"ENSG00000113761",353
"ENSG00000113790",632
"ENSG00000113805",1
"ENSG00000113810",11320
"ENSG00000113811",759
"ENSG00000113812",982
"ENSG00000113838",514
"ENSG00000113845",1107
"ENSG00000113851",768
"ENSG00000113916",735
"ENSG00000113924",598
"ENSG00000113966",481
"ENSG00000113971",168
"ENSG00000114013",377
"ENSG00000114019",883
"ENSG00000114021",1404
"ENSG00000114023",597
"ENSG00000114026",151
"ENSG00000114030",3667
"ENSG00000114054",947
"ENSG00000114062",3703
"ENSG00000114098",1815
"ENSG00000114107",1744
