external_gene_name,description,search_id,MeSH_count,andGene_count,description_count,best_score
KIF2B,kinesin family member 2B ,KIF2B,5,,,5
CALM2,calmodulin 2 ,CALM2,19,,,19
ACKR2,atypical chemokine receptor 2 ,ACKR2,11,,,11
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1 ",ITPR1,39,,,39
MIS18A,MIS18 kinetochore protein A ,MIS18A,1,,,1
RACGAP1,Rac GTPase activating protein 1 ,RACGAP1,98,,,98
CXCL3,C-X-C motif chemokine ligand 3 ,CXCL3,129,,,129
ATRIP,ATR interacting protein ,ATRIP,19,0,9,9
KLKB1,kallikrein B1 ,KLKB1,10,,,10
COL1A2,collagen type I alpha 2 chain ,COL1A2,234,,,234
KRT19,keratin 19 ,KRT19,174,,,174
KRT38,keratin 38 ,KRT38,2,,,2
KRT9,keratin 9 ,KRT9,6,,,6
MUS81,MUS81 structure-specific endonuclease subunit ,MUS81,47,,,47
ADCY5,adenylate cyclase 5 ,ADCY5,15,,,15
SAA1,serum amyloid A1 ,SAA1,109,,,109
CCNE2,cyclin E2 ,CCNE2,141,,,141
BDNF,brain derived neurotrophic factor ,BDNF,676,,,676
PLEC,plectin ,PLEC,35,,,35
MYL11,myosin light chain 11 ,MYL11,0,,,0
DIABLO,diablo IAP-binding mitochondrial protein ,DIABLO,385,,,385
PPP1CC,protein phosphatase 1 catalytic subunit gamma ,PPP1CC,7,,,7
KRT16,keratin 16 ,KRT16,49,,,49
COL4A1,collagen type IV alpha 1 chain ,COL4A1,119,,,119
EPHB4,EPH receptor B4 ,EPHB4,237,,,237
MYO18A,myosin XVIIIA ,MYO18A,12,,,12
C4A,complement C4A (Chido/Rodgers blood group) ,C4A,67,,,67
GH1,growth hormone 1 ,GH1,40,,,40
CCL4,C-C motif chemokine ligand 4 ,CCL4,425,,,425
UHRF1,ubiquitin like with PHD and ring finger domains 1 ,UHRF1,245,,,245
APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein ,APBB1IP,10,,,10
KRT31,keratin 31 ,KRT31,1,,,1
RIGI,RNA sensor RIG-I ,RIGI,211,,,211
EFNB3,ephrin B3 ,EFNB3,21,,,21
MYH3,myosin heavy chain 3 ,MYH3,8,,,8
ITGA4,integrin subunit alpha 4 ,ITGA4,84,,,84
FGF23,fibroblast growth factor 23 ,FGF23,363,,,363
TUBA1B,tubulin alpha 1b ,TUBA1B,25,,,25
EPO,erythropoietin ,EPO,1310,,,1310
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1 ,DNAJB1,91,,,91
KL,klotho ,klotho ,170,,,170
ACVR1B,activin A receptor type 1B ,ACVR1B,21,,,21
CCDC115,coiled-coil domain containing 115 ,CCDC115,2,,,2
TCF12,transcription factor 12 ,TCF12,70,,,70
FCN3,ficolin 3 ,FCN3,21,,,21
EME1,essential meiotic structure-specific endonuclease 1 ,EME1,21,,,21
IL6R,interleukin 6 receptor ,IL6R,581,,,581
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1 ,ATP1A1,96,,,96
CLDN3,claudin 3 ,CLDN3,100,,,100
CLDN2,claudin 2 ,CLDN2,43,,,43
RAB8A,"RAB8A, member RAS oncogene family ",RAB8A,19,,,19
ATP5ME,ATP synthase membrane subunit e ,ATP5ME,1,,,1
MECP2,methyl-CpG binding protein 2 ,MECP2,172,,,172
INSR,insulin receptor ,INSR,242,,,242
KRT15,keratin 15 ,KRT15,33,,,33
ADRA1D,adrenoceptor alpha 1D ,ADRA1D,6,,,6
CKS1B,CDC28 protein kinase regulatory subunit 1B ,CKS1B,85,,,85
THBD,thrombomodulin ,THBD,33,,,33
EPHB3,EPH receptor B3 ,EPHB3,62,,,62
EPOR,erythropoietin receptor ,EPOR,367,,,367
KRT40,keratin 40 ,KRT40,1,,,1
KLRK1,killer cell lectin like receptor K1 ,KLRK1,32,,,32
TMEM199,transmembrane protein 199 ,TMEM199,1,,,1
IKBKE,inhibitor of nuclear factor kappa B kinase subunit epsilon ,IKBKE,66,,,66
AATF,apoptosis antagonizing transcription factor ,AATF,28,,,28
CD79B,CD79b molecule ,CD79B,406,,,406
MASP2,MBL associated serine protease 2 ,MASP2,37,,,37
TYROBP,transmembrane immune signaling adaptor TYROBP ,TYROBP,52,,,52
CLDN11,claudin 11 ,CLDN11,28,,,28
ATP1A2,ATPase Na+/K+ transporting subunit alpha 2 ,ATP1A2,12,,,12
F7,coagulation factor VII ,coagulation factor VII ,45,,,45
CLDN18,claudin 18 ,CLDN18,164,,,164
PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma ,PPP2R5C,25,,,25
PSEN1,presenilin 1 ,PSEN1,55,,,55
AVP,arginine vasopressin ,AVP,218,,,218
EEF1A2,eukaryotic translation elongation factor 1 alpha 2 ,EEF1A2,93,,,93
RAB3A,"RAB3A, member RAS oncogene family ",RAB3A,26,,,26
KRT37,keratin 37 ,KRT37,1,,,1
CCL7,C-C motif chemokine ligand 7 ,CCL7,98,,,98
IFIH1,interferon induced with helicase C domain 1 ,IFIH1,21,,,21
TNFAIP3,TNF alpha induced protein 3 ,TNFAIP3,284,,,284
VAMP8,vesicle associated membrane protein 8 ,VAMP8,26,,,26
DCLRE1B,DNA cross-link repair 1B ,DCLRE1B,11,,,11
ADRA1A,adrenoceptor alpha 1A ,ADRA1A,15,,,15
PLG,plasminogen ,PLG,169,,,169
VAMP7,vesicle associated membrane protein 7 ,VAMP7,18,,,18
COL21A1,collagen type XXI alpha 1 chain ,COL21A1,5,,,5
MYH2,myosin heavy chain 2 ,MYH2,11,,,11
KRT33B,keratin 33B ,KRT33B,2,,,2
TOP2A,DNA topoisomerase II alpha ,TOP2A,831,,,831
IL6ST,interleukin 6 cytokine family signal transducer ,IL6ST,84,,,84
GH2,growth hormone 2 ,GH2,8,,,8
GATA4,GATA binding protein 4 ,GATA4,206,,,206
TUBB2B,tubulin beta 2B class IIb ,TUBB2B,19,,,19
TPM1,tropomyosin 1 ,TPM1,78,,,78
PDIA3,protein disulfide isomerase family A member 3 ,PDIA3,85,,,85
IGF2,insulin like growth factor 2 ,IGF2,1365,,,1365
COL22A1,collagen type XXII alpha 1 chain ,COL22A1,12,,,12
CHD3,chromodomain helicase DNA binding protein 3 ,CHD3,14,,,14
KRT20,keratin 20 ,KRT20,57,,,57
EXOSC10,exosome component 10 ,EXOSC10,3,,,3
EFNA5,ephrin A5 ,EFNA5,24,,,24
KRT5,keratin 5 ,KRT5,106,,,106
COL4A5,collagen type IV alpha 5 chain ,COL4A5,59,,,59
BLM,BLM RecQ like helicase ,BLM,679,,,679
DCLRE1A,DNA cross-link repair 1A ,DCLRE1A,4,,,4
DMD,dystrophin ,DMD,126,,,126
ATP5MF,ATP synthase membrane subunit f ,ATP5MF,2,,,2
ATP5MGL,ATP synthase membrane subunit g like ,ATP5MGL,0,,,0
MYH4,myosin heavy chain 4 ,MYH4,2,,,2
CFLAR,CASP8 and FADD like apoptosis regulator ,CFLAR,78,,,78
VCAN,versican ,VCAN,151,,,151
KITLG,KIT ligand ,KITLG,91,,,91
TNFRSF9,TNF receptor superfamily member 9 ,TNFRSF9,75,,,75
ELN,elastin ,ELN,453,,,453
PKM,pyruvate kinase M1/2 ,PKM,168,,,168
ATP1B3,ATPase Na+/K+ transporting subunit beta 3 ,ATP1B3,13,,,13
DLG1,discs large MAGUK scaffold protein 1 ,DLG1,45,,,45
MYH7B,myosin heavy chain 7B ,MYH7B,6,,,6
CDH17,cadherin 17 ,CDH17,104,,,104
COL19A1,collagen type XIX alpha 1 chain ,COL19A1,4,,,4
CDC6,cell division cycle 6 ,CDC6,209,,,209
COL20A1,collagen type XX alpha 1 chain ,COL20A1,4,,,4
F9,coagulation factor IX ,coagulation factor IX ,12,,,12
GATA1,GATA binding protein 1 ,GATA1,530,,,530
CCL22,C-C motif chemokine ligand 22 ,CCL22,299,,,299
CD79A,CD79a molecule ,CD79A,859,,,859
EPHB6,EPH receptor B6 ,EPHB6,80,,,80
CLDN15,claudin 15 ,CLDN15,6,,,6
AGR2,"anterior gradient 2, protein disulphide isomerase family member ",AGR2,234,,,234
KRT32,keratin 32 ,KRT32,1,,,1
MYH1,myosin heavy chain 1 ,MYH1,11,,,11
GLP1R,glucagon like peptide 1 receptor ,GLP1R,102,,,102
SMAD5,SMAD family member 5 ,SMAD5,93,,,93
COLEC11,collectin subfamily member 11 ,COLEC11,4,,,4
KIF14,kinesin family member 14 ,KIF14,86,,,86
DMAC2L,distal membrane arm assembly component 2 like ,DMAC2L,0,,,0
MIS18BP1,MIS18 binding protein 1 ,MIS18BP1,1,,,1
KRT34,keratin 34 ,KRT34,1,,,1
SNAP25,synaptosome associated protein 25 ,SNAP25,65,,,65
MYH8,myosin heavy chain 8 ,MYH8,5,,,5
TUBB2A,tubulin beta 2A class IIa ,TUBB2A,20,,,20
SMAD6,SMAD family member 6 ,SMAD6,76,,,76
MARVELD2,MARVEL domain containing 2 ,MARVELD2,1,,,1
GTF2E1,general transcription factor IIE subunit 1 ,GTF2E1,2,,,2
BUB3,BUB3 mitotic checkpoint protein ,BUB3,75,,,75
ATP5PF,ATP synthase peripheral stalk subunit F6 ,ATP5PF,0,,,0
MYL3,myosin light chain 3 ,MYL3,4,,,4
RICTOR,RPTOR independent companion of MTOR complex 2 ,RICTOR,353,,,353
TERT,telomerase reverse transcriptase ,TERT,3578,,,3578
FBN1,fibrillin 1 ,FBN1,83,,,83
COL4A3,collagen type IV alpha 3 chain ,COL4A3,27,,,27
HSPB3,heat shock protein family B (small) member 3 ,HSPB3,5,,,5
GJB1,gap junction protein beta 1 ,GJB1,9,,,9
KRT78,keratin 78 ,KRT78,6,,,6
KRT13,keratin 13 ,KRT13,36,,,36
EHMT1,euchromatic histone lysine methyltransferase 1 ,EHMT1,31,,,31
COLEC10,collectin subfamily member 10 ,COLEC10,6,,,6
KRT39,keratin 39 ,KRT39,0,,,0
KRT35,keratin 35 ,KRT35,1,,,1
ELANE,"elastase, neutrophil expressed ",ELANE,45,,,45
FAN1,FANCD2 and FANCI associated nuclease 1 ,FAN1,18,,,18
GABBR1,gamma-aminobutyric acid type B receptor subunit 1 ,GABBR1,17,,,17
IGLV10-54,immunoglobulin lambda variable 10-54 ,IGLV10-54,1,,,1
CLDN9,claudin 9 ,CLDN9,16,,,16
COL28A1,collagen type XXVIII alpha 1 chain ,COL28A1,1,,,1
CORT,cortistatin ,CORT,46,,,46
ATP5MF-PTCD1,ATP5MF-PTCD1 readthrough ,ATP5MF-PTCD1,0,,,0
H4C7,H4 clustered histone 7 ,H4C7,0,,,0
PAX6,paired box 6 ,PAX6,248,,,248
NOTCH3,notch receptor 3 ,NOTCH3,570,,,570
TRAF5,TNF receptor associated factor 5 ,TRAF5,48,,,48
FCN1,ficolin 1 ,FCN1,9,,,9
OIP5,Opa interacting protein 5 ,OIP5,133,,,133
UBR5,ubiquitin protein ligase E3 component n-recognin 5 ,UBR5,71,,,71
MYH14,myosin heavy chain 14 ,MYH14,10,,,10
APOA4,apolipoprotein A4 ,APOA4,23,,,23
NANOG,Nanog homeobox ,NANOG,1887,,,1887
HBEGF,heparin binding EGF like growth factor ,HBEGF,383,,,383
CLDN16,claudin 16 ,CLDN16,8,,,8
ITGB6,integrin subunit beta 6 ,ITGB6,63,,,63
CENPF,centromere protein F ,CENPF,176,,,176
NUP214,nucleoporin 214 ,NUP214,164,,,164
ATP1B2,ATPase Na+/K+ transporting subunit beta 2 ,ATP1B2,13,,,13
CCL25,C-C motif chemokine ligand 25 ,CCL25,74,,,74
MYO18B,myosin XVIIIB ,MYO18B,21,,,21
NOTCH2,notch receptor 2 ,NOTCH2,616,,,616
CLDN10,claudin 10 ,CLDN10,32,,,32
KRT85,keratin 85 ,KRT85,2,,,2
KRT7,keratin 7 ,KRT7,82,,,82
TANK,TRAF family member associated NFKB activator ,TANK,319,2,0,2
SDCBP,syndecan binding protein ,SDCBP,40,,,40
SEC24B,"SEC24 homolog B, COPII coat complex component ",SEC24B,4,,,4
ARHGDIA,Rho GDP dissociation inhibitor alpha ,ARHGDIA,15,,,15
HDAC8,histone deacetylase 8 ,HDAC8,160,,,160
CLDN17,claudin 17 ,CLDN17,6,,,6
CLDN8,claudin 8 ,CLDN8,12,,,12
ACAN,aggrecan ,ACAN,23,,,23
CLDN14,claudin 14 ,CLDN14,8,,,8
KIF15,kinesin family member 15 ,KIF15,53,,,53
RFC4,replication factor C subunit 4 ,RFC4,54,,,54
CLDN19,claudin 19 ,CLDN19,1,,,1
INPPL1,inositol polyphosphate phosphatase like 1 ,INPPL1,14,,,14
KRT80,keratin 80 ,KRT80,22,,,22
LGALS9,galectin 9 ,LGALS9,59,,,59
ITGAM,integrin subunit alpha M ,ITGAM,49,,,49
KRT75,keratin 75 ,KRT75,2,,,2
KRT6C,keratin 6C ,KRT6C,17,,,17
FPR2,formyl peptide receptor 2 ,FPR2,48,,,48
CLDN20,claudin 20 ,CLDN20,1,,,1
KRT27,keratin 27 ,KRT27,1,,,1
CLDN22,claudin 22 ,CLDN22,1,,,1
CLDN6,claudin 6 ,CLDN6,58,,,58
SIAH1,siah E3 ubiquitin protein ligase 1 ,SIAH1,105,,,105
EME2,essential meiotic structure-specific endonuclease subunit 2 ,EME2,4,,,4
LPAR1,lysophosphatidic acid receptor 1 ,LPAR1,74,,,74
MYL4,myosin light chain 4 ,MYL4,0,,,0
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5 ",HLA-DRB5,23,,,23
PLN,phospholamban ,PLN,303,,,303
L1CAM,L1 cell adhesion molecule ,L1CAM,382,,,382
HLA-C,"major histocompatibility complex, class I, C ",HLA-C,343,,,343
SLCO6A1,solute carrier organic anion transporter family member 6A1 ,SLCO6A1,2,,,2
MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8 ,MT-ATP8,5,,,5
ERVW-1,"endogenous retrovirus group W member 1, envelope ",ERVW-1,6,,,6
CLDN23,claudin 23 ,CLDN23,10,,,10
KRT33A,keratin 33A ,KRT33A,0,,,0
KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2 ,KCNAB2,8,,,8
EPHA8,EPH receptor A8 ,EPHA8,22,,,22
UBE2T,ubiquitin conjugating enzyme E2 T ,UBE2T,84,,,84
TCF7,transcription factor 7 ,TCF7,137,,,137
TGFB2,transforming growth factor beta 2 ,TGFB2,107,,,107
RANGAP1,Ran GTPase activating protein 1 ,RANGAP1,23,,,23
DNAJC5,DnaJ heat shock protein family (Hsp40) member C5 ,DNAJC5,5,,,5
ATP1A3,ATPase Na+/K+ transporting subunit alpha 3 ,ATP1A3,8,,,8
KRT23,keratin 23 ,KRT23,26,,,26
CAND1,cullin associated and neddylation dissociated 1 ,CAND1,25,,,25
PPP2R5D,protein phosphatase 2 regulatory subunit B'delta ,PPP2R5D,4,,,4
TFDP2,transcription factor Dp-2 ,TFDP2,14,,,14
KRT36,keratin 36 ,KRT36,1,,,1
ATP1A4,ATPase Na+/K+ transporting subunit alpha 4 ,ATP1A4,2,,,2
IGF2BP3,insulin like growth factor 2 mRNA binding protein 3 ,IGF2BP3,286,,,286
GABBR2,gamma-aminobutyric acid type B receptor subunit 2 ,GABBR2,15,,,15
ADAM10,ADAM metallopeptidase domain 10 ,ADAM10,357,,,357
NCOA2,nuclear receptor coactivator 2 ,NCOA2,192,,,192
COL6A1,collagen type VI alpha 1 chain ,COL6A1,60,,,60
NONO,non-POU domain containing octamer binding ,NONO,225,,,225
POLE3,"DNA polymerase epsilon 3, accessory subunit ",POLE3,6,,,6
DRD2,dopamine receptor D2 ,DRD2,141,,,141
SEC24D,"SEC24 homolog D, COPII coat complex component ",SEC24D,1,,,1
ATP5MJ,ATP synthase membrane subunit j ,ATP5MJ,0,,,0
TAB3,TGF-beta activated kinase 1 (MAP3K7) binding protein 3 ,TAB3,24,,,24
EPB41,erythrocyte membrane protein band 4.1 ,EPB41,7,,,7
IL3,interleukin 3 ,IL3,1367,,,1367
KRT24,keratin 24 ,KRT24,4,,,4
H1-4,"H1.4 linker histone, cluster member ",H1-4,38,,,38
KRT86,keratin 86 ,KRT86,1,,,1
KRT4,keratin 4 ,KRT4,28,,,28
KRT83,keratin 83 ,KRT83,1,,,1
PRL,prolactin ,PRL,2981,,,2981
KRT28,keratin 28 ,KRT28,3,,,3
BBS1,Bardet-Biedl syndrome 1 ,BBS1,7,,,7
CD19,CD19 molecule ,CD19,6218,,,6218
F2R,coagulation factor II thrombin receptor ,F2R,35,,,35
KRT6B,keratin 6B ,KRT6B,24,,,24
KRT79,keratin 79 ,KRT79,1,,,1
CLDN24,claudin 24 ,CLDN24,3,,,3
KRT26,keratin 26 ,KRT26,0,,,0
KRT3,keratin 3 ,KRT3,0,,,0
KRT12,keratin 12 ,KRT12,2,,,2
SELL,selectin L ,SELL,103,0,11,11
PTPN1,protein tyrosine phosphatase non-receptor type 1 ,PTPN1,76,,,76
GTF2E2,general transcription factor IIE subunit 2 ,GTF2E2,6,,,6
DPP4,dipeptidyl peptidase 4 ,DPP4,236,,,236
TPM2,tropomyosin 2 ,TPM2,42,,,42
KRT25,keratin 25 ,KRT25,2,,,2
KRT81,keratin 81 ,KRT81,24,,,24
ATP6AP1L,ATPase H+ transporting accessory protein 1 like (pseudogene) ,ATP6AP1L,1,,,1
CLDN25,claudin 25 ,CLDN25,0,,,0
CLDN34,claudin 34 ,CLDN34,1,,,1
HLA-B,"major histocompatibility complex, class I, B ",HLA-B,653,,,653
FXYD1,FXYD domain containing ion transport regulator 1 ,FXYD1,3,,,3
CCL3,C-C motif chemokine ligand 3 ,CCL3,325,,,325
TBXA2R,thromboxane A2 receptor ,TBXA2R,12,,,12
NHERF2,NHERF family PDZ scaffold protein 2 ,NHERF2,12,,,12
ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit ,ATP12A,3,,,3
COL4A4,collagen type IV alpha 4 chain ,COL4A4,13,,,13
CLSPN,claspin ,CLSPN,25,,,25
HNRNPM,heterogeneous nuclear ribonucleoprotein M ,HNRNPM,34,,,34
MCM5,minichromosome maintenance complex component 5 ,MCM5,120,,,120
VRK1,VRK serine/threonine kinase 1 ,VRK1,44,,,44
NUP98,nucleoporin 98 and 96 precursor ,NUP98,357,,,357
CCNC,cyclin C ,CCNC,30,,,30
FAF2,Fas associated factor family member 2 ,FAF2,4,,,4
EPHA4,EPH receptor A4 ,EPHA4,88,,,88
MAD2L2,mitotic arrest deficient 2 like 2 ,MAD2L2,36,,,36
MYB,"MYB proto-oncogene, transcription factor ",MYB,1412,,,1412
H1-1,"H1.1 linker histone, cluster member ",H1-1,10,,,10
ADORA2A,adenosine A2a receptor ,ADORA2A,44,,,44
ILF3,interleukin enhancer binding factor 3 ,ILF3,69,,,69
AJUBA,ajuba LIM protein ,AJUBA,54,,,54
APLNR,apelin receptor ,APLNR,30,,,30
UBQLN1,ubiquilin 1 ,UBQLN1,17,,,17
EPHA7,EPH receptor A7 ,EPHA7,83,,,83
KRT71,keratin 71 ,KRT71,2,,,2
APOA2,apolipoprotein A2 ,APOA2,38,,,38
UBXN7,UBX domain protein 7 ,UBXN7,2,,,2
MYL1,myosin light chain 1 ,MYL1,9,,,9
INPP5D,inositol polyphosphate-5-phosphatase D ,INPP5D,14,,,14
RAC3,Rac family small GTPase 3 ,RAC3,93,,,93
TMED10,transmembrane p24 trafficking protein 10 ,TMED10,7,,,7
KRT74,keratin 74 ,KRT74,0,,,0
PRNP,prion protein (Kanno blood group) ,PRNP,59,,,59
LGALS9C,galectin 9C ,LGALS9C,1,,,1
ATP5MK,ATP synthase membrane subunit k ,ATP5MK,0,,,0
KRT76,keratin 76 ,KRT76,3,,,3
UBE2L3,ubiquitin conjugating enzyme E2 L3 ,UBE2L3,21,,,21
KRT77,keratin 77 ,KRT77,0,,,0
NOTCH4,notch receptor 4 ,NOTCH4,232,,,232
C4B,complement C4B (Chido/Rodgers blood group) ,C4B,117,,,117
CRIPTO,"cripto, EGF-CFC family member ",CRIPTO,205,,,205
PECAM1,platelet and endothelial cell adhesion molecule 1 ,PECAM1,201,,,201
MYH13,myosin heavy chain 13 ,MYH13,3,,,3
RANBP9,RAN binding protein 9 ,RANBP9,11,,,11
ATG5,autophagy related 5 ,ATG5,1060,,,1060
MCM10,minichromosome maintenance 10 replication initiation factor ,MCM10,61,,,61
ABCC9,ATP binding cassette subfamily C member 9 ,ABCC9,13,,,13
MMP2,matrix metallopeptidase 2 ,MMP2,8814,,,8814
BMP7,bone morphogenetic protein 7 ,BMP7,242,,,242
RAE1,ribonucleic acid export 1 ,RAE1,39,,,39
ITGB8,integrin subunit beta 8 ,ITGB8,40,,,40
CCL24,C-C motif chemokine ligand 24 ,CCL24,31,,,31
GHR,growth hormone receptor ,GHR,193,,,193
PRLR,prolactin receptor ,PRLR,240,,,240
FHL2,four and a half LIM domains 2 ,FHL2,102,,,102
EREG,epiregulin ,EREG,169,,,169
FLRT3,fibronectin leucine rich transmembrane protein 3 ,FLRT3,16,,,16
MCHR1,melanin concentrating hormone receptor 1 ,MCHR1,7,,,7
MYBBP1A,MYB binding protein 1a ,MYBBP1A,25,,,25
KLC4,kinesin light chain 4 ,KLC4,4,,,4
ABCG8,ATP binding cassette subfamily G member 8 ,ABCG8,17,,,17
MYH15,myosin heavy chain 15 ,MYH15,3,,,3
DAB2,DAB adaptor protein 2 ,DAB2,144,,,144
PSMC2,"proteasome 26S subunit, ATPase 2 ",PSMC2,25,,,25
KRT84,keratin 84 ,KRT84,3,,,3
KRT82,keratin 82 ,KRT82,2,,,2
NDEL1,nudE neurodevelopment protein 1 like 1 ,NDEL1,6,,,6
STIP1,stress induced phosphoprotein 1 ,STIP1,57,,,57
IL7R,interleukin 7 receptor ,IL7R,251,,,251
EFNA1,ephrin A1 ,EFNA1,53,,,53
KRT72,keratin 72 ,KRT72,1,,,1
EWSR1,EWS RNA binding protein 1 ,EWSR1,1256,,,1256
KRT73,keratin 73 ,KRT73,0,,,0
PDCD1,programmed cell death 1 ,PDCD1,378,,,378
CNTF,ciliary neurotrophic factor ,CNTF,89,,,89
HP,haptoglobin ,haptoglobin ,775,,,775
CCL4L2,C-C motif chemokine ligand 4 like 2 ,CCL4L2,4,,,4
ABCC8,ATP binding cassette subfamily C member 8 ,ABCC8,29,,,29
EPHA3,EPH receptor A3 ,EPHA3,121,,,121
FOXP3,forkhead box P3 ,FOXP3,3922,,,3922
LPAR2,lysophosphatidic acid receptor 2 ,LPAR2,31,,,31
LRP6,LDL receptor related protein 6 ,LRP6,243,,,243
NDE1,nudE neurodevelopment protein 1 ,NDE1,10,,,10
UBE2K,ubiquitin conjugating enzyme E2 K ,UBE2K,9,,,9
TP73,tumor protein p73 ,TP73,305,,,305
MEF2C,myocyte enhancer factor 2C ,MEF2C,132,,,132
EFNA2,ephrin A2 ,EFNA2,4,,,4
BRD1,bromodomain containing 1 ,BRD1,17,,,17
VAPA,VAMP associated protein A ,VAPA,29,,,29
PLAT,"plasminogen activator, tissue type ",PLAT,83,1,7,7
CD2,CD2 molecule ,CD2,1779,,,1779
CR2,complement C3d receptor 2 ,CR2,626,,,626
ENY2,ENY2 transcription and export complex 2 subunit ,ENY2,6,,,6
KCNJ8,potassium inwardly rectifying channel subfamily J member 8 ,KCNJ8,5,,,5
GDF5,growth differentiation factor 5 ,GDF5,14,,,14
RAN,"RAN, member RAS oncogene family ",RAN,859,9,1,9
E2F5,E2F transcription factor 5 ,E2F5,95,,,95
MYCN,"MYCN proto-oncogene, bHLH transcription factor ",MYCN,2684,,,2684
ETS1,"ETS proto-oncogene 1, transcription factor ",ETS1,720,,,720
EPRS1,glutamyl-prolyl-tRNA synthetase 1 ,EPRS1,1,,,1
GABARAPL1,GABA type A receptor associated protein like 1 ,GABARAPL1,47,,,47
BBS4,Bardet-Biedl syndrome 4 ,BBS4,2,,,2
SOD1,superoxide dismutase 1 ,SOD1,407,,,407
CGN,cingulin ,CGN,66,,,66
EFNA3,ephrin A3 ,EFNA3,31,,,31
RAB5A,"RAB5A, member RAS oncogene family ",RAB5A,66,,,66
RHOC,ras homolog family member C ,RHOC,377,,,377
FCER1G,Fc epsilon receptor Ig ,FCER1G,23,,,23
ICOS,inducible T cell costimulator ,ICOS,439,,,439
RNF168,ring finger protein 168 ,RNF168,48,,,48
CAMP,cathelicidin antimicrobial peptide ,CAMP,5365,2,14,14
GPER1,G protein-coupled estrogen receptor 1 ,GPER1,91,,,91
ADRA1B,adrenoceptor alpha 1B ,ADRA1B,6,,,6
SELP,selectin P ,SELP,45,,,45
BANF1,BAF nuclear assembly factor 1 ,BANF1,16,,,16
GRIN1,glutamate ionotropic receptor NMDA type subunit 1 ,GRIN1,11,,,11
SOX11,SRY-box transcription factor 11 ,SOX11,296,,,296
DCC,DCC netrin 1 receptor ,DCC,1166,,,1166
TCF4,transcription factor 4 ,TCF4,841,,,841
TLE1,"TLE family member 1, transcriptional corepressor ",TLE1,168,,,168
HLA-G,"major histocompatibility complex, class I, G ",HLA-G,628,,,628
HLA-F,"major histocompatibility complex, class I, F ",HLA-F,54,,,54
SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit ",SUPT4H1,3,,,3
MPO,myeloperoxidase ,MPO,958,,,958
LAMP2,lysosomal associated membrane protein 2 ,LAMP2,144,,,144
WWTR1,WW domain containing transcription regulator 1 ,WWTR1,164,,,164
TNFRSF1B,TNF receptor superfamily member 1B ,TNFRSF1B,52,,,52
DCUN1D1,defective in cullin neddylation 1 domain containing 1 ,DCUN1D1,23,,,23
COL17A1,collagen type XVII alpha 1 chain ,COL17A1,31,,,31
EPHA6,EPH receptor A6 ,EPHA6,20,,,20
RBL1,RB transcriptional corepressor like 1 ,RBL1,61,,,61
CDC45,cell division cycle 45 ,CDC45,82,,,82
USP11,ubiquitin specific peptidase 11 ,USP11,49,,,49
LIM2,lens intrinsic membrane protein 2 ,LIM2,3,,,3
CCND3,cyclin D3 ,CCND3,219,,,219
CRBN,cereblon ,CRBN,200,,,200
SNX4,sorting nexin 4 ,SNX4,3,,,3
ORC4,origin recognition complex subunit 4 ,ORC4,9,,,9
TGFB3,transforming growth factor beta 3 ,TGFB3,46,,,46
TNFRSF8,TNF receptor superfamily member 8 ,TNFRSF8,30,,,30
FLRT1,fibronectin leucine rich transmembrane protein 1 ,FLRT1,4,,,4
ADRM1,ADRM1 26S proteasome ubiquitin receptor ,ADRM1,38,,,38
AKAP12,A-kinase anchoring protein 12 ,AKAP12,116,,,116
CASP9,caspase 9 ,CASP9,235,,,235
MEN1,menin 1 ,MEN1,2099,,,2099
HAVCR2,hepatitis A virus cellular receptor 2 ,HAVCR2,172,,,172
KLF4,KLF transcription factor 4 ,KLF4,1034,,,1034
FXYD2,FXYD domain containing ion transport regulator 2 ,FXYD2,10,,,10
MSTN,myostatin ,MSTN,18,,,18
USP8,ubiquitin specific peptidase 8 ,USP8,125,,,125
PEX5,peroxisomal biogenesis factor 5 ,PEX5,10,,,10
ACVRL1,activin A receptor like type 1 ,ACVRL1,28,,,28
CSNK1D,casein kinase 1 delta ,CSNK1D,25,,,25
EPHA5,EPH receptor A5 ,EPHA5,75,,,75
EIF4E,eukaryotic translation initiation factor 4E ,EIF4E,922,,,922
RRP1B,ribosomal RNA processing 1B ,RRP1B,13,,,13
VCAM1,vascular cell adhesion molecule 1 ,VCAM1,839,,,839
FCGR3B,Fc gamma receptor IIIb ,FCGR3B,13,,,13
VIRMA,vir like m6A methyltransferase associated ,VIRMA,33,,,33
WRN,WRN RecQ like helicase ,WRN,249,,,249
PSMC3,"proteasome 26S subunit, ATPase 3 ",PSMC3,14,,,14
NOD2,nucleotide binding oligomerization domain containing 2 ,NOD2,162,,,162
CDT1,chromatin licensing and DNA replication factor 1 ,CDT1,100,,,100
MIS12,MIS12 kinetochore complex component ,MIS12,6,,,6
