diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
MONDO_0007254	breast cancer	CHEMBL924	ZOLEDRONIC ACID ANHYDROUS	Small molecule	Farnesyl diphosphate synthase inhibitor		FDPS	farnesyl diphosphate synthase	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT00412022
EFO_0000305	breast carcinoma	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Recruiting	https://clinicaltrials.gov/study/NCT06268652
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	3	Completed	https://clinicaltrials.gov/study/NCT01101438
MONDO_0007254	breast cancer	CHEMBL1042	CHOLECALCIFEROL	Small molecule	Vitamin D receptor agonist		VDR	vitamin D receptor	3	Terminated	https://clinicaltrials.gov/study/NCT01608451
MONDO_0007254	breast cancer	CHEMBL1201179	LAPATINIB DITOSYLATE	Small molecule	Epidermal growth factor receptor erbB1 inhibitor		EGFR	epidermal growth factor receptor	3	Completed	https://clinicaltrials.gov/study/NCT00667251
EFO_0005537	triple-negative breast cancer	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Recruiting	https://clinicaltrials.gov/study/NCT04296175,https://clinicaltrials.gov/study/NCT05862064
EFO_1000294	HER2 Positive Breast Carcinoma	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	3	Recruiting	https://clinicaltrials.gov/study/NCT04457596
MONDO_0007254	breast cancer	CHEMBL1358	FULVESTRANT	Small molecule	Estrogen receptor antagonist		ESR1	estrogen receptor 1	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT05063786,https://clinicaltrials.gov/study/NCT04191499,https://clinicaltrials.gov/study/NCT01953588,https://clinicaltrials.gov/study/NCT02763566,https://clinicaltrials.gov/study/NCT02947685,https://clinicaltrials.gov/study/NCT03927456,https://clinicaltrials.gov/study/NCT04305496,https://clinicaltrials.gov/study/NCT01602380,https://clinicaltrials.gov/study/NCT03079011,https://clinicaltrials.gov/study/NCT00099437,https://clinicaltrials.gov/study/NCT05433480
MONDO_0007254	breast cancer	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB3	tubulin beta 3 class III	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT05104866,https://clinicaltrials.gov/study/NCT04639986,https://clinicaltrials.gov/study/NCT03734029,https://clinicaltrials.gov/study/NCT05063786
EFO_1000294	HER2 Positive Breast Carcinoma	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	3	Completed	https://clinicaltrials.gov/study/NCT00005970
EFO_0000305	breast carcinoma	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT01275677,https://clinicaltrials.gov/study/NCT03199885,https://clinicaltrials.gov/study/NCT02003209
MONDO_0007254	breast cancer	CHEMBL888	GEMCITABINE	Small molecule	Ribonucleoside-diphosphate reductase RR1 inhibitor		RRM1	ribonucleotide reductase catalytic subunit M1	3	Completed	https://clinicaltrials.gov/study/NCT00191152,https://clinicaltrials.gov/study/NCT02546934,https://clinicaltrials.gov/study/NCT00236899,https://clinicaltrials.gov/study/NCT00006459,https://clinicaltrials.gov/study/NCT02574455,https://clinicaltrials.gov/study/NCT02555657,https://clinicaltrials.gov/study/NCT03901339,https://clinicaltrials.gov/study/NCT00561119,https://clinicaltrials.gov/study/NCT00431106,https://clinicaltrials.gov/study/NCT02819518,https://clinicaltrials.gov/study/NCT00093795,https://clinicaltrials.gov/study/NCT01287624,https://clinicaltrials.gov/study/NCT00938652,https://clinicaltrials.gov/study/NCT00670878,https://clinicaltrials.gov/study/NCT00294385
MONDO_0007254	breast cancer	CHEMBL1098	BUPIVACAINE	Small molecule	Sodium channel protein type IV alpha subunit blocker		SCN4A	sodium voltage-gated channel alpha subunit 4	3	Unknown status	https://clinicaltrials.gov/study/NCT03063073,https://clinicaltrials.gov/study/NCT01314144
MONDO_0007254	breast cancer	CHEMBL1683544	ERIBULIN MESYLATE	Small molecule	Tubulin inhibitor		TUBB4A	tubulin beta 4A class IVa	3	Recruiting	https://clinicaltrials.gov/study/NCT05374512
MONDO_0007254	breast cancer	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	3	Recruiting	https://clinicaltrials.gov/study/NCT03975647,https://clinicaltrials.gov/study/NCT05429684,https://clinicaltrials.gov/study/NCT05755048,https://clinicaltrials.gov/study/NCT05288777,https://clinicaltrials.gov/study/NCT04457596,https://clinicaltrials.gov/study/NCT04873362,https://clinicaltrials.gov/study/NCT06265428
EFO_0000305	breast carcinoma	CHEMBL1201585	TRASTUZUMAB	Antibody	Receptor protein-tyrosine kinase erbB-2 inhibitor		ERBB2	erb-b2 receptor tyrosine kinase 2	3	Completed	https://clinicaltrials.gov/study/NCT02162667
MONDO_0007254	breast cancer	CHEMBL554	LAPATINIB	Small molecule	Receptor protein-tyrosine kinase erbB-2 inhibitor		ERBB2	erb-b2 receptor tyrosine kinase 2	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT04185649,https://clinicaltrials.gov/study/NCT01104571,https://clinicaltrials.gov/study/NCT03523585
MONDO_0007254	breast cancer	CHEMBL657	DIPHENHYDRAMINE	Small molecule	Histamine H1 receptor antagonist		HRH1	histamine receptor H1	3	Recruiting	https://clinicaltrials.gov/study/NCT04862585
MONDO_0007254	breast cancer	CHEMBL1014	CANDESARTAN CILEXETIL	Small molecule	Type-1 angiotensin II receptor antagonist		AGTR1	angiotensin II receptor type 1	3	Completed	https://clinicaltrials.gov/study/NCT00459771
MONDO_0007254	breast cancer	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	3	Completed	https://clinicaltrials.gov/study/NCT01101438
EFO_0000305	breast carcinoma	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT02003209,https://clinicaltrials.gov/study/NCT03199885,https://clinicaltrials.gov/study/NCT01275677
EFO_0000305	breast carcinoma	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB4A	tubulin beta 4A class IVa	3	Recruiting	https://clinicaltrials.gov/study/NCT03201861
EFO_0000304	breast adenocarcinoma	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB2A	tubulin beta 2A class IIa	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT03199885
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	3	Withdrawn	https://clinicaltrials.gov/study/NCT00041171,https://clinicaltrials.gov/study/NCT03811418,https://clinicaltrials.gov/study/NCT05474690
MONDO_0007254	breast cancer	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Completed	https://clinicaltrials.gov/study/NCT02225470,https://clinicaltrials.gov/study/NCT03901339,https://clinicaltrials.gov/study/NCT00337103,https://clinicaltrials.gov/study/NCT00388726,https://clinicaltrials.gov/study/NCT02574455,https://clinicaltrials.gov/study/NCT02555657
EFO_1000294	HER2 Positive Breast Carcinoma	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB4B	tubulin beta 4B class IVb	3	Completed	https://clinicaltrials.gov/study/NCT00005970
MONDO_0007254	breast cancer	CHEMBL1683544	ERIBULIN MESYLATE	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	3	Recruiting	https://clinicaltrials.gov/study/NCT05374512
MONDO_0007254	breast cancer	CHEMBL79	LIDOCAINE	Small molecule	Sodium channel alpha subunit blocker		SCN3A	sodium voltage-gated channel alpha subunit 3	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT01916317
MONDO_0003936	invasive tubular breast carcinoma	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT02221999
MONDO_0007254	breast cancer	CHEMBL2110725	VINFLUNINE	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	3	Completed	https://clinicaltrials.gov/study/NCT01095003,https://clinicaltrials.gov/study/NCT01953003,https://clinicaltrials.gov/study/NCT01091168
MONDO_0007254	breast cancer	CHEMBL888	GEMCITABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM2	DNA primase subunit 2	3	Not yet recruiting	https://clinicaltrials.gov/study/NCT06079983,https://clinicaltrials.gov/study/NCT06081959,https://clinicaltrials.gov/study/NCT06343948,https://clinicaltrials.gov/study/NCT06255392
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB3	tubulin beta 3 class III	3	Unknown status	https://clinicaltrials.gov/study/NCT02393833,https://clinicaltrials.gov/study/NCT02514681,https://clinicaltrials.gov/study/NCT00003679,https://clinicaltrials.gov/study/NCT00532727,https://clinicaltrials.gov/study/NCT00010140,https://clinicaltrials.gov/study/NCT00944424,https://clinicaltrials.gov/study/NCT01354522,https://clinicaltrials.gov/study/NCT01622361,https://clinicaltrials.gov/study/NCT00629278,https://clinicaltrials.gov/study/NCT01547741,https://clinicaltrials.gov/study/NCT01222052,https://clinicaltrials.gov/study/NCT00430001,https://clinicaltrials.gov/study/NCT01642771,https://clinicaltrials.gov/study/NCT01479036,https://clinicaltrials.gov/study/NCT00408408
EFO_1000294	HER2 Positive Breast Carcinoma	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB4B	tubulin beta 4B class IVb	3	Recruiting	https://clinicaltrials.gov/study/NCT04457596
EFO_0000304	breast adenocarcinoma	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB4A	tubulin beta 4A class IVa	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT03199885
MONDO_0007254	breast cancer	CHEMBL888	GEMCITABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	3	Not yet recruiting	https://clinicaltrials.gov/study/NCT06079983,https://clinicaltrials.gov/study/NCT06255392,https://clinicaltrials.gov/study/NCT06343948,https://clinicaltrials.gov/study/NCT06081959
EFO_0000304	breast adenocarcinoma	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT03199885
EFO_0000304	breast adenocarcinoma	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB4B	tubulin beta 4B class IVb	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT00433511,https://clinicaltrials.gov/study/NCT03199885
EFO_0005537	triple-negative breast cancer	CHEMBL1683544	ERIBULIN MESYLATE	Small molecule	Tubulin inhibitor		TUBB	tubulin beta class I	3	Recruiting	https://clinicaltrials.gov/study/NCT05760378
MONDO_0007254	breast cancer	CHEMBL1683544	ERIBULIN MESYLATE	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	3	Completed	https://clinicaltrials.gov/study/NCT00337103,https://clinicaltrials.gov/study/NCT00388726,https://clinicaltrials.gov/study/NCT02225470
MONDO_0007254	breast cancer	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE3	DNA polymerase epsilon 3, accessory subunit	3	Completed	https://clinicaltrials.gov/study/NCT01645839
MONDO_0007254	breast cancer	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB	tubulin beta class I	3	Completed	https://clinicaltrials.gov/study/NCT03726879,https://clinicaltrials.gov/study/NCT03084939,https://clinicaltrials.gov/study/NCT01966471,https://clinicaltrials.gov/study/NCT01419197,https://clinicaltrials.gov/study/NCT00829166,https://clinicaltrials.gov/study/NCT01702571,https://clinicaltrials.gov/study/NCT01120184
MONDO_0007254	breast cancer	CHEMBL1200511	GONADORELIN ACETATE	Protein	Gonadotropin-releasing hormone receptor agonist		GNRHR	gonadotropin releasing hormone receptor	3	Completed	https://clinicaltrials.gov/study/NCT00605267
EFO_0000305	breast carcinoma	CHEMBL553025	VINORELBINE	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	3	Recruiting	https://clinicaltrials.gov/study/NCT06268652
EFO_0000305	breast carcinoma	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Suspended	https://clinicaltrials.gov/study/NCT02037529
EFO_0005537	triple-negative breast cancer	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	3	Recruiting	https://clinicaltrials.gov/study/NCT05760378
EFO_0005537	triple-negative breast cancer	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB3	tubulin beta 3 class III	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT04148911,https://clinicaltrials.gov/study/NCT04085276
MONDO_0007254	breast cancer	CHEMBL553025	VINORELBINE	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Recruiting	https://clinicaltrials.gov/study/NCT04307147,https://clinicaltrials.gov/study/NCT02344472,https://clinicaltrials.gov/study/NCT06143553,https://clinicaltrials.gov/study/NCT06268652,https://clinicaltrials.gov/study/NCT04400695
MONDO_0007254	breast cancer	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB2A	tubulin beta 2A class IIa	3	Unknown status	https://clinicaltrials.gov/study/NCT01134523,https://clinicaltrials.gov/study/NCT00486668,https://clinicaltrials.gov/study/NCT00070278,https://clinicaltrials.gov/study/NCT01019616,https://clinicaltrials.gov/study/NCT00629278,https://clinicaltrials.gov/study/NCT00039546,https://clinicaltrials.gov/study/NCT00289263,https://clinicaltrials.gov/study/NCT01378533,https://clinicaltrials.gov/study/NCT01547741,https://clinicaltrials.gov/study/NCT00005581,https://clinicaltrials.gov/study/NCT02514681,https://clinicaltrials.gov/study/NCT01084876,https://clinicaltrials.gov/study/NCT02393833,https://clinicaltrials.gov/study/NCT00025688
MONDO_0007254	breast cancer	CHEMBL1683544	ERIBULIN MESYLATE	Small molecule	Tubulin inhibitor		TUBB	tubulin beta class I	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT04639986
MONDO_0007254	breast cancer	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	3	Recruiting	https://clinicaltrials.gov/study/NCT06268652,https://clinicaltrials.gov/study/NCT05374512,https://clinicaltrials.gov/study/NCT05814354,https://clinicaltrials.gov/study/NCT03264547,https://clinicaltrials.gov/study/NCT02344472
EFO_0000305	breast carcinoma	CHEMBL1908360	EVEROLIMUS	Small molecule	FK506-binding protein 1A inhibitor		FKBP1A	FKBP prolyl isomerase 1A	3	Unknown status	https://clinicaltrials.gov/study/NCT02404051
MONDO_0003936	invasive tubular breast carcinoma	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT02221999
MONDO_0003936	invasive tubular breast carcinoma	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB4A	tubulin beta 4A class IVa	3	Recruiting	https://clinicaltrials.gov/study/NCT03201861
MONDO_0007254	breast cancer	CHEMBL189963	PALBOCICLIB	Small molecule	Cyclin-dependent kinase 4/cyclin D1 inhibitor		CDK4	cyclin dependent kinase 4	3	Not yet recruiting	https://clinicaltrials.gov/study/NCT06377852
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Withdrawn	https://clinicaltrials.gov/study/NCT00041171,https://clinicaltrials.gov/study/NCT05474690,https://clinicaltrials.gov/study/NCT03811418
MONDO_0007254	breast cancer	CHEMBL553025	VINORELBINE	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	3	Withdrawn	https://clinicaltrials.gov/study/NCT03811418
MONDO_0007254	breast cancer	CHEMBL4297715	CAMRELIZUMAB	Antibody	Programmed cell death protein 1 antagonist		PDCD1	programmed cell death 1	3	Completed	https://clinicaltrials.gov/study/NCT04613674
EFO_0000304	breast adenocarcinoma	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB4B	tubulin beta 4B class IVb	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT03199885
MONDO_0004658	breast carcinoma in situ	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Recruiting	https://clinicaltrials.gov/study/NCT04862585
EFO_1000984	inflammatory breast carcinoma	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT05415215
MONDO_0007254	breast cancer	CHEMBL1637	GEMCITABINE HYDROCHLORIDE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD1	DNA polymerase delta 1, catalytic subunit	3	Recruiting	https://clinicaltrials.gov/study/NCT06143553
MONDO_0007254	breast cancer	CHEMBL1336	SORAFENIB	Small molecule	Tyrosine-protein kinase receptor FLT3 inhibitor		FLT3	fms related receptor tyrosine kinase 3	3	Completed	https://clinicaltrials.gov/study/NCT01234337
MONDO_0007254	breast cancer	CHEMBL3186534	RIVOCERANIB	Small molecule	Vascular endothelial growth factor receptor 2 inhibitor		KDR	kinase insert domain receptor	3	Terminated	https://clinicaltrials.gov/study/NCT04335006
MONDO_0007254	breast cancer	CHEMBL271227	ABIRATERONE ACETATE	Small molecule	Cytochrome P450 17A1 inhibitor		CYP17A1	cytochrome P450 family 17 subfamily A member 1	3	Completed	https://clinicaltrials.gov/study/NCT01517802
MONDO_0007254	breast cancer	CHEMBL3989569	IBANDRONATE SODIUM	Small molecule	Farnesyl diphosphate synthase inhibitor		FDPS	farnesyl diphosphate synthase	3	Completed	https://clinicaltrials.gov/study/NCT00127205
MONDO_0007254	breast cancer	CHEMBL553025	VINORELBINE	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	3	Unknown status	https://clinicaltrials.gov/study/NCT02514681,https://clinicaltrials.gov/study/NCT00430001
EFO_1000294	HER2 Positive Breast Carcinoma	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	3	Recruiting	https://clinicaltrials.gov/study/NCT04457596
EFO_0000305	breast carcinoma	CHEMBL1201585	TRASTUZUMAB	Antibody	Receptor protein-tyrosine kinase erbB-2 inhibitor		ERBB2	erb-b2 receptor tyrosine kinase 2	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT03199885,https://clinicaltrials.gov/study/NCT02003209,https://clinicaltrials.gov/study/NCT01275677
EFO_0005537	triple-negative breast cancer	CHEMBL1637	GEMCITABINE HYDROCHLORIDE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	3	Suspended	https://clinicaltrials.gov/study/NCT03002103
EFO_0005537	triple-negative breast cancer	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB4A	tubulin beta 4A class IVa	3	Completed	https://clinicaltrials.gov/study/NCT03197935,https://clinicaltrials.gov/study/NCT04177108,https://clinicaltrials.gov/study/NCT03125902
MONDO_0007254	breast cancer	CHEMBL1201752	IXABEPILONE	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Recruiting	https://clinicaltrials.gov/study/NCT05894239
EFO_1000984	inflammatory breast carcinoma	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB2A	tubulin beta 2A class IIa	3	Completed	https://clinicaltrials.gov/study/NCT02324088
MONDO_0003936	invasive tubular breast carcinoma	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB	tubulin beta class I	3	Recruiting	https://clinicaltrials.gov/study/NCT03201861
MONDO_0007254	breast cancer	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Terminated	https://clinicaltrials.gov/study/NCT03786094,https://clinicaltrials.gov/study/NCT05134194
EFO_0000186	invasive breast ductal carcinoma	CHEMBL1358	FULVESTRANT	Small molecule	Estrogen receptor antagonist		ESR1	estrogen receptor 1	3	Active, not recruiting	https://clinicaltrials.gov/study/NCT01953588
MONDO_0007254	breast cancer	CHEMBL2017974	BUPARLISIB	Small molecule	PI3-kinase class I inhibitor		PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	3	Terminated	https://clinicaltrials.gov/study/NCT01633060
MONDO_0007254	breast cancer	CHEMBL553025	VINORELBINE	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Completed	https://clinicaltrials.gov/study/NCT00431106,https://clinicaltrials.gov/study/NCT02225470,https://clinicaltrials.gov/study/NCT00103233,https://clinicaltrials.gov/study/NCT00776724,https://clinicaltrials.gov/study/NCT00146549,https://clinicaltrials.gov/study/NCT01007942,https://clinicaltrials.gov/study/NCT03901339,https://clinicaltrials.gov/study/NCT00868634,https://clinicaltrials.gov/study/NCT02574455,https://clinicaltrials.gov/study/NCT02555657
MONDO_0007254	breast cancer	CHEMBL1201568	PEGFILGRASTIM	Protein	Granulocyte colony stimulating factor receptor agonist		CSF3R	colony stimulating factor 3 receptor	3	Unknown status	https://clinicaltrials.gov/study/NCT00516425,https://clinicaltrials.gov/study/NCT02761460,https://clinicaltrials.gov/study/NCT03404752
MONDO_0007254	breast cancer	CHEMBL135	ESTRADIOL	Small molecule	Estrogen receptor alpha agonist		ESR1	estrogen receptor 1	3	Completed	https://clinicaltrials.gov/study/NCT00003771
EFO_0000305	breast carcinoma	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	3	Completed	https://clinicaltrials.gov/study/NCT01935492,https://clinicaltrials.gov/study/NCT00785291
MONDO_0007254	breast cancer	CHEMBL34259	METHOTREXATE	Small molecule	Dihydrofolate reductase inhibitor		DHFR	dihydrofolate reductase	3	Unknown status	https://clinicaltrials.gov/study/NCT01031030,https://clinicaltrials.gov/study/NCT02393833,https://clinicaltrials.gov/study/NCT00003680
EFO_0000304	breast adenocarcinoma	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	3	Completed	https://clinicaltrials.gov/study/NCT00005970
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	3	Completed	https://clinicaltrials.gov/study/NCT00017095,https://clinicaltrials.gov/study/NCT01049425,https://clinicaltrials.gov/study/NCT02586025,https://clinicaltrials.gov/study/NCT00448591,https://clinicaltrials.gov/study/NCT01120184,https://clinicaltrials.gov/study/NCT00288002,https://clinicaltrials.gov/study/NCT03013504,https://clinicaltrials.gov/study/NCT02019277,https://clinicaltrials.gov/study/NCT02115204,https://clinicaltrials.gov/study/NCT00004125,https://clinicaltrials.gov/study/NCT00146549,https://clinicaltrials.gov/study/NCT00193011,https://clinicaltrials.gov/study/NCT00703326,https://clinicaltrials.gov/study/NCT05301010,https://clinicaltrials.gov/study/NCT00424606,https://clinicaltrials.gov/study/NCT00540800,https://clinicaltrials.gov/study/NCT02194166,https://clinicaltrials.gov/study/NCT03084237,https://clinicaltrials.gov/study/NCT00493870,https://clinicaltrials.gov/study/NCT00776724,https://clinicaltrials.gov/study/NCT00089479,https://clinicaltrials.gov/study/NCT03989037,https://clinicaltrials.gov/study/NCT00333775,https://clinicaltrials.gov/study/NCT04127019,https://clinicaltrials.gov/study/NCT00002662,https://clinicaltrials.gov/study/NCT00114816,https://clinicaltrials.gov/study/NCT00615602,https://clinicaltrials.gov/study/NCT00003519,https://clinicaltrials.gov/study/NCT00008411,https://clinicaltrials.gov/study/NCT01690702,https://clinicaltrials.gov/study/NCT00429871,https://clinicaltrials.gov/study/NCT00002707,https://clinicaltrials.gov/study/NCT00963729,https://clinicaltrials.gov/study/NCT00091442,https://clinicaltrials.gov/study/NCT02980965,https://clinicaltrials.gov/study/NCT00003782,https://clinicaltrials.gov/study/NCT00002544,https://clinicaltrials.gov/study/NCT00887536,https://clinicaltrials.gov/study/NCT00054587,https://clinicaltrials.gov/study/NCT02187744,https://clinicaltrials.gov/study/NCT01940497,https://clinicaltrials.gov/study/NCT00047099,https://clinicaltrials.gov/study/NCT02681003,https://clinicaltrials.gov/study/NCT00352378,https://clinicaltrials.gov/study/NCT01966471,https://clinicaltrials.gov/study/NCT01099436,https://clinicaltrials.gov/study/NCT00688740,https://clinicaltrials.gov/study/NCT00093795,https://clinicaltrials.gov/study/NCT04957212,https://clinicaltrials.gov/study/NCT00129935,https://clinicaltrials.gov/study/NCT03425656,https://clinicaltrials.gov/study/NCT05629949,https://clinicaltrials.gov/study/NCT00567554,https://clinicaltrials.gov/study/NCT00331097,https://clinicaltrials.gov/study/NCT01314833,https://clinicaltrials.gov/study/NCT00433589,https://clinicaltrials.gov/study/NCT00294385,https://clinicaltrials.gov/study/NCT00309556,https://clinicaltrials.gov/study/NCT02472964,https://clinicaltrials.gov/study/NCT01964391,https://clinicaltrials.gov/study/NCT01216111,https://clinicaltrials.gov/study/NCT00047255,https://clinicaltrials.gov/study/NCT00190489,https://clinicaltrials.gov/study/NCT01985724,https://clinicaltrials.gov/study/NCT04031703,https://clinicaltrials.gov/study/NCT03493854,https://clinicaltrials.gov/study/NCT00312208,https://clinicaltrials.gov/study/NCT00667251,https://clinicaltrials.gov/study/NCT00567190,https://clinicaltrials.gov/study/NCT00236899,https://clinicaltrials.gov/study/NCT00793377,https://clinicaltrials.gov/study/NCT00950300,https://clinicaltrials.gov/study/NCT00311636,https://clinicaltrials.gov/study/NCT00630032,https://clinicaltrials.gov/study/NCT00191152,https://clinicaltrials.gov/study/NCT04629846,https://clinicaltrials.gov/study/NCT02896855,https://clinicaltrials.gov/study/NCT00314977,https://clinicaltrials.gov/study/NCT00391092,https://clinicaltrials.gov/study/NCT00431080,https://clinicaltrials.gov/study/NCT02402712
MONDO_0007254	breast cancer	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	3	Completed	https://clinicaltrials.gov/study/NCT01101438
MONDO_0007254	breast cancer	CHEMBL1201752	IXABEPILONE	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	3	Completed	https://clinicaltrials.gov/study/NCT00630032,https://clinicaltrials.gov/study/NCT00789581,https://clinicaltrials.gov/study/NCT00082433,https://clinicaltrials.gov/study/NCT00080301,https://clinicaltrials.gov/study/NCT00448591
