Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
CELSR1	ENSG00000075275.16	18.155	0.525	3.651	1.08e-117
CELSR2	ENSG00000143126.7	29.865	1.580	3.581	1.45e-111
CENPA	ENSG00000115163.14	12.250	0.110	3.577	8.68e-129
CENPF	ENSG00000117724.12	23.684	1.270	3.443	9.53e-105
CENPM	ENSG00000100162.14	11.895	0.610	3.002	6.02e-122
CENPN	ENSG00000166451.13	11.155	1.545	2.256	2.61e-81
CENPT	ENSG00000102901.12	16.605	78.664	-2.178	9.53e-117
CENPU	ENSG00000151725.11	8.935	1.100	2.242	2.19e-76
CENPV	ENSG00000166582.9	5.945	32.544	-2.272	2.67e-44
CENPW	ENSG00000203760.8	21.606	3.070	2.474	3.37e-50
CEP126	ENSG00000110318.13	0.620	8.310	-2.523	4.87e-144
CEP290	ENSG00000198707.14	1.560	11.625	-2.302	2.32e-137
CEP55	ENSG00000138180.15	10.710	0.100	3.412	1.45e-125
CEP95	ENSG00000258890.6	14.775	82.315	-2.401	7.41e-103
CES1	ENSG00000198848.12	1.045	20.989	-3.427	3.23e-89
CES4A	ENSG00000172824.14	1.205	22.610	-3.421	3.69e-124
CES5AP1	ENSG00000215478.8	0.170	8.877	-3.078	2.08e-114
CFAP126	ENSG00000188931.3	6.165	0.000	2.841	2.27e-35
CFB	ENSG00000243649.8	246.936	12.990	4.148	3.32e-72
CFD	ENSG00000197766.7	6.935	36.806	-2.252	1.31e-46
CFH	ENSG00000000971.15	10.975	166.352	-3.805	5.90e-96
CH17-431G21.1	ENSG00000274487.1	2.005	11.935	-2.106	5.04e-79
CH507-42P11.8	ENSG00000275993.2	5.695	39.834	-2.609	3.58e-63
CH507-513H4.3	ENSG00000281181.1	4944.126	689.783	2.840	4.55e-74
CH507-513H4.4	ENSG00000280614.1	4944.126	689.783	2.840	4.55e-74
CH507-513H4.5	ENSG00000281383.1	6.755	0.370	2.501	2.14e-80
CH507-513H4.6	ENSG00000280800.1	4944.126	689.783	2.840	4.55e-74
CHAC1	ENSG00000128965.11	6.335	0.495	2.295	7.69e-59
CHCHD10	ENSG00000250479.8	284.907	29.019	3.252	3.59e-93
CHD1	ENSG00000153922.10	7.285	35.591	-2.143	9.26e-102
CHD7	ENSG00000171316.11	14.085	2.400	2.150	1.67e-61
CHGB	ENSG00000089199.9	0.160	8.345	-3.010	2.82e-91
CHI3L1	ENSG00000133048.12	154.364	2.240	5.584	3.36e-92
CHMP4C	ENSG00000164695.4	12.050	0.380	3.241	2.52e-125
CHN2	ENSG00000106069.20	2.130	13.484	-2.210	5.27e-73
CHODL	ENSG00000154645.13	7.015	0.360	2.559	1.09e-52
CHRD	ENSG00000090539.15	0.850	33.535	-4.222	2.49e-195
CHST3	ENSG00000122863.5	2.655	19.968	-2.520	2.87e-87
CHST7	ENSG00000147119.3	0.965	29.099	-3.937	8.51e-209
CHURC1-FNTB	ENSG00000125954.12	5.530	0.390	2.232	9.40e-29
CIDEB	ENSG00000136305.11	2.820	27.715	-2.910	2.02e-94
CIRBP	ENSG00000099622.13	81.908	881.489	-3.412	3.72e-163
CITED2	ENSG00000164442.9	61.984	262.768	-2.066	2.92e-51
CITED4	ENSG00000179862.6	79.519	9.730	2.908	1.82e-81
CKAP2	ENSG00000136108.14	12.610	2.260	2.062	5.09e-84
CKMT1A	ENSG00000223572.9	6.900	0.110	2.831	5.60e-55
CKMT1B	ENSG00000237289.9	8.985	0.155	3.112	1.96e-64
CKS1B	ENSG00000173207.12	147.318	24.790	2.524	6.95e-103
CKS1BP3	ENSG00000268942.2	14.310	0.000	3.936	2.15e-58
CKS2	ENSG00000123975.4	120.994	6.580	4.009	2.07e-147
CLASRP	ENSG00000104859.14	25.979	123.716	-2.209	4.11e-94
CLDN1	ENSG00000163347.5	28.949	3.595	2.704	2.99e-38
CLDN10	ENSG00000134873.9	30.048	0.680	4.208	1.83e-48
CLDN11	ENSG00000013297.10	4.845	116.832	-4.333	2.53e-121
CLDN16	ENSG00000113946.3	15.375	0.050	3.963	2.99e-48
CLDN3	ENSG00000165215.6	532.873	0.100	8.923	7.44e-274
CLDN4	ENSG00000189143.9	265.560	0.460	7.512	4.26e-244
CLDN5	ENSG00000184113.9	3.725	25.667	-2.497	9.39e-69
CLDN6	ENSG00000184697.6	31.489	0.000	5.022	6.75e-51
CLDN7	ENSG00000181885.18	133.070	1.095	6.000	6.94e-202
CLDN9	ENSG00000213937.3	5.685	0.030	2.698	4.50e-52
CLEC2B	ENSG00000110852.4	4.240	39.886	-2.964	2.74e-97
CLEC3B	ENSG00000163815.5	1.950	17.319	-2.635	1.92e-96
CLGN	ENSG00000153132.12	5.245	0.200	2.380	5.86e-45
CLIC3	ENSG00000169583.12	13.260	0.650	3.111	4.16e-62
CLIC5	ENSG00000112782.15	15.380	0.330	3.622	1.06e-78
CLIP4	ENSG00000115295.19	4.860	29.220	-2.367	2.15e-121
CLK1	ENSG00000013441.15	30.455	279.421	-3.156	1.93e-142
CLK4	ENSG00000113240.12	4.955	31.614	-2.453	4.15e-131
CLMP	ENSG00000166250.11	1.165	7.760	-2.017	3.96e-51
CLPS	ENSG00000137392.9	0.100	4.544	-2.334	2.36e-64
CLSTN2	ENSG00000158258.15	1.220	40.516	-4.225	2.11e-138
CMAHP	ENSG00000168405.14	2.365	25.648	-2.985	7.31e-105
CMTM6	ENSG00000091317.7	56.920	10.935	2.279	3.72e-70
CMTM7	ENSG00000153551.13	85.718	5.455	3.748	9.79e-121
CMTM8	ENSG00000170293.8	17.830	0.920	3.294	6.40e-151
CMYA5	ENSG00000164309.14	0.595	43.566	-4.804	2.83e-227
CNFN	ENSG00000105427.9	17.220	0.580	3.528	2.06e-73
CNN1	ENSG00000130176.7	4.940	35.210	-2.608	2.24e-52
CNRIP1	ENSG00000119865.8	2.580	43.459	-3.634	7.66e-152
CNTN1	ENSG00000018236.14	1.350	16.359	-2.885	3.09e-77
CNTNAP1	ENSG00000108797.11	1.480	21.715	-3.195	2.69e-163
COL10A1	ENSG00000123500.9	5.025	0.395	2.111	2.25e-20
COL12A1	ENSG00000111799.20	20.245	111.167	-2.400	1.03e-39
COL14A1	ENSG00000187955.11	3.555	66.583	-3.891	7.19e-107
COL15A1	ENSG00000204291.10	4.035	22.335	-2.212	1.63e-55
COL16A1	ENSG00000084636.17	7.835	235.053	-4.740	9.70e-137
COL21A1	ENSG00000124749.16	0.190	4.171	-2.120	2.52e-132
COL23A1	ENSG00000050767.15	4.525	0.235	2.161	2.56e-40
COL27A1	ENSG00000196739.14	2.730	37.320	-3.361	1.79e-101
COL4A3	ENSG00000169031.18	0.095	5.530	-2.576	9.19e-159
COL4A6	ENSG00000197565.15	0.295	10.005	-3.087	8.46e-146
COL6A1	ENSG00000142156.14	109.318	859.050	-2.963	1.98e-52
COL6A2	ENSG00000142173.14	97.730	807.265	-3.033	2.17e-54
COL6A3	ENSG00000163359.15	26.335	168.621	-2.634	1.51e-38
COL6A4P2	ENSG00000228252.8	0.550	16.320	-3.482	2.78e-124
COL9A2	ENSG00000049089.13	12.840	1.070	2.741	6.11e-46
COLEC11	ENSG00000118004.17	1.405	38.697	-4.045	1.81e-49
COMP	ENSG00000105664.10	5.115	0.160	2.398	2.87e-25
CORO2A	ENSG00000106789.12	5.825	0.180	2.532	2.96e-95
CORO2B	ENSG00000103647.12	2.380	15.171	-2.258	1.57e-51
CORO6	ENSG00000167549.18	0.470	6.260	-2.304	1.53e-132
COX5A	ENSG00000178741.11	266.011	64.556	2.026	2.29e-76
COX7A1	ENSG00000161281.10	3.085	42.115	-3.400	1.89e-155
COX7B	ENSG00000131174.4	215.142	41.730	2.339	1.08e-90
CP	ENSG00000047457.13	165.237	0.760	6.562	1.58e-123
CPA1	ENSG00000091704.9	0.220	3.960	-2.023	4.01e-35
CPEB1	ENSG00000214575.9	0.360	8.600	-2.819	2.53e-134
CPED1	ENSG00000106034.17	1.035	29.775	-3.919	1.77e-194
CPQ	ENSG00000104324.15	12.045	72.544	-2.495	1.08e-101
CPZ	ENSG00000109625.18	10.675	175.849	-3.921	1.00e-94
CRABP1	ENSG00000166426.7	43.165	0.070	5.367	2.67e-51
CRABP2	ENSG00000143320.8	524.590	3.990	6.719	1.33e-156
CRB2	ENSG00000148204.11	4.230	0.090	2.262	7.19e-46
CRB3	ENSG00000130545.15	23.630	0.305	4.238	4.26e-173
CREBZF	ENSG00000137504.13	12.160	74.708	-2.524	2.99e-107
CRIP1	ENSG00000213145.9	586.687	22.613	4.637	6.80e-74
CRIP2	ENSG00000182809.10	325.868	60.845	2.402	1.29e-76
CRIPAK	ENSG00000179979.8	1.610	11.195	-2.224	6.36e-103
CRISPLD2	ENSG00000103196.11	3.930	35.935	-2.905	2.28e-46
CRMP1	ENSG00000072832.14	3.970	19.559	-2.048	4.41e-39
CROCCP3	ENSG00000080947.14	0.905	14.465	-3.021	9.61e-164
CRTAC1	ENSG00000095713.13	7.770	0.450	2.597	4.37e-30
CRY2	ENSG00000121671.11	6.270	42.089	-2.567	1.25e-128
CRYGD	ENSG00000118231.4	0.000	5.580	-2.718	1.02e-42
CSAD	ENSG00000139631.18	13.145	88.575	-2.663	1.15e-79
CSDC2	ENSG00000172346.14	1.205	130.630	-5.900	3.83e-219
CSGALNACT1	ENSG00000147408.14	1.180	17.620	-3.094	2.29e-159
CSPG4P11	ENSG00000259726.1	0.245	5.330	-2.346	2.19e-148
CSPG4P12	ENSG00000259295.6	0.640	12.274	-3.017	6.28e-202
CSPG5	ENSG00000114646.9	3.800	0.185	2.018	8.65e-58
CST1	ENSG00000170373.8	5.020	0.000	2.590	1.65e-32
CSTA	ENSG00000121552.3	4.060	19.360	-2.008	5.21e-37
CTA-363E19.2	ENSG00000272072.1	0.315	5.025	-2.196	7.00e-187
CTB-31O20.6	ENSG00000267125.2	0.000	4.490	-2.457	3.75e-287
CTB-50L17.14	ENSG00000267385.1	0.080	16.929	-4.053	2.87e-265
CTB-50L17.9	ENSG00000267769.1	0.260	5.055	-2.265	2.85e-192
CTB-55O6.8	ENSG00000141854.7	10.930	0.795	2.733	7.13e-67
CTC-250I14.3	ENSG00000267512.1	8.015	0.000	3.172	2.62e-64
CTC-301O7.4	ENSG00000197813.5	0.440	6.655	-2.410	2.78e-141
CTC-439O9.1	ENSG00000278875.1	0.020	3.775	-2.227	2.47e-253
CTC-524C5.2	ENSG00000263272.1	1.555	14.315	-2.584	1.61e-124
CTC-529I10.1	ENSG00000275413.1	0.505	5.645	-2.142	6.48e-142
CTC-529I10.2	ENSG00000227782.2	0.550	5.240	-2.009	5.46e-129
CTC1	ENSG00000178971.13	8.225	37.180	-2.049	1.87e-80
CTCFL	ENSG00000124092.12	4.430	0.020	2.412	3.04e-31
CTD-2012J19.2	ENSG00000248126.1	0.000	5.390	-2.676	1.98e-12
CTD-2020K17.4	ENSG00000233483.2	4.755	0.330	2.113	2.51e-68
CTD-2033D15.2	ENSG00000276107.1	0.220	5.585	-2.432	6.93e-115
CTD-2036P10.6	ENSG00000274403.1	0.175	3.780	-2.024	1.81e-205
CTD-2054N24.2	ENSG00000259363.5	0.525	6.290	-2.257	5.10e-152
CTD-2228K2.7	ENSG00000225138.7	5.435	61.945	-3.290	1.67e-76
CTD-2270P14.1	ENSG00000260565.6	2.055	11.770	-2.064	5.95e-100
CTD-2287O16.1	ENSG00000185641.6	12.155	118.841	-3.187	1.02e-113
CTD-2297D10.2	ENSG00000250579.1	0.020	14.616	-3.936	2.66e-199
CTD-2303H24.2	ENSG00000273018.5	0.180	12.720	-3.539	5.29e-201
CTD-2311M21.3	ENSG00000261821.2	0.030	3.959	-2.268	9.58e-226
CTD-2325P2.4	ENSG00000259038.1	6.420	0.000	2.891	2.29e-64
CTD-2332E11.2	ENSG00000268560.1	0.180	7.494	-2.848	1.31e-97
CTD-2373N4.3	ENSG00000279041.1	0.195	8.675	-3.017	2.11e-238
CTD-2396E7.11	ENSG00000275234.1	9.750	0.205	3.157	6.26e-127
CTD-2521M24.5	ENSG00000269720.1	0.450	5.030	-2.056	6.40e-64
CTD-2537I9.12	ENSG00000267523.1	4.645	25.760	-2.245	5.46e-67
CTD-2545G14.4	ENSG00000279812.1	0.000	13.204	-3.828	2.57e-96
CTD-3035K23.7	ENSG00000274565.1	0.540	30.470	-4.353	3.77e-239
CTD-3092A11.2	ENSG00000270055.1	1.665	15.974	-2.671	3.75e-147
CTH	ENSG00000116761.11	1.980	12.885	-2.220	7.01e-98
CTHRC1	ENSG00000164932.12	32.830	2.945	3.100	5.23e-52
CTIF	ENSG00000134030.13	6.060	34.744	-2.340	1.80e-106
CTNNAL1	ENSG00000119326.14	13.835	110.587	-2.911	7.33e-115
CTRB1	ENSG00000168925.10	0.000	3.570	-2.192	7.93e-125
CTRB2	ENSG00000168928.12	0.030	3.740	-2.202	8.62e-119
CTSK	ENSG00000143387.12	14.435	62.819	-2.048	2.69e-20
CTSS	ENSG00000163131.10	25.934	4.665	2.249	1.88e-29
CTSV	ENSG00000136943.10	7.475	0.125	2.913	1.62e-76
CTTN	ENSG00000085733.15	64.440	290.691	-2.156	1.11e-90
CTXN1	ENSG00000178531.5	108.135	4.525	4.304	1.86e-122
CXADR	ENSG00000154639.18	13.830	0.315	3.495	4.61e-130
CXCL1	ENSG00000163739.4	6.430	0.570	2.243	2.28e-21
CXCL10	ENSG00000169245.5	36.764	0.180	5.000	4.41e-71
CXCL11	ENSG00000169248.12	6.070	0.000	2.822	9.61e-45
CXCL16	ENSG00000161921.14	80.039	10.424	2.827	1.21e-85
CXCL17	ENSG00000189377.8	20.135	0.080	4.291	2.73e-47
CXCL9	ENSG00000138755.5	4.450	0.080	2.335	1.27e-29
CXCR4	ENSG00000121966.6	65.439	5.779	3.293	2.35e-79
CXorf57	ENSG00000147231.13	0.100	9.485	-3.253	1.60e-240
CXXC5	ENSG00000171604.11	94.316	3.270	4.480	4.78e-160
CYBA	ENSG00000051523.10	368.021	38.203	3.235	9.14e-111
CYP11A1	ENSG00000140459.17	1.340	35.209	-3.952	4.38e-107
CYP27A1	ENSG00000135929.8	8.165	37.010	-2.052	3.58e-74
CYP2S1	ENSG00000167600.13	12.825	0.280	3.433	7.57e-89
CYP4B1	ENSG00000142973.12	15.914	0.870	3.177	7.00e-33
CYP4F12	ENSG00000186204.14	0.290	8.980	-2.952	7.50e-115
CYP4X1	ENSG00000186377.7	5.555	0.610	2.026	4.87e-34
DACT1	ENSG00000165617.14	1.230	16.154	-2.943	3.30e-102
DACT3	ENSG00000197380.10	1.120	13.009	-2.724	3.13e-94
DAPK1	ENSG00000196730.12	6.190	52.496	-2.895	9.66e-98
DAPL1	ENSG00000163331.10	81.738	0.490	5.795	1.67e-71
DBNDD1	ENSG00000003249.13	18.650	2.950	2.315	6.85e-69
DCDC2	ENSG00000146038.11	6.070	0.115	2.665	6.43e-73
DCHS1	ENSG00000166341.7	1.715	11.725	-2.229	3.35e-52
DCLK1	ENSG00000133083.14	0.490	6.310	-2.295	2.46e-109
DCN	ENSG00000011465.16	109.125	2312.439	-4.393	2.11e-78
DCTPP1	ENSG00000179958.8	70.226	13.935	2.254	2.10e-99
DCUN1D4	ENSG00000109184.14	6.945	34.700	-2.168	9.35e-101
DDIT4	ENSG00000168209.4	41.655	753.466	-4.145	1.36e-95
DDR2	ENSG00000162733.16	2.565	24.400	-2.833	5.90e-87
DDX17	ENSG00000100201.18	85.306	505.808	-2.554	1.12e-117
DDX26B	ENSG00000165359.14	3.030	16.110	-2.086	5.92e-112
DEFB1	ENSG00000164825.3	44.851	0.205	5.250	1.35e-61
DEGS2	ENSG00000168350.7	9.350	1.375	2.124	1.37e-35
DENND1C	ENSG00000205744.9	8.010	0.925	2.227	2.52e-77
DENND2A	ENSG00000146966.12	0.885	20.470	-3.510	1.57e-142
DENND2D	ENSG00000162777.16	28.230	4.470	2.418	1.16e-97
DENND4A	ENSG00000174485.14	2.840	14.605	-2.023	3.17e-130
DEPDC1	ENSG00000024526.16	3.990	0.060	2.235	3.23e-84
DEPDC1B	ENSG00000035499.12	4.175	0.160	2.157	7.94e-76
DERL3	ENSG00000099958.14	14.615	2.310	2.238	8.05e-41
DES	ENSG00000175084.11	4.270	81.721	-3.972	2.82e-69
DFNA5	ENSG00000105928.13	2.995	20.574	-2.433	2.08e-95
DFNB31	ENSG00000095397.13	4.705	28.804	-2.385	1.43e-92
DFNB59	ENSG00000204311.11	1.070	7.410	-2.022	2.08e-111
DGKD	ENSG00000077044.9	3.665	30.789	-2.769	3.12e-135
DHCR24	ENSG00000116133.11	145.724	19.255	2.857	1.38e-60
DHRS2	ENSG00000100867.14	0.700	12.260	-2.963	1.71e-57
DHX38	ENSG00000140829.11	12.480	59.699	-2.171	1.21e-111
DIO3	ENSG00000197406.7	0.140	15.129	-3.823	8.34e-201
DIO3OS	ENSG00000258498.6	0.640	179.538	-6.782	7.52e-268
DIP2A	ENSG00000160305.17	6.560	32.819	-2.161	1.03e-88
DIRAS3	ENSG00000162595.4	1.530	44.660	-4.174	3.91e-142
DLG4	ENSG00000132535.18	8.800	47.876	-2.318	7.57e-76
DLGAP5	ENSG00000126787.12	7.130	0.070	2.926	2.51e-106
DLK1	ENSG00000185559.13	0.150	224.068	-7.613	6.33e-95
DMD	ENSG00000198947.14	1.840	11.580	-2.147	5.50e-85
DMPK	ENSG00000104936.17	11.865	79.959	-2.654	6.06e-89
DMRTC1B	ENSG00000184911.14	0.110	5.430	-2.534	7.27e-151
DMTF1	ENSG00000135164.18	15.490	101.496	-2.636	5.13e-119
DMTN	ENSG00000158856.17	20.490	2.755	2.517	1.04e-56
DNAAF3	ENSG00000167646.13	5.755	0.255	2.428	1.48e-62
DNAJB13	ENSG00000187726.8	9.495	0.175	3.159	8.33e-59
DNAJC12	ENSG00000108176.14	1.180	11.230	-2.488	6.07e-73
DNAJC22	ENSG00000178401.14	3.725	0.070	2.143	2.82e-50
DNM3OS	ENSG00000230630.2	0.580	13.158	-3.164	1.05e-162
DOC2A	ENSG00000149927.17	1.095	14.480	-2.885	5.29e-67
DOCK10	ENSG00000135905.18	1.895	18.489	-2.751	2.08e-103
DOK5	ENSG00000101134.11	38.309	0.605	4.614	9.57e-93
DOK7	ENSG00000175920.15	14.380	0.220	3.656	2.63e-88
DOPEY1	ENSG00000083097.14	2.155	15.530	-2.389	1.12e-119
DPF3	ENSG00000205683.11	0.725	11.750	-2.886	9.85e-106
DPT	ENSG00000143196.4	0.370	8.368	-2.774	8.37e-61
DPY19L2	ENSG00000177990.11	0.660	28.495	-4.151	1.24e-205
DPYD	ENSG00000188641.12	2.300	13.215	-2.107	1.84e-71
DSC2	ENSG00000134755.14	12.930	0.440	3.274	1.31e-76
DSP	ENSG00000096696.13	45.315	1.244	4.367	6.46e-128
DST	ENSG00000151914.17	10.100	151.481	-3.780	1.05e-117
DTL	ENSG00000143476.17	5.000	0.185	2.340	1.13e-88
DTX3	ENSG00000178498.15	22.289	113.735	-2.301	1.21e-81
DUSP1	ENSG00000120129.5	58.854	400.566	-2.746	5.96e-44
DUSP26	ENSG00000133878.8	0.150	17.429	-4.002	6.08e-228
DUSP6	ENSG00000139318.7	42.345	7.200	2.402	4.41e-46
DUXAP8	ENSG00000206195.10	11.600	1.970	2.085	3.35e-26
DYNC1I1	ENSG00000158560.14	0.520	5.290	-2.049	1.17e-92
DYNC2H1	ENSG00000187240.13	3.295	18.350	-2.172	4.95e-94
DZIP1	ENSG00000134874.17	4.280	31.947	-2.642	1.30e-90
DZIP1L	ENSG00000158163.14	0.985	9.750	-2.437	9.58e-121
E2F1	ENSG00000101412.12	15.830	3.170	2.013	3.85e-62
E2F8	ENSG00000129173.12	3.540	0.020	2.154	1.55e-87
EBF1	ENSG00000164330.16	0.910	7.600	-2.171	1.06e-100
EBF4	ENSG00000088881.20	9.515	52.565	-2.349	4.88e-57
ECE2	ENSG00000145194.17	14.894	1.025	2.973	2.72e-121
ECEL1	ENSG00000171551.11	1.185	76.627	-5.151	8.15e-104
ECHDC2	ENSG00000121310.16	38.235	498.672	-3.671	1.41e-149
ECM2	ENSG00000106823.12	1.480	37.640	-3.962	4.46e-153
ECT2	ENSG00000114346.13	21.695	1.185	3.377	4.15e-132
EDA2R	ENSG00000131080.14	0.400	5.219	-2.151	2.82e-131
EDN2	ENSG00000127129.9	3.595	0.090	2.076	2.98e-39
EDNRA	ENSG00000151617.15	2.070	20.599	-2.815	1.13e-83
EFCAB1	ENSG00000034239.10	0.800	12.395	-2.896	4.77e-36
EFCC1	ENSG00000114654.7	0.635	7.068	-2.303	1.88e-95
EFEMP1	ENSG00000115380.18	9.285	165.868	-4.020	1.09e-85
EFHD1	ENSG00000115468.11	9.630	68.881	-2.717	5.01e-54
EFS	ENSG00000100842.12	3.615	41.544	-3.205	7.70e-75
EGFL6	ENSG00000198759.11	8.880	0.040	3.248	5.62e-88
EGFL8	ENSG00000241404.6	5.920	62.978	-3.209	2.02e-126
EGLN3	ENSG00000129521.13	12.440	1.565	2.390	3.69e-37
EHBP1	ENSG00000115504.14	9.915	43.054	-2.013	1.72e-88
EHF	ENSG00000135373.12	25.985	0.070	4.656	4.25e-119
ELF3	ENSG00000163435.15	237.617	0.785	7.063	4.17e-194
ELFN1-AS1	ENSG00000236081.1	6.600	0.180	2.687	5.43e-33
ELL2	ENSG00000118985.14	1.990	15.346	-2.451	3.96e-86
ELMO3	ENSG00000102890.14	11.605	1.625	2.264	4.35e-78
ELN	ENSG00000049540.16	9.355	44.980	-2.151	4.95e-32
ELOVL6	ENSG00000170522.9	13.105	1.710	2.380	3.08e-77
EMILIN1	ENSG00000138080.13	15.339	167.793	-3.369	9.72e-76
EMILIN3	ENSG00000183798.4	0.220	6.555	-2.630	3.16e-96
EML5	ENSG00000165521.15	1.425	13.965	-2.626	1.02e-159
EMX2	ENSG00000170370.11	56.359	12.430	2.095	2.02e-25
ENG	ENSG00000106991.13	33.675	241.754	-2.808	1.84e-108
ENGASE	ENSG00000167280.16	4.950	50.864	-3.124	2.78e-131
ENOSF1	ENSG00000132199.18	15.570	76.145	-2.219	1.13e-83
ENOX1	ENSG00000120658.12	0.460	7.410	-2.526	9.54e-150
ENPP1	ENSG00000197594.11	1.140	9.450	-2.288	3.36e-73
ENPP6	ENSG00000164303.10	0.080	5.454	-2.579	5.86e-137
SEMA3F	ENSG00000001617.11	34.515	2.145	3.497	1.32e-85
HS3ST1	ENSG00000002587.9	2.255	25.380	-3.019	1.65e-102
TFPI	ENSG00000003436.14	1.500	16.879	-2.838	1.17e-114
RBM5	ENSG00000003756.16	30.580	264.981	-3.074	4.45e-115
SLC7A2	ENSG00000003989.16	2.405	61.697	-4.203	4.42e-94
RBM6	ENSG00000004534.14	18.825	151.087	-2.940	7.69e-128
HSPB6	ENSG00000004776.11	20.675	461.183	-4.414	9.12e-96
PDK4	ENSG00000004799.7	4.540	184.752	-5.067	5.34e-172
PRSS22	ENSG00000005001.9	9.720	0.080	3.311	9.29e-76
PRKAR2B	ENSG00000005249.12	4.050	26.929	-2.467	3.95e-77
YBX2	ENSG00000006047.12	6.165	0.500	2.256	3.63e-49
TNFRSF12A	ENSG00000006327.13	79.539	3.700	4.099	3.82e-123
TTC22	ENSG00000006555.10	8.030	0.430	2.659	6.79e-93
PRSS21	ENSG00000007038.10	38.145	0.190	5.040	9.70e-70
RHBDF1	ENSG00000007384.15	11.125	76.489	-2.676	8.01e-112
LUC7L	ENSG00000007392.16	19.295	116.990	-2.539	3.69e-107
SPAG9	ENSG00000008294.20	6.590	47.172	-2.666	1.15e-123
PLEKHG6	ENSG00000008323.15	5.385	0.165	2.454	2.10e-70
MGST1	ENSG00000008394.12	59.670	4.380	3.495	4.51e-50
IL32	ENSG00000008517.16	119.576	17.548	2.701	1.10e-51
PKD1	ENSG00000008710.17	22.696	129.817	-2.465	1.07e-85
IFFO1	ENSG00000010295.19	1.905	33.449	-3.568	1.53e-167
NISCH	ENSG00000010322.15	25.190	119.142	-2.198	9.06e-76
TYROBP	ENSG00000011600.11	193.682	19.005	3.283	2.03e-72
NR1H4	ENSG00000012504.13	0.010	9.129	-3.326	5.66e-216
MAMLD1	ENSG00000013619.13	4.515	21.370	-2.020	2.27e-57
TACC3	ENSG00000013810.18	30.460	4.190	2.600	7.09e-82
MTMR11	ENSG00000014914.19	4.925	53.267	-3.195	3.54e-127
RUFY3	ENSG00000018189.12	8.745	81.410	-3.080	1.32e-138
RUNX3	ENSG00000020633.18	5.390	0.305	2.292	1.74e-37
PLEKHB1	ENSG00000021300.13	31.345	2.435	3.235	7.53e-83
FHL1	ENSG00000022267.16	14.370	85.570	-2.494	1.34e-57
NLRP2	ENSG00000022556.15	8.270	0.245	2.896	3.42e-19
SLC45A4	ENSG00000022567.9	17.730	3.665	2.005	6.71e-49
TYMP	ENSG00000025708.12	37.470	6.525	2.354	4.79e-39
VIM	ENSG00000026025.13	520.714	3395.244	-2.703	1.88e-75
RTEL1-TNFRSF6B	ENSG00000026036.20	2.025	12.215	-2.127	2.13e-85
FAS	ENSG00000026103.19	7.710	36.424	-2.103	1.59e-78
HMGB3	ENSG00000029993.14	41.134	4.205	3.017	1.84e-107
TIMP2	ENSG00000035862.12	74.284	655.112	-3.124	2.64e-84
TUBG2	ENSG00000037042.8	7.250	39.284	-2.288	6.01e-111
FAM65C	ENSG00000042062.11	0.710	16.155	-3.327	1.65e-155
PHKA2	ENSG00000044446.11	11.735	50.169	-2.006	1.04e-80
YTHDC2	ENSG00000047188.15	2.745	18.760	-2.400	1.08e-140
SCML1	ENSG00000047634.14	2.700	32.722	-3.188	1.31e-145
RAD51	ENSG00000051180.16	7.490	0.640	2.372	7.43e-93
PRSS8	ENSG00000052344.15	108.030	0.260	6.435	1.39e-199
ENTPD2	ENSG00000054179.11	6.975	0.860	2.100	9.73e-42
LY75	ENSG00000054219.10	6.385	0.705	2.115	8.93e-72
SYNE2	ENSG00000054654.15	15.360	109.781	-2.759	1.34e-95
PHF21B	ENSG00000056487.15	0.050	3.955	-2.239	4.91e-120
TRAF1	ENSG00000056558.10	1.605	11.705	-2.286	5.19e-125
LAMC2	ENSG00000058085.14	23.774	0.875	3.724	4.32e-101
UNKL	ENSG00000059145.18	6.055	29.110	-2.094	8.47e-68
MON2	ENSG00000061987.14	6.840	31.094	-2.033	2.76e-99
SLC6A16	ENSG00000063127.15	0.570	7.180	-2.381	1.86e-134
SPA17	ENSG00000064199.6	13.565	1.575	2.500	2.88e-90
WISP2	ENSG00000064205.10	0.885	154.610	-6.367	1.91e-216
EYA2	ENSG00000064655.18	45.625	0.280	5.187	9.20e-88
SNCAIP	ENSG00000064692.18	1.040	24.989	-3.671	1.37e-142
NTN1	ENSG00000065320.8	4.925	0.480	2.001	3.21e-39
ERBB3	ENSG00000065361.14	35.941	1.270	4.024	8.35e-109
MTHFD2	ENSG00000065911.11	58.575	12.460	2.146	4.86e-53
SPI1	ENSG00000066336.11	23.415	4.283	2.208	1.16e-44
MPPED2	ENSG00000066382.16	7.350	0.540	2.439	2.94e-44
TRO	ENSG00000067445.20	8.725	79.934	-3.057	3.99e-75
NAV3	ENSG00000067798.13	0.470	9.345	-2.815	5.74e-182
PRR11	ENSG00000068489.12	7.985	0.460	2.622	5.65e-95
RASGRP2	ENSG00000068831.18	1.370	9.140	-2.097	1.39e-76
PITX1	ENSG00000069011.15	7.175	0.465	2.480	1.35e-23
MAOB	ENSG00000069535.13	4.585	119.109	-4.427	1.25e-108
TGFBR3	ENSG00000069702.10	4.225	64.228	-3.642	1.09e-146
GNB5	ENSG00000069966.18	7.300	50.563	-2.635	2.29e-116
FGF10	ENSG00000070193.4	0.020	6.515	-2.881	2.28e-218
SMG6	ENSG00000070366.13	8.770	38.695	-2.023	7.45e-93
